"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051301","BP","GO:0051301","cell division","67/641","304/5319",3.01044616687438e-07,0.000390213271545657,0.000345847138317818,"AIM44/RMI1/HOF1/ELM1/ASE1/OKP1/NUF2/CLB2/IQG1/APC2/AME1/CBK1/CHS5/NSL1/SMC1/CDC23/BUD4/PCL5/SPA2/CDC7/MIH1/BUD5/CNM67/SRM1/CDC123/CDC14/CTS1/CHS2/BUD2/CHS1/EDE1/SLT2/EGT2/RGA1/DMA2/SPC25/PAT1/SFI1/KAR1/CDC9/DSE2/SPC72/DBF2/SCC4/REF2/CDC20/TAH11/MTW1/MNN10/CIN8/RGP1/DSE1/AXL2/VRP1/RSR1/PCL2/FAR1/DSE4/AXL1/MAD2/TEM1/MYO1/RME1/PAN1/SDS23/VHS2/NOC3",67
"GO:1903047","BP","GO:1903047","mitotic cell cycle process","75/641","357/5319",4.35749046952158e-07,0.000390213271545657,0.000345847138317818,"AIM44/SWI5/GIC2/RMI1/HOF1/ELM1/POL30/ASE1/RIM15/CBF2/CLB2/APC2/CHS5/NSL1/SMC1/CDC23/BUD4/SPA2/RAD24/TOP1/CDC7/MIH1/BUD5/CNM67/BRE1/ELG1/CIK1/GRR1/YOX1/CEP3/CDC14/MRC1/CHS2/RAD9/BUD2/CHS1/DCC1/SLT2/BUB1/DMA2/SFI1/CDC9/ASH1/SPC110/SPC72/SCC4/REF2/CDC20/ESC2/MTW1/MNN10/FAR11/CIN8/SLD2/NRM1/MPS1/SRC1/NIS1/PTK2/AXL2/VRP1/WHI5/RSR1/CTF18/AXL1/MAD2/TEM1/SPC97/TOP3/RME1/PAN1/SDS23/VHS2/CHL1/PIN4",75
"GO:0000278","BP","GO:0000278","mitotic cell cycle","80/641","393/5319",6.86536183544537e-07,0.000409862101576088,0.000363261952556197,"AIM44/SWI5/GIC2/RMI1/HOF1/ELM1/POL30/ASE1/RIM15/CBF2/NUF2/CLB2/APC2/CHS5/NSL1/SMC1/CDC23/BUD4/SPA2/RAD24/TOP1/CDC7/MIH1/BUD5/CNM67/BRE1/ELG1/CIK1/GRR1/YOX1/CEP3/CDC14/MRC1/CHS2/RAD9/BUD2/CHS1/DCC1/SLT2/BUB1/DMA2/SFI1/CDC9/ASH1/SPC110/SPC72/SCC4/REF2/CDC20/ESC2/MTW1/MNN10/FAR11/CIN8/SLD2/REB1/NRM1/MPS1/SNF1/SRC1/NIS1/BCK1/PTK2/AXL2/VRP1/WHI5/RSR1/FAR1/CTF18/AXL1/MAD2/TEM1/SPC97/TOP3/RME1/PAN1/SDS23/VHS2/CHL1/PIN4",80
"GO:0000920","BP","GO:0000920","septum digestion after cytokinesis","11/641","20/5319",4.31211126390394e-06,0.00193074781841299,0.00171122731209662,"ASE1/IQG1/CBK1/CTS1/CHS1/EGT2/DSE2/DSE1/DSE4/MYO1/SDS23",11
"GO:0000003","BP","GO:0000003","reproduction","90/641","486/5319",9.20685454504308e-06,0.00329789529803443,0.00292293403240526,"SWI5/HMLALPHA2/MATALPHA1/OSW5/ZIP1/STE3/CWP1/RMI1/ELM1/POL30/RIM15/OKP1/RAD57/MEC1/AME1/CBK1/IME1/CHS5/RSP5/LRG1/RAD1/SWF1/PRM1/MEK1/MER1/EMI1/BUD4/ASG7/SPA2/RAD24/CDC7/BUD5/CNM67/PTC1/BRE1/CIK1/PMS1/SPO75/SET2/CSM2/REC8/CDC14/SHE10/SSP2/MSH3/BUD2/HHT1/SPS4/SPR3/BUB1/RGA1/TEP1/JEM1/KAR1/ASH1/DTR1/SPC110/MHF1/SCW4/YPK1/CDC20/DIT2/MDS3/FUS2/AGA2/SRC1/DIT1/IME4/AQY1/FMP45/RRT8/PSY2/DSE1/AXL2/VRP1/RAD50/ECM11/GIP1/RSR1/FAR1/AXL1/UME6/RCK2/SPC97/TOP3/QDR3/RME1/PAN1/SAG1/STE2",90
"GO:0048285","BP","GO:0048285","organelle fission","59/641","284/5319",1.17551939195525e-05,0.00350892538498641,0.00310997060187458,"SWI5/ZIP1/GIC2/RMI1/POL30/ASE1/RPN11/CBF2/RAD57/CLB2/APC2/MEC1/IME1/NSL1/RAD1/SMC1/CDC23/MEK1/MER1/RAD24/TOP1/CDC7/ELG1/CIK1/CEP3/SET2/CSM2/REC8/CDC14/MRC1/BUD2/DCC1/BUB1/FIS1/DMA2/SPC110/MHF1/SPC72/DBF2/SCC4/CDC20/ESC2/MTW1/MDV1/CIN8/MPS1/SRC1/NIS1/RAD50/ECM11/CTF18/MAD2/RCK2/TEM1/SPC97/TOP3/RME1/SDS23/CHL1",59
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","43/641","187/5319",1.47256740864934e-05,0.00376766889841567,0.00333929571765896,"ZIP1/RMI1/POL30/ASE1/IOC4/CBF2/OKP1/CLB2/APC2/AME1/NSL1/RAD1/SMC1/CDC23/TOP1/ELG1/CIK1/CEP3/CSM2/REC8/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/MHF1/SPC72/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/RFC3/CTF18/MAD2/TEM1/TOP3/SDS23/CHL1",43
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","34/641","136/5319",1.86306052060226e-05,0.00417092674049832,0.00369670429614239,"RMI1/POL30/ASE1/CBF2/CLB2/APC2/NSL1/SMC1/CDC23/TOP1/ELG1/CIK1/CEP3/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/SPC72/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/CTF18/MAD2/TEM1/TOP3/SDS23/CHL1",34
"GO:0000280","BP","GO:0000280","nuclear division","56/641","273/5319",2.91398144842298e-05,0.00522833162663913,0.00463388527019414,"SWI5/ZIP1/GIC2/RMI1/POL30/ASE1/CBF2/RAD57/CLB2/APC2/MEC1/IME1/NSL1/RAD1/SMC1/CDC23/MEK1/MER1/RAD24/TOP1/CDC7/ELG1/CIK1/CEP3/SET2/CSM2/REC8/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/MHF1/SPC72/DBF2/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/NIS1/RAD50/ECM11/CTF18/MAD2/RCK2/TEM1/SPC97/TOP3/RME1/SDS23/CHL1",56
"GO:0006302","BP","GO:0006302","double-strand break repair","33/641","133/5319",2.91922480549365e-05,0.00522833162663913,0.00463388527019414,"MCM7/RAD57/SLD5/RAD1/SMC1/SLD3/CDC7/DOA1/BRE1/ELG1/RAD5/FUN30/CSM2/REC8/RAD9/RSC8/SIR4/RTT109/SCC4/ESC2/TAH11/SLD2/NHP10/SHU2/POL32/PSY2/MCM6/RAD50/ECM11/IRC20/CTF18/TDP1/SAW1",33
"GO:0000819","BP","GO:0000819","sister chromatid segregation","37/641","157/5319",3.31322458470504e-05,0.00539453202836974,0.00478118916146908,"RMI1/POL30/ASE1/IOC4/CBF2/CLB2/APC2/NSL1/SMC1/CDC23/TOP1/ELG1/CIK1/CEP3/REC8/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/SPC72/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/RFC3/CTF18/MAD2/TEM1/TOP3/SDS23/CHL1",37
