"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003006","BP","GO:0003006","developmental process involved in reproduction","11/51","167/5319",3.37156020390348e-07,0.000215105541009042,0.000201228909011923,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",11
"GO:0030154","BP","GO:0030154","cell differentiation","11/51","221/5319",5.44972152945965e-06,0.00173846116789763,0.00162631163537033,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/CEF1/FMP45/QDR3",11
"GO:0048869","BP","GO:0048869","cellular developmental process","12/51","331/5319",4.82659646612802e-05,0.00933582518808873,0.00873356357308417,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/CEF1/FMP45/QDR3",12
"GO:0032502","BP","GO:0032502","developmental process","12/51","338/5319",5.92896611145665e-05,0.00933582518808873,0.00873356357308417,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/CEF1/FMP45/QDR3",12
"GO:0022413","BP","GO:0022413","reproductive process in single-celled organism","8/51","151/5319",7.91908251287959e-05,0.00933582518808873,0.00873356357308417,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0030437","BP","GO:0030437","ascospore formation","7/51","115/5319",9.69552620742265e-05,0.00933582518808873,0.00873356357308417,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0048468","BP","GO:0048468","cell development","7/51","116/5319",0.000102430683881851,0.00933582518808873,0.00873356357308417,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0034293","BP","GO:0034293","sexual sporulation","7/51","122/5319",0.00014083737242671,0.00998380484536012,0.00933974153987657,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0043935","BP","GO:0043935","sexual sporulation resulting in formation of a cellular spore","7/51","122/5319",0.00014083737242671,0.00998380484536012,0.00933974153987657,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0048646","BP","GO:0048646","anatomical structure formation involved in morphogenesis","8/51","179/5319",0.000259372347847605,0.0165479557926772,0.0154804338136413,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","8/51","187/5319",0.000349492874177068,0.0174280401393341,0.0163037432090455,"UGA1/FAS2/GPM1/PPT2/IAH1/EHD3/YAT2/CRC1",8
"GO:0022414","BP","GO:0022414","reproductive process","13/51","470/5319",0.000351772279053631,0.0174280401393341,0.0163037432090455,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/ZIP1/FMP45/QDR3/POL30",13
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","5/51","65/5319",0.000355116805346934,0.0174280401393341,0.0163037432090455,"FAS2/PPT2/EHD3/YAT2/CRC1",5
"GO:0000003","BP","GO:0000003","reproduction","13/51","486/5319",0.000487895141623694,0.0222340785968512,0.020799740248168,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/ZIP1/FMP45/QDR3/POL30",13
"GO:0032505","BP","GO:0032505","reproduction of a single-celled organism","8/51","202/5319",0.000587293620368305,0.0242014670764689,0.0226402109096813,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0071852","BP","GO:0071852","fungal-type cell wall organization or biogenesis","8/51","203/5319",0.000606933343610504,0.0242014670764689,0.0226402109096813,"SPS22/CWP1/GIP1/RPI1/FMP45/QDR3/BAR1/SIM1",8
"GO:0010927","BP","GO:0010927","cellular component assembly involved in morphogenesis","5/51","74/5319",0.000649040033231233,0.0243580906589133,0.0227867305784588,"SPS22/CWP1/GIP1/FUS1/QDR3",5
"GO:0009653","BP","GO:0009653","anatomical structure morphogenesis","8/51","217/5319",0.000942616746664648,0.0272640509798735,0.0255052250545921,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0048856","BP","GO:0048856","anatomical structure development","8/51","217/5319",0.000942616746664648,0.0272640509798735,0.0255052250545921,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:1903046","BP","GO:1903046","meiotic cell cycle process","9/51","272/5319",0.000957436917468499,0.0272640509798735,0.0255052250545921,"AQY1/RAS2/SPS22/CWP1/GIP1/ZIP1/FMP45/QDR3/POL30",9
"GO:0019953","BP","GO:0019953","sexual reproduction","8/51","218/5319",0.000971392070285686,0.0272640509798735,0.0255052250545921,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0044703","BP","GO:0044703","multi-organism reproductive process","8/51","218/5319",0.000971392070285686,0.0272640509798735,0.0255052250545921,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","9/51","273/5319",0.000982873311186663,0.0272640509798735,0.0255052250545921,"SPS22/CWP1/GIP1/ECM4/RPI1/FMP45/QDR3/BAR1/SIM1",9
"GO:0030435","BP","GO:0030435","sporulation resulting in formation of a cellular spore","7/51","172/5319",0.00113909553934086,0.0287205677762972,0.0268677807773643,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","8/51","225/5319",0.00119324628750095,0.0287205677762972,0.0268677807773643,"SPS22/CWP1/GIP1/ECM4/FMP45/QDR3/BAR1/SIM1",8
"GO:0071555","BP","GO:0071555","cell wall organization","8/51","225/5319",0.00119324628750095,0.0287205677762972,0.0268677807773643,"SPS22/CWP1/GIP1/ECM4/FMP45/QDR3/BAR1/SIM1",8
"GO:0031505","BP","GO:0031505","fungal-type cell wall organization","7/51","174/5319",0.00121892810176158,0.0287205677762972,0.0268677807773643,"SPS22/CWP1/GIP1/FMP45/QDR3/BAR1/SIM1",7
"GO:0043934","BP","GO:0043934","sporulation","7/51","175/5319",0.00126046378955536,0.0287205677762972,0.0268677807773643,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0051704","BP","GO:0051704","multi-organism process","8/51","241/5319",0.00185437244402827,0.0407961937686219,0.0381643983943386,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
