"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000003","BP","GO:0000003","reproduction","36/142","486/5319",7.22251851542916e-09,5.41543230354286e-06,4.84226092524376e-06,"IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/BUD5/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114",36
"GO:0022414","BP","GO:0022414","reproductive process","35/142","470/5319",1.07984691994873e-08,5.41543230354286e-06,4.84226092524376e-06,"IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114",35
"GO:0051321","BP","GO:0051321","meiotic cell cycle","28/142","324/5319",1.80584618230321e-08,6.03754573616705e-06,5.39852963972748e-06,"IME1/ADY2/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/IME4/SPR28/ALK2/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114",28
"GO:1903046","BP","GO:1903046","meiotic cell cycle process","25/142","272/5319",3.49826597082988e-08,8.77190192185592e-06,7.84348054512383e-06,"IME1/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/SPR28/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114",25
"GO:0033260","BP","GO:0033260","nuclear DNA replication","9/142","42/5319",1.12601183191619e-06,0.000225877973482388,0.000201970964377389,"MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5",9
"GO:0044786","BP","GO:0044786","cell cycle DNA replication","9/142","43/5319",1.39205470915537e-06,0.00023270514554714,0.000208075546000066,"MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5",9
"GO:0006267","BP","GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication","6/142","20/5319",9.27402085407061e-06,0.000900705809752927,0.000805374770330581,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
"GO:0036388","BP","GO:0036388","pre-replicative complex assembly","6/142","20/5319",9.27402085407061e-06,0.000900705809752927,0.000805374770330581,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
"GO:0070193","BP","GO:0070193","synaptonemal complex organization","6/142","20/5319",9.27402085407061e-06,0.000900705809752927,0.000805374770330581,"REC8/ECM11/HOP1/DMC1/AMA1/GMC2",6
"GO:1902299","BP","GO:1902299","pre-replicative complex assembly involved in cell cycle DNA replication","6/142","20/5319",9.27402085407061e-06,0.000900705809752927,0.000805374770330581,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
