"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016999","BP","GO:0016999","antibiotic metabolic process","24/601","61/5319",1.23875730501499e-08,2.09102233086531e-05,1.96506027227115e-05,"ARO10/ICL2/ICL1/CIT3/PDH1/LSC1/IAH1/MDH2/ACS1/MLS1/KGD2/MDH1/ALD6/CTT1/IDP2/YMR31/ACH1/MDH3/ADH3/ADR1/ADH2/IDP1/ADH1/LSC2",24
"GO:0006066","BP","GO:0006066","alcohol metabolic process","31/601","97/5319",3.20937576002792e-08,2.60064418241447e-05,2.44398277806099e-05,"OPI10/HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/GUT2/ERG2/GUT1/ERG26/ERG1/YIG1/YAT2/BDH1/ERG6/YAT1/GPD2/ERG8/UPC2/ALD6/ERG13/NCP1/ERG27/UME6/ADH3/ADR1/ADH2/INO1/ADH1",31
"GO:1901617","BP","GO:1901617","organic hydroxy compound biosynthetic process","28/601","84/5319",5.43937688920019e-08,2.60064418241447e-05,2.44398277806099e-05,"HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/YIG1/BDH1/CYB5/RKI1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27/UME6/ADH3/ADH2/HSP31/INO1/ADH1",28
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","16/601","32/5319",6.16266393937077e-08,2.60064418241447e-05,2.44398277806099e-05,"HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/BDH1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27",16
"GO:0046165","BP","GO:0046165","alcohol biosynthetic process","23/601","62/5319",9.1633561142678e-08,3.09354902417681e-05,2.90719529772665e-05,"HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/YIG1/BDH1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27/UME6/ADH3/ADH2/INO1/ADH1",23
"GO:0016126","BP","GO:0016126","sterol biosynthetic process","18/601","41/5319",1.159874903707e-07,3.26311472909569e-05,3.06654645594113e-05,"HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/CYB5/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27",18
"GO:0019752","BP","GO:0019752","carboxylic acid metabolic process","83/601","424/5319",1.37504513512294e-07,3.31582312583932e-05,3.11607972726357e-05,"GCR1/ARO10/SCS7/ERG10/ISA1/GLK1/ARG4/CYS3/SPE1/TRP3/YAT2/UGA2/SER1/ICL2/HIS5/ASP1/DUG3/HIS2/HIS1/ICL1/CIT3/LEU2/AGX1/PDH1/PEX11/YAT1/LYS4/GFA1/POT1/CAT2/PDX1/LSC1/MET8/IAH1/MDH2/CRC1/EHD3/ACS1/XBP1/HOM3/MLS1/RMT2/MSD1/FOX2/KGD2/ABZ1/PFK27/MDH1/GLO4/MET13/ALD6/IDP2/ISM1/MET4/YMR31/CAR1/LAT1/LEU1/ACH1/PYC2/ILV2/ETR1/CEM1/FAU1/MDH3/GDH3/ADH3/ARG3/ADR1/ADH2/AIM10/ARG8/HSP31/IDP1/GND1/ARO8/URA2/CAR2/ADH1/CAT8/GDH2/LSC2/SPS19",83
"GO:1901615","BP","GO:1901615","organic hydroxy compound metabolic process","37/601","136/5319",1.73817230077473e-07,3.37676806797825e-05,3.17335337892444e-05,"OPI10/HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/GUT2/ERG2/PDR16/GUT1/MVD1/ERG26/ERG1/YIG1/YAT2/BDH1/CYB5/RKI1/ERG6/YAT1/GPD2/ERG8/UPC2/GLO4/ALD6/ERG13/NCP1/ERG27/UME6/ADH3/ADR1/ADH2/HSP31/INO1/ADH1",37
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","18/601","42/5319",1.81921874886837e-07,3.37676806797825e-05,3.17335337892444e-05,"HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/CYB5/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27",18
"GO:0006082","BP","GO:0006082","organic acid metabolic process","85/601","443/5319",2.40965357413521e-07,3.37676806797825e-05,3.17335337892444e-05,"GCR1/ARO10/SCS7/ERG10/ISA1/GLK1/ARG4/CYS3/SPE1/TRP3/YAT2/UGA2/SER1/ICL2/HIS5/ASP1/DUG3/HIS2/HIS1/ICL1/CIT3/LEU2/AGX1/PDH1/PEX11/YAT1/LYS4/GFA1/POT1/CAT2/ERG8/PDX1/LSC1/MET8/IAH1/MDH2/CRC1/EHD3/ACS1/XBP1/HOM3/MLS1/RMT2/MSD1/FOX2/KGD2/ABZ1/PFK27/MDH1/GLO4/MET13/ALD6/IDP2/ISM1/MET4/YMR31/CAR1/LAT1/LEU1/ACH1/PYC2/ILV2/ETR1/CEM1/FAU1/PHO84/MDH3/GDH3/ADH3/ARG3/ADR1/ADH2/AIM10/ARG8/HSP31/IDP1/GND1/ARO8/URA2/CAR2/ADH1/CAT8/GDH2/LSC2/SPS19",85
