"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000003","BP","GO:0000003","reproduction","52/234","486/5319",5.16125048715875e-10,7.15865442568918e-07,6.56837035681571e-07,"OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/AXL2/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/BUD4/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",52
"GO:0022414","BP","GO:0022414","reproductive process","50/234","470/5319",1.48248681376149e-09,1.02810460534359e-06,9.4332976728297e-07,"OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",50
"GO:0051301","BP","GO:0051301","cell division","34/234","304/5319",2.88683168804533e-07,0.000133467851710629,0.000122462438977081,"PCL2/CLN2/PCL5/DSE2/CLB5/NSL1/EGT2/HOF1/FAR1/CTS1/DSE1/AXL2/NOC3/RSR1/AXL1/PCL1/SRM1/DSE4/SPA2/IQG1/SGO1/CBK1/OKP1/BUD4/SPC72/NUF2/CHS2/SLT2/RME1/MNN10/ASE1/CDC14/CNM67/RMI1",34
"GO:2000241","BP","GO:2000241","regulation of reproductive process","21/234","140/5319",5.86836466161093e-07,0.000203485544641359,0.000186706654628621,"CLN2/IME2/IME1/RSP5/SWI5/EFG1/MEK1/FAR1/DSE1/AXL1/STE4/HOP1/SPA2/SGO1/ASH1/BAR1/AGA2/FUS2/RME1/MFA1/ZIP1",21
"GO:0000920","BP","GO:0000920","septum digestion after cytokinesis","8/234","20/5319",9.92054714387971e-07,0.000275195977771223,0.000252504031514749,"DSE2/EGT2/CTS1/DSE1/DSE4/IQG1/CBK1/ASE1",8
"GO:0051321","BP","GO:0051321","meiotic cell cycle","31/234","324/5319",2.67943912343985e-05,0.00619397010701844,0.00568323140392767,"OSW5/IME2/REC8/IME1/SPS4/ALK2/CLB5/ADY2/MEK1/TOP3/LDS1/MER1/RAD57/SPR3/SSP2/HOP1/IME4/MSH3/SGO1/MEC1/OKP1/ECM11/RME1/CDC14/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",31
"GO:0000278","BP","GO:0000278","mitotic cell cycle","35/234","393/5319",3.63542667063966e-05,0.00720333827453886,0.0066093696914336,"CLN2/ALK2/CLB5/SWI5/NSL1/TOP3/HOF1/FAR1/AXL2/SLD2/RSR1/AXL1/YOX1/SPA2/SGO1/ASH1/ELG1/BUD4/NRM1/SPC72/NIS1/NUF2/SPC110/CHS2/SLT2/MRC1/RME1/MNN10/ASE1/CDC14/CNM67/CTF18/CIK1/RMI1/RIM15",35
"GO:0000280","BP","GO:0000280","nuclear division","27/234","273/5319",5.20381369354929e-05,0.00902211199119109,0.00827817204671197,"IME2/REC8/IME1/CLB5/SWI5/NSL1/MEK1/TOP3/MER1/RAD57/HOP1/SGO1/MEC1/ELG1/SPC72/NIS1/SPC110/ECM11/MRC1/RME1/ASE1/CDC14/CTF18/CIK1/RMI1/RAD1/ZIP1",27
"GO:1903047","BP","GO:1903047","mitotic cell cycle process","32/234","357/5319",7.19533651987374e-05,0.011088813058961,0.0101744583070495,"CLN2/CLB5/SWI5/NSL1/TOP3/HOF1/AXL2/SLD2/RSR1/AXL1/YOX1/SPA2/SGO1/ASH1/ELG1/BUD4/NRM1/SPC72/NIS1/SPC110/CHS2/SLT2/MRC1/RME1/MNN10/ASE1/CDC14/CNM67/CTF18/CIK1/RMI1/RIM15",32
"GO:0048285","BP","GO:0048285","organelle fission","27/234","284/5319",0.00010325826414029,0.0143219212362582,0.0131409727732222,"IME2/REC8/IME1/CLB5/SWI5/NSL1/MEK1/TOP3/MER1/RAD57/HOP1/SGO1/MEC1/ELG1/SPC72/NIS1/SPC110/ECM11/MRC1/RME1/ASE1/CDC14/CTF18/CIK1/RMI1/RAD1/ZIP1",27
