"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000747","BP","GO:0000747","conjugation with cellular fusion","12/68","102/5319",3.83827773232158e-09,8.91881136456494e-07,7.75811311793261e-07,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0140253","BP","GO:0140253","cell-cell fusion","12/68","102/5319",3.83827773232158e-09,8.91881136456494e-07,7.75811311793261e-07,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0000746","BP","GO:0000746","conjugation","12/68","103/5319",4.30167750702489e-09,8.91881136456494e-07,7.75811311793261e-07,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0044764","BP","GO:0044764","multi-organism cellular process","12/68","111/5319",1.02498562252662e-08,1.5079765023196e-06,1.31172774105986e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0000003","BP","GO:0000003","reproduction","23/68","486/5319",1.21219976070707e-08,1.5079765023196e-06,1.31172774105986e-06,"FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/BUD4/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5",23
"GO:2000241","BP","GO:2000241","regulation of reproductive process","13/68","140/5319",1.51217657711918e-08,1.56762305161355e-06,1.36361186077063e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/SWI5/AGA2/RME1/IME1/ASH1/FUS2/STE5",13
"GO:0022414","BP","GO:0022414","reproductive process","22/68","470/5319",3.45221421156695e-08,3.06753891370663e-06,2.66832797706077e-06,"FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5",22
"GO:0000920","BP","GO:0000920","septum digestion after cytokinesis","6/68","20/5319",1.17513460648259e-07,9.13667156540214e-06,7.9476208912112e-06,"DSE2/EGT2/DSE1/CTS1/DSE4/IQG1",6
"GO:0031137","BP","GO:0031137","regulation of conjugation with cellular fusion","9/68","82/5319",7.42127581770211e-07,4.61603355861071e-05,4.01530081084093e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5",9
"GO:0046999","BP","GO:0046999","regulation of conjugation","9/68","82/5319",7.42127581770211e-07,4.61603355861071e-05,4.01530081084093e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5",9
