"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042274","BP","GO:0042274","ribosomal small subunit biogenesis","37/504","147/5319",1.48606310105273e-08,2.41782466541278e-05,2.268201575291e-05,"RPS10A/RPS20/NSR1/RPS8B/RPS0A/RRP12/RPS7A/ENP1/UTP21/BUD21/RPS15/RRP5/RPS5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/IMP4/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/TRM112/NOP19/UTP7/RRP3/SLX9/EFG1/SGD1/BUD22/DBP8",37
"GO:0042254","BP","GO:0042254","ribosome biogenesis","80/504","482/5319",1.58231086502533e-07,0.00012872098886981,0.000120755302857196,"MAK11/RPL8B/RPS10A/RPS20/NSR1/TMA108/NOC2/YTM1/RPL25/RPS8B/RPL12B/GAR1/EBP2/RPS0A/RRP12/RPS3/RPP0/RPL17B/XRN1/NUP49/RPS7A/RPS2/ENP1/RPS26A/RPB5/RPL30/UTP21/BUD21/RRB1/RPS15/RRP5/RPS5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/RPO26/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOG2/NOC3/BMT2/RRP3/SLX9/PUF6/EFG1/SGD1/BUD22/REX4/SRM1/DBP8",80
"GO:0030490","BP","GO:0030490","maturation of SSU-rRNA","29/504","119/5319",1.16955550509552e-06,0.000572289062576771,0.000536873898189318,"RPS20/RPS8B/RPS0A/RRP12/ENP1/BUD21/RRP5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/TRM112/NOP19/UTP7/RRP3/SLX9/EFG1/BUD22/DBP8",29
"GO:0000462","BP","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","27/504","108/5319",1.61326700961015e-06,0.000572289062576771,0.000536873898189318,"RPS20/RPS8B/RPS0A/RRP12/ENP1/BUD21/RRP5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/NOP19/UTP7/RRP3/SLX9/EFG1/DBP8",27
"GO:0006364","BP","GO:0006364","rRNA processing","61/504","355/5319",1.75872483889604e-06,0.000572289062576771,0.000536873898189318,"MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/REX4/DBP8",61
"GO:0016072","BP","GO:0016072","rRNA metabolic process","65/504","396/5319",4.03157235024658e-06,0.00109322803564186,0.00102557542243115,"MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/AIR1/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/TFC8/REX4/DBP8",65
"GO:0000460","BP","GO:0000460","maturation of 5.8S rRNA","22/504","89/5319",1.8236365261279e-05,0.00423865232572871,0.00397635032012851,"MAK11/YTM1/RPS0A/RPL17B/ENP1/BUD21/RRP5/DBP3/NOP58/LOC1/MPP10/RRP15/RRS1/RPF2/RRP42/MAK16/NOC4/UTP6/SAS10/NOP19/UTP7/DBP8",22
"GO:0030476","BP","GO:0030476","ascospore wall assembly","15/504","50/5319",3.55174558768118e-05,0.0048736994473282,0.00457209859840578,"LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5",15
"GO:0042244","BP","GO:0042244","spore wall assembly","15/504","50/5319",3.55174558768118e-05,0.0048736994473282,0.00457209859840578,"LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5",15
"GO:0070590","BP","GO:0070590","spore wall biogenesis","15/504","50/5319",3.55174558768118e-05,0.0048736994473282,0.00457209859840578,"LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5",15
