"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032543","BP","GO:0032543","mitochondrial translation","68/1077","130/5319",2.10347175237127e-16,3.79045609777303e-13,3.221633052316e-13,"COX14/MSD1/COA3/MSY1/TUF1/MRPL39/MRP51/AIM23/PET494/MRPL33/MRPL50/MRPS8/MAM33/MRPS12/SLM5/MRPS18/RSM24/SWS2/MRPL37/PET122/ISM1/IMG2/RSM10/MRPL25/MRPL24/MRPL20/DIA4/MRPS28/MRP2/MRPL31/MEF1/MRPL11/MRP4/MRPS35/PET123/MRPS9/MRPL49/MRP1/PPE1/PTH4/MRPL17/YMR31/MMF1/RSM7/NAM9/MRPL22/IMG1/RSM28/MRPL32/MRP49/MRPL27/MRPL15/MNP1/MRP20/MSW1/MBA1/MRPL35/MHR1/IFM1/MRX14/YML6/RSM23/MEF2/MSS51/MTF2/MRPL4/MRP10/RSM22",68
"GO:0140053","BP","GO:0140053","mitochondrial gene expression","72/1077","144/5319",6.35301616017694e-16,5.72406756031942e-13,4.86507290160918e-13,"COX14/MSD1/COA3/MSY1/TUF1/MRPL39/MRP51/AIM23/PET494/MRPL33/MRPL50/MRPS8/MAM33/MRPS12/SLM5/MRPS18/RSM24/SWS2/MRPL37/PET122/ISM1/SLM3/IMG2/RSM10/MRPL25/MRPL24/MRPL20/MTO1/DIA4/MRPS28/MRP2/MRPL31/MEF1/MRPL11/MRP4/MRPS35/PET123/MRPS9/MRPL49/MRP1/PPE1/PTH4/MRPL17/YMR31/MMF1/RSM7/NAM9/MRPL22/IMG1/RSM28/MRPL32/MRP49/MRPL27/MRPL15/MNP1/MSS116/MRP20/MSW1/MBA1/MRPL35/MHR1/IFM1/MTF1/MRX14/YML6/RSM23/MEF2/MSS51/MTF2/MRPL4/MRP10/RSM22",72
"GO:0017144","BP","GO:0017144","drug metabolic process","99/1077","285/5319",3.14229781007764e-09,1.8874735512533e-06,1.60422572409227e-06,"ICL2/PDH1/DAL1/GCR1/CIT3/ICL1/GLK1/ISA1/AGX1/QCR8/RKI1/COX7/SDH4/GFA1/COX8/ATP4/IAH1/ATP3/ATP1/IDP2/ATP18/COX9/CYS3/MDH3/SDH2/SDH1/ATP16/MAS1/CIT1/SHH3/GPM1/ACS1/QCR9/CCP1/ACH1/ISA2/COX5A/SHM2/COX13/ARO8/RIB7/UGA2/RIB5/BUD16/ADH1/ARO10/ALD6/PGU1/CRH1/COX12/MLS1/COX4/ATP2/NDI1/TIM11/ATP19/PCM1/ADR1/CHS3/LPD1/UTR2/ATP20/SKT5/COX6/MDH2/FMS1/ATP14/IDP1/CHS7/QCR7/BNI4/ABZ1/ADH2/FUM1/SAM2/COX5B/ARO9/CHS2/KGD1/YMR31/PHO3/ADH3/GSM1/PDC1/RIP1/QCR6/BMH2/DAL2/KGD2/PFK27/CRZ1/LSC1/DSD1/SNO3/MDH1/ADE13/THI13/CTT1/BIO2",99
"GO:0016999","BP","GO:0016999","antibiotic metabolic process","33/1077","61/5319",4.32112870569116e-09,1.94666848191387e-06,1.65453743862648e-06,"ICL2/PDH1/CIT3/ICL1/SDH4/IAH1/IDP2/MDH3/SDH2/SDH1/CIT1/SHH3/ACS1/CCP1/ACH1/ADH1/ARO10/ALD6/MLS1/ADR1/LPD1/MDH2/IDP1/ADH2/FUM1/KGD1/YMR31/ADH3/PDC1/KGD2/LSC1/MDH1/CTT1",33
"GO:1901135","BP","GO:1901135","carbohydrate derivative metabolic process","123/1077","385/5319",1.24546616540414e-08,4.48866006011652e-06,3.81505951718531e-06,"RNR1/GCR1/GUT2/GLK1/QCR8/RKI1/COX7/SDH4/FBP1/GFA1/COX8/CDC8/ATP4/ATP3/ATP1/ATP18/MNN10/URA3/COX9/SDH1/ATP16/MAS1/CIT1/SHH3/GPM1/ACS1/QCR9/MNN9/MVD1/RNR2/ACH1/COX5A/GPD2/COX13/IMD3/PMI40/CDC21/SEC53/SRT1/ADH1/NUS1/ADE6/FCY1/ANP1/ACP1/DCD1/ADE1/CRH1/COX12/PMT7/TDA10/COX4/GPI12/ATP2/NDI1/TES1/PCD1/MCD4/TIM11/ATP19/MNN11/MNN1/PCM1/FBP26/RER2/CHS3/GUT1/UTR2/ATP20/CAB3/SKT5/COX6/ATP14/DUT1/YEH2/CHS7/QCR7/BNI4/HMG1/GUK1/PLP1/YSA1/MNS1/COX5B/OST3/CHS2/CWH41/GPI17/ALG11/PGM2/GSM1/SPT14/PDC1/KTR3/RIP1/GDA1/CAX4/QCR6/GPI13/BMH2/PDX1/OST1/KGD2/GPI1/PNP1/ADE4/PFK27/ACC1/HOC1/OST2/CRZ1/LSC1/PER1/SHB17/GUA1/VAN1/SOL3/ADE13/PRS5/WBP1/LAT1/IPT1/XPT1",123
"GO:0007005","BP","GO:0007005","mitochondrion organization","93/1077","270/5319",1.58371363064312e-08,4.75641993736483e-06,4.04263742558901e-06,"AIM17/HSP60/AIM25/SHY1/COX14/ATP18/PHB2/MAS1/PHB1/MCP2/ATP23/COA3/PET191/HSP10/QCR9/COA1/COX19/HCM1/TIM8/MYO2/MDM31/RCF1/CMC2/VPS13/PET100/MDJ1/ATP11/PIF1/CLU1/MGR2/COX13/AFG3/TIM13/TOM6/COA2/TOM7/YTA12/NUM1/COX12/HSP78/CMC1/TIM9/TIM11/COX17/MMM1/MAS2/GGC1/TOM22/RCF2/OM14/SSC1/UGO1/ATP20/OXA1/PSD1/TCM62/ATP14/STT4/FZO1/QCR7/HOT13/TOM5/MAM3/PET117/SDH6/MDM34/MDM32/TOM40/MIA40/HMI1/MIP1/COX16/YHM2/MIC19/RPM2/PAM16/TIM50/TIM17/YFH1/ATG20/MBA1/MHR1/KGD2/PNT1/COX23/MEF2/PAM18/MDM36/EXO5/FIS1/ATG21/PTC6/NAT3",93
"GO:0055114","BP","GO:0055114","oxidation-reduction process","130/1077","425/5319",8.73403903178864e-08,2.24839119075473e-05,1.91098147236879e-05,"RNR1/PEX11/AIM17/ETR1/CIT3/GUT2/HBN1/SOR1/ICL1/QCR8/COX7/SDH4/COX8/IDP2/GIP2/COX9/MDH3/SDH2/ERG24/OYE3/SDH1/MAS1/CIT1/SHH3/HAP1/ARA1/EHD3/ACS1/QCR9/COX19/CCP1/RNR2/BDH1/GDH2/ERG10/FOX2/COX5A/ECI1/GPD2/SCS7/COX13/IMD3/POT1/JAC1/RIB7/UGA2/GDH3/FET5/CSF1/NCP1/ADH1/ALD6/POX1/AIM45/MAM33/FRE4/ERG1/ACP1/GAL80/PUT1/COX12/MLS1/TRX3/COX4/COX15/NDI1/TES1/ATF1/ERG3/CYB5/GAC1/DIT2/COX10/ADR1/LPD1/ERG25/COX6/MDH2/ECM4/FMS1/MET1/IDP1/GRX3/ADH6/QCR7/MET8/HMG1/ERG26/YPI1/ADH2/LYS1/FUM1/MIA40/COX5B/MRP1/FMO1/KGD1/ANT1/YMR31/COX11/ADH3/RGI1/PGM2/LEU2/PDC1/RIP1/ERG27/COQ10/QCR6/MXR2/YFH1/BMH2/MPD1/KGD2/FMP46/CDC28/ALD2/FRD1/SOD2/JHD2/LSC1/SPS19/FET3/SHB17/MDH1/LYS9/LYS2/MCR1/CTT1/TDA5",130
"GO:0048285","BP","GO:0048285","organelle fission","94/1077","284/5319",1.19824632682957e-07,2.6990498511836e-05,2.29401105991713e-05,"PEX11/MCD1/SGS1/SMC1/CIK1/CIN8/SGO1/NUR1/DBF4/GIC2/IPL1/CTF4/CDC20/RFA3/CLB2/MUS81/MLH3/SKP1/RAD52/CLB5/SWE1/SPC72/DMC1/BIR1/REC107/DAD2/SPC110/PEX25/DCC1/SWI5/NUM1/KEL1/MCK1/MSH5/ASE1/KAR9/KAR3/SET3/GAC1/IRR1/MRC1/BFA1/TOP3/BAS1/MTW1/POL30/MSC1/REC102/RME1/CDC23/BUB1/YPI1/ELG1/CSM2/STE20/BRN1/APC1/KAP104/SAE3/RDH54/CEP3/DYN1/TUB2/SET2/DSN1/DAD3/SWI6/CDC10/CDC14/SMC3/ZIP1/BUB2/TOF1/CTF8/RAD24/CLB4/SPO11/PCH2/CDC28/MLH2/RAD57/CDC7/RAD1/CST9/SHS1/SHE1/MDM36/CTF18/HOS4/DMA2/MSC3/FIS1/SDS23/BUD2",94
"GO:0000280","BP","GO:0000280","nuclear division","90/1077","273/5319",2.7769270617619e-07,5.56002507254994e-05,4.72564780685797e-05,"MCD1/SGS1/SMC1/CIK1/CIN8/SGO1/NUR1/DBF4/GIC2/IPL1/CTF4/CDC20/RFA3/CLB2/MUS81/MLH3/SKP1/RAD52/CLB5/SWE1/SPC72/DMC1/BIR1/REC107/DAD2/SPC110/DCC1/SWI5/NUM1/KEL1/MCK1/MSH5/ASE1/KAR9/KAR3/SET3/GAC1/IRR1/MRC1/BFA1/TOP3/BAS1/MTW1/POL30/MSC1/REC102/RME1/CDC23/BUB1/YPI1/ELG1/CSM2/STE20/BRN1/APC1/KAP104/SAE3/RDH54/CEP3/DYN1/TUB2/SET2/DSN1/DAD3/SWI6/CDC10/CDC14/SMC3/ZIP1/BUB2/TOF1/CTF8/RAD24/CLB4/SPO11/PCH2/CDC28/MLH2/RAD57/CDC7/RAD1/CST9/SHS1/SHE1/CTF18/HOS4/DMA2/MSC3/SDS23/BUD2",90
"GO:0008535","BP","GO:0008535","respiratory chain complex IV assembly","16/1077","23/5319",4.16818338624234e-07,7.51106646200869e-05,6.38390192313958e-05,"SHY1/COX14/SCO1/COA3/PET191/COA1/COX19/RCF1/PET100/COA2/COX12/CMC1/COX17/RCF2/PET117/COX16",16
