"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044283","BP","GO:0044283","small molecule biosynthetic process","59/443","387/5319",2.01830921253834e-06,0.0032891655673855,0.00318839148885259,"SHM2/PUT2/THI2/THI6/GLN1/TYE7/HIS1/ERG6/URA3/CYS3/PDC2/GPM1/FAU1/SRT1/ARG3/IMD3/HIS3/FBA1/PCK1/NUS1/ARO4/THI20/HOM2/MDH2/HIS5/ERG24/COQ1/MRI1/ERG13/HIS7/URA2/GUA1/FBP1/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/THI13/LYS9/PUT1/GSM1/GDH3/SNO3/ERG10/MET8/APT1/GPM3/MET28/ARO9/MET13/TRP1/PAN6/PFK27/HSP31/UME6/ALD5/CPA2",59
"GO:1901607","BP","GO:1901607","alpha-amino acid biosynthetic process","26/443","122/5319",5.40516873993465e-06,0.0032891655673855,0.00318839148885259,"SHM2/PUT2/GLN1/HIS1/CYS3/ARG3/HIS3/HOM2/HIS5/MRI1/HIS7/URA2/ARG4/HOM3/BAT1/ARG7/LEU4/LYS9/PUT1/GDH3/MET8/MET28/ARO9/MET13/TRP1/CPA2",26
"GO:0008652","BP","GO:0008652","cellular amino acid biosynthetic process","27/443","130/5319",5.9586332742491e-06,0.0032891655673855,0.00318839148885259,"SHM2/PUT2/GLN1/HIS1/CYS3/ARG3/HIS3/ARO4/HOM2/HIS5/MRI1/HIS7/URA2/ARG4/HOM3/BAT1/ARG7/LEU4/LYS9/PUT1/GDH3/MET8/MET28/ARO9/MET13/TRP1/CPA2",27
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","34/443","189/5319",1.08696258423185e-05,0.00450002509871986,0.00436215247619361,"SHM2/PUT2/GLN1/HIS1/CYS3/ARG3/ADE6/HIS3/GCV2/HOM2/HIS5/MRI1/SWI4/HIS7/URA2/GUA1/ARG4/HOM3/BAT1/ARG7/LEU4/LYS9/PUT1/GDH3/SNO3/MET8/MET28/ARO9/GDH2/MET13/TRP1/DUG3/PAN6/CPA2",34
"GO:0006082","BP","GO:0006082","organic acid metabolic process","61/443","443/5319",3.71200211452906e-05,0.0104004282225547,0.0100817779299491,"PHO84/SPS19/SHM2/PUT2/GLN1/TYE7/HIS1/CYS3/PDC2/GPM1/FAU1/ARG3/VTC1/ADE6/HIS3/FBA1/GCV2/JLP1/ARO4/HOM2/POX1/MDH2/HIS5/MRI1/SWI4/ECI1/HIS7/URA2/GUA1/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/LYS9/PUT1/MDH1/GDH3/SNO3/ERG10/MET8/DLD1/MSW1/GPM3/MET28/IAH1/POT1/ARO9/GDH2/MET13/PDH1/DAL81/TRP1/DUG3/PAN6/PFK27/HSP31/ALD5/CPA2/ACS1",61
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","37/443","227/5319",4.39631627764994e-05,0.0104004282225547,0.0100817779299491,"SHM2/PUT2/GLN1/TYE7/HIS1/CYS3/GPM1/FAU1/ARG3/HIS3/FBA1/ARO4/HOM2/HIS5/MRI1/HIS7/URA2/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/LYS9/PUT1/GDH3/MET8/GPM3/MET28/ARO9/MET13/TRP1/PAN6/PFK27/HSP31/ALD5/CPA2",37
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","37/443","227/5319",4.39631627764994e-05,0.0104004282225547,0.0100817779299491,"SHM2/PUT2/GLN1/TYE7/HIS1/CYS3/GPM1/FAU1/ARG3/HIS3/FBA1/ARO4/HOM2/HIS5/MRI1/HIS7/URA2/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/LYS9/PUT1/GDH3/MET8/GPM3/MET28/ARO9/MET13/TRP1/PAN6/PFK27/HSP31/ALD5/CPA2",37
"GO:0009064","BP","GO:0009064","glutamine family amino acid metabolic process","16/443","65/5319",5.76585549438856e-05,0.0114155470794038,0.0110657953827172,"PUT2/GLN1/ARG3/ADE6/SWI4/HIS7/URA2/GUA1/ARG4/ARG7/PUT1/GDH3/SNO3/GDH2/DUG3/CPA2",16
"GO:0043436","BP","GO:0043436","oxoacid metabolic process","60/443","441/5319",6.20410167358901e-05,0.0114155470794038,0.0110657953827172,"PHO84/SPS19/SHM2/PUT2/GLN1/TYE7/HIS1/CYS3/PDC2/GPM1/FAU1/ARG3/VTC1/ADE6/HIS3/FBA1/GCV2/ARO4/HOM2/POX1/MDH2/HIS5/MRI1/SWI4/ECI1/HIS7/URA2/GUA1/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/LYS9/PUT1/MDH1/GDH3/SNO3/ERG10/MET8/DLD1/MSW1/GPM3/MET28/IAH1/POT1/ARO9/GDH2/MET13/PDH1/DAL81/TRP1/DUG3/PAN6/PFK27/HSP31/ALD5/CPA2/ACS1",60
"GO:0019752","BP","GO:0019752","carboxylic acid metabolic process","58/443","424/5319",7.13511842321122e-05,0.0118157561088378,0.011453742731997,"SPS19/SHM2/PUT2/GLN1/TYE7/HIS1/CYS3/PDC2/GPM1/FAU1/ARG3/ADE6/HIS3/FBA1/GCV2/ARO4/HOM2/POX1/MDH2/HIS5/MRI1/SWI4/ECI1/HIS7/URA2/GUA1/ARG4/HOM3/BAT1/ARG7/LEU4/GLK1/LYS9/PUT1/MDH1/GDH3/SNO3/ERG10/MET8/DLD1/MSW1/GPM3/MET28/IAH1/POT1/ARO9/GDH2/MET13/PDH1/DAL81/TRP1/DUG3/PAN6/PFK27/HSP31/ALD5/CPA2/ACS1",58
