"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022616","BP","GO:0022616","DNA strand elongation","11/235","39/5319",5.54980735795006e-07,0.000720919975797713,0.000668313643946829,"DNA2/MCM4/POL1/SGS1/PSF1/RNH202/POL30/EXO1/MPH1/SAE2/TOP2",11
"GO:0006261","BP","GO:0006261","DNA-dependent DNA replication","20/235","140/5319",2.59303245190522e-06,0.00167495377896886,0.00155273054020532,"DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1",20
"GO:0006260","BP","GO:0006260","DNA replication","21/235","158/5319",4.72229497064923e-06,0.00167495377896886,0.00155273054020532,"RNR1/DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1",21
"GO:0000729","BP","GO:0000729","DNA double-strand break processing","6/235","12/5319",5.15767137480788e-06,0.00167495377896886,0.00155273054020532,"DNA2/SGS1/RIF1/FUN30/EXO1/SAE2",6
"GO:0006855","BP","GO:0006855","drug transmembrane transport","10/235","43/5319",1.23895318063408e-05,0.00321880036328734,0.00298392092346397,"ADY2/TNA1/PDR5/AGP2/SNQ2/PET8/SFC1/TPC1/FUR4/YMC1",10
"GO:0006302","BP","GO:0006302","double-strand break repair","18/235","133/5319",1.80274720206692e-05,0.00390294769247489,0.00361814526169221,"MCD1/DNA2/MCM4/SMC1/POL1/TEL1/SGS1/SLD2/CTF4/RIF1/PSF1/FUN30/RAD54/SMC5/CDC45/EXO1/SAE2/ELG1",18
"GO:0007064","BP","GO:0007064","mitotic sister chromatid cohesion","9/235","39/5319",3.64720162913067e-05,0.00610253077252365,0.00565722231981447,"MCD1/SMC1/TOP3/CTF4/CSM3/IRR1/POL30/MRC1/ELG1",9
"GO:0009062","BP","GO:0009062","fatty acid catabolic process","7/235","23/5319",4.01442034637967e-05,0.00610253077252365,0.00565722231981447,"POX1/ECI1/POT1/PDH1/FOX2/TES1/CIT3",7
"GO:0007062","BP","GO:0007062","sister chromatid cohesion","11/235","59/5319",4.22808136664456e-05,0.00610253077252365,0.00565722231981447,"MCD1/SMC1/SGO1/TOP3/CTF4/CSM3/IRR1/POL30/SMC5/MRC1/ELG1",11
"GO:0000819","BP","GO:0000819","sister chromatid segregation","19/235","157/5319",5.21483126008698e-05,0.00677406580685299,0.00627975469635738,"MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CIN8/CSM3/IRR1/KAR9/POL30/DAD3/CIK1/SMC5/TEM1/SPC110/TOP2/MRC1/ELG1",19
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","17/235","136/5319",8.68000973453099e-05,0.00957889063849225,0.00887990834280227,"MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CIN8/CSM3/IRR1/KAR9/POL30/DAD3/CIK1/TEM1/SPC110/MRC1/ELG1",17
"GO:0140014","BP","GO:0140014","mitotic nuclear division","20/235","177/5319",8.84885971223303e-05,0.00957889063849225,0.00887990834280227,"MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CDC15/CIN8/CSM3/IRR1/CLB5/KAR9/GIC2/POL30/DAD3/CIK1/TEM1/SPC110/MRC1/ELG1",20
"GO:0006271","BP","GO:0006271","DNA strand elongation involved in DNA replication","8/235","36/5319",0.000133066737314982,0.0132964378286278,0.0123261819828615,"DNA2/MCM4/POL1/PSF1/RNH202/POL30/MPH1/TOP2",8
"GO:0098656","BP","GO:0098656","anion transmembrane transport","13/235","92/5319",0.000173981978151794,0.0159318519151033,0.0147692869744971,"VBA1/ADY2/PHO84/TAT2/TNA1/GIT1/AGP1/GEF1/PXA2/AGP2/SFC1/TPC1/YMC1",13
"GO:1903047","BP","GO:1903047","mitotic cell cycle process","31/235","357/5319",0.000183970576386874,0.0159318519151033,0.0147692869744971,"MCD1/MSB2/GIN4/SMC1/SGO1/TOP3/SGS1/SLD2/HSL1/CTF4/CDC15/CIN8/CSM3/IRR1/CLB5/INN1/KAR9/PSF1/SWI4/GIC2/BUD31/POL30/DAD3/BUD3/CIK1/TEM1/SPC110/CDC45/TOP2/MRC1/ELG1",31
"GO:0000278","BP","GO:0000278","mitotic cell cycle","33/235","393/5319",0.000212450766833593,0.0161250170941859,0.0149483566757819,"MCD1/CKS1/MSB2/GIN4/FAR1/SMC1/SGO1/TOP3/SGS1/SLD2/HSL1/CTF4/CDC15/CIN8/CSM3/IRR1/CLB5/INN1/KAR9/PSF1/SWI4/GIC2/BUD31/POL30/DAD3/BUD3/CIK1/TEM1/SPC110/CDC45/TOP2/MRC1/ELG1",33
"GO:0016042","BP","GO:0016042","lipid catabolic process","10/235","59/5319",0.000217696365404728,0.0161250170941859,0.0149483566757819,"POX1/ECI1/POT1/YEH2/PDH1/LPX1/FOX2/TES1/CIT3/IAH1",10
"GO:0000723","BP","GO:0000723","telomere maintenance","12/235","83/5319",0.000248268161573301,0.0161250170941859,0.0149483566757819,"DNA2/TOP3/TEL1/SGS1/RIF1/OGG1/STM1/RAD54/EXO1/SAE2/MRC1/ELG1",12
"GO:0000725","BP","GO:0000725","recombinational repair","12/235","83/5319",0.000248268161573301,0.0161250170941859,0.0149483566757819,"MCD1/MCM4/SGS1/SLD2/CTF4/PSF1/RAD54/SMC5/CDC45/MPH1/SAE2/ELG1",12
"GO:0060249","BP","GO:0060249","anatomical structure homeostasis","12/235","83/5319",0.000248268161573301,0.0161250170941859,0.0149483566757819,"DNA2/TOP3/TEL1/SGS1/RIF1/OGG1/STM1/RAD54/EXO1/SAE2/MRC1/ELG1",12
"GO:0032200","BP","GO:0032200","telomere organization","12/235","84/5319",0.00027850897093758,0.0172277692022817,0.015970639736972,"DNA2/TOP3/TEL1/SGS1/RIF1/OGG1/STM1/RAD54/EXO1/SAE2/MRC1/ELG1",12
"GO:1903825","BP","GO:1903825","organic acid transmembrane transport","10/235","62/5319",0.000331562607871593,0.0186056237049416,0.0172479506652511,"VBA1/ADY2/TAT2/TNA1/AGP1/PXA2/AGP2/PDR12/SFC1/YMC1",10
