"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022616","BP","GO:0022616","DNA strand elongation","17/462","39/5319",5.76925544511284e-09,9.28273201118656e-06,8.61137286438948e-06,"SGS1/POL1/MCM3/DNA2/PRI2/MCM4/EXO1/PSF1/POL30/POL12/SAE2/RNH202/POL3/MPH1/TOP2/MCM6/MCM10",17
"GO:0006260","BP","GO:0006260","DNA replication","36/462","158/5319",3.84738880526928e-08,3.09522429383914e-05,2.87136701361676e-05,"SGS1/POL1/RNR1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/DOA4/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10/DIA2",36
"GO:0006261","BP","GO:0006261","DNA-dependent DNA replication","33/462","140/5319",6.09534194187274e-08,3.26913506149108e-05,3.03269995564054e-05,"SGS1/POL1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10",33
"GO:0006302","BP","GO:0006302","double-strand break repair","30/462","133/5319",6.87648088482643e-07,0.000233862894653261,0.000216949124738035,"SGS1/POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/FUN30/RIF1/SIN3/MCM4/SLD2/EXO1/CDC45/PSF1/CTF4/TEL1/SAE2/RAD54/CTF18/SAW1/MCM6/SAE3/ELG1/SPO11/MCM10/MRE11/YKU80",30
"GO:0006271","BP","GO:0006271","DNA strand elongation involved in DNA replication","14/462","36/5319",7.26733668903856e-07,0.000233862894653261,0.000216949124738035,"POL1/MCM3/DNA2/PRI2/MCM4/PSF1/POL30/POL12/RNH202/POL3/MPH1/TOP2/MCM6/MCM10",14
"GO:0000729","BP","GO:0000729","DNA double-strand break processing","8/462","12/5319",1.1061819786517e-06,0.000296641133941764,0.000275187025566335,"SGS1/DNA2/FUN30/RIF1/EXO1/SAE2/SPO11/MRE11",8
"GO:0006270","BP","GO:0006270","DNA replication initiation","17/462","57/5319",3.59298619636411e-06,0.000825873541421407,0.000766143522773579,"POL1/CDC6/MCM3/PRI2/RIF1/RAD53/SIN3/MCM4/SLD2/CDC45/CTF4/POL12/CTF18/BMH2/MCM6/EAF3/MCM10",17
"GO:0006974","BP","GO:0006974","cellular response to DNA damage stimulus","54/462","354/5319",1.96828452246886e-05,0.00395871224581549,0.00367240454323794,"SGS1/POL1/MND1/MCD1/MCM3/DMC1/HOF1/SMC1/DNA2/PRI2/FUN30/RIF1/RAD53/SIN3/DPB2/MCM4/CMR1/SLD2/EXO1/CDC45/PSF1/PLM2/RAD26/POL30/CTF4/MSH5/TEL1/OGG1/IES2/SAE2/RAD54/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/SAW1/YIM1/CSM3/MRC1/MMS2/MCM6/HIM1/SAE3/RTT103/EAF3/ELG1/SPO11/AOS1/TOF1/MCM10/MRE11/YKU80",54
"GO:0006281","BP","GO:0006281","DNA repair","47/462","304/5319",5.01211362553439e-05,0.00896054535942759,0.00831248786082779,"SGS1/POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/FUN30/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/EXO1/CDC45/PSF1/RAD26/POL30/CTF4/MSH5/TEL1/OGG1/IES2/SAE2/RAD54/MSH3/CTF18/ABF1/POL3/MPH1/SAW1/CSM3/MRC1/MMS2/MCM6/HIM1/SAE3/EAF3/ELG1/SPO11/TOF1/MCM10/MRE11/YKU80",47
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","18/462","76/5319",6.12929475422824e-05,0.00928348296343419,0.00861206950518445,"SGS1/MCD1/MCM3/DMC1/MCM4/SLD2/CDC45/PSF1/CTF4/SAE2/RAD54/CTF18/MCM6/SAE3/ELG1/MCM10/MRE11/YKU80",18
"GO:0000725","BP","GO:0000725","recombinational repair","19/462","83/5319",6.34669438146527e-05,0.00928348296343419,0.00861206950518445,"SGS1/MCD1/MCM3/DMC1/MCM4/SLD2/CDC45/PSF1/CTF4/SAE2/RAD54/CTF18/MPH1/MCM6/SAE3/ELG1/MCM10/MRE11/YKU80",19
"GO:0006273","BP","GO:0006273","lagging strand elongation","8/462","19/5319",9.74950263417099e-05,0.0130724581153176,0.0121270129256618,"POL1/DNA2/PRI2/POL30/POL12/RNH202/POL3/MPH1",8
"GO:0033260","BP","GO:0033260","nuclear DNA replication","12/462","42/5319",0.000157253981023231,0.0194632042666446,0.0180555583069589,"POL1/CDC6/MCM3/MCM4/SLD2/CDC45/PSF1/BMH2/CSM3/MRC1/MCM6/CLB5",12
"GO:0044786","BP","GO:0044786","cell cycle DNA replication","12/462","43/5319",0.000201271308772226,0.0215171818352675,0.0199609851443586,"POL1/CDC6/MCM3/MCM4/SLD2/CDC45/PSF1/BMH2/CSM3/MRC1/MCM6/CLB5",12
"GO:0000727","BP","GO:0000727","double-strand break repair via break-induced replication","9/462","26/5319",0.000212203924594731,0.0215171818352675,0.0199609851443586,"MCM3/MCM4/SLD2/CDC45/PSF1/CTF4/MCM6/MCM10/MRE11",9
