"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000920","GO:0000920","septum digestion after cytokinesis","11/641","14/3901",4.93297157299731e-07,0.00117898020594636,0.00108161892490036,"ASE1/IQG1/CBK1/CTS1/CHS1/EGT2/DSE2/DSE1/DSE4/MYO1/SDS23",11
"GO:0051301","GO:0051301","cell division","67/641","245/3901",5.57232619071194e-06,0.00665892979790077,0.00610902918697525,"AIM44/RMI1/HOF1/ELM1/ASE1/OKP1/NUF2/CLB2/IQG1/APC2/AME1/CBK1/CHS5/NSL1/SMC1/CDC23/BUD4/PCL5/SPA2/CDC7/MIH1/BUD5/CNM67/SRM1/CDC123/CDC14/CTS1/CHS2/BUD2/CHS1/EDE1/SLT2/EGT2/RGA1/DMA2/SPC25/PAT1/SFI1/KAR1/CDC9/DSE2/SPC72/DBF2/SCC4/REF2/CDC20/TAH11/MTW1/MNN10/CIN8/RGP1/DSE1/AXL2/VRP1/RSR1/PCL2/FAR1/DSE4/AXL1/MAD2/TEM1/MYO1/RME1/PAN1/SDS23/VHS2/NOC3",67
"GO:0009277","GO:0009277","fungal-type cell wall","24/641","61/3901",1.35806487712999e-05,0.00878814678368401,0.00806241345536833,"CWP1/GAS1/TOS1/CRH1/JSN1/FBA1/YPS7/BUD4/KNH1/CTS1/BAR1/SSP2/SCW11/SPR3/EGT2/SIM1/DSE2/PHO3/SCW4/AGA2/RRT8/DSE4/SAG1/PIR3",24
"GO:1903047","GO:1903047","mitotic cell cycle process","75/641","292/3901",1.8079429856737e-05,0.00878814678368401,0.00806241345536833,"AIM44/SWI5/GIC2/RMI1/HOF1/ELM1/POL30/ASE1/RIM15/CBF2/CLB2/APC2/CHS5/NSL1/SMC1/CDC23/BUD4/SPA2/RAD24/TOP1/CDC7/MIH1/BUD5/CNM67/BRE1/ELG1/CIK1/GRR1/YOX1/CEP3/CDC14/MRC1/CHS2/RAD9/BUD2/CHS1/DCC1/SLT2/BUB1/DMA2/SFI1/CDC9/ASH1/SPC110/SPC72/SCC4/REF2/CDC20/ESC2/MTW1/MNN10/FAR11/CIN8/SLD2/NRM1/MPS1/SRC1/NIS1/PTK2/AXL2/VRP1/WHI5/RSR1/CTF18/AXL1/MAD2/TEM1/SPC97/TOP3/RME1/PAN1/SDS23/VHS2/CHL1/PIN4",75
"GO:0000278","GO:0000278","mitotic cell cycle","80/641","317/3901",1.87188254640684e-05,0.00878814678368401,0.00806241345536833,"AIM44/SWI5/GIC2/RMI1/HOF1/ELM1/POL30/ASE1/RIM15/CBF2/NUF2/CLB2/APC2/CHS5/NSL1/SMC1/CDC23/BUD4/SPA2/RAD24/TOP1/CDC7/MIH1/BUD5/CNM67/BRE1/ELG1/CIK1/GRR1/YOX1/CEP3/CDC14/MRC1/CHS2/RAD9/BUD2/CHS1/DCC1/SLT2/BUB1/DMA2/SFI1/CDC9/ASH1/SPC110/SPC72/SCC4/REF2/CDC20/ESC2/MTW1/MNN10/FAR11/CIN8/SLD2/REB1/NRM1/MPS1/SNF1/SRC1/NIS1/BCK1/PTK2/AXL2/VRP1/WHI5/RSR1/FAR1/CTF18/AXL1/MAD2/TEM1/SPC97/TOP3/RME1/PAN1/SDS23/VHS2/CHL1/PIN4",80
"GO:0005618","GO:0005618","cell wall","24/641","63/3901",2.57393420442628e-05,0.00878814678368401,0.00806241345536833,"CWP1/GAS1/TOS1/CRH1/JSN1/FBA1/YPS7/BUD4/KNH1/CTS1/BAR1/SSP2/SCW11/SPR3/EGT2/SIM1/DSE2/PHO3/SCW4/AGA2/RRT8/DSE4/SAG1/PIR3",24
"GO:0030312","GO:0030312","external encapsulating structure","24/641","63/3901",2.57393420442628e-05,0.00878814678368401,0.00806241345536833,"CWP1/GAS1/TOS1/CRH1/JSN1/FBA1/YPS7/BUD4/KNH1/CTS1/BAR1/SSP2/SCW11/SPR3/EGT2/SIM1/DSE2/PHO3/SCW4/AGA2/RRT8/DSE4/SAG1/PIR3",24
"GO:0000003","GO:0000003","reproduction","90/641","373/3901",3.62411115929085e-05,0.0108270320883814,0.00993292571684585,"SWI5/HMLALPHA2/MATALPHA1/OSW5/ZIP1/STE3/CWP1/RMI1/ELM1/POL30/RIM15/OKP1/RAD57/MEC1/AME1/CBK1/IME1/CHS5/RSP5/LRG1/RAD1/SWF1/PRM1/MEK1/MER1/EMI1/BUD4/ASG7/SPA2/RAD24/CDC7/BUD5/CNM67/PTC1/BRE1/CIK1/PMS1/SPO75/SET2/CSM2/REC8/CDC14/SHE10/SSP2/MSH3/BUD2/HHT1/SPS4/SPR3/BUB1/RGA1/TEP1/JEM1/KAR1/ASH1/DTR1/SPC110/MHF1/SCW4/YPK1/CDC20/DIT2/MDS3/FUS2/AGA2/SRC1/DIT1/IME4/AQY1/FMP45/RRT8/PSY2/DSE1/AXL2/VRP1/RAD50/ECM11/GIP1/RSR1/FAR1/AXL1/UME6/RCK2/SPC97/TOP3/QDR3/RME1/PAN1/SAG1/STE2",90
"GO:0098813","GO:0098813","nuclear chromosome segregation","43/641","149/3901",7.50082525532865e-05,0.0199188581780394,0.0182739403588884,"ZIP1/RMI1/POL30/ASE1/IOC4/CBF2/OKP1/CLB2/APC2/AME1/NSL1/RAD1/SMC1/CDC23/TOP1/ELG1/CIK1/CEP3/CSM2/REC8/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/MHF1/SPC72/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/RFC3/CTF18/MAD2/TEM1/TOP3/SDS23/CHL1",43
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","34/641","111/3901",0.000119860831681531,0.028646738771886,0.0262810644623821,"RMI1/POL30/ASE1/CBF2/CLB2/APC2/NSL1/SMC1/CDC23/TOP1/ELG1/CIK1/CEP3/CDC14/MRC1/BUD2/DCC1/BUB1/DMA2/SPC110/SPC72/SCC4/CDC20/ESC2/MTW1/CIN8/MPS1/SRC1/CTF18/MAD2/TEM1/TOP3/SDS23/CHL1",34
