"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003006","GO:0003006","developmental process involved in reproduction","11/51","117/3901",1.90844611657838e-07,0.000166225656753977,0.000157095248754136,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",11
"GO:0030154","GO:0030154","cell differentiation","11/51","156/3901",3.50860180557523e-06,0.00152799608632801,0.00144406663787359,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/CEF1/FMP45/QDR3",11
"GO:0031225","GO:0031225","anchored component of membrane","5/51","30/3901",3.48239051859648e-05,0.00732643008966869,0.00692400547479717,"TOS6/SPS22/CWP1/EGT2/BAR1",5
"GO:0048869","GO:0048869","cellular developmental process","12/51","242/3901",4.47927276628648e-05,0.00732643008966869,0.00692400547479717,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/CEF1/FMP45/QDR3",12
"GO:0032502","GO:0032502","developmental process","12/51","249/3901",5.9402736184067e-05,0.00732643008966869,0.00692400547479717,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/CEF1/FMP45/QDR3",12
"GO:0030437","GO:0030437","ascospore formation","7/51","79/3901",6.03943735023575e-05,0.00732643008966869,0.00692400547479717,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0048468","GO:0048468","cell development","7/51","80/3901",6.55286204849235e-05,0.00732643008966869,0.00692400547479717,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0022413","GO:0022413","reproductive process in single-celled organism","8/51","109/3901",6.72921248190006e-05,0.00732643008966869,0.00692400547479717,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0034293","GO:0034293","sexual sporulation","7/51","84/3901",8.97755206713765e-05,0.0078194478504769,0.00738994285947542,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0043935","GO:0043935","sexual sporulation resulting in formation of a cellular spore","7/51","84/3901",8.97755206713765e-05,0.0078194478504769,0.00738994285947542,"AQY1/RAS2/SPS22/CWP1/GIP1/FMP45/QDR3",7
"GO:0009277","GO:0009277","fungal-type cell wall","6/51","61/3901",0.00011862627960613,0.0093930445033581,0.00887710532554962,"TOS6/SPS22/CWP1/EGT2/BAR1/SIM1",6
"GO:0005618","GO:0005618","cell wall","6/51","63/3901",0.000142300253299651,0.0095341169710766,0.00901042899435845,"TOS6/SPS22/CWP1/EGT2/BAR1/SIM1",6
"GO:0030312","GO:0030312","external encapsulating structure","6/51","63/3901",0.000142300253299651,0.0095341169710766,0.00901042899435845,"TOS6/SPS22/CWP1/EGT2/BAR1/SIM1",6
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis","8/51","127/3901",0.000198423003990389,0.0123447454625449,0.0116666758737206,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","8/51","129/3901",0.000221188301282923,0.0128436673611617,0.0121381930949646,"UGA1/FAS2/GPM1/PPT2/IAH1/EHD3/YAT2/CRC1",8
"GO:0006631","GO:0006631","fatty acid metabolic process","5/51","49/3901",0.000386363298725632,0.0210326520743766,0.0198773749739108,"FAS2/PPT2/EHD3/YAT2/CRC1",5
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","5/51","52/3901",0.000511253764358017,0.0247633315593716,0.0234031364788551,"SPS22/CWP1/GIP1/FUS1/QDR3",5
"GO:0022414","GO:0022414","reproductive process","13/51","360/3901",0.000522990790678217,0.0247633315593716,0.0234031364788551,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/ZIP1/FMP45/QDR3/POL30",13
"GO:0071852","GO:0071852","fungal-type cell wall organization or biogenesis","8/51","147/3901",0.000540187485221655,0.0247633315593716,0.0234031364788551,"SPS22/CWP1/GIP1/RPI1/FMP45/QDR3/BAR1/SIM1",8
"GO:0032505","GO:0032505","reproduction of a single-celled organism","8/51","150/3901",0.000618637447762483,0.0255995399963451,0.02419341383424,"AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/FMP45/QDR3",8
"GO:0005576","GO:0005576","extracellular region","5/51","55/3901",0.000664401895071877,0.0255995399963451,0.02419341383424,"TOS6/CWP1/EGT2/BAR1/SIM1",5
"GO:0051156","GO:0051156","glucose 6-phosphate metabolic process","3/51","14/3901",0.000692488653845524,0.0255995399963451,0.02419341383424,"SOL3/GPM1/PGM2",3
"GO:0000003","GO:0000003","reproduction","13/51","373/3901",0.000736598575731404,0.0255995399963451,0.02419341383424,"HMLALPHA2/MATALPHA1/MATA1/AQY1/RAS2/SPS22/CWP1/GIP1/FUS1/ZIP1/FMP45/QDR3/POL30",13
