"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009277","GO:0009277","fungal-type cell wall","21/314","61/3901",3.39872866819973e-09,3.34426765521191e-06,3.05929246654724e-06,"GAS1/CWP1/TOS6/PHO3/BUD4/GAS4/CRR1/CTS1/BAR1/EGT2/SCW4/YPS7/SIM1/DSE2/AGA2/SPR28/PIR3/SCW11/AFB1/DSE4/SAG1",21
"GO:0000003","GO:0000003","reproduction","62/314","373/3901",6.38138262834517e-09,3.34426765521191e-06,3.05929246654724e-06,"HMLALPHA2/MATALPHA1/STE3/RMI1/ZIP1/SWI5/CWP1/PRM1/ASG7/MND1/SMK1/POL30/SPR6/POL1/ELM1/BUD4/GAS4/SGS1/GIP1/BNS1/JEM1/CRR1/SSO1/GMC2/CIK1/STE4/RIM15/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/EXO1/FAR1/ASH1/CNM67/RAD1/YPK1/DSE1/RCK2/RAD51/MPH1/PMS1/VRP1/FUS2/AFB1/MATA1/SPO23/RAD50/RME1/CDC14/SAG1/QDR3/FMP45/TPM2/RSR1/PAN1/HOS4/REC114",62
"GO:0005618","GO:0005618","cell wall","21/314","63/3901",6.63545169684903e-09,3.34426765521191e-06,3.05929246654724e-06,"GAS1/CWP1/TOS6/PHO3/BUD4/GAS4/CRR1/CTS1/BAR1/EGT2/SCW4/YPS7/SIM1/DSE2/AGA2/SPR28/PIR3/SCW11/AFB1/DSE4/SAG1",21
"GO:0030312","GO:0030312","external encapsulating structure","21/314","63/3901",6.63545169684903e-09,3.34426765521191e-06,3.05929246654724e-06,"GAS1/CWP1/TOS6/PHO3/BUD4/GAS4/CRR1/CTS1/BAR1/EGT2/SCW4/YPS7/SIM1/DSE2/AGA2/SPR28/PIR3/SCW11/AFB1/DSE4/SAG1",21
"GO:0022414","GO:0022414","reproductive process","59/314","360/3901",2.78432644676368e-08,1.12264042333511e-05,1.0269768283642e-05,"HMLALPHA2/MATALPHA1/STE3/RMI1/ZIP1/SWI5/CWP1/PRM1/ASG7/MND1/SMK1/POL30/SPR6/POL1/ELM1/GAS4/SGS1/GIP1/BNS1/JEM1/CRR1/SSO1/GMC2/CIK1/STE4/RIM15/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/EXO1/FAR1/ASH1/CNM67/RAD1/YPK1/DSE1/RCK2/RAD51/MPH1/PMS1/FUS2/AFB1/MATA1/SPO23/RAD50/RME1/CDC14/SAG1/QDR3/FMP45/TPM2/RSR1/HOS4/REC114",59
"GO:0000920","GO:0000920","septum digestion after cytokinesis","9/314","14/3901",1.77161296260533e-07,5.9526195543539e-05,5.44537879032375e-05,"ASE1/IQG1/CTS1/EGT2/DSE2/DSE1/MYO1/DSE4/SDS23",9
"GO:0005576","GO:0005576","extracellular region","17/314","55/3901",6.59304113531239e-07,0.000189879584696997,0.000173699369459659,"SOD1/GAS1/CWP1/TOS6/CTS1/BAR1/EGT2/SCW4/YPS7/SIM1/DSE2/PIR3/SCW11/AFB1/PRY2/DSE4/SAG1",17
"GO:0019953","GO:0019953","sexual reproduction","30/314","158/3901",5.29084664612543e-06,0.0011851496487321,0.00108415945310079,"STE3/CWP1/PRM1/ASG7/SMK1/SPR6/GAS4/GIP1/JEM1/CRR1/SSO1/CIK1/STE4/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/FAR1/YPK1/DSE1/FUS2/AFB1/SAG1/QDR3/FMP45/RSR1",30
"GO:0044703","GO:0044703","multi-organism reproductive process","30/314","158/3901",5.29084664612543e-06,0.0011851496487321,0.00108415945310079,"STE3/CWP1/PRM1/ASG7/SMK1/SPR6/GAS4/GIP1/JEM1/CRR1/SSO1/CIK1/STE4/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/FAR1/YPK1/DSE1/FUS2/AFB1/SAG1/QDR3/FMP45/RSR1",30
"GO:0031225","GO:0031225","anchored component of membrane","11/314","30/3901",1.04847810211585e-05,0.00203975020986963,0.00186593690877799,"GAS1/CWP1/TOS6/PLB1/GAS4/BAR1/EGT2/YPS7/DSE2/AFB1/SAG1",11
