"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000003","GO:0000003","reproduction","36/142","373/3901",1.96385082277068e-08,1.94487675928321e-05,1.79792291705337e-05,"IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/BUD5/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114",36
"GO:0022414","GO:0022414","reproductive process","35/142","360/3901",2.70685700665722e-08,1.94487675928321e-05,1.79792291705337e-05,"IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114",35
"GO:0051321","GO:0051321","meiotic cell cycle","28/142","250/3901",4.40704440205143e-08,2.1043967088761e-05,1.94538962502409e-05,"IME1/ADY2/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/IME4/SPR28/ALK2/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114",28
"GO:1903046","GO:1903046","meiotic cell cycle process","25/142","207/3901",5.85775005950201e-08,2.1043967088761e-05,1.94538962502409e-05,"IME1/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/SPR28/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114",25
"GO:0033260","GO:0033260","nuclear DNA replication","9/142","39/3901",7.26859015328828e-06,0.00186261476840194,0.0017218765979733,"MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5",9
"GO:0009277","GO:0009277","fungal-type cell wall","11/142","61/3901",8.83723356597433e-06,0.00186261476840194,0.0017218765979733,"FLO1/FLO5/YPS7/SPR28/SPR3/SSP2/LDS1/GAS4/SPS22/RRT8/AFB1",11
"GO:0044786","GO:0044786","cell cycle DNA replication","9/142","40/3901",9.09137761402031e-06,0.00186261476840194,0.0017218765979733,"MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5",9
"GO:0005618","GO:0005618","cell wall","11/142","63/3901",1.22253851692966e-05,0.00186261476840194,0.0017218765979733,"FLO1/FLO5/YPS7/SPR28/SPR3/SSP2/LDS1/GAS4/SPS22/RRT8/AFB1",11
"GO:0030312","GO:0030312","external encapsulating structure","11/142","63/3901",1.22253851692966e-05,0.00186261476840194,0.0017218765979733,"FLO1/FLO5/YPS7/SPR28/SPR3/SSP2/LDS1/GAS4/SPS22/RRT8/AFB1",11
"GO:0005619","GO:0005619","ascospore wall","5/142","10/3901",1.29618285901318e-05,0.00186261476840194,0.0017218765979733,"SPR28/SPR3/SSP2/LDS1/RRT8",5
"GO:0031160","GO:0031160","spore wall","5/142","11/3901",2.30692857030537e-05,0.00301368759593528,0.00278597498155538,"SPR28/SPR3/SSP2/LDS1/RRT8",5
"GO:0070193","GO:0070193","synaptonemal complex organization","6/142","18/3901",2.70747975909693e-05,0.00307482616806201,0.00284249395604458,"REC8/ECM11/HOP1/DMC1/AMA1/GMC2",6
"GO:0140013","GO:0140013","meiotic nuclear division","14/142","108/3901",2.78167990151748e-05,0.00307482616806201,0.00284249395604458,"IME1/REC8/MEK1/IME2/TOP3/ECM11/HOP1/DMC1/MND1/AMA1/GMC2/RAD57/MER1/REC114",14
"GO:0006310","GO:0006310","DNA recombination","17/142","155/3901",3.4969479338678e-05,0.00358936727212002,0.00331815661093321,"MCM4/REC8/MCM2/MCM7/TOP3/MSH3/ELG1/ECM11/HPR1/RTT109/SLD2/DMC1/MND1/GMC2/RAD57/MER1/REC114",17
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis","15/142","127/3901",4.37315620247939e-05,0.00418948364197525,0.00387292851054666,"IME1/OSW5/SPS4/SPA2/IME2/IME4/SPR28/SPR3/SSP2/DMC1/LDS1/GAS4/AMA1/SPS22/RRT8",15
"GO:0006267","GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication","6/142","20/3901",5.32149785911118e-05,0.00424832912419043,0.0039273276597651,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
"GO:0036388","GO:0036388","pre-replicative complex assembly","6/142","20/3901",5.32149785911118e-05,0.00424832912419043,0.0039273276597651,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
"GO:1902299","GO:1902299","pre-replicative complex assembly involved in cell cycle DNA replication","6/142","20/3901",5.32149785911118e-05,0.00424832912419043,0.0039273276597651,"MCM4/MCM2/MCM7/CDC6/NOC3/IPI1",6
"GO:0030435","GO:0030435","sporulation resulting in formation of a cellular spore","14/142","121/3901",0.000100160578684573,0.00757190381815758,0.00699977483684201,"IME1/OSW5/SPS4/IME2/IME4/SPR28/SPR3/SSP2/DMC1/LDS1/GAS4/AMA1/SPS22/RRT8",14
"GO:0000280","GO:0000280","nuclear division","20/142","220/3901",0.000106298355879156,0.00757190381815758,0.00699977483684201,"IME1/MRC1/REC8/MEK1/IME2/TOP3/ELG1/ECM11/SPC110/HOP1/DMC1/MND1/SWI5/AMA1/CLB5/GMC2/ASE1/RAD57/MER1/REC114",20
"GO:0061982","GO:0061982","meiosis I cell cycle process","12/142","93/3901",0.000112024282679265,0.00757190381815758,0.00699977483684201,"REC8/TOP3/MSH3/ECM11/HOP1/DMC1/MND1/AMA1/GMC2/RAD57/MER1/REC114",12
"GO:0009653","GO:0009653","anatomical structure morphogenesis","16/142","155/3901",0.000126078100140188,0.00757190381815758,0.00699977483684201,"IME1/OSW5/SPS4/SPA2/IME2/IME4/SPR28/HCM1/SPR3/SSP2/DMC1/LDS1/GAS4/AMA1/SPS22/RRT8",16
"GO:0048856","GO:0048856","anatomical structure development","16/142","155/3901",0.000126078100140188,0.00757190381815758,0.00699977483684201,"IME1/OSW5/SPS4/SPA2/IME2/IME4/SPR28/HCM1/SPR3/SSP2/DMC1/LDS1/GAS4/AMA1/SPS22/RRT8",16
"GO:0043934","GO:0043934","sporulation","14/142","124/3901",0.000130977964302237,0.00757190381815758,0.00699977483684201,"IME1/OSW5/SPS4/IME2/IME4/SPR28/SPR3/SSP2/DMC1/LDS1/GAS4/AMA1/SPS22/RRT8",14
"GO:0030154","GO:0030154","cell differentiation","16/142","156/3901",0.000136140283262802,0.00757190381815758,0.00699977483684201,"IME1/OSW5/SPS4/IME2/IME4/SPR28/HCM1/SPR3/SSP2/DMC1/LDS1/SWI5/GAS4/AMA1/SPS22/RRT8",16
"GO:0007127","GO:0007127","meiosis I","11/142","81/3901",0.000137000347440569,0.00757190381815758,0.00699977483684201,"REC8/TOP3/ECM11/HOP1/DMC1/MND1/AMA1/GMC2/RAD57/MER1/REC114",11
"GO:0007131","GO:0007131","reciprocal meiotic recombination","9/142","56/3901",0.000153181031466048,0.00786146936488256,0.00726746096654711,"REC8/TOP3/ECM11/DMC1/MND1/GMC2/RAD57/MER1/REC114",9
