"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009277","GO:0009277","fungal-type cell wall","19/234","61/3901",9.13339499624338e-10,8.56673979957832e-07,8.17192194291759e-07,"SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1",19
"GO:0005618","GO:0005618","cell wall","19/234","63/3901",1.69167186433119e-09,8.56673979957832e-07,8.17192194291759e-07,"SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1",19
"GO:0030312","GO:0030312","external encapsulating structure","19/234","63/3901",1.69167186433119e-09,8.56673979957832e-07,8.17192194291759e-07,"SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1",19
"GO:0000003","GO:0000003","reproduction","52/234","373/3901",1.80542461529575e-09,8.56673979957832e-07,8.17192194291759e-07,"OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/AXL2/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/BUD4/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",52
"GO:0022414","GO:0022414","reproductive process","50/234","360/3901",4.58998865595255e-09,1.74235969379959e-06,1.66205905015545e-06,"OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",50
"GO:0000920","GO:0000920","septum digestion after cytokinesis","8/234","14/3901",3.27014996367116e-07,0.000103445743850798,9.86782094300771e-05,"DSE2/EGT2/CTS1/DSE1/DSE4/IQG1/CBK1/ASE1",8
"GO:0051301","GO:0051301","cell division","34/234","245/3901",2.06156433873568e-06,0.000558978444988618,0.000533216640996297,"PCL2/CLN2/PCL5/DSE2/CLB5/NSL1/EGT2/HOF1/FAR1/CTS1/DSE1/AXL2/NOC3/RSR1/AXL1/PCL1/SRM1/DSE4/SPA2/IQG1/SGO1/CBK1/OKP1/BUD4/SPC72/NUF2/CHS2/SLT2/RME1/MNN10/ASE1/CDC14/CNM67/RMI1",34
"GO:2000241","GO:2000241","regulation of reproductive process","21/234","115/3901",2.97207589499301e-06,0.000705125006087091,0.000672627702551049,"CLN2/IME2/IME1/RSP5/SWI5/EFG1/MEK1/FAR1/DSE1/AXL1/STE4/HOP1/SPA2/SGO1/ASH1/BAR1/AGA2/FUS2/RME1/MFA1/ZIP1",21
"GO:0051321","GO:0051321","meiotic cell cycle","31/234","250/3901",6.08540963065294e-05,0.0123132843316997,0.0117457983753112,"OSW5/IME2/REC8/IME1/SPS4/ALK2/CLB5/ADY2/MEK1/TOP3/LDS1/MER1/RAD57/SPR3/SSP2/HOP1/IME4/MSH3/SGO1/MEC1/OKP1/ECM11/RME1/CDC14/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1",31
"GO:0000217","GO:0000217","DNA secondary structure binding","7/234","19/3901",6.91459481239278e-05,0.0123132843316997,0.0117457983753112,"RAD57/HOP1/MSH3/RAD5/NHP10/RMI1/HMO1",7
"GO:0005576","GO:0005576","extracellular region","12/234","55/3901",7.13625540825591e-05,0.0123132843316997,0.0117457983753112,"SCW11/DSE2/EGT2/CTS1/FLO1/CRH1/DSE4/BAR1/TOS6/PRY3/YPS7/MFA1",12
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","7/234","22/3901",0.000200301435947206,0.0260642998505923,0.0248630667977477,"PCL2/CLN2/PCL5/CLB5/FAR1/PCL1/CTK2",7
"GO:0000278","GO:0000278","mitotic cell cycle","35/234","317/3901",0.000220257900107304,0.0260642998505923,0.0248630667977477,"CLN2/ALK2/CLB5/SWI5/NSL1/TOP3/HOF1/FAR1/AXL2/SLD2/RSR1/AXL1/YOX1/SPA2/SGO1/ASH1/ELG1/BUD4/NRM1/SPC72/NIS1/NUF2/SPC110/CHS2/SLT2/MRC1/RME1/MNN10/ASE1/CDC14/CNM67/CTF18/CIK1/RMI1/RIM15",35
"GO:0000280","GO:0000280","nuclear division","27/234","220/3901",0.000224819006845113,0.0260642998505923,0.0248630667977477,"IME2/REC8/IME1/CLB5/SWI5/NSL1/MEK1/TOP3/MER1/RAD57/HOP1/SGO1/MEC1/ELG1/SPC72/NIS1/SPC110/ECM11/MRC1/RME1/ASE1/CDC14/CTF18/CIK1/RMI1/RAD1/ZIP1",27
"GO:0000747","GO:0000747","conjugation with cellular fusion","14/234","80/3901",0.000226981510022622,0.0260642998505923,0.0248630667977477,"RSP5/SSF1/FAR1/DSE1/RSR1/AXL1/STE4/SPA2/AGA2/SPC110/FUS2/FIG1/MFA1/CIK1",14
