"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009277","GO:0009277","fungal-type cell wall","12/68","61/3901",2.57671069338543e-10,1.13976159340976e-07,1.01911267252251e-07,"SPS22/SCW11/DSE2/AFB1/EGT2/CTS1/DSE4/AGA2/FIG1/BUD4/PHO3/FLO5",12
"GO:0005618","GO:0005618","cell wall","12/68","63/3901",3.84189301149359e-10,1.13976159340976e-07,1.01911267252251e-07,"SPS22/SCW11/DSE2/AFB1/EGT2/CTS1/DSE4/AGA2/FIG1/BUD4/PHO3/FLO5",12
"GO:0030312","GO:0030312","external encapsulating structure","12/68","63/3901",3.84189301149359e-10,1.13976159340976e-07,1.01911267252251e-07,"SPS22/SCW11/DSE2/AFB1/EGT2/CTS1/DSE4/AGA2/FIG1/BUD4/PHO3/FLO5",12
"GO:0000747","GO:0000747","conjugation with cellular fusion","12/68","80/3901",6.89485682702283e-09,1.1844793409063e-06,1.05909684414567e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0140253","GO:0140253","cell-cell fusion","12/68","80/3901",6.89485682702283e-09,1.1844793409063e-06,1.05909684414567e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0000746","GO:0000746","conjugation","12/68","81/3901",7.98525398363798e-09,1.1844793409063e-06,1.05909684414567e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0044764","GO:0044764","multi-organism cellular process","12/68","86/3901",1.61346169868675e-08,2.051401302616e-06,1.83425119429651e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",12
"GO:0000003","GO:0000003","reproduction","23/68","373/3901",2.59120302333088e-08,2.88271336345561e-06,2.57756511268177e-06,"FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/BUD4/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5",23
"GO:2000241","GO:2000241","regulation of reproductive process","13/68","115/3901",5.15659084239169e-08,5.09929538858734e-06,4.55951190274634e-06,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/SWI5/AGA2/RME1/IME1/ASH1/FUS2/STE5",13
"GO:0000920","GO:0000920","septum digestion after cytokinesis","6/68","14/3901",6.03966675503147e-08,5.37530341197801e-06,4.80630322821452e-06,"DSE2/EGT2/DSE1/CTS1/DSE4/IQG1",6
"GO:0022414","GO:0022414","reproductive process","22/68","360/3901",6.86409369469159e-08,5.5536758075232e-06,4.96579409874339e-06,"FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5",22
"GO:0030427","GO:0030427","site of polarized growth","16/68","217/3901",5.3742887420097e-07,3.98593081699053e-05,3.56400200785906e-05,"FUS3/FAR1/PCL2/DSE1/CTS1/HOF1/DSE4/FIG1/BUD4/FUS2/PRM1/BIL1/AIM44/STE5/CAR1/IQG1",16
"GO:0051704","GO:0051704","multi-organism process","14/68","175/3901",1.17319755272951e-06,7.567602787225e-05,6.76653779673815e-05,"FUS3/SPS22/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5/FLO5",14
"GO:0031137","GO:0031137","regulation of conjugation with cellular fusion","9/68","65/3901",1.27543867200421e-06,7.567602787225e-05,6.76653779673815e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5",9
"GO:0046999","GO:0046999","regulation of conjugation","9/68","65/3901",1.27543867200421e-06,7.567602787225e-05,6.76653779673815e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5",9
"GO:0019953","GO:0019953","sexual reproduction","13/68","158/3901",2.18487339923414e-06,0.000107766678241172,9.63590878182447e-05,"FUS3/SPS22/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",13
"GO:0044703","GO:0044703","multi-organism reproductive process","13/68","158/3901",2.18487339923414e-06,0.000107766678241172,9.63590878182447e-05,"FUS3/SPS22/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5",13
"GO:0000750","GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","6/68","24/3901",2.35982556515295e-06,0.000107766678241172,9.63590878182447e-05,"FUS3/FAR1/DSE1/STE4/MFA1/STE5",6
"GO:0032005","GO:0032005","signal transduction involved in positive regulation of conjugation with cellular fusion","6/68","24/3901",2.35982556515295e-06,0.000107766678241172,9.63590878182447e-05,"FUS3/FAR1/DSE1/STE4/MFA1/STE5",6
"GO:2000243","GO:2000243","positive regulation of reproductive process","9/68","70/3901",2.42172310654319e-06,0.000107766678241172,9.63590878182447e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/SWI5/AGA2/STE5",9
"GO:0000749","GO:0000749","response to pheromone triggering conjugation with cellular fusion","8/68","53/3901",2.66501460567908e-06,0.000110652804466896,9.89397045262846e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0043900","GO:0043900","regulation of multi-organism process","9/68","71/3901",2.73523786322665e-06,0.000110652804466896,9.89397045262846e-05,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5",9
"GO:0005576","GO:0005576","extracellular region","8/68","55/3901",3.56117749208899e-06,0.000137802085563443,0.000123215111396763,"SCW11/DSE2/AFB1/EGT2/CTS1/MFA1/DSE4/FLO5",8
"GO:0031136","GO:0031136","positive regulation of conjugation","8/68","59/3901",6.13681799030683e-06,0.000218470720454923,0.000195344606344083,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0031139","GO:0031139","positive regulation of conjugation with cellular fusion","8/68","59/3901",6.13681799030683e-06,0.000218470720454923,0.000195344606344083,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0070783","GO:0070783","growth of unicellular organism as a thread of attached cells","9/68","80/3901",7.52159177632871e-06,0.00025746987234356,0.000230215521575081,"FUS3/DSE2/DSE1/STE4/MEP2/RME1/IME1/ASH1/STE5",9
"GO:0043902","GO:0043902","positive regulation of multi-organism process","8/68","62/3901",8.97696064348333e-06,0.000295907221211117,0.000264584103176351,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0071444","GO:0071444","cellular response to pheromone","8/68","64/3901",1.14311291143081e-05,0.000363346603990508,0.000324884722196125,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0044182","GO:0044182","filamentous growth of a population of unicellular organisms","9/68","85/3901",1.24628945703107e-05,0.000382481936812984,0.000341994493472047,"FUS3/DSE2/DSE1/STE4/MEP2/RME1/IME1/ASH1/STE5",9
"GO:0051301","GO:0051301","cell division","15/68","245/3901",1.33471038550143e-05,0.000395964081032092,0.000354049491733012,"PCL5/FUS3/FAR1/DSE2/PCL2/EGT2/DSE1/CTS1/HOF1/DSE4/RME1/BUD4/RMI1/AIM44/IQG1",15
"GO:0042723","GO:0042723","thiamine-containing compound metabolic process","4/68","10/3901",1.63980525595395e-05,0.000470782799290006,0.000420948310187161,"THI20/THI6/THI13/PHO3",4
"GO:0019236","GO:0019236","response to pheromone","8/68","73/3901",3.06532780753675e-05,0.00085254429647116,0.00076229862582164,"FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/STE5",8
"GO:0030447","GO:0030447","filamentous growth","9/68","101/3901",5.06672557032194e-05,0.00136648053260198,0.00122183238633601,"FUS3/DSE2/DSE1/STE4/MEP2/RME1/IME1/ASH1/STE5",9
"GO:0005937","GO:0005937","mating projection","9/68","106/3901",7.43489990819802e-05,0.00194619438773419,0.00174018090730579,"FUS3/FAR1/STE4/FIG1/FUS2/PRM1/BIL1/STE5/CAR1",9
"GO:0042995","GO:0042995","cell projection","9/68","108/3901",8.61396073736349e-05,0.00212956251562597,0.00190413868931193,"FUS3/FAR1/STE4/FIG1/FUS2/PRM1/BIL1/STE5/CAR1",9
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","9/68","108/3901",8.61396073736349e-05,0.00212956251562597,0.00190413868931193,"FUS3/FAR1/STE4/FIG1/FUS2/PRM1/BIL1/STE5/CAR1",9
"GO:0005933","GO:0005933","cellular bud","12/68","192/3901",9.17645191256654e-05,0.00220730870329303,0.00197365509129454,"IRC8/PCL2/EGT2/DSE1/CTS1/HOF1/DSE4/BUD4/ASH1/BIL1/AIM44/IQG1",12
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","5/68","30/3901",0.000141029586958256,0.00321836749725252,0.00287768873793365,"SCW11/DSE2/EGT2/CTS1/DSE4",5
"GO:0031225","GO:0031225","anchored component of membrane","5/68","30/3901",0.000141029586958256,0.00321836749725252,0.00287768873793365,"SPS22/DSE2/AFB1/EGT2/FLO5",5
"GO:0043332","GO:0043332","mating projection tip","8/68","99/3901",0.000272468072273109,0.00606241460807668,0.00542068059574923,"FUS3/FAR1/FIG1/FUS2/PRM1/BIL1/STE5/CAR1",8
