"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030684","GO:0030684","preribosome","53/504","152/3901",1.06285220016835e-12,2.31170353536617e-09,2.20737620098122e-09,"NOC2/YTM1/RPL25/RPS8B/RPL12B/EBP2/RPS0A/RRP12/RPS3/RPP0/RPL17B/RPS7A/RPS2/ENP1/UTP21/BUD21/RRP5/RPS5/DBP3/CBF5/NOP58/NOP56/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/RRP15/RRS1/IMP4/RPF2/UTP22/NOP7/MAK16/NOC4/RRP1/UTP8/UTP6/IPI1/SAS10/NOP19/RLI1/UTP7/NOG2/NOC3/SLX9/PUF6/EFG1/BUD22/DBP8/HMO1",53
"GO:0030686","GO:0030686","90S preribosome","31/504","75/3901",5.40861583158525e-10,5.88186971684896e-07,5.61642054511458e-07,"NOC2/YTM1/RPS8B/RPS0A/RRP12/RPS3/RPP0/RPS7A/ENP1/UTP21/BUD21/RRP5/RPS5/CBF5/NOP58/NOP56/UTP15/UTP9/MPP10/UTP4/IMP4/UTP22/NOP7/NOC4/UTP8/UTP6/NOP19/UTP7/SLX9/BUD22/DBP8",31
"GO:0042254","GO:0042254","ribosome biogenesis","80/504","333/3901",4.53832928560042e-09,3.24195724585072e-06,3.09564749960725e-06,"MAK11/RPL8B/RPS10A/RPS20/NSR1/TMA108/NOC2/YTM1/RPL25/RPS8B/RPL12B/GAR1/EBP2/RPS0A/RRP12/RPS3/RPP0/RPL17B/XRN1/NUP49/RPS7A/RPS2/ENP1/RPS26A/RPB5/RPL30/UTP21/BUD21/RRB1/RPS15/RRP5/RPS5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/RPO26/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOG2/NOC3/BMT2/RRP3/SLX9/PUF6/EFG1/SGD1/BUD22/REX4/SRM1/DBP8",80
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","37/504","108/3901",5.9622202222542e-09,3.24195724585072e-06,3.09564749960725e-06,"RPS10A/RPS20/NSR1/RPS8B/RPS0A/RRP12/RPS7A/ENP1/UTP21/BUD21/RPS15/RRP5/RPS5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/IMP4/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/TRM112/NOP19/UTP7/RRP3/SLX9/EFG1/SGD1/BUD22/DBP8",37
"GO:0006364","GO:0006364","rRNA processing","61/504","234/3901",1.58310931452957e-08,6.88652551820362e-06,6.5757361632986e-06,"MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/REX4/DBP8",61
"GO:0022626","GO:0022626","cytosolic ribosome","30/504","83/3901",4.31824928518589e-08,1.56536536587989e-05,1.49472032274943e-05,"RPL38/RPL15A/RPP2A/RPL8B/RPS10A/RPS20/ASC1/RPL25/RPP2B/RPS8B/PAT1/RPL12B/RPS0A/RPL9B/RPS3/RPP0/RPL17B/RPL32/RPS7A/RPS2/RPS26A/RPL30/RPS15/RPS5/RPL31A/RLI1/RPL22A/NAT5/RPL21A/RPL16A",30
"GO:0016072","GO:0016072","rRNA metabolic process","65/504","266/3901",7.89670854038282e-08,2.45362015361895e-05,2.34288811280832e-05,"MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/AIR1/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/TFC8/REX4/DBP8",65
"GO:0005730","GO:0005730","nucleolus","65/504","270/3901",1.45089543139097e-07,3.94462195409419e-05,3.76660090280839e-05,"IME4/TOP1/MAK11/FPR3/NSR1/NOC2/YTM1/GAR1/EBP2/RRP12/RRN3/RPS7A/RPS2/ENP1/RPB5/SLX8/UTP21/BUD21/RRB1/RRP5/AIR1/DBP3/CBF5/NOP58/NOP56/UTP15/UTP9/LOC1/MPP10/RPO26/SSF1/NIP7/UTP4/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/SRP40/RPA190/UTP6/SAS10/TRM112/NOP19/UTP7/NOG2/NOC3/BMT2/RRP3/SLX9/PUF6/EFG1/SGD1/BUD22/REX4/DBP8/HMO1",65
"GO:0002181","GO:0002181","cytoplasmic translation","30/504","88/3901",1.96013670886698e-07,4.73699704642854e-05,4.52321605449655e-05,"RPL38/RPL15A/RPP2A/RPL8B/RPS10A/RPS20/TMA108/RPL25/RPP2B/RPS8B/PAT1/RPL12B/RPM2/RPS0A/RPL9B/RPS3/RPP0/RPL17B/RPL32/TMA19/RPS7A/RPS26A/RPL30/DPH5/RPS15/RPS5/RPL31A/RPL22A/RPL21A/RPL16A",30
"GO:0032040","GO:0032040","small-subunit processome","19/504","42/3901",2.3640285104002e-07,5.14176201012044e-05,4.90971394844168e-05,"RPS7A/RPS2/UTP21/BUD21/RRP5/NOP58/NOP56/UTP15/UTP9/MPP10/UTP4/IMP4/UTP22/NOC4/UTP8/UTP6/SAS10/UTP7/HMO1",19
