"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098813","GO:0098813","nuclear chromosome segregation","27/313","149/3901",3.64669154843538e-05,0.0261235330112534,0.0245929061236269,"MSH5/CIK1/ZIP1/CIN8/MCD1/KAR9/MRC1/BUB1/CTF8/SCP160/CEP3/DAD3/SPC110/CDC14/TOP3/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/SMC5/TOF1/IOC4/CSM2/SPC72/BIR1",27
"GO:0007059","GO:0007059","chromosome segregation","30/313","177/3901",5.05047637396445e-05,0.0261235330112534,0.0245929061236269,"MSH5/CIK1/ZIP1/CIN8/MCD1/KAR9/STS1/MRC1/BUB1/CTF8/SCP160/CEP3/DAD3/SPC110/CDC14/TOP3/SGO1/LTE1/ELG1/RMI1/SPC25/DMA2/ASE1/SMC5/TOF1/IOC4/CSM2/SPC72/NUF2/BIR1",30
"GO:0044283","GO:0044283","small molecule biosynthetic process","44/313","304/3901",5.29444956930757e-05,0.0261235330112534,0.0245929061236269,"THI2/FBP1/ISA1/URA3/LEU4/CIT1/ARO8/ARO7/THI6/ARO4/THI20/PYC2/PPT2/CYS3/ARG1/RIB7/TDA10/BAT1/MOT3/ERG24/ERG2/MET7/ACC1/MET1/ADH1/ERG6/BDH1/NUS1/PCK1/STR3/NCP1/GDH3/SCS7/RKI1/ILV6/COQ10/ADH2/SRT1/LYS9/GLN1/ILV2/SIP4/FAS1/BIO2",44
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","19/313","89/3901",5.5390236336856e-05,0.0261235330112534,0.0245929061236269,"CIK1/MPS2/CIN8/HCM1/KAR9/NUM1/DAD3/SPC110/CDC14/CDC37/SPC29/SPC25/DMA2/ASE1/CLB4/SPC72/NUF2/BIR1/CNM67",19
"GO:0007017","GO:0007017","microtubule-based process","20/313","98/3901",6.9643387344534e-05,0.0261235330112534,0.0245929061236269,"CIK1/MPS2/CIN8/HCM1/KAR9/NUM1/DAD3/SPC110/CDC14/CDC37/SPC29/PAC1/SPC25/DMA2/ASE1/CLB4/SPC72/NUF2/BIR1/CNM67",20
"GO:0007052","GO:0007052","mitotic spindle organization","9/313","25/3901",7.92422639370681e-05,0.0261235330112534,0.0245929061236269,"CIK1/CIN8/SPC110/CDC14/ASE1/CLB4/SPC72/BIR1/CNM67",9
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","21/313","111/3901",0.000145666691754929,0.0395449129865788,0.0372279022262029,"CIK1/CIN8/MCD1/KAR9/MRC1/BUB1/CTF8/CEP3/DAD3/SPC110/CDC14/TOP3/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/TOF1/SPC72/BIR1",21
"GO:0000819","GO:0000819","sister chromatid segregation","23/313","128/3901",0.000159938980734394,0.0395449129865788,0.0372279022262029,"CIK1/CIN8/MCD1/KAR9/MRC1/BUB1/CTF8/CEP3/DAD3/SPC110/CDC14/TOP3/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/SMC5/TOF1/IOC4/SPC72/BIR1",23
"GO:0007010","GO:0007010","cytoskeleton organization","33/313","218/3901",0.000210162346886151,0.0434946190024017,0.0409461875447015,"CIK1/RVS161/CBK1/MPS2/CIN8/HCM1/GIN4/SPA2/ELM1/AIM7/KAR9/RGA1/ABP140/NUM1/CEP3/DAD3/SPC110/HSP42/CDC14/CDC37/SPC29/RHO4/SPC25/DMA2/ASE1/IQG1/BUD4/CLB4/SPC72/NUF2/BIR1/CNM67/BEM3",33
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","10/313","34/3901",0.000219891905977764,0.0434946190024017,0.0409461875447015,"CIK1/CIN8/SPC110/CDC14/DMA2/ASE1/CLB4/SPC72/BIR1/CNM67",10
"GO:0000022","GO:0000022","mitotic spindle elongation","6/313","13/3901",0.000268959184319334,0.0443334388819702,0.0417358593913072,"CIN8/SPC110/CDC14/ASE1/SPC72/BIR1",6
"GO:0051231","GO:0051231","spindle elongation","6/313","13/3901",0.000268959184319334,0.0443334388819702,0.0417358593913072,"CIN8/SPC110/CDC14/ASE1/SPC72/BIR1",6
"GO:0044430","GO:0044430","cytoskeletal part","29/313","192/3901",0.000535405352474767,0.0812454216976323,0.0764850997728229,"CIK1/KRE28/RVS161/MPS2/CIN8/SPA2/ELM1/AIM7/RVS167/KAR9/RGA1/INN1/ABP140/DAD3/SPC110/CDC14/CYK3/SPC29/SGO1/PAC1/DMA2/ASE1/IQG1/BUD4/CLB4/SPC72/NUF2/BIR1/CNM67",29
"GO:0005856","GO:0005856","cytoskeleton","30/313","202/3901",0.000575043429609126,0.0812454216976323,0.0764850997728229,"CIK1/KRE28/RVS161/MPS2/CIN8/SPA2/ELM1/AIM7/RVS167/KAR9/RGA1/INN1/ABP140/DAD3/SPC110/HSP42/CDC14/CYK3/SPC29/SGO1/PAC1/DMA2/ASE1/IQG1/BUD4/CLB4/SPC72/NUF2/BIR1/CNM67",30
"GO:0140014","GO:0140014","mitotic nuclear division","23/313","142/3901",0.000761730074013782,0.100446805759951,0.094561438661781,"CIK1/CIN8/MCD1/SWI5/KAR9/MRC1/BUB1/CTF8/CEP3/DAD3/SPC110/CDC14/TOP3/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/TOF1/CLB4/SPC72/BIR1",23
"GO:0048037","GO:0048037","cofactor binding","24/313","152/3901",0.000855431415057403,0.105752708686471,0.0995564587655622,"PDH1/POX1/ISA1/ARO8/DIT2/FMO1/DNA2/SDH1/PYC2/NFU1/CYS3/RIB7/SDH4/SHH3/UGA1/CTA1/STR3/NCP1/EXO5/SCS7/COQ10/CYB5/ILV2/BIO2",24
"GO:0007051","GO:0007051","spindle organization","9/313","34/3901",0.00106480927742549,0.123893691220448,0.116634527044315,"CIK1/CIN8/SPC110/CDC14/ASE1/CLB4/SPC72/BIR1/CNM67",9
"GO:0006631","GO:0006631","fatty acid metabolic process","11/313","49/3901",0.00135510757393324,0.136850448618866,0.128832123679833,"PDH1/POX1/EHD3/PPT2/FAA2/ANT1/ACC1/ECI1/SCS7/YAT1/FAS1",11
"GO:0007062","GO:0007062","sister chromatid cohesion","11/313","49/3901",0.00135510757393324,0.136850448618866,0.128832123679833,"MCD1/MRC1/BUB1/CTF8/TOP3/SGO1/ELG1/RMI1/SMC5/TOF1/IOC4",11
"GO:0007018","GO:0007018","microtubule-based movement","6/313","17/3901",0.0014713055756987,0.136850448618866,0.128832123679833,"CIK1/CIN8/KAR9/NUM1/PAC1/SPC72",6
"GO:0007020","GO:0007020","microtubule nucleation","6/313","17/3901",0.0014713055756987,0.136850448618866,0.128832123679833,"SPC110/SPC29/SPC25/SPC72/NUF2/CNM67",6
"GO:0005826","GO:0005826","actomyosin contractile ring","5/313","12/3901",0.00159128428626588,0.136850448618866,0.128832123679833,"SPA2/INN1/CYK3/IQG1/BUD4",5
"GO:0070938","GO:0070938","contractile ring","5/313","12/3901",0.00159128428626588,0.136850448618866,0.128832123679833,"SPA2/INN1/CYK3/IQG1/BUD4",5
"GO:0015893","GO:0015893","drug transport","12/313","58/3901",0.00176575994336882,0.14552804866598,0.137001286834186,"TNA1/MCD4/VHT1/ANT1/ADY2/VPS25/YHM2/SNQ2/MCH5/PDR5/HIP1/SFC1",12
"GO:0016042","GO:0016042","lipid catabolic process","10/313","44/3901",0.00201923682121663,0.155633600892031,0.14651473576606,"PDH1/POX1/EHD3/IAH1/ROG1/LPX1/ANT1/FMP30/MPO1/ECI1",10
"GO:0043436","GO:0043436","oxoacid metabolic process","42/313","338/3901",0.00215442659183597,0.155633600892031,0.14651473576606,"PDH1/POX1/ISA1/LEU4/CIT1/EHD3/ARO8/IAH1/GDH2/ARO7/ARO4/SDH1/PYC2/PPT2/FAA2/CYS3/ARG1/GFA1/ANT1/BAT1/PHO84/SDH4/MET7/ACC1/SHH3/MET1/ADH1/UGA1/VTC2/STR3/ECI1/GDH3/SCS7/ILV6/ADH2/FUM1/LYS9/YAT1/GLN1/ILV2/FAS1/BIO2",42
"GO:0000280","GO:0000280","nuclear division","30/313","220/3901",0.0023490785411253,0.155633600892031,0.14651473576606,"MSH5/CIK1/ZIP1/CIN8/MCD1/SWI5/KAR9/REC102/NUM1/MRC1/BUB1/CTF8/SCP160/CEP3/DAD3/SPC110/CDC14/TOP3/REC107/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/TOF1/CSM2/CLB4/SPC72/BIR1",30
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","8/313","31/3901",0.00240676246145162,0.155633600892031,0.14651473576606,"CIN8/DAD3/SPC110/SPC29/SPC25/SPC72/NUF2/CNM67",8
"GO:0006082","GO:0006082","organic acid metabolic process","42/313","340/3901",0.00241535608221804,0.155633600892031,0.14651473576606,"PDH1/POX1/ISA1/LEU4/CIT1/EHD3/ARO8/IAH1/GDH2/ARO7/ARO4/SDH1/PYC2/PPT2/FAA2/CYS3/ARG1/GFA1/ANT1/BAT1/PHO84/SDH4/MET7/ACC1/SHH3/MET1/ADH1/UGA1/VTC2/STR3/ECI1/GDH3/SCS7/ILV6/ADH2/FUM1/LYS9/YAT1/GLN1/ILV2/FAS1/BIO2",42
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","13/313","68/3901",0.0024455765128892,0.155633600892031,0.14651473576606,"GIN4/SLD2/KAR9/MRC1/BUB1/FAR1/CEP3/CDC14/SGO1/LTE1/DMA2/SPC72/BIR1",13
"GO:0000003","GO:0000003","reproduction","45/313","373/3901",0.00271226036325836,0.155633600892031,0.14651473576606,"HMLALPHA2/MATALPHA1/CWP1/SPS22/MSH5/CIK1/SUT2/ZIP1/DIT1/DIT2/RVS161/CBK1/DNA2/BNS1/GIN4/GIP1/SPA2/SWI5/OSW2/ELM1/MSH3/RGA1/REC102/RAS2/NUM1/BUB1/FAR1/SCP160/DTR1/SPC110/ADY2/CDC14/TOP3/REC107/SGO1/RMI1/BUD5/OSW5/RIM15/TOF1/CSM2/BUD4/CNM67/PRM1/AGA2",45
"GO:0031577","GO:0031577","spindle checkpoint","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0032155","GO:0032155","cell division site part","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"SPA2/ELM1/RGA1/INN1/CYK3/DMA2/IQG1/BUD4",8
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0071174","GO:0071174","mitotic spindle checkpoint","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:1905819","GO:1905819","negative regulation of chromosome separation","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","8/313","32/3901",0.00298992762077713,0.155633600892031,0.14651473576606,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0071554","GO:0071554","cell wall organization or biogenesis","27/313","195/3901",0.00310301843733315,0.157378729975512,0.148157614457283,"CWP1/SPS22/ECM9/MNN5/MSB2/PGU1/DIT1/DIT2/CBK1/ECM4/EXG1/MCD4/GIP1/YPS7/ECM5/OSW2/ANP1/GFA1/GPI13/DTR1/ECM18/FLC2/PUN1/RPI1/OSW5/SIM1/ECM21",27
"GO:0000778","GO:0000778","condensed nuclear chromosome kinetochore","10/313","47/3901",0.00339564055796164,0.159838276600043,0.150473051623371,"KRE28/CIN8/KAR9/BUB1/CEP3/DAD3/SGO1/SPC25/NUF2/BIR1",10
"GO:0051301","GO:0051301","cell division","32/313","245/3901",0.0034019867548814,0.159838276600043,0.150473051623371,"CKS1/MSB2/CBK1/CIN8/MCD1/GIN4/SPA2/ELM1/RGA1/INN1/FAR1/BUD31/DAD3/CDC14/CYK3/CDC37/SGO1/PAC1/LTE1/RMI1/SPC25/DMA2/ASE1/BUD5/IQG1/BUD4/CLB4/SPC72/NUF2/BIR1/EGT2/CNM67",32
"GO:0031106","GO:0031106","septin ring organization","7/313","26/3901",0.00346382518192503,0.159838276600043,0.150473051623371,"GIN4/ELM1/RGA1/CEP3/DMA2/BUD4/BEM3",7
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","12/313","63/3901",0.00367149332198351,0.159838276600043,0.150473051623371,"MOT3/ERG24/ERG2/ADH1/ERG6/BDH1/NUS1/NCP1/RKI1/ADH2/SRT1/CYB5",12
"GO:0019752","GO:0019752","carboxylic acid metabolic process","40/313","327/3901",0.00367585411021189,0.159838276600043,0.150473051623371,"PDH1/POX1/ISA1/LEU4/CIT1/EHD3/ARO8/IAH1/GDH2/ARO7/ARO4/SDH1/PYC2/PPT2/FAA2/CYS3/ARG1/GFA1/ANT1/BAT1/SDH4/MET7/ACC1/SHH3/MET1/ADH1/UGA1/STR3/ECI1/GDH3/SCS7/ILV6/ADH2/FUM1/LYS9/YAT1/GLN1/ILV2/FAS1/BIO2",40
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","8/313","33/3901",0.00367753496211347,0.159838276600043,0.150473051623371,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0000278","GO:0000278","mitotic cell cycle","39/313","317/3901",0.00372757386938814,0.159838276600043,0.150473051623371,"CKS1/CIK1/MSB2/CIN8/MCD1/GIN4/SPA2/SWI5/ELM1/SLD2/KAR9/INN1/MRC1/BUB1/CTF8/FAR1/CEP3/BUD31/DAD3/SPC110/CDC14/CYK3/TOP3/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/BUD5/RIM15/TOF1/BUD4/CLB4/SPC72/NUF2/BIR1/TOM1/CNM67",39
"GO:0042493","GO:0042493","response to drug","16/313","97/3901",0.00396240100445954,0.159838276600043,0.150473051623371,"TNA1/MCD4/VHT1/IRA2/ELM1/ANT1/ADY2/CTA1/VPS25/YHM2/SNQ2/MCH5/CST6/PDR5/HIP1/SFC1",16
"GO:0000075","GO:0000075","cell cycle checkpoint","14/313","80/3901",0.00398000511633417,0.159838276600043,0.150473051623371,"GIN4/SLD2/KAR9/RAD53/MRC1/BUB1/CEP3/SGO1/CMR1/LTE1/DMA2/TOF1/SPC72/BIR1",14
"GO:0016999","GO:0016999","antibiotic metabolic process","10/313","48/3901",0.00399184694208704,0.159838276600043,0.150473051623371,"PDH1/CIT1/IAH1/SDH1/SDH4/SHH3/ADH1/CTA1/ADH2/FUM1",10
"GO:0022414","GO:0022414","reproductive process","43/313","360/3901",0.00408833075565116,0.159838276600043,0.150473051623371,"HMLALPHA2/MATALPHA1/CWP1/SPS22/MSH5/CIK1/SUT2/ZIP1/DIT1/DIT2/RVS161/CBK1/DNA2/BNS1/GIN4/GIP1/SPA2/SWI5/OSW2/ELM1/MSH3/RGA1/REC102/RAS2/NUM1/BUB1/FAR1/SCP160/DTR1/SPC110/ADY2/CDC14/TOP3/REC107/SGO1/RMI1/OSW5/RIM15/TOF1/CSM2/CNM67/PRM1/AGA2",43
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint","11/313","56/3901",0.00417091963266013,0.159838276600043,0.150473051623371,"GIN4/SLD2/KAR9/MRC1/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",11
"GO:0005816","GO:0005816","spindle pole body","12/313","64/3901",0.00420201738281206,0.159838276600043,0.150473051623371,"CIK1/KRE28/MPS2/KAR9/SPC110/CDC14/SPC29/SGO1/CLB4/SPC72/NUF2/CNM67",12
"GO:0051300","GO:0051300","spindle pole body organization","7/313","27/3901",0.0043613661163255,0.161169258228024,0.151726048536732,"MPS2/CIN8/HCM1/CDC37/SPC29/ASE1/CLB4",7
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","8/313","34/3901",0.00448145055740207,0.161169258228024,0.151726048536732,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","8/313","34/3901",0.00448145055740207,0.161169258228024,0.151726048536732,"KAR9/BUB1/CEP3/SGO1/LTE1/DMA2/SPC72/BIR1",8
"GO:0048285","GO:0048285","organelle fission","30/313","230/3901",0.00463232660910442,0.161985497754638,0.152494463055694,"MSH5/CIK1/ZIP1/CIN8/MCD1/SWI5/KAR9/REC102/NUM1/MRC1/BUB1/CTF8/SCP160/CEP3/DAD3/SPC110/CDC14/TOP3/REC107/SGO1/LTE1/ELG1/RMI1/DMA2/ASE1/TOF1/CSM2/CLB4/SPC72/BIR1",30
"GO:0046165","GO:0046165","alcohol biosynthetic process","10/313","49/3901",0.00466793395956237,0.161985497754638,0.152494463055694,"MOT3/ERG24/ERG2/ADH1/ERG6/BDH1/NUS1/NCP1/ADH2/SRT1",10
"GO:0006928","GO:0006928","movement of cell or subcellular component","6/313","21/3901",0.00490175275550954,0.167166671558584,0.157372062150569,"CIK1/CIN8/KAR9/NUM1/PAC1/SPC72",6
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","8/313","35/3901",0.00541394306201577,0.174233401059657,0.164024738691146,"THI6/ARO4/GTT1/ECM4/CYS3/NUS1/STR3/SRT1",8
"GO:0032185","GO:0032185","septin cytoskeleton organization","7/313","28/3901",0.0054241965051989,0.174233401059657,0.164024738691146,"GIN4/ELM1/RGA1/CEP3/DMA2/BUD4/BEM3",7
"GO:0015630","GO:0015630","microtubule cytoskeleton","17/313","109/3901",0.00545777583076231,0.174233401059657,0.164024738691146,"CIK1/KRE28/MPS2/CIN8/KAR9/DAD3/SPC110/CDC14/SPC29/SGO1/PAC1/ASE1/CLB4/SPC72/NUF2/BIR1/CNM67",17
"GO:0006790","GO:0006790","sulfur compound metabolic process","18/313","118/3901",0.00546130984110147,0.174233401059657,0.164024738691146,"THI2/ISA1/CIT1/ARO8/THI6/GTT1/ECM4/THI20/NFU1/CYS3/BAT1/ACC1/MET1/JAC1/PET18/STR3/OXP1/BIO2",18
"GO:0031578","GO:0031578","mitotic spindle orientation checkpoint","4/313","10/3901",0.00578647515581171,0.177042078286698,0.166668850241695,"KAR9/LTE1/DMA2/SPC72",4
"GO:0042723","GO:0042723","thiamine-containing compound metabolic process","4/313","10/3901",0.00578647515581171,0.177042078286698,0.166668850241695,"THI2/THI6/THI20/PET18",4
"GO:0000780","GO:0000780","condensed nuclear chromosome, centromeric region","10/313","51/3901",0.00628833654276042,0.177042078286698,0.166668850241695,"KRE28/CIN8/KAR9/BUB1/CEP3/DAD3/SGO1/SPC25/NUF2/BIR1",10
