"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044429","GO:0044429","mitochondrial part","242/1077","497/3901",4.77548675655292e-27,1.14420662687008e-23,9.99333439160758e-24,"ICL2/PDH1/HSP60/ETR1/GUT2/ISA1/QCR8/CAT2/SHY1/COX7/ERG6/SDH4/COX8/ATP4/CPR3/ATP3/ATP1/COX14/ATP18/COX9/SCO1/AFG1/SDH2/AIM36/PHB2/SDH1/ATP16/RDL1/MAS1/PHB1/MSD1/CRC1/MCP2/CIT1/ATP23/SHH3/GPM1/COA3/YAT1/PET191/HSP10/MPM1/QCR9/COA1/COX19/OMS1/ARG8/ECM19/CCP1/COX26/TIM8/MDM31/MSY1/RCF1/SAL1/ISA2/CMC2/LEU5/COX5A/PET100/MDJ1/PIF1/MGR2/MGR1/COX13/POT1/MRPL39/JAC1/JID1/AFG3/MRP51/UPS1/PET494/CCA1/MRPL33/TIM13/NCP1/TOM6/COA2/MRPL50/ADK2/AIM45/MRPS8/MAM33/TOM7/YTA12/MRPS12/SFC1/SLM5/PUT1/COX12/SEN54/MRPS18/HSP78/COX4/COX15/CMC1/ATP2/TIM9/NDI1/RSM24/TIM11/COX17/LSP1/MMM1/MRPL37/NFU1/MAS2/PET122/ATP19/OM45/GGC1/MET7/COX10/TOM22/RCF2/OM14/SSC1/UGO1/ISM1/LPD1/HEM15/ATP20/OXA1/COX6/PSD1/IMG2/TCM62/ATP14/FZO1/RSM10/HEM25/MRPL25/MRPL24/NCE103/ISD11/MRPL20/IDP1/DIA4/MRPS28/PKP1/MRP2/MRX3/QCR7/HOT13/TOM5/MRPL31/HEM1/MRPL11/MRP4/MRPS35/CTP1/PET123/FUM1/SDH6/MDM34/MDM32/YMC1/TOM40/MGR3/MIA40/MRPS9/COX5B/MRPL49/MRP1/HMI1/PPE1/PTH4/YIA6/MIP1/KGD1/MRPL17/ANT1/YMR31/MMF1/COX11/COX16/RSM7/YHM2/NAM9/ADH3/AIM39/MRPL22/MIC19/RPM2/IMG1/RSM28/MRPL32/PAM16/MRP49/RIP1/MRPL27/MRPL15/ERG27/TIM50/COQ10/MNP1/TIM17/MSS116/QCR6/MRP20/UIP4/YFH1/MSW1/MBA1/GLO4/PDX1/MRPL35/OPI3/MHR1/MTF1/MRX14/KGD2/AIM19/GTT1/UBP16/YML6/RSM23/PNT1/MRH4/COX23/SOD2/LSC1/PET8/MRS4/MSS51/MDH1/COQ4/PAM18/MTF2/MRPL4/ATM1/MCR1/FIS1/LAT1/PTC6/SEN34/MRP10/TDA5/FSF1/FMP52/RSM22",242
"GO:0098798","GO:0098798","mitochondrial protein complex","113/1077","179/3901",2.89058961774237e-24,3.46292636205536e-21,3.02446955793255e-21,"QCR8/COX7/SDH4/COX8/ATP4/ATP3/ATP1/ATP18/COX9/SDH2/SDH1/ATP16/MAS1/SHH3/QCR9/COX26/TIM8/RCF1/COX5A/MGR2/MGR1/COX13/MRPL39/AFG3/MRP51/MRPL33/TIM13/TOM6/MRPL50/MRPS8/TOM7/YTA12/MRPS12/COX12/MRPS18/COX4/ATP2/TIM9/RSM24/TIM11/MMM1/MRPL37/MAS2/ATP19/TOM22/RCF2/SSC1/LPD1/ATP20/OXA1/COX6/IMG2/ATP14/RSM10/MRPL25/MRPL24/MRPL20/MRPS28/PKP1/MRP2/QCR7/TOM5/MRPL31/MRPL11/MRP4/MRPS35/PET123/MDM34/TOM40/MGR3/MRPS9/COX5B/MRPL49/MRP1/PPE1/PTH4/MIP1/KGD1/MRPL17/YMR31/COX11/RSM7/NAM9/MRPL22/MIC19/RPM2/IMG1/RSM28/MRPL32/PAM16/MRP49/RIP1/MRPL27/MRPL15/TIM50/MNP1/TIM17/QCR6/MRP20/PDX1/MRPL35/MHR1/MTF1/MRX14/KGD2/YML6/RSM23/MRH4/PAM18/MRPL4/LAT1/MRP10/RSM22",113
"GO:0005759","GO:0005759","mitochondrial matrix","111/1077","200/3901",1.3717906583043e-17,1.09560347243236e-14,9.56884150424189e-15,"ICL2/HSP60/ETR1/ISA1/CPR3/ATP1/COX14/MAS1/MSD1/CIT1/HSP10/ARG8/CCP1/MSY1/ISA2/MDJ1/MRPL39/JAC1/MRP51/CCA1/MRPL33/COA2/MRPL50/ADK2/AIM45/MRPS8/MAM33/MRPS12/SLM5/PUT1/MRPS18/HSP78/NDI1/RSM24/MRPL37/NFU1/MAS2/MET7/SSC1/ISM1/LPD1/OXA1/IMG2/RSM10/MRPL25/MRPL24/ISD11/MRPL20/IDP1/DIA4/MRPS28/PKP1/MRP2/MRPL31/HEM1/MRPL11/MRP4/MRPS35/PET123/FUM1/SDH6/MRPS9/MRPL49/MRP1/HMI1/PPE1/PTH4/MIP1/KGD1/MRPL17/YMR31/MMF1/COX11/RSM7/YHM2/NAM9/ADH3/MRPL22/RPM2/IMG1/RSM28/MRPL32/PAM16/MRP49/MRPL27/MRPL15/MNP1/MSS116/MRP20/YFH1/MSW1/GLO4/PDX1/MRPL35/MHR1/MTF1/MRX14/KGD2/YML6/RSM23/MRH4/SOD2/LSC1/MDH1/PAM18/MTF2/MRPL4/LAT1/PTC6/MRP10/RSM22",111
"GO:0005743","GO:0005743","mitochondrial inner membrane","109/1077","206/3901",2.76156289933786e-15,1.65417617670338e-12,1.44473343260096e-12,"GUT2/QCR8/CAT2/SHY1/COX7/SDH4/COX8/ATP4/ATP3/ATP1/COX14/ATP18/COX9/SCO1/AFG1/SDH2/PHB2/SDH1/ATP16/MAS1/PHB1/CRC1/MCP2/ATP23/SHH3/COA3/YAT1/PET191/QCR9/COA1/OMS1/COX26/TIM8/MDM31/RCF1/SAL1/CMC2/LEU5/COX5A/PET100/MDJ1/PIF1/MGR2/MGR1/COX13/AFG3/UPS1/PET494/TIM13/COA2/ADK2/YTA12/SFC1/COX12/COX4/COX15/CMC1/ATP2/TIM9/NDI1/TIM11/MAS2/PET122/ATP19/GGC1/MET7/RCF2/SSC1/UGO1/HEM15/ATP20/OXA1/COX6/PSD1/TCM62/ATP14/FZO1/HEM25/ISD11/MRX3/QCR7/CTP1/MDM32/YMC1/MGR3/MIA40/COX5B/HMI1/YIA6/ANT1/COX11/COX16/YHM2/MIC19/MRPL32/PAM16/RIP1/TIM50/COQ10/TIM17/QCR6/MBA1/PNT1/PET8/MRS4/MSS51/COQ4/PAM18/ATM1",109
"GO:0019866","GO:0019866","organelle inner membrane","111/1077","216/3901",2.24063551085518e-14,1.0737125368018e-11,9.37764925385286e-12,"GUT2/QCR8/CAT2/SHY1/COX7/SDH4/COX8/ATP4/ATP3/ATP1/COX14/ATP18/COX9/SCO1/AFG1/SDH2/PHB2/SDH1/ATP16/MAS1/PHB1/CRC1/MCP2/ATP23/SHH3/COA3/YAT1/PET191/QCR9/COA1/OMS1/COX26/TRL1/TIM8/MDM31/RCF1/SAL1/CMC2/LEU5/COX5A/PET100/MDJ1/PIF1/MGR2/MGR1/COX13/AFG3/UPS1/PET494/TIM13/COA2/ADK2/YTA12/SFC1/COX12/COX4/COX15/CMC1/ATP2/TIM9/NDI1/TIM11/MAS2/PET122/ATP19/GGC1/MET7/RCF2/SSC1/UGO1/HEM15/ATP20/OXA1/COX6/PSD1/TCM62/ATP14/FZO1/HEM25/ISD11/MRX3/QCR7/CTP1/MDM32/YMC1/MGR3/MIA40/COX5B/HMI1/YIA6/ANT1/COX11/COX16/YHM2/MIC19/SEC63/MRPL32/PAM16/RIP1/TIM50/COQ10/TIM17/QCR6/MBA1/PNT1/PET8/MRS4/MSS51/COQ4/PAM18/ATM1",111
"GO:0031966","GO:0031966","mitochondrial membrane","144/1077","311/3901",1.57606636955788e-13,6.29375836910114e-11,5.49687709242293e-11,"PDH1/GUT2/QCR8/CAT2/SHY1/COX7/ERG6/SDH4/COX8/ATP4/ATP3/ATP1/COX14/ATP18/COX9/SCO1/AFG1/SDH2/AIM36/PHB2/SDH1/ATP16/RDL1/MAS1/PHB1/CRC1/MCP2/ATP23/SHH3/GPM1/COA3/YAT1/PET191/MPM1/QCR9/COA1/OMS1/ECM19/COX26/TIM8/MDM31/RCF1/SAL1/CMC2/LEU5/COX5A/PET100/MDJ1/PIF1/MGR2/MGR1/COX13/JID1/AFG3/UPS1/PET494/TIM13/NCP1/TOM6/COA2/ADK2/TOM7/YTA12/SFC1/COX12/SEN54/COX4/COX15/CMC1/ATP2/TIM9/NDI1/TIM11/LSP1/MMM1/MAS2/PET122/ATP19/OM45/GGC1/MET7/COX10/TOM22/RCF2/OM14/SSC1/UGO1/HEM15/ATP20/OXA1/COX6/PSD1/TCM62/ATP14/FZO1/HEM25/ISD11/MRX3/QCR7/HOT13/TOM5/CTP1/MDM34/MDM32/YMC1/TOM40/MGR3/MIA40/COX5B/HMI1/YIA6/ANT1/COX11/COX16/YHM2/AIM39/MIC19/MRPL32/PAM16/RIP1/ERG27/TIM50/COQ10/TIM17/QCR6/UIP4/MBA1/OPI3/AIM19/GTT1/UBP16/PNT1/PET8/MRS4/MSS51/COQ4/PAM18/ATM1/MCR1/FIS1/SEN34/TDA5/FSF1/FMP52",144
"GO:0032543","GO:0032543","mitochondrial translation","68/1077","113/3901",1.94386449436257e-13,6.65357046927532e-11,5.81113175156811e-11,"COX14/MSD1/COA3/MSY1/TUF1/MRPL39/MRP51/AIM23/PET494/MRPL33/MRPL50/MRPS8/MAM33/MRPS12/SLM5/MRPS18/RSM24/SWS2/MRPL37/PET122/ISM1/IMG2/RSM10/MRPL25/MRPL24/MRPL20/DIA4/MRPS28/MRP2/MRPL31/MEF1/MRPL11/MRP4/MRPS35/PET123/MRPS9/MRPL49/MRP1/PPE1/PTH4/MRPL17/YMR31/MMF1/RSM7/NAM9/MRPL22/IMG1/RSM28/MRPL32/MRP49/MRPL27/MRPL15/MNP1/MRP20/MSW1/MBA1/MRPL35/MHR1/IFM1/MRX14/YML6/RSM23/MEF2/MSS51/MTF2/MRPL4/MRP10/RSM22",68
"GO:0005740","GO:0005740","mitochondrial envelope","152/1077","337/3901",4.52635433167382e-13,1.35564312233631e-10,1.18399900149573e-10,"PDH1/GUT2/QCR8/CAT2/SHY1/COX7/ERG6/SDH4/COX8/ATP4/ATP3/ATP1/COX14/ATP18/COX9/SCO1/AFG1/SDH2/AIM36/PHB2/SDH1/ATP16/RDL1/MAS1/PHB1/CRC1/MCP2/ATP23/SHH3/GPM1/COA3/YAT1/PET191/MPM1/QCR9/COA1/COX19/OMS1/ECM19/CCP1/COX26/TIM8/MDM31/RCF1/SAL1/CMC2/LEU5/COX5A/PET100/MDJ1/PIF1/MGR2/MGR1/COX13/POT1/JID1/AFG3/UPS1/PET494/TIM13/NCP1/TOM6/COA2/ADK2/TOM7/YTA12/SFC1/COX12/SEN54/COX4/COX15/CMC1/ATP2/TIM9/NDI1/TIM11/COX17/LSP1/MMM1/MAS2/PET122/ATP19/OM45/GGC1/MET7/COX10/TOM22/RCF2/OM14/SSC1/UGO1/HEM15/ATP20/OXA1/COX6/PSD1/TCM62/ATP14/FZO1/HEM25/NCE103/ISD11/MRX3/QCR7/HOT13/TOM5/CTP1/MDM34/MDM32/YMC1/TOM40/MGR3/MIA40/COX5B/HMI1/YIA6/ANT1/COX11/COX16/YHM2/AIM39/MIC19/MRPL32/PAM16/RIP1/ERG27/TIM50/COQ10/TIM17/QCR6/UIP4/MBA1/OPI3/MTF1/AIM19/GTT1/UBP16/PNT1/COX23/PET8/MRS4/MSS51/COQ4/PAM18/ATM1/MCR1/FIS1/PTC6/SEN34/TDA5/FSF1/FMP52",152
"GO:0140053","GO:0140053","mitochondrial gene expression","72/1077","125/3901",8.14145209353154e-13,2.16743546845573e-10,1.89300663882347e-10,"COX14/MSD1/COA3/MSY1/TUF1/MRPL39/MRP51/AIM23/PET494/MRPL33/MRPL50/MRPS8/MAM33/MRPS12/SLM5/MRPS18/RSM24/SWS2/MRPL37/PET122/ISM1/SLM3/IMG2/RSM10/MRPL25/MRPL24/MRPL20/MTO1/DIA4/MRPS28/MRP2/MRPL31/MEF1/MRPL11/MRP4/MRPS35/PET123/MRPS9/MRPL49/MRP1/PPE1/PTH4/MRPL17/YMR31/MMF1/RSM7/NAM9/MRPL22/IMG1/RSM28/MRPL32/MRP49/MRPL27/MRPL15/MNP1/MSS116/MRP20/MSW1/MBA1/MRPL35/MHR1/IFM1/MTF1/MRX14/YML6/RSM23/MEF2/MSS51/MTF2/MRPL4/MRP10/RSM22",72
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","44/1077","62/3901",1.03906388759951e-12,2.48959707468844e-10,2.17437790373456e-10,"QCR8/COX7/SDH4/COX8/ATP4/ATP3/ATP1/ATP18/COX9/SDH2/SDH1/ATP16/MAS1/SHH3/QCR9/COX26/RCF1/COX5A/MGR2/MGR1/COX13/AFG3/YTA12/COX12/COX4/ATP2/TIM9/TIM11/ATP19/RCF2/SSC1/ATP20/COX6/ATP14/QCR7/MGR3/COX5B/MIC19/PAM16/RIP1/TIM50/TIM17/QCR6/PAM18",44
