"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022616","GO:0022616","DNA strand elongation","11/235","36/3901",4.70978548925858e-06,0.00844935516772989,0.00797688931812322,"DNA2/MCM4/POL1/SGS1/PSF1/RNH202/POL30/EXO1/MPH1/SAE2/TOP2",11
"GO:0006855","GO:0006855","drug transmembrane transport","10/235","32/3901",1.03453163012778e-05,0.0092797487222462,0.00876084943618737,"ADY2/TNA1/PDR5/AGP2/SNQ2/PET8/SFC1/TPC1/FUR4/YMC1",10
"GO:0000729","GO:0000729","DNA double-strand break processing","6/235","12/3901",3.050177662418e-05,0.0182400624212596,0.0172201258204581,"DNA2/SGS1/RIF1/FUN30/EXO1/SAE2",6
"GO:0009062","GO:0009062","fatty acid catabolic process","7/235","18/3901",4.72901152968953e-05,0.0212096167106576,0.0200236303980802,"POX1/ECI1/POT1/PDH1/FOX2/TES1/CIT3",7
"GO:0006261","GO:0006261","DNA-dependent DNA replication","20/235","128/3901",6.03686489057431e-05,0.0216602712273806,0.0204490854924928,"DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1",20
"GO:0006260","GO:0006260","DNA replication","21/235","142/3901",9.02251645498019e-05,0.0269773242003908,0.025468822765023,"RNR1/DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1",21
"GO:0007062","GO:0007062","sister chromatid cohesion","11/235","49/3901",0.0001133849987276,0.0279274347233548,0.0263658055916669,"MCD1/SMC1/SGO1/TOP3/CTF4/CSM3/IRR1/POL30/SMC5/MRC1/ELG1",11
"GO:0007064","GO:0007064","mitotic sister chromatid cohesion","9/235","34/3901",0.000124537055622541,0.0279274347233548,0.0263658055916669,"MCD1/SMC1/TOP3/CTF4/CSM3/IRR1/POL30/MRC1/ELG1",9
"GO:0006302","GO:0006302","double-strand break repair","18/235","117/3901",0.000174775769162134,0.0316100929321326,0.0298425391819523,"MCD1/DNA2/MCM4/SMC1/POL1/TEL1/SGS1/SLD2/CTF4/RIF1/PSF1/FUN30/RAD54/SMC5/CDC45/EXO1/SAE2/ELG1",18
"GO:0000819","GO:0000819","sister chromatid segregation","19/235","128/3901",0.000187504253002878,0.0316100929321326,0.0298425391819523,"MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CIN8/CSM3/IRR1/KAR9/POL30/DAD3/CIK1/SMC5/TEM1/SPC110/TOP2/MRC1/ELG1",19
