"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022616","GO:0022616","DNA strand elongation","17/462","36/3901",1.33516232391553e-07,0.000292267032705109,0.000275605612336668,"SGS1/POL1/MCM3/DNA2/PRI2/MCM4/EXO1/PSF1/POL30/POL12/SAE2/RNH202/POL3/MPH1/TOP2/MCM6/MCM10",17
"GO:0006260","GO:0006260","DNA replication","36/462","142/3901",4.42407621986248e-06,0.0037215179827687,0.00350936345084726,"SGS1/POL1/RNR1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/DOA4/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10/DIA2",36
"GO:0043596","GO:0043596","nuclear replication fork","16/462","41/3901",7.07966931308512e-06,0.0037215179827687,0.00350936345084726,"POL1/MCM3/PRI2/MCM4/CDC45/PSF1/CTF4/POL12/CTF18/POL3/CSM3/MRC1/MCM6/TOF1/MCM10/DIA2",16
"GO:0006261","GO:0006261","DNA-dependent DNA replication","33/462","128/3901",7.62280846717348e-06,0.0037215179827687,0.00350936345084726,"SGS1/POL1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10",33
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication","14/462","33/3901",8.50049790490795e-06,0.0037215179827687,0.00350936345084726,"POL1/MCM3/DNA2/PRI2/MCM4/PSF1/POL30/POL12/RNH202/POL3/MPH1/TOP2/MCM6/MCM10",14
"GO:0000729","GO:0000729","DNA double-strand break processing","8/462","12/3901",1.17286557079105e-05,0.00427900455743602,0.00403506909530045,"SGS1/DNA2/FUN30/RIF1/EXO1/SAE2/SPO11/MRE11",8
"GO:0006302","GO:0006302","double-strand break repair","30/462","117/3901",2.24184728701924e-05,0.00701057673040731,0.00661092109751088,"SGS1/POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/FUN30/RIF1/SIN3/MCM4/SLD2/EXO1/CDC45/PSF1/CTF4/TEL1/SAE2/RAD54/CTF18/SAW1/MCM6/SAE3/ELG1/SPO11/MCM10/MRE11/YKU80",30
"GO:0005576","GO:0005576","extracellular region","18/462","55/3901",3.27505983799892e-05,0.00896138248172454,0.00845051623988932,"SCW11/MSB2/DSE2/CTS1/PGU1/BAR1/EGT2/APE4/TOS6/FLO1/PEP4/MFA1/DSE4/PIR3/ACB1/PRY2/EXG1/AFB1",18
"GO:0005657","GO:0005657","replication fork","17/462","55/3901",0.000121948117500498,0.0294391484978963,0.0277608954842993,"POL1/MCM3/PRI2/MCM4/CDC45/PSF1/POL30/CTF4/POL12/CTF18/POL3/CSM3/MRC1/MCM6/TOF1/MCM10/DIA2",17
"GO:0031298","GO:0031298","replication fork protection complex","10/462","23/3901",0.000134486745079472,0.0294391484978963,0.0277608954842993,"MCM3/MCM4/CDC45/PSF1/CTF4/CSM3/MRC1/MCM6/TOF1/MCM10",10
"GO:0006270","GO:0006270","DNA replication initiation","17/462","56/3901",0.000156330379210903,0.0311097454629697,0.0293362558500077,"POL1/CDC6/MCM3/PRI2/RIF1/RAD53/SIN3/MCM4/SLD2/CDC45/CTF4/POL12/CTF18/BMH2/MCM6/EAF3/MCM10",17
"GO:0006273","GO:0006273","lagging strand elongation","8/462","16/3901",0.000197482731030242,0.0360241415187667,0.033970494346518,"POL1/DNA2/PRI2/POL30/POL12/RNH202/POL3/MPH1",8
"GO:0003677","GO:0003677","DNA binding","76/462","441/3901",0.000246221325487514,0.0414598831917052,0.0390963578365194,"SGS1/POL1/THI2/MND1/CDC6/MCM3/DMC1/SMC1/DNA2/PRI2/NRG1/FUN30/RIF1/RAD53/CWC24/SIP4/DPB2/MCM4/CMR1/SLD2/RME1/EXO1/CDC45/CTF13/SWP82/SWI4/RAD26/POL30/CTF4/POL12/MSH5/TOP3/TEL1/HCM1/TEC1/OGG1/RPO31/IES2/TDA9/SAE2/ECM5/NAM7/RAD54/THO1/SUT2/MSH3/CTF18/IOC2/SDD4/ABF1/POL3/BMH2/MPH1/FAP1/SAW1/CSM3/TAF2/SFL1/EBS1/EST3/TOP2/MIG2/COM2/MCM6/RPB8/RTT103/MOT1/MIG1/STM1/SPO11/MCM10/MATA1/DIA2/MRE11/RPA135/YKU80",76
"GO:0101031","GO:0101031","chaperone complex","7/462","13/3901",0.000282784431881345,0.0442153658134474,0.0416947572119788,"VTC1/TCP1/CCT2/CCT8/HSP42/CCT5/CCT3",7
"GO:0005832","GO:0005832","chaperonin-containing T-complex","6/462","10/3901",0.000369358060197959,0.0539016529182221,0.0508288530560138,"TCP1/CCT2/CCT8/HSP42/CCT5/CCT3",6
"GO:0003688","GO:0003688","DNA replication origin binding","11/462","31/3901",0.000525644398065905,0.0657745809899401,0.0620249348759455,"CDC6/MCM3/RAD53/MCM4/SLD2/CDC45/ABF1/BMH2/MCM6/MCM10/DIA2",11
"GO:0042737","GO:0042737","drug catabolic process","11/462","31/3901",0.000525644398065905,0.0657745809899401,0.0620249348759455,"DAL1/CTS1/PGU1/PDH1/THI20/GCV2/ALD6/CIT3/CDA2/ALD5/CTT1",11
"GO:0009062","GO:0009062","fatty acid catabolic process","8/462","18/3901",0.000540859962457251,0.0657745809899401,0.0620249348759455,"PDH1/POX1/ECI1/POT1/FOX2/CIT3/MDH3/EHD3",8
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","18/462","68/3901",0.000661169717463111,0.0721061467340284,0.0679955537233679,"SGS1/MCD1/MCM3/DMC1/MCM4/SLD2/CDC45/PSF1/CTF4/SAE2/RAD54/CTF18/MCM6/SAE3/ELG1/MCM10/MRE11/YKU80",18
"GO:0000228","GO:0000228","nuclear chromosome","54/462","299/3901",0.000686011481939541,0.0721061467340284,0.0679955537233679,"POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/SWC3/RIF1/SIN3/DPB2/MCM4/CMR1/CDC45/PSF1/CTF13/PLM2/SWP82/SWI4/CTF4/STB1/POL12/MSH5/ASK1/ARP7/HCM1/IES2/KAR9/ECM5/IRR1/CTF18/IOC2/POL3/CSM3/MRC1/TOP2/REC102/MCM6/REC107/SAE3/SAS4/HDA1/RTT103/MOT1/EAF3/REC114/SPO11/STU2/BIR1/TOF1/MCM10/DIA2/YKU80",54
"GO:0000725","GO:0000725","recombinational repair","19/462","74/3901",0.000712257200584242,0.0721061467340284,0.0679955537233679,"SGS1/MCD1/MCM3/DMC1/MCM4/SLD2/CDC45/PSF1/CTF4/SAE2/RAD54/CTF18/MPH1/MCM6/SAE3/ELG1/MCM10/MRE11/YKU80",19
"GO:0005694","GO:0005694","chromosome","71/462","420/3901",0.00072468489179928,0.0721061467340284,0.0679955537233679,"SGS1/POL1/MND1/MCD1/CDC6/MCM3/DMC1/SPT21/SMC1/DNA2/PRI2/SWC3/FUN30/RIF1/SIN3/DPB2/MCM4/CMR1/CDC45/PSF1/CTF13/PLM2/SWP82/SWI4/POL30/CTF4/STB1/POL12/MSH5/TOP3/ASK1/TEL1/ARP7/HCM1/OGG1/ELP2/STU1/IES2/KAR9/ECM5/IRR1/CTF18/SCP160/IOC2/POL3/MPH1/CSM3/MRC1/EBS1/EST3/TOP2/REC102/MCM6/REC107/SAE3/SAS4/HDA1/RTT103/MOT1/EAF3/REC114/ELG1/SPO11/STU2/BIR1/TOF1/MCM10/SDC1/DIA2/YKU80/CAC2",71
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","26/462","116/3901",0.000796453591663598,0.0758016048761572,0.0714803429406094,"SGS1/POL1/DAL1/MCM3/DMC1/DNA2/PRI2/DPB2/MCM4/EXO1/CDC45/PSF1/SWP82/POL12/TOP3/ARP7/OGG1/SAE2/RAD54/POL3/MPH1/EST3/TOP2/MCM6/SPO11/MRE11",26
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","17/462","64/3901",0.000889664830341436,0.0811448464007251,0.0765189794868226,"VBA1/PHO84/GIT1/MSB2/TNA1/QDR2/BAR1/TRK1/GEF1/AGP2/PNS1/YVC1/IRA2/FEX2/PEP4/ARN2/STE3",17
"GO:0006310","GO:0006310","DNA recombination","32/462","155/3901",0.000949327869995379,0.0831231482967954,0.0783845032867764,"SGS1/MND1/MND2/MCD1/MCM3/DMC1/MCM4/SLD2/EXO1/CDC45/PSF1/CTF4/MSH5/TOP3/SAE2/NAM7/RAD54/MSH3/CTF18/MPH1/EBS1/TOP2/REC102/MCM6/REC107/SAE3/REC114/ELG1/SPO11/MCM10/MRE11/YKU80",32
"GO:0000723","GO:0000723","telomere maintenance","17/462","65/3901",0.00107606960816009,0.0872413471208312,0.0822679337856508,"SGS1/DNA2/RIF1/EXO1/POL12/TOP3/TEL1/OGG1/SAE2/RAD54/MRC1/EBS1/EST3/STM1/ELG1/MRE11/YKU80",17
"GO:0060249","GO:0060249","anatomical structure homeostasis","17/462","65/3901",0.00107606960816009,0.0872413471208312,0.0822679337856508,"SGS1/DNA2/RIF1/EXO1/POL12/TOP3/TEL1/OGG1/SAE2/RAD54/MRC1/EBS1/EST3/STM1/ELG1/MRE11/YKU80",17
