"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006082","GO:0006082","organic acid metabolic process","101/645","340/3901",1.46225672053861e-10,2.74772068575925e-07,2.62610251593512e-07,"PUT2/PAH1/PHO84/ARO1/ARG3/FAU1/AIM45/GCR2/ISA1/HIS2/PDH1/HIS1/VTC1/JLP1/GTF1/PPT2/IAH1/SHM1/MET1/HIS3/THR1/MET2/PRO2/MAE1/SPE3/FPR1/MET32/CYS3/ARO3/TDA9/MET3/HER2/HSP31/ARG7/LYS5/CIT3/ARO7/PPX1/HIS7/PUT1/ADE6/HIS5/MRI1/PHO87/ACS1/ARG4/SOK2/ARG2/EHD3/DDP1/XBP1/ARG1/MDH1/GDH3/ILV6/TRP3/AAT2/POX1/LEU4/TRP2/DAL81/IDH1/DPS1/ADR1/ARO2/MMF1/UGA2/URA2/SER3/SPE1/MSE1/POT1/MET13/IDH2/GFA1/GUA1/GDH2/ARO8/CAT2/ICL2/HIS4/FAS1/TYS1/PUT3/GLY1/MDH3/GPM3/AAT1/FOX2/CRC1/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/SNO3/KGD2/ACC1/LSC1",101
"GO:0043436","GO:0043436","oxoacid metabolic process","100/645","338/3901",2.37486662554818e-10,2.74772068575925e-07,2.62610251593512e-07,"PUT2/PAH1/PHO84/ARO1/ARG3/FAU1/AIM45/GCR2/ISA1/HIS2/PDH1/HIS1/VTC1/GTF1/PPT2/IAH1/SHM1/MET1/HIS3/THR1/MET2/PRO2/MAE1/SPE3/FPR1/MET32/CYS3/ARO3/TDA9/MET3/HER2/HSP31/ARG7/LYS5/CIT3/ARO7/PPX1/HIS7/PUT1/ADE6/HIS5/MRI1/PHO87/ACS1/ARG4/SOK2/ARG2/EHD3/DDP1/XBP1/ARG1/MDH1/GDH3/ILV6/TRP3/AAT2/POX1/LEU4/TRP2/DAL81/IDH1/DPS1/ADR1/ARO2/MMF1/UGA2/URA2/SER3/SPE1/MSE1/POT1/MET13/IDH2/GFA1/GUA1/GDH2/ARO8/CAT2/ICL2/HIS4/FAS1/TYS1/PUT3/GLY1/MDH3/GPM3/AAT1/FOX2/CRC1/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/SNO3/KGD2/ACC1/LSC1",100
"GO:0019752","GO:0019752","carboxylic acid metabolic process","95/645","327/3901",2.13640136672487e-09,1.64787758753378e-06,1.57494009525928e-06,"PUT2/PAH1/ARO1/ARG3/FAU1/AIM45/GCR2/ISA1/HIS2/PDH1/HIS1/GTF1/PPT2/IAH1/SHM1/MET1/HIS3/THR1/MET2/PRO2/MAE1/SPE3/FPR1/MET32/CYS3/ARO3/TDA9/MET3/HER2/HSP31/ARG7/LYS5/CIT3/ARO7/HIS7/PUT1/ADE6/HIS5/MRI1/ACS1/ARG4/SOK2/ARG2/EHD3/XBP1/ARG1/MDH1/GDH3/ILV6/TRP3/AAT2/POX1/LEU4/TRP2/DAL81/IDH1/DPS1/ADR1/ARO2/MMF1/UGA2/URA2/SER3/SPE1/MSE1/POT1/MET13/IDH2/GFA1/GUA1/GDH2/ARO8/CAT2/ICL2/HIS4/FAS1/TYS1/PUT3/GLY1/MDH3/GPM3/AAT1/FOX2/CRC1/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/SNO3/KGD2/ACC1/LSC1",95
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","45/645","116/3901",4.54734203129986e-09,2.63063736510697e-06,2.51420147572658e-06,"PUT2/ARO1/ARG3/HIS2/HIS1/SHM1/MET1/HIS3/THR1/MET2/PRO2/FPR1/CYS3/ARO3/MET3/ARG7/LYS5/ARO7/HIS7/PUT1/HIS5/MRI1/ARG4/ARG2/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/ARO2/MMF1/URA2/SER3/MET13/IDH2/ARO8/HIS4/GLY1/LYS12/LYS2/ILV3/TRP5",45
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","54/645","154/3901",8.8790285756612e-09,4.109214424816e-06,3.92733453420299e-06,"PUT2/ARG3/HIS2/HIS1/SHM1/MET1/HIS3/THR1/MET2/PRO2/FPR1/CYS3/MET3/ARG7/LYS5/ARO7/HIS7/PUT1/ADE6/HIS5/MRI1/ARG4/SOK2/ARG2/XBP1/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/MMF1/UGA2/URA2/SER3/SPE1/MET13/IDH2/GFA1/GUA1/GDH2/ARO8/HIS4/PUT3/GLY1/AAT1/LYS12/LYS2/ILV3/TRP5/SNO3/KGD2",54
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","42/645","109/3901",1.92194519564757e-08,6.38882929841348e-06,6.10605029157382e-06,"PUT2/ARG3/HIS2/HIS1/SHM1/MET1/HIS3/THR1/MET2/PRO2/FPR1/CYS3/MET3/ARG7/LYS5/ARO7/HIS7/PUT1/HIS5/MRI1/ARG4/ARG2/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/MMF1/URA2/SER3/MET13/IDH2/ARO8/HIS4/GLY1/LYS12/LYS2/ILV3/TRP5",42
"GO:0006520","GO:0006520","cellular amino acid metabolic process","66/645","208/3901",1.93266227696173e-08,6.38882929841348e-06,6.10605029157382e-06,"PUT2/ARO1/ARG3/HIS2/HIS1/GTF1/SHM1/MET1/HIS3/THR1/MET2/PRO2/MAE1/FPR1/MET32/CYS3/ARO3/MET3/HER2/ARG7/LYS5/ARO7/HIS7/PUT1/ADE6/HIS5/MRI1/ARG4/SOK2/ARG2/EHD3/XBP1/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/DAL81/IDH1/DPS1/ARO2/MMF1/UGA2/URA2/SER3/SPE1/MSE1/MET13/IDH2/GFA1/GUA1/GDH2/ARO8/HIS4/TYS1/PUT3/GLY1/AAT1/LYS12/LYS2/ILV3/TRP5/SNO3/KGD2",66
"GO:0044283","GO:0044283","small molecule biosynthetic process","87/645","304/3901",2.50850625900875e-08,7.2558543541828e-06,6.93469953970707e-06,"PUT2/SRT1/THI6/ERG6/THI2/RIB7/PCK1/ARO1/NCP1/ARG3/FAU1/GCR2/ISA1/HIS2/HIS1/URA3/PPT2/SHM1/MET1/ERG1/IMD3/HIS3/THR1/MET2/THI20/PRO2/SPE3/RIB5/FPR1/CYS3/ARO3/TDA9/NUS1/MET3/HSP31/URA5/ARG7/LYS5/GID8/ARO7/HIS7/PUT1/HIS5/MRI1/IRC21/ARG4/ARG2/DUT1/DDP1/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/ARO2/MMF1/URA1/FBP1/URA2/SER3/SPE1/RIB3/MET13/IDH2/YFH7/UBP14/IPK1/GUA1/ARO8/HIS4/FAS1/GLY1/GPM3/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/SNO3/UME6/ACC1/HAM1",87
"GO:0016053","GO:0016053","organic acid biosynthetic process","59/645","181/3901",3.91785569192488e-08,9.06591807111416e-06,8.66464716708859e-06,"PUT2/ARO1/ARG3/FAU1/GCR2/ISA1/HIS2/HIS1/PPT2/SHM1/MET1/HIS3/THR1/MET2/PRO2/SPE3/FPR1/CYS3/ARO3/TDA9/MET3/HSP31/ARG7/LYS5/ARO7/HIS7/PUT1/HIS5/MRI1/ARG4/ARG2/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/ARO2/MMF1/URA2/SER3/SPE1/MET13/IDH2/ARO8/HIS4/FAS1/GLY1/GPM3/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/ACC1",59
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","59/645","181/3901",3.91785569192488e-08,9.06591807111416e-06,8.66464716708859e-06,"PUT2/ARO1/ARG3/FAU1/GCR2/ISA1/HIS2/HIS1/PPT2/SHM1/MET1/HIS3/THR1/MET2/PRO2/SPE3/FPR1/CYS3/ARO3/TDA9/MET3/HSP31/ARG7/LYS5/ARO7/HIS7/PUT1/HIS5/MRI1/ARG4/ARG2/ARG1/GDH3/ILV6/TRP3/AAT2/LEU4/TRP2/IDH1/ARO2/MMF1/URA2/SER3/SPE1/MET13/IDH2/ARO8/HIS4/FAS1/GLY1/GPM3/BIO3/ALD5/LYS12/PDB1/LYS2/ILV3/TRP5/ACC1",59
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","24/645","50/3901",1.92940421984415e-07,4.05876487701759e-05,3.87911795779191e-05,"PUT2/ARG3/PRO2/ARG7/HIS7/PUT1/ADE6/ARG4/SOK2/ARG2/XBP1/ARG1/GDH3/TRP3/IDH1/UGA2/URA2/IDH2/GFA1/GUA1/GDH2/PUT3/AAT1/SNO3",24
"GO:0015696","GO:0015696","ammonium transport","12/645","17/3901",1.05175789230165e-06,0.000202813980232168,0.000193837134361909,"ATO2/UGA4/ADY2/DUR3/MEP2/RSB1/MEP3/TPO3/SAM3/ATO3/CRC1/HNM1",12
"GO:0008519","GO:0008519","ammonium transmembrane transporter activity","11/645","15/3901",1.68117325208818e-06,0.000299248838871697,0.000286003643938241,"ATO2/UGA4/ADY2/DUR3/MEP2/MEP3/TPO3/SAM3/ATO3/CRC1/HNM1",11
