"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"HMLALPHA3","HMLALPHA3",289.60017373368,9.11923030575498,0.911528857401219,10.0043243082331,1.45884151762364e-23,6.89594385380693e-20,"Up"
"HMLALPHA2","HMLALPHA2",249.762060755634,11.3308990704519,1.24070478418914,9.13263107779276,6.68543678975971e-20,1.58010298525971e-16,"Up"
"MATALPHA1","MATALPHA1",242.994120062262,11.2907639185294,1.28356311516042,8.79642285227114,1.41246596704786e-18,2.22557554207841e-15,"Up"
"FIM1_3823","FIM1_3823",389.108717496193,2.43663188268107,0.280190470886869,8.69634101034397,3.42757350287408e-18,4.05053498702144e-15,"Up"
"SPT21","SPT21",1711.98297978609,2.41923848018596,0.330413656921078,7.32184771879394,2.44579612868205e-13,2.31225566005601e-10,"Up"
"GCR1","GCR1",7843.96965312465,1.81161924063568,0.252432686044968,7.17664288654346,7.14439797273467e-13,5.62859486951947e-10,"Up"
"PHO3","PHO3",4235.36854777757,3.22604326732492,0.452764579273482,7.12521123560839,1.03921186419922e-12,7.01764926009958e-10,"Up"
"ERG2","ERG2",2886.8201440377,2.24005291606619,0.321218353085117,6.97361434846973,3.0890013750835e-12,1.82521368750246e-09,"Up"
"CLB5","CLB5",663.498370058076,3.06192811975081,0.44294635426191,6.91263872089649,4.75720413100864e-12,2.49858932525309e-09,"Up"
"FIM1_1241","FIM1_1241",156.45837259093,4.62627172066043,0.675724371804134,6.84638872549265,7.57375056445632e-12,3.5801118918185e-09,"Up"
"SPS22","SPS22",1140.75079788319,3.25949761213942,0.485015282228171,6.7204018751022,1.81224039936948e-11,7.78769124347232e-09,"Up"
"SIP4","SIP4",13837.6099087737,-3.40727790355097,0.516949138532745,-6.59112792647616,4.36497562238694e-11,1.71943664725192e-08,"Down"
"FAT3","FAT3",42852.4677961856,1.79199551334055,0.273435436560504,6.55363304728071,5.61538561200966e-11,2.04184059907459e-08,"Up"
"DUR1","DUR1",13815.8222360737,2.85982387263544,0.440496641129654,6.49227168974868,8.45515973961933e-11,2.85482429208433e-08,"Up"
"PCK1","PCK1",66774.0779159873,-4.34167720490374,0.679174723194242,-6.39257772209823,1.63112268949414e-10,5.14021130215921e-08,"Down"
"FIM1_1376","FIM1_1376",5451.04800648125,2.4220967168992,0.38968763134471,6.21548266374579,5.11671228228874e-10,1.51166868489868e-07,"Up"
"DUR3","DUR3",15666.4161444391,3.07312741725812,0.498304597054038,6.1671664990176,6.95245411183333e-10,1.9331912109786e-07,"Up"
"ERG25","ERG25",15914.3344038748,1.61582933789187,0.263719474619745,6.1270762814226,8.95085657954412e-10,2.35059439175028e-07,"Up"
"YJL133C-A","YJL133C-A",3803.45761606832,-3.25676064306443,0.549876398040091,-5.92271400386052,3.16671301979247e-09,7.87844865503106e-07,"Down"
"SGS1","SGS1",1485.3430012255,1.92969250831285,0.327780292140269,5.88715232301723,3.9290656355022e-09,9.28634662950945e-07,"Up"
"UTR2","UTR2",13647.0171914989,2.53424351716092,0.433796897667134,5.84200470494264,5.15763494418623e-09,1.16095906576992e-06,"Up"
"GUT1","GUT1",35111.1001925287,-2.65084365765184,0.456497880472191,-5.80691339664025,6.36350298982238e-09,1.36728539240411e-06,"Down"
"FMP45","FMP45",4263.72455403186,-4.18211117852405,0.728811053410617,-5.73826530066061,9.56511986085573e-09,1.96584006879413e-06,"Down"
"ERG10","ERG10",7868.19948351933,1.53718468380024,0.269012694437385,5.71417154500875,1.10239750034245e-08,2.17126374338282e-06,"Up"
