"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"YGL138C","YGL138C",598.575806139778,2.9519659965761,0.217167203093324,13.5930562006066,4.4030358650382e-42,2.08043444623055e-38,"Up"
"ANT1","ANT1",9050.23779911835,2.17701831564482,0.173737721392765,12.530487324185,5.08492615292504e-36,1.20131380362854e-32,"Up"
"GYP6","GYP6",2800.32716822298,4.30831602685264,0.34593950466728,12.4539578993625,1.33078380934595e-35,2.09598449971988e-32,"Up"
"VHT1","VHT1",7633.81380374806,2.78585834873431,0.248677096954438,11.2027138118181,3.95431210986966e-29,3.9089562931532e-26,"Up"
"FAS2","FAS2",22465.7625239625,2.52995217968473,0.225914315905882,11.198724478969,4.1364616858764e-29,3.9089562931532e-26,"Up"
"FIM1_2817","FIM1_2817",7537.05737819358,2.34532596514185,0.210048438900252,11.1656433983572,6.00547967052409e-29,4.72931524053772e-26,"Up"
"AIM44","AIM44",3633.96030103729,-2.52371489773501,0.244168300324647,-10.3359645555114,4.8451290783942e-25,3.27046212791609e-22,"Down"
"SWI5","SWI5",1492.84060141279,-3.25727264931697,0.316648474582048,-10.2867151140277,8.08889371649014e-25,4.77750285130199e-22,"Down"
"FIM1_2780","FIM1_2780",2083.3676468076,-1.97743198033278,0.200165228284465,-9.87899845183173,5.13434908590903e-23,2.69553327010224e-20,"Down"
"HMLALPHA3","HMLALPHA3",149.34507707875,8.43468631357943,0.885792225527129,9.52219501425405,1.69559082693516e-21,8.01166665726861e-19,"Up"
"HMLALPHA2","HMLALPHA2",213.951876647193,11.3831189422792,1.21294442882309,9.38469947326777,6.3096118111172e-21,2.71026507341171e-18,"Up"
"MDH2","MDH2",90595.7617734498,1.65755697583776,0.180442529421103,9.18606595216516,4.07471345620322e-20,1.60441842338002e-17,"Up"
"FIM1_5006","FIM1_5006",628.508280712928,-1.74473405514228,0.19277816565952,-9.05047544763857,1.42347175433738e-19,5.1737723378801e-17,"Down"
"MATALPHA1","MATALPHA1",142.265057179244,10.795183477934,1.21629115777411,8.87549285295297,6.96244059200274e-19,2.34982369980093e-16,"Up"
"OSW5","OSW5",223.550778751824,3.86483601696761,0.438575050512066,8.81225690438879,1.22651147311294e-18,3.62204169403664e-16,"Up"
"YCT1","YCT1",2945.35009171295,1.78216562065865,0.202092804681622,8.81855058356124,1.15950822055292e-18,3.62204169403664e-16,"Up"
"PER1","PER1",1840.39598394251,-1.84179374994089,0.209344849172544,-8.7978937968656,1.39407876852604e-18,3.87471893016795e-16,"Down"
"FIM1_4318","FIM1_4318",5902.48425668497,1.31932608635839,0.152802071719791,8.63421595996271,5.91311950944138e-18,1.55219387122836e-15,"Up"
"FIM1_9","FIM1_9",1141.19714358794,-1.58150298192288,0.183862049292941,-8.6015737777573,7.86303296442742e-18,1.95541214510103e-15,"Down"
"PYK1","PYK1",77547.5009354718,2.51705023795218,0.29318185683811,8.58528650134736,9.06103299288152e-18,2.14066904456826e-15,"Up"
"ZIP1","ZIP1",1373.18784606227,-2.52139632274805,0.300172954050982,-8.39981180423008,4.47194756346369e-17,1.00618820177933e-14,"Down"
"FIM1_941","FIM1_941",830.904371658888,-2.01915231268097,0.245114869408725,-8.23757578457659,1.7573500690792e-16,3.77430867109055e-14,"Down"
"FIM1_1033","FIM1_1033",173.541256835737,-2.18755254608297,0.268204200743233,-8.15629486794367,3.45458455765094e-16,7.09691827604378e-14,"Down"
"GIC2","GIC2",4579.55596553439,1.49680127114855,0.184117530844505,8.12959669990717,4.30721043711551e-16,8.47982054807116e-14,"Up"
"VBA2","VBA2",1365.4462941745,1.54260224420695,0.191183850421506,8.06868488528684,7.10594016723438e-16,1.3430226916073e-13,"Up"
