"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"HMLALPHA3","HMLALPHA3",620.539701292471,10.3467934904176,0.91455162785077,11.3135149239556,1.1249095261208e-29,5.35794407291335e-26,"Up"
"HMLALPHA2","HMLALPHA2",615.465425736405,12.7584737370245,1.32257720272748,9.64667598285638,5.07749001019985e-22,9.50672539604467e-19,"Up"
"MATALPHA1","MATALPHA1",422.786712516411,12.2168032249309,1.26865298896422,9.62974377643264,5.98785979175604e-22,9.50672539604467e-19,"Up"
"MATA2","MATA2",37.950777525887,-7.68714512123721,1.28006899979947,-6.00525840594641,1.91027416193387e-09,2.27465895832275e-06,"Down"
"SLX1","SLX1",928.651127336149,2.43018160282048,0.427336194091279,5.68681435465162,1.29431023864201e-08,1.23295993333038e-05,"Up"
"MATA1","MATA1",7.0107956708703,-6.2230251259958,1.52475352793967,-4.08133184279605,4.47783688683356e-05,0.0355465618199804,"Down"
"CHA1","CHA1",9671.88956707331,-0.960572595500431,0.240176963973427,-3.99943683028114,6.34933918295049e-05,0.0432027178977045,"Normal"
"TOS6","TOS6",2055.5343910062,1.40881169044217,0.379939457053531,3.7079899554725,0.000208910940767178,0.124380351359259,"Up"
"YGR111W","YGR111W",2705.79548740383,1.53719681843741,0.424738566593134,3.61915997119689,0.000295560894203379,0.1564173932323,"Up"
"26S_rRNA","26S_rRNA",212.923159936006,-1.32955443207761,0.379656753141188,-3.50199073525547,0.000461795676501286,0.218802102131188,"Down"
"ywtG","ywtG",2684.62908377448,-2.18191983329686,0.62736304311561,-3.4779221652283,0.000505316633097431,0.218802102131188,"Down"
"FIM1_3","FIM1_3",2071.52707231283,1.27189892101252,0.368330156138018,3.45314902898127,0.000554082801468008,0.21992469861601,"Up"
"FIM1_2032","FIM1_2032",168.918169638286,2.32743406655827,0.686107453845467,3.39222967701861,0.000693263015075896,0.254000903138961,"Up"
"VHT1","VHT1",5567.69730985677,2.06401859149134,0.622818530056773,3.31399676130895,0.000919725725318569,0.31290383069231,"Up"
"WWM1","WWM1",17254.9611423544,0.88599508529437,0.277834189275851,3.18893469375974,0.00142798133835722,0.433972060764615,"Normal"
"GYP6","GYP6",878.321333598473,2.2804275456451,0.718187855391918,3.17525216908695,0.00149706341081805,0.433972060764615,"Up"
"AQY1","AQY1",23645.2960143756,-1.83200950657844,0.578768554898203,-3.16535770831687,0.00154892400440866,0.433972060764615,"Down"
"RAS2","RAS2",306.013899162834,-1.29609606064266,0.413413085030052,-3.13511136336782,0.00171788883463164,0.454572473297251,"Down"
"RHR2","RHR2",6416.77829869854,2.20077507281858,0.705565361482391,3.11916541395223,0.00181364112281794,0.454651193051676,"Up"
"UGA1","UGA1",15849.1892234033,1.1367553113291,0.367965193056281,3.08930119690758,0.0020062792860955,0.477795411983643,"Up"
"dao1","dao1",9536.82811833949,-1.09727768667858,0.36814973278715,-2.98052012253661,0.00287759331705855,0.584915861638589,"Down"
"YCR061W","YCR061W",32618.5241251726,-1.27571147595227,0.426166234742502,-2.99345976276858,0.00275833877466292,0.584915861638589,"Down"
"HAK1","HAK1",1886.01347429745,2.52781397204865,0.840949852619362,3.00590334153113,0.00264793155271121,0.584915861638589,"Up"
"THI73","THI73",707.834973842759,1.59065694323665,0.535001570754439,2.97318181887497,0.00294729806410375,0.584915861638589,"Up"
"YCT1","YCT1",2800.91758765795,1.48637159697596,0.517297958036294,2.87333745259376,0.00406160025165414,0.773816079945148,"Up"
"CTR2","CTR2",2420.91981354501,2.13796267783554,0.749535783063389,2.85238240274212,0.0043392864679533,0.794923901802368,"Up"
"GAL4","GAL4",3778.19185002934,-2.52142605286041,0.887930689610426,-2.8396653954676,0.00451608767957415,0.79667131917821,"Down"
"FIM1_2817","FIM1_2817",5286.57553693757,1.50637565755443,0.533781794426931,2.82208136973214,0.0047713069580872,0.81133263345065,"Up"
"STB1","STB1",1192.07528222079,0.735647267967115,0.261709725137994,2.81092828162662,0.00493987956541441,0.81133263345065,"Normal"
"GIS4","GIS4",6727.62670769387,-1.2940519996586,0.466423751346378,-2.77441274361176,0.00553014668587863,0.823127770776248,"Down"
"AIM44","AIM44",4548.09013634444,-1.63484814642687,0.588850531398249,-2.77633806756506,0.00549750125571307,0.823127770776248,"Down"
"FAS2","FAS2",12525.2272222429,1.26268763203665,0.451919374682127,2.7940550964977,0.00520516094689025,0.823127770776248,"Up"
"FIM1_500","FIM1_500",1344.85425792101,0.686369230091268,0.248780242340954,2.75893786272061,0.00579895601866067,0.836982652026691,"Normal"
"PYK1","PYK1",60254.8804580867,1.88651859068383,0.693226797913165,2.72135843040524,0.00650142257448517,0.910772815360967,"Up"
"RAD30","RAD30",1147.52158158385,-0.88314172665459,0.326849354524269,-2.70198400097808,0.00689270789854652,0.937999077736487,"Normal"
"PNS1","PNS1",7421.54616104202,-0.964942271437606,0.35900070487734,-2.68785620286539,0.00719123573524975,0.951440439083182,"Normal"
"SPS22","SPS22",332.016771361142,1.22363061305597,0.458350774919748,2.66963792800441,0.00759330791037322,0.951761199397569,"Up"
"FIM1_2325","FIM1_2325",230.748828313139,-1.89203099278148,0.707348523712603,-2.67482143434884,0.00747690625060045,0.951761199397569,"Down"
"FIM1_2","FIM1_2",13.9901941302002,0.0384680607182998,0.70536222199033,0.0545366047670571,0.956507645584805,0.997850022855211,"Normal"
"FIM1_7","FIM1_7",243.974138863681,-1.46724189315813,0.762647855728855,-1.92387860548812,0.0543698015313791,0.997850022855211,"Normal"
"PHO12","PHO12",2579.19667768317,-0.630357692082992,0.651701129067789,-0.967249654737706,0.333419244908715,0.997850022855211,"Normal"
"FIM1_9","FIM1_9",1663.01530333103,-0.410771084824554,0.440561355096148,-0.932381108948848,0.351139604099445,0.997850022855211,"Normal"
"URA1","URA1",9170.38171653142,-0.19240416141538,0.459268417740696,-0.4189361906527,0.675262766879418,0.997850022855211,"Normal"
"Nqo2","Nqo2",66464.5448883278,-0.868167135910175,0.681165200916453,-1.27453242582288,0.202474788505396,0.997850022855211,"Normal"
"CWP1","CWP1",228425.035379065,1.5911333187251,0.669342051387376,2.37716025076728,0.017446506759869,0.997850022855211,"Up"
"FIM1_14","FIM1_14",76.899588316403,-0.255202791196449,0.376563565233035,-0.677715038730628,0.497952389297434,0.997850022855211,"Normal"
"YJL163C","YJL163C",32286.4767989462,0.984026093433122,0.669523222934426,1.46974154103315,0.141631767306569,0.997850022855211,"Normal"
"str3","str3",1870.68605503027,0.342513728578553,0.399693430200285,0.856941102101481,0.391477435840492,0.997850022855211,"Normal"
"YPL109C","YPL109C",2417.84057692931,-0.250158836465036,0.245521479142355,-1.01888778667708,0.308256242585794,0.997850022855211,"Normal"
"ARL1","ARL1",3543.53140131963,-0.377941338748022,0.339796298365929,-1.11225855186043,0.266026999389637,0.997850022855211,"Normal"
"UBS1","UBS1",1626.55092433404,-0.0790055153272646,0.379972545202134,-0.207924273279366,0.835288096004814,0.997850022855211,"Normal"
"TYR1","TYR1",1692.60999154512,-0.115840268697555,0.284914111208476,-0.406579611680913,0.68431677420732,0.997850022855211,"Normal"
"DAL3","DAL3",742.48531720101,-0.359260400084035,0.374887906216272,-0.95831418972683,0.337904350688374,0.997850022855211,"Normal"
"YPL108W","YPL108W",599.147871134499,-0.20131006533608,0.368525799012105,-0.546257727072909,0.584888789934465,0.997850022855211,"Normal"
"POP7","POP7",432.276235400412,-0.309529783481892,0.406924414260791,-0.760656703393371,0.446862141798546,0.997850022855211,"Normal"
"PEX32","PEX32",1112.86194527598,-0.164549527886462,0.375172307828182,-0.4385972110762,0.66095341820692,0.997850022855211,"Normal"
"SSE1","SSE1",8894.75766673185,0.999800969766664,0.936757980877584,1.06729912119886,0.285836784818452,0.997850022855211,"Normal"
"NPL4","NPL4",3895.85900567916,0.462152295609352,0.25791270281102,1.79189427497096,0.0731499032213876,0.997850022855211,"Normal"
"SEC66","SEC66",1783.18127745131,-0.0840666916194389,0.518206825966125,-0.162226137146511,0.87112777794912,0.997850022855211,"Normal"
"SYH1","SYH1",2534.56448042292,-0.0275746351997665,0.278633987122245,-0.0989636457653986,0.92116713484105,0.997850022855211,"Normal"
"UMP1","UMP1",2932.85415699128,-0.0450066169217106,0.300393326127622,-0.14982562196668,0.880902194117933,0.997850022855211,"Normal"
"SWD3","SWD3",490.127578721034,-0.278152624582391,0.35645593048443,-0.780328227964608,0.435197701622122,0.997850022855211,"Normal"
"MSD1","MSD1",6199.07078197597,0.0601701274961251,0.371911905680839,0.16178596752899,0.871474403747071,0.997850022855211,"Normal"
"FIM1_35","FIM1_35",544.693577838228,0.193221413236244,0.612138512838976,0.315649823011662,0.752268316244889,0.997850022855211,"Normal"
