"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"IRC8","IRC8",661.263087787313,-2.26902723890025,0.173564727515185,-13.0730896270484,4.69203890589886e-39,2.21886519859957e-35,"Down"
"AIM44","AIM44",3918.44684628734,-2.8082231437157,0.235468276758787,-11.926120929625,8.65116693435532e-33,2.04556842162831e-29,"Down"
"HMLALPHA3","HMLALPHA3",369.32217822673,9.5977091032106,0.872830046467421,10.9960800983595,3.99106327305853e-28,6.2912460727646e-25,"Up"
"HMLALPHA2","HMLALPHA2",349.326082124828,11.9454778456367,1.20678112400463,9.89862834943619,4.2202327709792e-23,4.98937019349016e-20,"Up"
"URA2","URA2",49197.6069150159,1.93358450455104,0.203288518649034,9.51152833126433,1.87881626368761e-21,1.77698442219574e-18,"Up"
"FIM1_5006","FIM1_5006",698.542709079321,-1.71767363478025,0.182315181595806,-9.42145146523419,4.44894806229725e-21,3.50651256443395e-18,"Down"
"FIM1_2780","FIM1_2780",2405.01081763754,-1.69015453760941,0.180588494295959,-9.35914851164042,8.03818524758742e-21,5.43036829083442e-18,"Down"
"MATALPHA1","MATALPHA1",210.880148205228,11.2174361445322,1.20534036230129,9.30644695504546,1.32180120861979e-20,7.81349739445376e-18,"Up"
"FIM1_2817","FIM1_2817",6028.55030271921,1.76335793477639,0.200050921039417,8.81454544480176,1.20171624643955e-18,6.31435125490292e-16,"Up"
"CSN9","CSN9",555.305696575196,-1.36519972807099,0.158701264514914,-8.60232419851131,7.8117756867034e-18,3.69418872224204e-15,"Down"
"OSH7","OSH7",6288.69185264492,-1.17442742696407,0.140961421235983,-8.33155211309883,7.97893010021038e-17,3.43021458580863e-14,"Down"
"fmo1","fmo1",2329.30610303483,1.30496981343338,0.159023671586194,8.20613560495023,2.28421417116301e-16,9.00170734619158e-14,"Up"
"STE3","STE3",1795.14095965176,-1.68418632968191,0.209688178739542,-8.03186111780708,9.60050143646946e-16,3.49236702254339e-13,"Down"
"PYK1","PYK1",75652.5216944982,2.29807221984686,0.287953287886198,7.98071186030383,1.45491743115435e-15,4.91450323709208e-13,"Up"
"RMI1","RMI1",1036.49435059567,-1.77698039533178,0.223301243048699,-7.95777207090712,1.7516464721516e-15,5.52235744453661e-13,"Down"
"FIM1_9","FIM1_9",1348.99346820742,-1.23205587315226,0.158296184311428,-7.78323165849874,7.06950101387882e-15,2.08947939341456e-12,"Down"
"ZIP1","ZIP1",1575.05035496686,-2.21511698631657,0.28665227182918,-7.72754031280307,1.0964444791412e-14,3.05005055403454e-12,"Down"
"PER1","PER1",2169.66298615678,-1.46594232405696,0.196894149583478,-7.44533205866252,9.67008761005551e-14,2.54054690599736e-11,"Down"
"SOD1","SOD1",13775.1253106995,-1.3532772804026,0.183281460933665,-7.38360155745589,1.54064048985947e-13,3.83457309291865e-11,"Down"
"FAS2","FAS2",15337.4107858071,1.66748710755071,0.228736777806455,7.28998250102852,3.09995285700299e-13,7.32983853038357e-11,"Up"
"VHT1","VHT1",4622.56665797752,1.72970365128839,0.243776577781699,7.09544644127924,1.28934581242694e-12,2.90348397474619e-10,"Up"
"GIC2","GIC2",4838.21256646359,1.40762549510648,0.202074127295156,6.96588679584128,3.26341485914423e-12,7.01485857676958e-10,"Up"
"SWI5","SWI5",1817.28478313558,-2.23454499743707,0.321224033910297,-6.95634436264217,3.49215652356871e-12,7.18017747824194e-10,"Down"
"YGL138C","YGL138C",289.169839023105,1.49570572151743,0.216769499527146,6.89998235351427,5.20089994923215e-12,1.02479399416328e-09,"Up"
"GYP6","GYP6",962.636734332354,2.44560725938874,0.361797791265501,6.75959698602489,1.38376105566531e-11,2.6175224128965e-09,"Up"
