"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"HMLALPHA3","HMLALPHA3",903.977010284532,11.0867683311401,0.866659025416092,12.7925377870694,1.80482488346166e-37,8.52960239923981e-34,"Up"
"IRC8","IRC8",550.919018254973,-2.7341239839119,0.222737735590367,-12.2750820675495,1.23266753972399e-34,2.91279339636778e-31,"Down"
"FIM1_3087","FIM1_3087",3946.95023505566,-2.80572674844633,0.235625010779189,-11.9075930826192,1.08051353639219e-32,1.70216899099649e-29,"Down"
"YCT1","YCT1",3705.96855384791,2.25408505558479,0.200922732985553,11.2186661115488,3.30213493240031e-29,3.90147242263097e-26,"Up"
"GYP6","GYP6",3395.95724946258,4.64467316644542,0.42098823653172,11.0327861051658,2.65509938329643e-28,2.50959993709178e-25,"Up"
"GAS1","GAS1",13857.824699991,-1.61745405617897,0.147794631019851,-10.9439297288257,7.10518992217451e-28,5.59652126203279e-25,"Down"
"FAT3","FAT3",8959.09854635089,-2.54334179459631,0.242066468343459,-10.5067910148863,8.03822663216743e-26,5.42695129480332e-23,"Down"
"FIM1_4794","FIM1_4794",2919.52142191618,-2.01258730569953,0.195348571600564,-10.3025442633629,6.86219161018511e-25,4.05383969371685e-22,"Down"
"FIM1_2456","FIM1_2456",924.052038413845,-2.63346790797705,0.258116367451715,-10.2026381898067,1.9295856519341e-24,1.01324686567117e-21,"Down"
"HMLALPHA2","HMLALPHA2",341.854430303513,12.1089573868557,1.20605742947742,10.0401167397995,1.01553898887307e-23,4.79943726141413e-21,"Up"
"MET2","MET2",2709.0882642142,1.95960980320012,0.200444181179551,9.77633669218249,1.42266804202038e-22,6.11229924235303e-20,"Up"
"MATALPHA1","MATALPHA1",190.90302373249,11.2684092984074,1.20866563967145,9.32301616638203,1.13079124762825e-20,4.45343286357592e-18,"Up"
"FIM1_2817","FIM1_2817",5830.0815997484,1.94725068922039,0.210222891812555,9.26279089984478,1.99157130259643e-20,7.24012767390055e-18,"Up"
"INU1","INU1",183597.99388937,-5.81641005901903,0.630461930391963,-9.22563247459355,2.81892306892923e-20,9.51587887411395e-18,"Down"
"GMC2","GMC2",451.411290091394,1.86181402531547,0.203374682528908,9.15460077018597,5.45591693177292e-20,1.71897756130392e-17,"Up"
"MOT1","MOT1",5828.00220804109,1.4248521275565,0.164298955917015,8.67231395113781,4.23426268783099e-18,1.25069534141808e-15,"Up"
