"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"GPD2","GPD2",7641.03580945001,5.58103605124241,0.100056360041615,55.7789234879336,0,0,"Up"
"PEX11","PEX11",16250.2285667505,4.28391076520842,0.0873502917069648,49.042890200982,0,0,"Up"
"PHO3","PHO3",3327.7554230427,-5.77150840142488,0.140493772330942,-41.080172492128,0,0,"Down"
"STL1","STL1",63647.9274987794,6.14674760527245,0.159670878726093,38.4963598516726,0,0,"Up"
"JEN1","JEN1",77237.8387467999,6.70558053721225,0.167392595245311,40.0590033709994,0,0,"Up"
"YLH47","YLH47",11039.4769888368,3.58550604176388,0.0966136349667441,37.1118014863851,1.81259058651301e-301,1.46759417821337e-298,"Up"
"ADR1","ADR1",14747.957415491,3.75509476119875,0.103199077781248,36.3869023050617,6.85921628543631e-290,4.7602961020928e-287,"Up"
"NHP6","NHP6",14171.0293262807,-3.3147992410161,0.0912400916072063,-36.3305119780731,5.3379201369028e-289,3.24145200313423e-286,"Down"
"MET13","MET13",3713.28652253413,3.5452055398697,0.0991813557998144,35.7446771248547,8.0035148171334e-280,4.32011944240378e-277,"Up"
"AGC1","AGC1",5049.14929217537,2.87065211973583,0.0808882937861651,35.4890922452219,7.241601031413e-276,3.51796978106043e-273,"Up"
"CRZ1","CRZ1",2779.48171287697,3.29696261827415,0.0932469795877681,35.3573127285148,7.74028789014575e-274,3.41839259730255e-271,"Up"
"RCF1","RCF1",15400.7975998053,2.78035719533885,0.0861615509118395,32.269117325705,1.89757102427512e-228,7.68200002994045e-226,"Up"
"MDH1","MDH1",58606.8761608719,3.22952305704516,0.100279194885235,32.2053149782586,1.48702130451267e-227,5.55688422870964e-225,"Up"
"UGA2","UGA2",58506.9699271369,5.41677212322148,0.171514024680439,31.5820944282188,6.50394796162483e-219,2.25686994268382e-216,"Up"
"FIM1_4324","FIM1_4324",3132.64062643298,5.02605330182169,0.159415692284383,31.5279708653504,3.59450703172997e-218,1.16414101067628e-215,"Up"
"LTV1","LTV1",1066.09277790381,3.97094795368035,0.13023808898535,30.4899126255378,3.54561969411844e-204,1.07653877962671e-201,"Up"
"SIP4","SIP4",31604.3486003205,4.91028478821378,0.163530952412537,30.0266384789755,4.40771699822137e-198,1.25956995160938e-195,"Up"
"HOS4","HOS4",2921.34777381672,3.65411346758658,0.122817165227129,29.7524654703511,1.61135815962462e-194,4.34887663303132e-192,"Up"
"MDJ1","MDJ1",22011.2257548634,3.12256056979996,0.105344605875277,29.6413902150521,4.37898960381198e-193,1.11963849975361e-190,"Up"
"VHS2","VHS2",7391.24731988354,3.39741341185412,0.117915646780459,28.8122357347501,1.50716500111308e-182,3.66090378770367e-180,"Up"
"RAD16","RAD16",1799.6790703251,3.15501972245127,0.109809253006858,28.7318202797921,1.52828965931556e-181,3.53544341188334e-179,"Up"
"YAT1","YAT1",41081.4066363737,5.61709680087734,0.1958042392371,28.6873094411178,5.49359404789965e-181,1.21308544930439e-178,"Up"
"HUA1","HUA1",1420.86078533317,3.52838059153032,0.123879028564185,28.4824690056571,1.93153921826555e-178,4.0797467488409e-176,"Up"
"MET4","MET4",1828.48119831793,3.2658895783743,0.115876760972268,28.184163511059,9.14354633434063e-175,1.85080617050945e-172,"Up"
"IDP2","IDP2",44816.1436675473,2.58496132302577,0.0925221059607081,27.9388508960608,9.00567287683811e-172,1.74998235342718e-169,"Up"
"MLS1","MLS1",33664.557822612,6.1725665843346,0.223959958006811,27.5610276018487,3.26442308783713e-167,6.09944898488952e-165,"Up"
