"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"GPD2","GPD2",8066.88779878658,-5.60365526061422,0.113660364081228,-49.3017535700444,0,0,"Down"
"PEX11","PEX11",10467.3326751063,-3.5459105262965,0.090286469409502,-39.2739969730538,0,0,"Down"
"CAT2","CAT2",13642.0450629345,-6.81227902622704,0.159209815676105,-42.7880592493486,0,0,"Down"
"YAT2","YAT2",50486.8268681244,-6.63435802247001,0.169062218281025,-39.2421091473081,0,0,"Down"
"MLS1","MLS1",41710.4776790829,-6.42715846072988,0.160312620768805,-40.0914065898704,0,0,"Down"
"ICL1","ICL1",106102.463662961,-9.30305420614324,0.167830069045577,-55.4313911627887,0,0,"Down"
"ICL2","ICL2",26695.1591187961,-7.97515553864317,0.162317485814664,-49.1330647380117,0,0,"Down"
"PDH1","PDH1",70996.4456033734,-9.1349249258803,0.209698319856148,-43.5622227786412,0,0,"Down"
"CRC1","CRC1",29593.8710231515,-7.94858936213273,0.15617619900563,-50.8950109731265,0,0,"Down"
"YAT1","YAT1",26645.9110010067,-4.91707223397633,0.140262366725457,-35.0562474366398,3.13174573470313e-269,1.52140207791878e-266,"Down"
"PHO3","PHO3",3503.36396318798,5.03895809816221,0.150261648384491,33.5345589000094,1.51188533090402e-246,6.67703539775611e-244,"Up"
"JEN1","JEN1",31904.028379726,-5.35217414705892,0.163523480667603,-32.7303095873942,5.7885962020699e-235,2.34341669580463e-232,"Down"
"PGM2","PGM2",29266.2056397529,-3.33487787002067,0.102099832729499,-32.6629121798467,5.25420645344456e-234,1.96345653467951e-231,"Down"
"FIM1_4324","FIM1_4324",2557.131963902,-4.66487927742662,0.148376552133948,-31.4394640550441,5.84829825812764e-217,2.02935949557029e-214,"Down"
"CIT3","CIT3",25488.2402621319,-10.3817568094069,0.338903461890564,-30.6333749189002,4.40066396035274e-206,1.42522836795957e-203,"Down"
"EHD3","EHD3",29536.250968225,-2.55911879550654,0.0841327644005539,-30.4176240224634,3.21220255455992e-203,9.75305000628256e-201,"Down"
"STL1","STL1",25412.6910332218,-4.73358757846031,0.157975450768093,-29.9640707176028,2.88520301974236e-197,8.24489192347551e-195,"Down"
"AGC1","AGC1",5261.18768592708,-2.87317465612896,0.096294011880871,-29.8375215655515,1.27451838655025e-195,3.43978351214506e-193,"Down"
"PCK1","PCK1",111468.622032584,-5.2856763690019,0.186421957719838,-28.3532928934553,7.62306031085455e-177,1.94909615737534e-174,"Down"
"NHP6","NHP6",15907.4153433212,2.41643920383609,0.0862564199054179,28.0146011912594,1.07886406602651e-172,2.62056081637839e-170,"Up"
"RCF1","RCF1",17573.082996376,-2.93273945380058,0.106663896525124,-27.4951464304493,2.00665175175752e-166,4.64205438573241e-164,"Down"
"FIM1_3548","FIM1_3548",2455.62354366376,6.02613765855191,0.221502578656107,27.2057223672676,5.55745444039168e-163,1.22718698506467e-160,"Up"
"DIP5","DIP5",10907.3490854046,-3.32399923383371,0.126560557752672,-26.2641007029186,4.93327184905933e-152,1.04199281055349e-149,"Down"
"LTV1","LTV1",1381.13648059867,-4.30446710002979,0.16394089627791,-26.2562130484691,6.0704514312597e-152,1.22876054387748e-149,"Down"
"ACS1","ACS1",21460.6125350896,-5.33001418967674,0.203907997236248,-26.1393092076786,1.30386266602251e-150,2.53366593261493e-148,"Down"
"YJR030C","YJR030C",2720.67770201973,2.99925095969126,0.115643366242083,25.9353481064599,2.66065861018105e-148,4.97133828009982e-146,"Up"
"VHS2","VHS2",6732.26486170433,-3.18529793914883,0.122953351806135,-25.9065563675825,5.61808269338329e-148,1.01083873053541e-145,"Down"
"ADY2","ADY2",2008.46714652988,-3.22926732803872,0.125626476514845,-25.705308447914,1.01959010307509e-145,1.76898882883528e-143,"Down"
"MDH3","MDH3",60664.5384850735,-2.59919022161041,0.103889165853883,-25.0188766099642,3.81002674322585e-138,6.38245169606592e-136,"Down"
"BSC6","BSC6",31603.3082674542,-4.33319599813128,0.173460284358231,-24.9809114182146,9.85792570276743e-138,1.59632676880147e-135,"Down"
"PET117","PET117",2282.57393714302,-2.82885547557588,0.113745818091717,-24.8699734463634,1.57258411943091e-136,2.46439150070818e-134,"Down"
"FIM1_2501","FIM1_2501",1851.52120728619,-5.48921420213921,0.221111206771417,-24.8255811285672,4.74718332798404e-136,7.20681768979578e-134,"Down"
"MET13","MET13",2488.36912924573,-2.84061241957411,0.114557760594026,-24.7963333504813,9.81971260856725e-136,1.4455807228006e-133,"Down"
"ERG2","ERG2",2350.25528339338,3.17971505889069,0.130699584426945,24.3284251654832,9.80990324554854e-131,1.40166205784926e-128,"Up"
"MDS3","MDS3",3085.60069932281,-3.04242896925513,0.127769185480816,-23.8119148823403,2.51370578460003e-125,3.48902362902485e-123,"Down"
"HEK2","HEK2",2763.91902940186,-3.52103398289579,0.14932318929713,-23.5799543223623,6.18956435903023e-123,8.35247323782468e-121,"Down"
"MEP2","MEP2",5004.24838718684,3.66025463673289,0.157972237924676,23.1702398144044,9.08936827324541e-119,1.19340948841692e-116,"Up"
"ADH3","ADH3",5647.16897924402,-2.58714908394991,0.112964379488709,-22.9023440456157,4.40289053712838e-116,5.62874795509728e-114,"Down"
"MMF1","MMF1",24682.8512825062,-2.15313070581084,0.0949404690125923,-22.6787451990074,7.26308205413012e-114,9.04719297922157e-112,"Down"
"MDH1","MDH1",43251.4580766276,-2.66933519607369,0.117999411420846,-22.6215975480884,2.65683768132562e-113,3.22672936396996e-111,"Down"
"CRZ1","CRZ1",2796.11358753656,-3.24324403210848,0.143804141011962,-22.5532033311801,1.24908998458077e-112,1.48001930368132e-110,"Down"
"CEM1","CEM1",3008.01721910808,-2.23233044864424,0.0995820899567726,-22.4169873278746,2.68772294181271e-111,3.10879953603003e-109,"Down"
"PDAT9","PDAT9",3773.95467740572,2.27464833084761,0.102608607530494,22.1682019237189,6.9637071581527e-109,7.86736962193159e-107,"Up"
"VID24","VID24",5451.60917014046,-4.70168296306408,0.212555684810952,-22.1197704838888,2.03963383150998e-108,2.25194117124443e-106,"Down"
"FIM1_1376","FIM1_1376",4401.32515445939,3.68003624501848,0.166407788141829,22.1145673896104,2.2889250840459e-108,2.47102179073222e-106,"Up"
"ADH4b","ADH4b",51435.9391849975,-3.26878635022986,0.149035675790021,-21.9329119212726,1.26094244658842e-106,1.33166487076663e-104,"Down"
"LSC1","LSC1",13225.8688036244,-3.74034808531287,0.170696713173875,-21.9122443295254,1.98552860875275e-106,2.05227616623848e-104,"Down"
"PUT1","PUT1",23230.6975125331,4.37995754630653,0.201242057320727,21.7646231837415,5.02209092383596e-105,5.08277452249898e-103,"Up"
"UGA2","UGA2",13733.3860945092,-3.14767548565421,0.144652151225909,-21.7603088442035,5.51755292649786e-105,5.47025961569931e-103,"Down"
"IDP2","IDP2",39946.697838376,-2.32086120002046,0.107778151891159,-21.5336889647562,7.52950505730152e-103,7.31566711367416e-101,"Down"
"YUC8","YUC8",4452.07412993786,-4.48393095016222,0.20915519293758,-21.4382960670759,5.87247424635633e-102,5.59381958603903e-100,"Down"
"ILV2","ILV2",9761.55487848299,-3.13860892187454,0.14679139216675,-21.3814234986558,1.98967156608887e-101,1.8588123977038e-99,"Down"
