"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"CFL1","CFL1",9065.86126137418,-3.54213277166171,0.0868152445051887,-40.8008154771713,0,0,"Down"
"PDH1","PDH1",74424.1956355934,-3.0161157008432,0.103426649628481,-29.16188150421,5.90571022055057e-187,1.43449701257173e-183,"Down"
"FOX2","FOX2",12670.056374743,-2.74589531929216,0.0952301489243222,-28.8343066802749,7.97167589894341e-183,1.2908800505689e-179,"Down"
"YUC8","YUC8",4474.60670787099,-3.0195649223919,0.11627391895149,-25.9694086999138,1.09780389125477e-148,1.33328282592892e-145,"Down"
"IME1","IME1",7320.11779114281,-2.1484482122172,0.0971275205512458,-22.1198708669151,2.0351007434741e-108,1.97730388235943e-105,"Down"
"YBL029W","YBL029W",1472.60407315798,-2.43954027823486,0.111881770856325,-21.8046269697289,2.09708904331975e-105,1.69794309540789e-102,"Down"
"ADY2","ADY2",2174.48107467901,-1.82448152111006,0.0843003357692046,-21.642636467132,7.13072406256902e-104,4.9487224994229e-101,"Down"
"CIT3","CIT3",27013.3400178848,-2.8978994891393,0.135262275014166,-21.4242994865775,7.93188897852626e-102,4.81663958221007e-99,"Down"
"ARO8","ARO8",45291.6717323398,-1.57036823821354,0.0754949165119007,-20.8009798642005,4.24057068678761e-96,2.2889658218238e-93,"Down"
"FIM1_1711","FIM1_1711",25831.07167534,-1.89910239483145,0.098957856149645,-19.1910220039489,4.39902931150527e-82,2.13704843952926e-79,"Down"
"FIM1_4318","FIM1_4318",5916.86749018036,-1.21515171306215,0.0636239519518416,-19.0989662820996,2.57535537733089e-81,1.13737058391577e-78,"Down"
"DAL5","DAL5",16970.8439451723,-1.33316194888046,0.0763202935287612,-17.4679877034024,2.51199429662955e-68,1.01693902441886e-65,"Down"
"ANT1","ANT1",10660.4138855407,-1.10254635334257,0.0632524688998286,-17.4308825018141,4.80979509695325e-68,1.79738342930761e-65,"Down"
"MMF1","MMF1",26999.6413940865,-1.20068585476531,0.0692009912723886,-17.3507031140518,1.94844763870764e-67,6.76111330631551e-65,"Down"
"LAC4","LAC4",59086.5798053636,-2.30460135262695,0.139593417576267,-16.5093841288601,3.14072086129127e-61,1.01717479627687e-58,"Down"
"RGI1","RGI1",54074.5490588446,-1.54935393449459,0.0940641772229209,-16.4712431473546,5.9044441995149e-61,1.79273687007771e-58,"Down"
"CRC1","CRC1",39835.1400796613,-1.15850765407307,0.0713526506631941,-16.236364638247,2.78974255159112e-59,7.97209959742921e-57,"Down"
"CTR1","CTR1",226172.680486825,-1.14438677329795,0.0713366583565433,-16.0420574731475,6.49659009839587e-58,1.67610289281479e-55,"Down"
"FLO1","FLO1",8751.313858,-1.91817265821894,0.119575655127958,-16.0414982143841,6.55536331072068e-58,1.67610289281479e-55,"Down"
"BTN2","BTN2",587.700576926909,2.22339854580422,0.139604957520331,15.9263580985684,4.15884749687963e-57,1.01018405699206e-54,"Up"
"PFK27","PFK27",1045.35354485654,-1.61117089183397,0.10133571937921,-15.8993383745053,6.40374892546151e-57,1.48140058475676e-54,"Down"
"FIM1_4424","FIM1_4424",111090.102858386,-1.38685038319611,0.0876131274461823,-15.8292532594274,1.95527893351215e-56,4.31761139045546e-54,"Down"
"bioA","bioA",1949.42933457524,-1.5679261760479,0.0993570956954365,-15.7807166672236,4.2236506215078e-56,8.92108466055865e-54,"Down"
"RPN5","RPN5",9885.40759860998,-0.951003412703365,0.0604064225941379,-15.7434155485919,7.62163080144081e-56,1.54274510139164e-53,"Normal"
"VHT1","VHT1",9670.5415314016,-1.06560931100267,0.0683515473401286,-15.5901271071453,8.49643324790611e-55,1.65102690873312e-52,"Down"
"ACS1","ACS1",25908.9216341777,-1.62739063080706,0.104871690685455,-15.517921187026,2.62415425684384e-54,4.90313129990284e-52,"Down"
"RSP5","RSP5",19059.7975571032,-0.91235673597585,0.0595789516915739,-15.3134070015012,6.22176114895435e-53,1.11945613561556e-50,"Normal"
"GAL1","GAL1",40075.5786304114,-1.44528714765534,0.0945880936641448,-15.2797999374756,1.04260301737119e-52,1.80891623513901e-50,"Down"
"FET3","FET3",42051.0599644897,-1.15430962826002,0.0759831879272046,-15.1916451487388,4.01709760160094e-52,6.72933108571634e-50,"Down"
"FTR1","FTR1",40008.1116150284,-0.991587930246249,0.0663825307281495,-14.9374830903481,1.87940732854783e-50,3.04338693402845e-48,"Normal"
"AGP2","AGP2",9240.93828399155,-1.10516220027177,0.074483572404692,-14.8376637235803,8.36177184088851e-50,1.31037056783988e-47,"Down"
"YGL138C","YGL138C",708.295880660064,-1.47052789530393,0.0994565183532759,-14.7856361719854,1.81335810623358e-49,2.75290427502586e-47,"Down"
"ywtG","ywtG",1979.41547951444,-1.12745299905972,0.0766795160602224,-14.7034443745608,6.12626314037033e-49,9.01860191997547e-47,"Down"
"MOH1","MOH1",18419.0580088732,-0.988605208050607,0.0673055054543442,-14.6883260348028,7.65823684831329e-49,1.09422690026782e-46,"Normal"
"FMP32","FMP32",3182.62706272324,-0.99973220289772,0.0681645998066988,-14.666442783098,1.05745280766051e-48,1.46774449703278e-46,"Normal"
"FIM1_4577","FIM1_4577",1321.17276356183,-1.43323845595489,0.0978314217817525,-14.6500830699592,1.34551104627223e-48,1.81569240633069e-46,"Down"
"GYP6","GYP6",3329.26807084627,-1.8710316693354,0.128621394368622,-14.5468153142013,6.11859209269862e-48,8.03354605035943e-46,"Down"
"GDH3","GDH3",5062.74556469556,-1.2080902257378,0.0835668228282797,-14.4565772019392,2.27850018314265e-47,2.91288260255447e-45,"Down"
"GAL80","GAL80",25809.4462213772,-1.73001657865361,0.121481992492774,-14.2409302247534,5.10430525522036e-46,6.35813203329757e-44,"Down"
"FIM1_4599","FIM1_4599",1171.23769790238,-1.50841231007429,0.10649345281012,-14.1643666372976,1.52233236776729e-45,1.84887266065337e-43,"Down"
"PEP4","PEP4",36373.69847658,-0.919053041496695,0.0648948545705771,-14.1621866260162,1.57030856204407e-45,1.86062414497807e-43,"Normal"
"FSH1","FSH1",4664.08491960475,1.17055142622564,0.0844095541755023,13.867522908507,9.9659396654022e-44,1.15272702129819e-41,"Up"
"ARO3","ARO3",2549.86450158054,0.973854835288507,0.0714983534392206,13.6206610144717,3.01823455369775e-42,3.40990313066597e-40,"Normal"
"NSR1","NSR1",4153.14983802944,0.896562813639815,0.0662142282158776,13.5403347255934,9.03761619267694e-42,9.97834987818741e-40,"Normal"
