"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"YUC8","YUC8",3717.76618179368,-3.98543117767639,0.121697092934296,-32.7487788046681,3.16025581004836e-235,1.5355682981025e-231,"Down"
"ZIP1","ZIP1",2972.40841445207,3.99744032458736,0.122228254567341,32.7047157691757,1.33836885614974e-234,3.25156713601579e-231,"Up"
"RGI1","RGI1",41194.0368688428,-2.60587038375147,0.0824061764634858,-31.62227026643,1.82484753254381e-219,2.95564472021012e-216,"Down"
"FIM1_2702","FIM1_2702",6101.83053471212,2.93147512700157,0.102030142457932,28.7314616679109,1.54413703296372e-181,1.87574046079268e-178,"Up"
"DIT1","DIT1",2904.34543205422,-2.32802592784344,0.0844971137071721,-27.5515437830374,4.2408559887045e-167,4.12126384982303e-164,"Down"
"DIT2","DIT2",4045.20606632771,-2.34468184860883,0.0874948028415862,-26.7979556780532,3.41345776551369e-158,2.7643318804385e-155,"Down"
"SPT10","SPT10",2570.90538858112,2.60778816978997,0.0979474872548007,26.6243498723563,3.54751764208313e-156,2.46248403184027e-153,"Up"
"MMF1","MMF1",19464.8666218166,-2.48632644437725,0.0942376148007696,-26.3835884390077,2.11421753514816e-153,1.14144255592055e-150,"Down"
"FIM1_4794","FIM1_4794",3688.08151612701,-2.67430399186412,0.101361502614232,-26.3838234723309,2.1011290673244e-153,1.14144255592055e-150,"Down"
"SOR1","SOR1",68718.4154982905,-3.04356493182007,0.119231343895589,-25.526550589628,1.00023653233737e-143,4.86014931062728e-141,"Down"
"INU1","INU1",22149.8162495479,-2.81365031057142,0.110680612764221,-25.4213474275322,1.46478519311474e-142,6.47035568485864e-140,"Down"
"FIM1_2763","FIM1_2763",23412.6321421705,-2.99231471076723,0.120946307447424,-24.7408521510092,3.88930600638404e-135,1.57484482375167e-132,"Down"
"TOP1","TOP1",2226.22735510139,2.69269675672102,0.109006106262447,24.7022561308446,1.01142012572272e-134,3.78037722375899e-132,"Up"
"HMLALPHA3","HMLALPHA3",906.822005893968,2.59878760316013,0.107308032812558,24.2180155114726,1.43728138304432e-129,4.98839302872309e-127,"Up"
"BRR1","BRR1",1909.3471517632,2.63976290971414,0.10912298463127,24.1907139786727,2.78624218182552e-129,9.02556717432681e-127,"Up"
"CKI1","CKI1",4789.80948147837,1.84189251845408,0.0771764239705461,23.8659997923332,6.90851325516443e-126,2.06103813697975e-123,"Up"
"MPG1","MPG1",10900.1523746909,-2.03514868995192,0.0852803784491367,-23.8642080037876,7.21087637963692e-126,2.06103813697975e-123,"Down"
"DAL5","DAL5",12293.0489139231,-2.7121390024888,0.11387185156825,-23.8174664338645,2.20189266028935e-125,5.94388690908108e-123,"Down"
"YBL029W","YBL029W",1246.07393694222,-2.82010932373484,0.119797474637301,-23.5406408379893,1.56545994944861e-122,4.00345783914253e-120,"Down"
"STE3","STE3",1680.42455271443,2.21285380956759,0.0940995533778082,23.5160925863592,2.79211551054849e-122,6.78344463287755e-120,"Up"
"HRP1","HRP1",3565.83376390683,2.09872049809317,0.0907340001073078,23.1304747460829,2.28600828870962e-118,5.28938774992384e-116,"Up"
"RAD16","RAD16",1649.43881425836,2.08668105566497,0.0906607780702521,23.0163594454046,3.19689292708749e-117,7.06077396941733e-115,"Up"
"PTP2","PTP2",8226.75736448935,2.25966953934702,0.0982927913862995,22.9891684575964,5.98241839780821e-117,1.26385091282392e-114,"Up"
"FIM1_4812","FIM1_4812",6793.03629363305,2.38104313461721,0.103975588441249,22.900020767496,4.64396323073307e-116,9.40209055755499e-114,"Up"
"FIM1_1970","FIM1_1970",6791.87144166291,2.87604965285949,0.129638336658551,22.1851786052654,4.77532925050924e-109,9.28132993128976e-107,"Up"
"ADY2","ADY2",1793.7866105225,-2.28585659885747,0.103964891621309,-21.9868126942668,3.85105260923885e-107,7.19702485703521e-105,"Down"
"TUB2","TUB2",4621.79450948989,-2.06821029388355,0.0941993938304641,-21.9556645725961,7.64553023342325e-107,1.37591227422976e-104,"Down"
"NRD1","NRD1",2440.34283447386,2.20083962090916,0.1006998828422,21.855433777991,6.90125599221576e-106,1.19761438807773e-103,"Up"
"EXO5","EXO5",1028.49530401056,2.28529340016898,0.104725702454557,21.82170514598,1.44374646357075e-105,2.4190220918932e-103,"Up"
"BRL1","BRL1",1185.64563272078,2.04220916237701,0.0952466244641598,21.4412759913131,5.50825965909721e-102,8.92154456118444e-100,"Up"
"RPL32","RPL32",6898.36236510502,-1.8711391749221,0.0875766589871615,-21.3657291401856,2.78471423457277e-101,4.36481498896422e-99,"Down"
"MRX10","MRX10",8758.64968763284,2.35200642998445,0.110948379934085,21.1991056686163,9.73283716185539e-100,1.47787049279548e-97,"Up"
"RPL8B","RPL8B",8915.19603317417,-1.53942164100103,0.0728320584186236,-21.1365938904645,3.66599722273641e-99,5.39790318341704e-97,"Down"
"PUT4","PUT4",5295.52828940621,-2.56390098185295,0.122195574128843,-20.9819463604268,9.58874613492618e-98,1.37034463145901e-95,"Down"
"FIM1_4026","FIM1_4026",1450.34762327135,2.24118193316048,0.107059099678592,20.9340629604476,2.62169224752393e-97,3.63965789449108e-95,"Up"
"YGL138C","YGL138C",536.303882810681,-2.52267957449878,0.121130487365193,-20.8261324574154,2.50924017637741e-96,3.38677722694939e-94,"Down"
"YLH47","YLH47",11044.7377842018,1.67401887699453,0.0806929781871926,20.7455334355255,1.34524015860443e-95,1.76662754882674e-93,"Up"
"TUB1","TUB1",4070.76655819752,-1.69597588965469,0.0823722017131699,-20.5891775912496,3.43143881754022e-94,4.38772663537577e-92,"Down"
"BTN2","BTN2",623.963279580431,2.55161227026017,0.12570460598261,20.2984787256973,1.3262752003906e-91,1.652402871461e-89,"Up"
"GIC2","GIC2",3688.39789094949,-1.90966490657415,0.0947319152778651,-20.1586223710645,2.26089580411106e-90,2.74642317804391e-88,"Down"
"FIM1_2065","FIM1_2065",912.049408454137,3.31673139532384,0.164654326541252,20.1436030561449,3.06227689862677e-90,3.62917157327499e-88,"Up"
