"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"GCR1","GCR1",7201.57821561835,2.24406365142853,0.200495946519443,11.1925636921089,4.43424147223384e-29,2.15371108306398e-25,"Up"
"OPI10","OPI10",1009.4171373789,-2.25745415444343,0.209646854058983,-10.7678894805085,4.88060710724883e-27,1.18525543599538e-23,"Down"
"AGA2","AGA2",249.11733008828,3.82947416241995,0.362326285244109,10.5691315214405,4.14313550790499e-26,6.70773638729817e-23,"Up"
"FIM1_1376","FIM1_1376",5237.50347892816,2.55040873229321,0.256037907055118,9.96105913232674,2.25645876168107e-23,2.73990505137124e-20,"Up"
"HMG1","HMG1",10838.1037380565,2.21430006444672,0.222906470988473,9.93376304701905,2.96837075694782e-23,2.88347535329911e-20,"Up"
"FIM1_3918","FIM1_3918",2456.80698644421,2.28824322056242,0.235622817278782,9.71146702594186,2.69430902223507e-22,2.18104315349929e-19,"Up"
"HSP26","HSP26",270620.1516182,-2.41134234291108,0.249189852126336,-9.67672769310268,3.78641368471052e-22,2.62723018094843e-19,"Down"
"FIM1_3823","FIM1_3823",373.292197202967,2.5866667340059,0.281643301951282,9.18419403580679,4.14620497843362e-20,2.51726469753151e-17,"Up"
"ARO10","ARO10",19263.2497506596,-2.29293922928425,0.264094831934254,-8.68225709867383,3.87991169096046e-18,2.09385900922166e-15,"Down"
"cyp524A1","cyp524A1",28952.5932768382,1.79737664301061,0.208096074055432,8.63724436498418,5.75851244921452e-18,2.79690949658349e-15,"Up"
"ERG25","ERG25",16046.1295436213,1.42464304999043,0.167227853547922,8.51917321047342,1.60696358920184e-17,7.09547468432124e-15,"Up"
"YJL133C-A","YJL133C-A",2601.20803909912,-2.68196407484017,0.325688058415834,-8.23476331273983,1.79912980767582e-16,7.28197789656789e-14,"Down"
"DAP1","DAP1",9057.29938965537,1.70851994640231,0.20914417023613,8.16910145988454,3.10694786049552e-16,1.16080351987898e-13,"Up"
"HGT1","HGT1",22153.0896738367,-3.85141758416705,0.480527743642317,-8.01497444242027,1.10159920157477e-15,3.82176237289191e-13,"Down"
"CWH41","CWH41",2754.6066024634,1.28222411533842,0.164053598941781,7.8158853180262,5.45780495834177e-15,1.65678491766662e-12,"Up"
"RTT109","RTT109",761.986479615549,1.8923844920591,0.24211370179189,7.81609829618692,5.44858329394912e-15,1.65678491766662e-12,"Up"
"RLP24","RLP24",1502.09574846676,-1.23346884914908,0.161518847757953,-7.63668677848373,2.22882834791345e-14,6.3678936975386e-12,"Down"
"SLX9","SLX9",496.977976239338,-1.50099662158495,0.2021924413106,-7.42360402721078,1.13975571668517e-13,3.07544084218881e-11,"Down"
"ERG3","ERG3",14532.9123430199,1.74173436290607,0.238762260391981,7.29484785429085,2.98996762684434e-13,7.64330145451735e-11,"Up"
"TAT2","TAT2",3139.7517854302,-1.35919615536148,0.186827682334971,-7.27513256266021,3.46080436560065e-13,8.40456340186117e-11,"Down"
"SIP4","SIP4",10634.6087791199,-3.02895383689483,0.418314581601541,-7.24085167028677,4.45875843068669e-13,1.03124712846882e-10,"Down"
"SCS7","SCS7",20525.9104331819,1.60277066116623,0.22360337166379,7.16791812771122,7.61468153076027e-13,1.68111400885921e-10,"Up"
"MMM1","MMM1",1060.84716012521,1.61651285884184,0.231401409050629,6.98575201194285,2.83334166565877e-12,5.98327846526289e-10,"Up"
"YER053C-A","YER053C-A",27397.1596261796,-2.54475478191564,0.371785722003609,-6.84468130782854,7.66463080420436e-12,1.50563354243684e-09,"Down"
"ERG10","ERG10",7778.05242347038,1.45825458313733,0.21309856990787,6.8430988709487,7.74981234525861e-12,1.50563354243684e-09,"Up"
"ERG24","ERG24",2039.91593362635,1.54655107358994,0.226717321543246,6.82149499236624,9.00979106357445e-12,1.68309827676081e-09,"Up"
"TIF6","TIF6",2897.89523236288,-1.26980773154049,0.188128463906301,-6.74968425922473,1.48167234580805e-11,2.66536391984804e-09,"Down"
"CLB5","CLB5",689.66530145264,2.36734852584266,0.351221557531732,6.74032807803597,1.58029392207343e-11,2.74124556411095e-09,"Up"
"IRC25","IRC25",1103.21455695163,1.48692741474388,0.220888322359837,6.73158000775436,1.67830503415711e-11,2.81087156927624e-09,"Up"
"PCK1","PCK1",74988.8235137753,-4.55651826251586,0.67804234722924,-6.72010867925236,1.8158907194953e-11,2.93992707486288e-09,"Down"
"FBP1","FBP1",22710.8427631659,-2.36673286660781,0.353303226296375,-6.69887136728955,2.10035371083517e-11,3.29077999146014e-09,"Down"
"AOS1","AOS1",1285.32072687132,1.26319364193086,0.189599331709393,6.66243720661953,2.69323403328867e-11,4.08782428115096e-09,"Up"
"SET3","SET3",5973.49145797716,2.1390387011984,0.323322820907482,6.61579870914982,3.69550943528011e-11,5.43911797792591e-09,"Up"
"ISA1","ISA1",9491.35472298586,-1.18080425844079,0.180561213570007,-6.53963403930587,6.16695493614901e-11,8.8096765073164e-09,"Down"
"SPT21","SPT21",1797.54427736475,1.84332990985635,0.282618585718658,6.52232373596035,6.92263942329125e-11,9.60664562255017e-09,"Up"
"YPL245W","YPL245W",2212.35432244789,2.03723655808703,0.317407458237937,6.41836385759992,1.37746713074618e-10,1.85843273723172e-08,"Up"
"TUB2","TUB2",11192.0201922248,1.27702377872655,0.20026603472248,6.37663685954633,1.81018989822067e-10,2.3762411717994e-08,"Up"
"ARA1","ARA1",15319.7162897411,-5.04644982251181,0.793181368457778,-6.36228991652171,1.98767805520505e-10,2.54056639845551e-08,"Down"
"HSP78","HSP78",38478.6223373444,-1.82959188851138,0.288271328325719,-6.3467702429432,2.19882133800873e-10,2.73837826633549e-08,"Down"
"GLK1","GLK1",11768.2742173304,-3.25406802345017,0.516113217061856,-6.30494999135079,2.88286963842221e-10,3.50052445845416e-08,"Down"
