"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"FIM1_4318","FIM1_4318",5852.78629782494,1.23408703530817,0.0790497681437434,15.6115199865497,6.07717347008859e-55,2.949860002381e-51,"Up"
"ywtG","ywtG",1773.44129685384,1.66585392658894,0.133695634517522,12.4600472752953,1.23297506642983e-35,2.99243048622519e-32,"Up"
"CPS1","CPS1",54320.3106719652,1.23322362814987,0.104482948723315,11.803108959105,3.76152520022683e-32,6.08614777396702e-29,"Up"
"PES4","PES4",1188.04445037127,1.31738190197892,0.114987330469867,11.4567569887549,2.17507404840338e-30,2.63945235773751e-27,"Up"
"PCL2","PCL2",2454.50527668682,-2.02481751460003,0.184969210806272,-10.946781390124,6.88507955734345e-28,6.68403523426902e-25,"Down"
"FIM1_3086","FIM1_3086",749.691360200916,-2.10465138111932,0.198190096170614,-10.6193569799144,2.42223872664374e-26,1.95959112985479e-23,"Down"
"URC1","URC1",2146.90808011203,-1.63478135449117,0.154902714724298,-10.5536004155951,4.88870705982723e-26,3.38996915262877e-23,"Down"
"OSW5","OSW5",215.824925317515,4.12050762585956,0.417393241539694,9.87200370245503,5.50537116440993e-23,3.34038395400573e-20,"Up"
"RPN5","RPN5",9553.15255795071,1.06970331961186,0.110283091489615,9.69961310626286,3.02644049191892e-22,1.6322602386416e-19,"Up"
"YBL039W-B","YBL039W-B",1173.21834633138,1.65431098704888,0.178652485346416,9.25993827536787,2.04550425632859e-20,9.92887766021898e-18,"Up"
"CLN2","CLN2",3543.83545119667,-1.19753975741803,0.13183799347144,-9.08341917140485,1.05216488768276e-19,4.64291669528373e-17,"Down"
"26S_rRNA","26S_rRNA",300.035804052493,2.21632777877519,0.252765917311634,8.7683015271505,1.81381555834633e-18,7.33688393351092e-16,"Up"
"TOS1","TOS1",3379.42722621449,-0.918929694915127,0.105250980733563,-8.73084211197376,2.52783354959024e-18,8.76436003550788e-16,"Normal"
"IME2","IME2",1858.60362902579,2.00170088117291,0.22918075632239,8.73415775955074,2.45478310814193e-18,8.76436003550788e-16,"Up"
"SCW11","SCW11",1584.93244298665,-2.63758260526977,0.303181298504922,-8.69968767294184,3.32798845547838e-18,1.0769370641928e-15,"Down"
"HIS5","HIS5",1212.66401459537,-1.12738133397322,0.129755955915602,-8.68847465241987,3.6733815092572e-18,1.1144121153709e-15,"Down"
"HMLALPHA3","HMLALPHA3",688.626598518392,-1.90427859245554,0.220358539421781,-8.64172814655766,5.53690503377539e-18,1.58094923729093e-15,"Down"
"FIM1_2780","FIM1_2780",2010.88048054297,-1.95918157003808,0.234437300660115,-8.35695328568247,6.4358770445044e-17,1.73554150966802e-14,"Down"
"RCM1","RCM1",269.659005417346,-1.31665584302463,0.157973149102641,-8.33468124490668,7.77072535534162e-17,1.98521583551728e-14,"Down"
"MMT1","MMT1",4998.19711031432,1.07398844552673,0.128960199497713,8.32806129107903,8.21769690119826e-17,1.99443503792082e-14,"Up"
"REC8","REC8",538.93181891797,2.03608863343072,0.250593076636652,8.12507935477783,4.47069820979568e-16,1.03336995763563e-13,"Up"
"MOH1","MOH1",18482.1182598845,0.944444966672067,0.120506943292226,7.83726597712975,4.60462030778965e-15,1.01594668063686e-12,"Normal"
"BER1","BER1",159.966605918071,-1.6517443985721,0.211257092775756,-7.81864588246221,5.33945824545879e-15,1.1268578401503e-12,"Down"
"IME1","IME1",6503.65800249529,3.37599387046807,0.434363434504134,7.77227916139414,7.70863253205191e-15,1.5590709296075e-12,"Up"
"TOP1","TOP1",964.399693990403,-0.894355800351245,0.115466245735969,-7.74560387454116,9.51286475280028e-15,1.8470178204037e-12,"Normal"
"CWC26","CWC26",262.306986378932,-2.04428015017973,0.266916677164939,-7.65887007096408,1.87576044766584e-14,3.50190046652692e-12,"Down"
"FIM1_2451","FIM1_2451",86.5559047389302,-2.5173464737907,0.333318064433575,-7.55238537121763,4.27357731192404e-14,7.68294232299233e-12,"Down"
"MDH2","MDH2",91409.3165962217,1.46173114049479,0.19375516484789,7.54421768133168,4.55010575566797e-14,7.76476711426941e-12,"Up"
"PRM4","PRM4",5678.1883381746,1.11599699137838,0.147976949623143,7.54169479922734,4.63902443992198e-14,7.76476711426941e-12,"Up"
"DCAF13","DCAF13",460.339206790059,-1.34099314585133,0.179243384356844,-7.48140942921296,7.35297067039209e-14,1.18971065446944e-11,"Down"
"PRP2","PRP2",947.72720036119,-1.0337597106192,0.138785181833454,-7.44863174124551,9.43132227157463e-14,1.4767625260072e-11,"Down"
"PCL5","PCL5",2066.55228961284,-2.25775851940866,0.304001619134693,-7.42679767902262,1.11258339044595e-13,1.6365090234014e-11,"Down"
"RSP5","RSP5",18437.6349397607,1.02445503710724,0.137895810938973,7.42919621801,1.09259566603637e-13,1.6365090234014e-11,"Up"
"PPG1","PPG1",1203.35206168061,0.923281107201363,0.12632391488657,7.30883861563666,2.69461162913566e-13,3.8469543670072e-11,"Normal"
"KRI1","KRI1",1249.41161864691,-0.756767990606449,0.104155432167176,-7.2657563303255,3.70956760548574e-13,5.14464033057937e-11,"Normal"
"BDF1","BDF1",8996.038155203,0.959380692739932,0.134365505486513,7.14008174394305,9.3275432382512e-13,1.2576637466242e-10,"Normal"
"SEC6","SEC6",2871.93394338569,0.758232028097069,0.107348948646736,7.06324596240116,1.62657431833587e-12,2.13388965978441e-10,"Normal"
"DSE2","DSE2",1824.03999669051,-2.23921819306368,0.317200323093873,-7.05931876494652,1.67320845915232e-12,2.13730364755931e-10,"Down"
"YJL133C-A","YJL133C-A",6941.03036163662,1.44182068981227,0.205545864862214,7.01459351069299,2.30618445168986e-12,2.87031264833399e-10,"Up"
"CHA1","CHA1",7598.18756535051,0.715192844641144,0.103335645965047,6.92106618158707,4.48256994857974e-12,5.30692549522099e-10,"Normal"
"ULA1","ULA1",2853.75226105644,0.596857193222423,0.0862102783686654,6.92327184781904,4.41329682881513e-12,5.30692549522099e-10,"Normal"
"CFL1","CFL1",9305.49404099914,3.03264295424036,0.438648511731364,6.91360593535445,4.72486537479129e-12,5.46059441172307e-10,"Up"
"FEN1","FEN1",1237.30791974944,-0.973640874884239,0.142548697435524,-6.83023340374347,8.47765873226592e-12,9.2742653516406e-10,"Normal"
"SPS4","SPS4",580.341977830632,1.7669724977412,0.258606325592738,6.83267315171511,8.33467099251548e-12,9.2742653516406e-10,"Up"
"FIM1_2080","FIM1_2080",128.015008889598,-2.17642420384426,0.318739948591203,-6.8282128219692,8.59789742117484e-12,9.2742653516406e-10,"Down"
"SSL2","SSL2",15350.145942681,0.900310991029608,0.132308177086545,6.80465116257101,1.0129437944606e-11,1.06887590832864e-09,"Normal"
"ALK2","ALK2",1116.79064389754,-1.21324080790375,0.179995096599203,-6.74041032687291,1.57939956470248e-11,1.63115010363103e-09,"Down"
"MAP2","MAP2",7626.93122899568,0.709991979576076,0.105386286415908,6.73704334522318,1.61641972556638e-11,1.634604447479e-09,"Normal"
"FIM1_3308","FIM1_3308",29531.1885553928,0.838008005980303,0.125484734361415,6.67816695189962,2.41949324825363e-11,2.39677963816798e-09,"Normal"
"RTT109","RTT109",181.140298938296,-1.51285230219624,0.228471884015451,-6.62161258360323,3.55301257736343e-11,3.44926461010442e-09,"Down"
"SEA4","SEA4",2476.15117855512,0.71165572009312,0.108496101478668,6.55927457663575,5.40701625781234e-11,5.14620723831786e-09,"Normal"
"UTP7","UTP7",868.320419649079,-0.704067614077148,0.108270300640978,-6.50286929941964,7.88022596904773e-11,7.22341859472684e-09,"Normal"
"EMC2","EMC2",1437.55541131489,0.859460091154117,0.132168962858157,6.50273765162618,7.88712784343887e-11,7.22341859472684e-09,"Normal"
"TAH11","TAH11",461.271194092692,-0.916781689930853,0.141604660244425,-6.47423388713612,9.52941960858328e-11,8.56588940371541e-09,"Normal"
"STE7","STE7",5791.21107518604,0.658707328315641,0.101808270865346,6.47007676995969,9.79531385556016e-11,8.64480971907073e-09,"Normal"
"FIM1_1711","FIM1_1711",26631.9306947444,1.65928747740486,0.257770249051513,6.43707907918135,1.21794488042681e-10,1.02168941570631e-08,"Up"
"CLB5","CLB5",126.063682979616,-1.49068727319821,0.231423450319489,-6.44138384048917,1.18389039977176e-10,1.02168941570631e-08,"Down"
"URA7","URA7",6779.94046236819,0.691377117861833,0.107411357954239,6.43672262440242,1.22080729524033e-10,1.02168941570631e-08,"Normal"
"VMA11","VMA11",4026.21302101907,0.593058740200553,0.092229590406736,6.43024367326301,1.27399547262318e-10,1.04813119052762e-08,"Normal"
"ARO3","ARO3",2396.17510533402,-0.85169140656215,0.132570235095348,-6.42445422194196,1.32343479713748e-10,1.07065875088422e-08,"Normal"
"IRC8","IRC8",583.43152622828,-1.35238131443568,0.210783383478555,-6.41597687691197,1.39922685199762e-10,1.11341756386827e-08,"Down"
"ATG8","ATG8",8003.72661628546,0.585871437400618,0.0916276534050928,6.39404607264617,1.61552715932694e-10,1.264801424415e-08,"Normal"
"PWP1","PWP1",1352.36284835662,-0.711240480661636,0.111741628095191,-6.36504490569746,1.95232608510906e-10,1.50422076462212e-08,"Normal"
"FIM1_4772","FIM1_4772",1034.80752014688,0.997887564053694,0.157271808232031,6.34498690688073,2.22444363990056e-10,1.68710147313708e-08,"Normal"
"TUB1","TUB1",5922.9945373436,0.549734237740262,0.0870673689813305,6.31389513858101,2.72098344378391e-10,2.03194671325032e-08,"Normal"
"FMP32","FMP32",3110.02084937001,1.07099174392166,0.169725534718233,6.31013916497391,2.78784670661599e-10,2.05033453241122e-08,"Up"
"YNL011C","YNL011C",653.582803927066,-0.808087719594559,0.128303833685506,-6.29823518426825,3.01053504486687e-10,2.15898139428987e-08,"Normal"
"SSF1","SSF1",613.924708730482,-1.1335285345854,0.179996133390424,-6.29751602567316,3.02453100147737e-10,2.15898139428987e-08,"Down"
"HOM2","HOM2",2366.65792154757,-1.63756346414667,0.260776312941635,-6.27957135245322,3.39507757418272e-10,2.38836326740332e-08,"Down"
"FIM1_4424","FIM1_4424",103974.836920473,1.72313933044137,0.275403864315081,6.25677252106374,3.9302603145379e-10,2.72535479525243e-08,"Up"
"CTR1","CTR1",207193.928796764,1.55765740345502,0.249643793192134,6.23951985161593,4.38916053374952e-10,3.00070214518594e-08,"Up"
"SWI5","SWI5",846.389192430496,-2.36425135590911,0.380521827753287,-6.21318196085716,5.1922263910728e-10,3.50042595864825e-08,"Down"
"TRP4","TRP4",892.181130842197,-0.658645641010988,0.106136634937774,-6.20563899917443,5.44750977990123e-10,3.62222088652611e-08,"Normal"
"PXR1","PXR1",364.480754226168,-1.13482998041839,0.184130632681198,-6.16317862972437,7.12989983957205e-10,4.67682889476794e-08,"Down"
"AMF1","AMF1",1259.33766863853,0.88643229550751,0.144399028786086,6.13876909671378,8.31633432471421e-10,5.38233157495504e-08,"Normal"
"NSL1","NSL1",687.861140816599,1.09055475048284,0.179846607757696,6.06380495067288,1.32938360711872e-09,8.49056319599243e-08,"Up"
"SEC13","SEC13",2809.77364945966,0.596217165904118,0.0998297631036252,5.97233878322673,2.33876221151553e-09,1.47433139931122e-07,"Normal"
"PAN5","PAN5",749.975796267984,-1.07185303025797,0.180263062112258,-5.94604916669215,2.74691670116498e-09,1.70942739326344e-07,"Down"
"YJR111C","YJR111C",2795.72291022419,0.52825836102485,0.0889041688703473,5.94188515271124,2.81762804407364e-09,1.7312362691055e-07,"Normal"
"FSF1","FSF1",499.080655270667,-1.23879132085585,0.208607639982882,-5.93837944265851,2.878532069219e-09,1.74654933299863e-07,"Down"
"RRP3","RRP3",565.996543898747,-1.00085426308296,0.1688448615303,-5.9276560388742,3.07289306061935e-09,1.81900279466419e-07,"Down"
"RPN11","RPN11",6249.95167340339,0.889962684769319,0.150118598584126,5.92839723500741,3.05905759372273e-09,1.81900279466419e-07,"Normal"
"TWF1","TWF1",2456.53926299121,0.75575900359244,0.127871469358999,5.91030201952751,3.4148104943795e-09,1.99704700478531e-07,"Normal"
"EFG1","EFG1",251.546228113721,-1.41385998214411,0.239826317592647,-5.89534958605168,3.73888957599153e-09,2.16054404784082e-07,"Down"
"UBA2","UBA2",1098.7979420115,-0.909847616182581,0.156568002980222,-5.81119768320423,6.20274654788283e-09,3.54213314628509e-07,"Normal"
"SPB1","SPB1",1609.92091990084,-0.610366974562223,0.105677440519539,-5.77575470754679,7.66089123835851e-09,4.2294085909533e-07,"Normal"
"ADY2","ADY2",2023.82382088207,2.30876010751354,0.399552618686508,5.77836309796536,7.54308841806536e-09,4.2294085909533e-07,"Up"
"AMD1","AMD1",5843.63660491224,0.848658687656639,0.146938462781416,5.77560613873505,7.66765463543244e-09,4.2294085909533e-07,"Normal"
"YGL159W","YGL159W",901.394978417457,-0.873932035190156,0.152581576321243,-5.72763800362236,1.01838585280874e-08,5.55420778599285e-07,"Normal"
"PHO8","PHO8",5868.58954876115,0.669424254337856,0.11713287216204,5.71508443344398,1.09649567099784e-08,5.91376665224837e-07,"Normal"
