"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"FIM1_4026","FIM1_4026",1598.16363295742,2.3175765025691,0.111777172620637,20.7338980601591,1.71334118198371e-95,8.31827143853093e-92,"Up"
"ywtG","ywtG",2663.84705628142,2.47904423057465,0.138322383778959,17.9222202715664,7.91068923484495e-72,1.92031981175861e-68,"Up"
"PTP2","PTP2",8837.36625240026,2.57692017217766,0.163643514304535,15.7471573690486,7.18387233688656e-56,1.16259000651947e-52,"Up"
"TNA1","TNA1",2548.61386166685,-3.03706027630778,0.193567298567894,-15.6899450412206,1.77208937442514e-55,2.15087347820851e-52,"Down"
"FIM1_4052","FIM1_4052",281.847373833925,3.42540423362583,0.220326444750506,15.5469500608731,1.66865148036721e-54,1.62026058743656e-51,"Up"
"MET2","MET2",2633.49245328036,1.86133226999322,0.125053124408368,14.8843323891288,4.16624381967068e-50,3.37118562408353e-47,"Up"
"IRC8","IRC8",468.771580168671,-2.53440755013524,0.17440222013858,-14.5319683896306,7.60046162422056e-48,5.27146302651298e-45,"Down"
"LIA1","LIA1",945.988583535285,-1.55276489133271,0.107309886384494,-14.4699145963972,1.87705085616231e-47,1.1391352383335e-44,"Down"
"ATF1","ATF1",5561.21631155067,1.60634310632494,0.11166118742962,14.3858680290088,6.34766622228609e-47,3.42421327879989e-44,"Up"
"QDR3","QDR3",3021.85023601103,1.56871321189022,0.11354925226777,13.815266772439,2.06188971533793e-43,1.00104745679657e-40,"Up"
"MTC2","MTC2",2156.77759881321,1.27155955180412,0.0988475505024353,12.8638448331888,7.19089175024279e-38,3.17379813158443e-35,"Up"
"MOT1","MOT1",5375.94136523498,1.6397855998877,0.128012882535442,12.8095357858512,1.44999402226608e-37,5.86643414841819e-35,"Up"
"NPR1","NPR1",5158.12579497528,1.34020367429498,0.10521728471759,12.7374858407739,3.66000188574974e-37,1.36686993502423e-34,"Up"
"RIM8","RIM8",4911.36428514395,1.41255796136481,0.112253587074434,12.5836331664677,2.59800713895802e-36,9.00951761402942e-34,"Up"
"ARO3","ARO3",1998.22486046968,-1.47761659419268,0.118399483886098,-12.4799242842491,9.60779702989641e-36,2.98850060372025e-33,"Down"
"MAK11","MAK11",811.002815181916,-1.84104133305349,0.147543557729328,-12.4779513344183,9.84881764356828e-36,2.98850060372025e-33,"Down"
"FIM1_625","FIM1_625",2571.49413916057,-2.11713643609372,0.170172720595335,-12.4411035369658,1.56329056201372e-35,4.46457392857447e-33,"Down"
"FMP23","FMP23",587.317548225022,2.52188248470009,0.20549127190637,12.2724554736766,1.27332298612351e-34,3.4344350542387e-32,"Up"
"BRR1","BRR1",2140.65955494187,2.55874659161089,0.213366251269784,11.9922742063625,3.90047092722298e-33,9.9667296587724e-31,"Up"
