"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"GPD2","GPD2",5609.94330495195,-4.91951554812788,0.102272657187483,-48.1019627671311,0,0,"Down"
"PHO3","PHO3",3809.92388898811,6.02569271820122,0.160245671493876,37.6028423234603,0,0,"Up"
"CAT2","CAT2",9363.29375034121,-6.12003356915017,0.139610121986681,-43.836603550379,0,0,"Down"
"YAT2","YAT2",21271.4993881635,-5.22148350671501,0.12263399556693,-42.5777818179731,0,0,"Down"
"MLS1","MLS1",41437.6220992196,-6.27376678442624,0.159173243168261,-39.4147072683206,0,0,"Down"
"ICL1","ICL1",74448.4094967754,-8.64810611545661,0.167644557606972,-51.5859640116163,0,0,"Down"
"ICL2","ICL2",16278.2350844168,-7.1131650670982,0.133318802931641,-53.3545524763336,0,0,"Down"
"CRC1","CRC1",14805.1900701801,-6.80078677606518,0.138027881225633,-49.27110896492,0,0,"Down"
"PEX11","PEX11",12887.5931008363,-3.71632132537348,0.106891447214866,-34.7672467929373,7.60672072003583e-265,4.10593880643712e-262,"Down"
"YAT1","YAT1",18697.7755775445,-4.23615804240666,0.125698762227225,-33.7008731617339,5.61290593695731e-249,2.72674970417386e-246,"Down"
"UGA2","UGA2",19926.6815403739,-3.58109344544102,0.110763215740113,-32.3310714799348,2.56028940768007e-229,1.13071690386452e-226,"Down"
"LTV1","LTV1",1253.43466995462,-4.00772500701017,0.125831679043572,-31.84988897448,1.32097246445448e-222,5.34773686026655e-220,"Down"
"PDH1","PDH1",9885.48152666432,-6.1306793774952,0.194415925791731,-31.5338332110854,2.98731877680219e-218,1.11633804751577e-215,"Down"
"JEN1","JEN1",25264.2376485778,-4.8589441106987,0.174858772128591,-27.7878201450793,6.08795087446686e-170,2.11251895344e-167,"Down"
"RCF1","RCF1",15899.9202930945,-2.60389093052101,0.0945784583693949,-27.5315433917415,7.36199583616304e-167,2.384305051472e-164,"Down"
"FIM1_4324","FIM1_4324",1824.98702926678,-4.00416341375838,0.146741445651882,-27.287201621671,6.01779793848553e-164,1.82715389907267e-161,"Down"
"MET13","MET13",2428.48528439736,-2.63655572502038,0.0974111403345668,-27.0662648642127,2.45816036155674e-161,7.02455472731919e-159,"Down"
"EHD3","EHD3",25490.6762019991,-2.1344053429197,0.0802026018501098,-26.612669585317,4.84330583134611e-156,1.30715442937108e-153,"Down"
"MDS3","MDS3",3140.85119905718,-2.911378769982,0.109723985880789,-26.5336584941884,3.96518330300855e-155,1.01383476242187e-152,"Down"
"ERG2","ERG2",2628.18935292074,2.99934714518006,0.113313940371701,26.4693570388725,2.18468571609367e-154,5.30660160439153e-152,"Up"
"AGC1","AGC1",4230.48600931634,-2.34100222122263,0.0900158757333893,-26.0065483132804,4.17572683001654e-149,9.65984806677161e-147,"Down"
"FIM1_1376","FIM1_1376",4732.21887023218,4.31964701941509,0.166653158519509,25.9199829021507,3.96516883570037e-148,8.75581372901474e-146,"Up"
"CRZ1","CRZ1",2885.89754881353,-3.13592513700281,0.121721121532024,-25.7631962105918,2.29342145069596e-146,4.84410495977433e-144,"Down"
"HOS4","HOS4",2388.80226081728,-3.11674144665877,0.123041013129677,-25.3309150126545,1.45863496068528e-141,2.95252026625379e-139,"Down"
"STL1","STL1",18997.7487492238,-4.145334274142,0.164660482474748,-25.1750402515535,7.51853378344793e-140,1.4610014847996e-137,"Down"
"ADH3","ADH3",6599.76451376434,-2.68316068236295,0.107071495818098,-25.0595236562429,1.37471781217673e-138,2.56860735829022e-136,"Down"
"PDAT9","PDAT9",4172.75210901643,2.25902036422545,0.0902370677832916,25.0342838006504,2.58941823844559e-138,4.65903474161803e-136,"Up"
"VHS2","VHS2",6442.13373788446,-2.95493683552679,0.118558685625956,-24.9238326144185,4.10506856886857e-137,7.12229396698697e-135,"Down"
"FIM1_3548","FIM1_3548",2748.26358493683,5.08883168866798,0.204594391463163,24.8727819578779,1.46632033966601e-136,2.45633938279223e-134,"Up"
"RGS2","RGS2",1158.97239107491,-2.96813460285681,0.120010998706706,-24.7321881731075,4.82059091080248e-135,7.80614354822615e-133,"Down"
"RPC40","RPC40",1424.21096787227,-3.23146810841817,0.131658258470621,-24.5443631562184,4.96796003196579e-133,7.78527414041607e-131,"Down"
"MET4","MET4",1416.96199116579,-2.62516483954431,0.107512115950656,-24.4173860437196,1.11797556091869e-131,1.69722664841968e-129,"Down"
"PCK1","PCK1",63714.808654935,-4.30121292189077,0.176612147435658,-24.3540038686057,5.25788255277105e-131,7.7402404367763e-129,"Down"
"VRP1","VRP1",2750.77213200888,-2.99627853194015,0.123164338063996,-24.3274845546873,1.00373595022942e-130,1.43416154300428e-128,"Down"
"PTI1","PTI1",1137.19205106826,-2.62354581127809,0.108725182276194,-24.1300658812741,1.20911911472645e-128,1.67825733124031e-126,"Down"
"FAT3","FAT3",36857.6924577676,2.93948552131009,0.122846601069344,23.928098097324,1.56236182509596e-126,2.10832048508782e-124,"Up"
"HSP26","HSP26",255437.543897734,-2.3007069647043,0.0972171577660636,-23.6656472743274,8.14600476857749e-124,1.06954840988512e-121,"Down"
"LSC1","LSC1",15610.5690818151,-3.84427923751782,0.163348407397679,-23.534231516312,1.82086198514723e-122,2.32782829574875e-120,"Down"
"MEP2","MEP2",5563.40431343019,3.52482509946471,0.150510833762004,23.4190789550628,2.73193253133962e-121,3.40300724031997e-119,"Up"
"MDH1","MDH1",46604.4976365133,-2.62937482628649,0.11299029410612,-23.270802568378,8.76052716466377e-120,1.06396602414841e-117,"Down"
"DIP5","DIP5",8621.19378450845,-2.78387559546166,0.120109444197822,-23.1778243089409,7.62182629909527e-119,9.03093467341581e-117,"Down"
"HAH1","HAH1",2788.38177787638,-2.13130737403217,0.0922125944858939,-23.1129748155845,3.428729634296e-118,3.96589727700237e-116,"Down"
"VHR1","VHR1",1968.457686848,-2.57248972725268,0.11139427730707,-23.0935537214478,5.37478188875873e-118,6.07225358502091e-116,"Down"
"HEK2","HEK2",2287.98681805955,-3.06321606921002,0.132720923890186,-23.0801291870492,7.33184661500275e-118,8.09502519447349e-116,"Down"
"CIT3","CIT3",3825.65661895361,-7.49662238089859,0.326745952758965,-22.9432754027981,1.71982177853993e-116,1.85664315558822e-114,"Down"
"PUT1","PUT1",25457.4854947857,4.61709859470096,0.201764244738447,22.8836313425416,6.76299105308838e-116,7.14230663823985e-114,"Up"
"Acot10","Acot10",8472.80548239048,-2.09944614637773,0.0938483986859286,-22.3706123468734,7.60852321669777e-111,7.86429910355697e-109,"Down"
"OPI10","OPI10",1271.23682494042,-2.63970865504628,0.118370104708064,-22.3004673482091,3.65661721437338e-110,3.70080133904706e-108,"Down"
"HCR1","HCR1",2154.87663538649,-2.60946619797068,0.117243331534407,-22.2568410827262,9.68349938397702e-110,9.60049796068579e-108,"Down"
"AIM3","AIM3",2786.59421355864,-3.07068527399442,0.138038088257984,-22.2452028476048,1.25523376957266e-109,1.2195851305168e-107,"Down"
"MDJ1","MDJ1",13525.4233446459,-2.06874430724912,0.0932226826418267,-22.1914264707174,4.1559994644808e-109,3.9587932153819e-107,"Down"
"HOL1","HOL1",3451.4747170049,-2.18366702813306,0.0990456694215441,-22.0470722333073,1.01906946913753e-107,9.52046054051949e-106,"Down"
"YOX1","YOX1",2863.12482171438,2.44935124460805,0.113486711083898,21.5827141452475,2.61083523764249e-103,2.39310143103155e-101,"Up"
"YER158C","YER158C",5548.12386037395,-2.26710240654621,0.105182715048743,-21.5539445382791,4.86229598302036e-103,4.37426553435424e-101,"Down"
"PUF4","PUF4",3059.95954079781,-1.71006414715191,0.0796866428717023,-21.4598593380971,3.69419539657403e-102,3.2629820430103e-100,"Down"
"ASP1","ASP1",3197.35807919883,-3.48202577699519,0.162430843780578,-21.4369740127616,6.0416622089741e-102,5.24114196628503e-100,"Down"
"FAU1","FAU1",2923.43887738421,3.42964701463643,0.162676128879306,21.0826692168276,1.14727373136811e-98,9.77799260874784e-97,"Up"
"SIP4","SIP4",13732.5602540286,-3.42584407202653,0.163288012030078,-20.9803771228195,9.91044268561108e-98,8.30085009770666e-96,"Down"
"PDX1","PDX1",5836.23176498076,-3.46601832423329,0.165334165895473,-20.9637149433746,1.40668354996419e-97,1.15824892978407e-95,"Down"
"BSC6","BSC6",19694.5107730511,-3.45224164130893,0.166206807482891,-20.7707595951766,7.95897054663229e-96,6.44411315258994e-94,"Down"
"KGD2","KGD2",7223.07399458079,-3.24520431675897,0.15677657182954,-20.6995489114753,3.4962731572702e-95,2.78440901606863e-93,"Down"
"EPO1","EPO1",2084.51102613522,-2.48601083979285,0.120219145946829,-20.6789926863428,5.35472783273098e-95,4.19568835667857e-93,"Down"
"ACS1","ACS1",8116.76562844785,-3.71465420658595,0.180587590627719,-20.5698198512638,5.11556821225207e-94,3.94467148811437e-92,"Down"
"DUS3","DUS3",821.931557221369,-3.08596413629872,0.150542938150573,-20.49889668828,2.20230098426207e-93,1.67168409086643e-91,"Down"
"MCM6","MCM6",3353.80896521149,-2.68215234970605,0.132241950053694,-20.2821596975621,1.84834957294827e-91,1.38142803467426e-89,"Down"
"YDR387C","YDR387C",2881.94575475022,-4.72903975795319,0.235944545682596,-20.043013684728,2.32269585039122e-89,1.70964491533342e-87,"Down"
"HUA1","HUA1",1447.72793795009,-3.33769924961117,0.168727771494548,-19.7815642324122,4.29168830772263e-87,3.11179429834575e-85,"Down"
"LAS17","LAS17",894.040893662105,-2.48384101513078,0.125793771790761,-19.74534175875,8.79677248056344e-87,6.28451775155547e-85,"Down"
"PFK27","PFK27",1701.06301760741,2.1846053707152,0.110726074626757,19.7298186364793,1.19598624794754e-86,8.42043651091181e-85,"Up"
"NUG1","NUG1",1900.27106656744,-1.55926117284133,0.0794238729611179,-19.6321472966279,8.21676492069189e-86,5.70243485496017e-84,"Down"
"MDH3","MDH3",50959.2830548232,-2.12866900950296,0.108607633664545,-19.599626082249,1.55764229341409e-85,1.06577834667685e-83,"Down"
"TRP1","TRP1",1159.67676581053,2.10522312787669,0.107422733238974,19.5975569081209,1.62227788116529e-85,1.0945869370418e-83,"Up"
