"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"ZIP1","ZIP1",3360.16329435411,3.71014885981501,0.101915113527435,36.4043048317486,3.63911419419342e-290,1.76751776411974e-286,"Up"
"YLH47","YLH47",11450.660776877,2.18564453632915,0.066543991716102,32.845107123327,1.33780741732691e-236,3.24886531297841e-233,"Up"
"LDS1","LDS1",3598.53009075379,3.18007731570598,0.0977956941950609,32.5175596111939,6.02179237258471e-232,9.74928185121465e-229,"Up"
"SOR1","SOR1",72914.0003375018,-2.96149123622874,0.0923394355667394,-32.0717927075511,1.09085749247873e-225,1.3245737102423e-222,"Down"
"FIM1_2702","FIM1_2702",6774.70710618363,2.9983217252731,0.0962150471008401,31.1627111935064,3.41200350571489e-213,3.31442020545144e-210,"Up"
"SPT10","SPT10",2919.58693662168,2.43823688651552,0.0811369568060305,30.0508791862193,2.12631600446134e-198,1.72125280561145e-195,"Up"
"GIP1","GIP1",1413.10287992835,2.52511394976731,0.0871094364422286,28.9878347616447,9.36618607058714e-185,6.49879510640596e-182,"Up"
"FIM1_4026","FIM1_4026",1530.56742187149,2.78121451710646,0.0996327578075195,27.9146595789257,1.77130866523347e-171,1.07540577337987e-168,"Up"
"STE3","STE3",1907.59891300767,2.08163872290538,0.0773350009211633,26.9171616746658,1.38306574803189e-159,7.46394482021211e-157,"Up"
"MET2","MET2",2631.15986001465,1.89226292897171,0.0708278400950583,26.7163720710966,3.03778069550791e-157,1.47545008380819e-154,"Up"
"FIM1_2763","FIM1_2763",23608.7758370564,-2.82583492318997,0.109114753264852,-25.8978262667275,7.04596585727153e-148,3.11111419716071e-145,"Down"
"FIM1_4516","FIM1_4516",10056.654761428,1.96091807918621,0.0768491850828299,25.5164459723638,1.29500712327381e-143,5.24154133145073e-141,"Up"
"BRR1","BRR1",2161.09339559073,2.49870932879649,0.0991306097759548,25.2062338206516,3.42243004578678e-140,1.27867251787588e-137,"Up"
"FMP23","FMP23",559.513166734876,3.13532228360931,0.125508764683083,24.9809030590508,9.85998773366077e-138,3.42071145874217e-135,"Up"
"FIM1_4812","FIM1_4812",7544.50680559848,2.42558883164767,0.097459205160069,24.8882476279571,9.97346181300692e-137,3.22940693505164e-134,"Up"
"CKI1","CKI1",5599.24873510213,1.5584147377866,0.062820103065585,24.8075800856232,7.42608512422104e-136,2.25428096552135e-133,"Up"
"FIM1_3087","FIM1_3087",2410.66793719013,-2.02677574263252,0.0817605128564611,-24.7891759949052,1.17297713831061e-135,3.35126468280862e-133,"Down"
"INU1","INU1",19586.2821012166,-2.42252994520342,0.0984525199343122,-24.6060735349358,1.08758586052174e-133,2.93466918030783e-131,"Down"
"IME4","IME4",909.796474969686,2.30449868260995,0.0936952638073694,24.5956795356041,1.40506427312708e-133,3.59178798662012e-131,"Up"
"FMP46","FMP46",4191.21975337937,2.22968127895791,0.0908009279124475,24.5557102798313,3.75833603441995e-133,9.12711905958884e-131,"Up"
"GDH3","GDH3",7234.48237852325,1.95198466679618,0.0804278417468762,24.2700117819833,4.06576831287924e-130,9.40354128364499e-128,"Up"
"GIS4","GIS4",7024.29032417228,1.95803049631785,0.0807332391642267,24.2530897631253,6.13403201354305e-130,1.35422697680812e-127,"Up"
"MRX10","MRX10",9703.57036588852,2.4177014490224,0.101050030608252,23.9257864096576,1.65137217562064e-126,3.48726724216934e-124,"Up"
"YJL133C-A","YJL133C-A",10595.7281530766,1.6649120964794,0.0701882609556215,23.7206631680486,2.20717555268002e-124,4.4667715247362e-122,"Up"
