"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"HMLALPHA3","HMLALPHA3",216.801463563198,-9.17244647888597,0.982882259530304,-9.33219252860385,1.03703093486657e-20,4.89478601257019e-17,"Down"
"HMLALPHA2","HMLALPHA2",405.785695646975,-12.4930413365894,1.37479007005526,-9.08723565052169,1.0158903475949e-19,2.39750122032396e-16,"Down"
"MATALPHA1","MATALPHA1",378.679184924251,-12.393115110518,1.57383256236765,-7.87448131831379,3.4215932498689e-15,5.38330671312706e-12,"Down"
"THI73","THI73",835.674591039416,-2.31684918127687,0.324246424106505,-7.1453345635536,8.9776956923602e-13,1.0593680916985e-09,"Down"
"FIM1_841","FIM1_841",1918.58397169314,3.12696188698766,0.461105377852028,6.78144744603504,1.18977758618363e-11,1.12315004135735e-08,"Up"
"THI2","THI2",614.759402323126,-1.93135649842098,0.293557268604369,-6.57914725669389,4.73153993034458e-11,3.7221447452044e-08,"Down"
"IRC8","IRC8",577.143540372503,1.62460483765691,0.247895660544885,6.55358320547428,5.61726107166159e-11,3.78763889403467e-08,"Up"
"ATG22","ATG22",4831.27692419964,-1.85065075725083,0.294496229613851,-6.28412377189833,3.2970795585239e-10,1.9452769395291e-07,"Down"
"PDH1","PDH1",229409.938195808,-7.61092747597065,1.2910097518619,-5.895329190964,3.73935143298435e-09,1.96108208485401e-06,"Down"
"POX1","POX1",8740.78915645044,-4.8800992403793,0.8510254093277,-5.73437548032146,9.7872296396877e-09,4.19961126357509e-06,"Down"
"CKS1","CKS1",377.024064325152,1.52556843550187,0.265920324724642,5.73693807376923,9.64034849923768e-09,4.19961126357509e-06,"Up"
"FBP1","FBP1",70079.0411570874,-2.40567391692191,0.438379465049723,-5.48765192878971,4.07311653437967e-08,1.60209250352267e-05,"Down"
"ISA1","ISA1",12389.5228516204,-1.28257575374465,0.237560968078291,-5.39893301546895,6.70383962061702e-08,2.43400946225479e-05,"Down"
"SHO1","SHO1",1137.70673630607,1.41259882345602,0.267558988628723,5.27957902179176,1.29481029023462e-07,4.36536040707673e-05,"Up"
"URA3","URA3",2711.19058281618,-2.02655322054699,0.388129425121744,-5.22133363094367,1.77639175405707e-07,5.4762340277851e-05,"Down"
"FSH2","FSH2",657.870549941085,1.42268331617088,0.272901477756581,5.21317556748397,1.85635051789326e-07,5.4762340277851e-05,"Up"
"FIM1_2031","FIM1_2031",12871.3686803793,-3.10874062467964,0.601505151452554,-5.16826932765655,2.36271665402404e-07,6.19556811499638e-05,"Down"
"LEU4","LEU4",44943.4031112945,-2.78827344685101,0.53916626605994,-5.17145382115029,2.32279678910332e-07,6.19556811499638e-05,"Down"
"CIT1","CIT1",140875.388669782,-1.92593662524192,0.374553106669887,-5.14195875283274,2.71888817070375e-07,6.75429061353773e-05,"Down"
"CWP1","CWP1",271501.74359855,-2.32120917406643,0.452505613125778,-5.12968039895061,2.90234515178141e-07,6.84953455820412e-05,"Down"
"EHD3","EHD3",46249.507611826,-2.59766772298371,0.50895252336849,-5.10394900056907,3.32637952609772e-07,7.47643398246727e-05,"Down"
"SPS22","SPS22",1136.71875519304,-3.7513638698129,0.744220447208058,-5.04066219073413,4.63923752736468e-07,9.95327324052786e-05,"Down"
"YCR043C","YCR043C",741.341568061067,1.41872415729179,0.283212229478691,5.0094028774931,5.4599171353797e-07,0.000112046995126053,"Up"
"YMR122W-A","YMR122W-A",11254.5917174203,1.28701049424917,0.258594699376572,4.97694073912547,6.45970877682121e-07,0.000127040939277484,"Up"
"MSH5","MSH5",93.1190601632318,1.60234803259772,0.32338911821387,4.95486069985207,7.23821258837495e-07,0.000136657453668519,"Up"
"ECM9","ECM9",1543.78064692483,-1.2701972312142,0.262832889899759,-4.83271797414181,1.34681519334637e-06,0.000244498758176726,"Down"
"ARO8","ARO8",39980.2774983357,-2.08402453583934,0.432141697196456,-4.8225490605502,1.4173515307926e-06,0.000247774045383003,"Down"
"CDC8","CDC8",224.998423010297,1.46578257442335,0.305075318753667,4.8046580117053,1.55016237579892e-06,0.000261313086206103,"Up"
"FIM1_4094","FIM1_4094",9221.9294404376,-2.20714263887551,0.463784592088394,-4.75898224418557,1.94571548929093e-06,0.00031668196929149,"Down"
"tRNA-Gln","tRNA-Gln",23.9382302872813,-3.17969295323849,0.670066431925452,-4.74533986742414,2.0815653222148e-06,0.000327499610695129,"Down"
"CIK1","CIK1",335.127595668696,1.86207867631316,0.397110714662836,4.68906682080875,2.74453763934247e-06,0.000381006401696954,"Up"
"YGL138C","YGL138C",599.701606085201,-3.16748658924206,0.67288606230274,-4.70731490321309,2.51001013335336e-06,0.000381006401696954,"Down"
"FIM1_3548","FIM1_3548",600.854844331683,3.49822293437249,0.744324623433113,4.6998618939104,2.60337490226595e-06,0.000381006401696954,"Up"
"MNN5","MNN5",6944.85258531471,1.36744619393818,0.291348783492333,4.69350232922515,2.685669313111e-06,0.000381006401696954,"Up"
"FIM1_3294","FIM1_3294",625.069133927861,1.57271890139807,0.337886128699571,4.65458261767365,3.24637649133585e-06,0.000437797058260149,"Up"
"MSB2","MSB2",3750.97815228245,1.16732880973428,0.253547303643203,4.60398826160254,4.14475835046337e-06,0.000543423872616309,"Up"
"PGU1","PGU1",21484.692971421,3.50618223049755,0.765955868774855,4.57752512048204,4.70509303296422e-06,0.000600217273394355,"Up"
"IAH1","IAH1",208.466366393364,3.35836890175284,0.73924160838475,4.54299225538848,5.54612898697478e-06,0.000688887600487394,"Up"
"SUT2","SUT2",1718.12591016612,2.157840960048,0.476895511211979,4.52476676612886,6.04621457653194e-06,0.000731746994903353,"Up"
"fnx1","fnx1",4070.08103174437,3.00183453735829,0.665355077567242,4.51162790901663,6.43319700393671e-06,0.000759117246464532,"Up"
"SPT21","SPT21",261.25844129262,1.5826142822355,0.352143325846545,4.49423335918954,6.98210288516347e-06,0.000803793307755405,"Up"
"ZIP1","ZIP1",1273.68518972232,2.07814949311381,0.463178310111647,4.48671590993301,7.23294155792721e-06,0.00081284486079563,"Up"
"FUN30","FUN30",672.831900322444,1.75829101755122,0.394929079334129,4.45216903378143,8.50072044647621e-06,0.000923778660147444,"Up"
"CCT2","CCT2",1759.06133884618,0.998435261140285,0.224398289870302,4.44938890451154,8.61149598442533e-06,0.000923778660147444,"Normal"
"ROG1","ROG1",434.363548798861,1.15152586819816,0.262859667967129,4.38076285001684,1.18264532260373e-05,0.00124046353837547,"Up"
"GDH2","GDH2",83864.0662853594,-2.53079620245447,0.584186816068428,-4.33216932125703,1.4764732091282e-05,0.00151498990154024,"Down"
"KRE28","KRE28",263.389126183207,1.19795144844334,0.276865985558366,4.32682781898033,1.51272117303261e-05,0.00151915828440722,"Up"
"ARO7","ARO7",1922.36284086911,-1.87792145016394,0.438444423265721,-4.28314593712101,1.84269222689826e-05,0.00181198068978329,"Down"
"YBR255C-A","YBR255C-A",18980.8501779686,-2.79291430947677,0.655617212871826,-4.25997709432133,2.04447854601899e-05,0.00196937525249176,"Down"
"FIM1_1141","FIM1_1141",3346.93410937278,-1.49535991486539,0.352542513003531,-4.24164422646643,2.2188822947706e-05,0.0020535538100622,"Down"
"THI6","THI6",2588.73370570553,-1.58544884126457,0.373490296693875,-4.24495322984002,2.18639019840397e-05,0.0020535538100622,"Down"
"FIM1_4483","FIM1_4483",68.8522054052408,-2.00847631204427,0.47633775558149,-4.21649614902439,2.48127522673571e-05,0.00225223443657549,"Down"
"DIT1","DIT1",4998.55328268441,-1.63849796834786,0.389846168712421,-4.20293464409173,2.63476679682077e-05,0.00225971894658792,"Down"
"DIT2","DIT2",5955.64702333972,-1.94216962676211,0.46312064798884,-4.19365803532238,2.74491686506974e-05,0.00225971894658792,"Down"
"FEN1","FEN1",1012.99625129255,1.26261133429278,0.300756788175556,4.19811417042987,2.69146938024965e-05,0.00225971894658792,"Up"
"MCM4","MCM4",683.955731108848,1.61697285941977,0.385173799760195,4.19803439493154,2.69241745817078e-05,0.00225971894658792,"Up"
"mug70","mug70",1090.19321244214,1.21838872339201,0.290712662897707,4.19104111684575,2.77677328182414e-05,0.00225971894658792,"Up"
"YJL127C-B","YJL127C-B",2053.95726774934,1.13122873875334,0.269550458415945,4.19672348324386,2.70804231703722e-05,0.00225971894658792,"Up"
"RVS161","RVS161",24307.9104485516,-1.0960526276115,0.262858761322989,-4.1697397571798,3.04947657857397e-05,0.00243958126285917,"Down"
"MSC2","MSC2",1575.87507673446,1.0423146349981,0.251133657190678,4.15043784516188,3.31839873823821e-05,0.00261047367408073,"Up"
"BET3","BET3",320.310192409171,1.47491007095951,0.359667595322283,4.10075883994471,4.11797537387498e-05,0.00318636783027703,"Up"
"FIM1_1020","FIM1_1020",172.435534326106,1.45087439900977,0.35471687609606,4.09023222965254,4.30941480329774e-05,0.00328071578573634,"Up"
"RNR1","RNR1",9629.54205757417,1.40816447212896,0.344807931134551,4.08390975084465,4.4284235481503e-05,0.00331780303924912,"Up"
"DAL1","DAL1",1063.17813591609,2.26884732312009,0.557093080062433,4.07265393220434,4.64804611110967e-05,0.00339513375194376,"Up"
"MEP2","MEP2",1512.36052360645,2.77922006221238,0.68263995698718,4.07128242899583,4.6755019889056e-05,0.00339513375194376,"Up"
"JJJ2","JJJ2",756.575421043469,1.33301199445047,0.327885758937161,4.06547694773757,4.79343323838976e-05,0.00342803104321207,"Up"
"GIP2","GIP2",32826.5718880809,-0.984243204416227,0.242537338879013,-4.05811001706094,4.94714622944488e-05,0.00348515376163878,"Normal"
"CBK1","CBK1",3017.25274351617,1.34750559822407,0.335429613143919,4.01725293600095,5.88805150377081e-05,0.00408700045555856,"Up"
"SAS3","SAS3",519.378739538301,1.27654530580654,0.318728893273866,4.00511322552008,6.19877823592779e-05,0.00424032366283756,"Up"
"MPS2","MPS2",126.151579988044,1.94898999957678,0.487304369967156,3.9995331864316,6.34675479192407e-05,0.00427097596629088,"Up"
"FMO1","FMO1",1722.84361982947,-1.68617617492189,0.42189755167792,-3.99664840010528,6.42456130522569e-05,0.00427097596629088,"Down"
"ARO4","ARO4",9330.53329354682,-1.28414483249931,0.322105919478356,-3.98671602986669,6.69941286989044e-05,0.00429535798350181,"Down"
"YDL144C","YDL144C",6269.99379776708,-0.897602470205461,0.225217885933403,-3.98548484053741,6.7342476859986e-05,0.00429535798350181,"Normal"
"LPX1","LPX1",2300.90356788021,-2.78253913061311,0.69762181556122,-3.98860681897487,6.64624741859479e-05,0.00429535798350181,"Down"
"PAR32","PAR32",1803.41243512,-1.76254420736265,0.446277755926704,-3.94943324858908,7.83364520748809e-05,0.00492997405057917,"Down"
"GTT1","GTT1",21989.0321181514,-1.60070914183514,0.408016708882297,-3.92314605502321,8.7400129878867e-05,0.00542800806616121,"Down"
"AFG1","AFG1",3095.20703855605,-1.11211906880515,0.285166584486951,-3.89989265679913,9.6235345591887e-05,0.00589910170381437,"Down"
"VBA1","VBA1",4971.44364831156,2.54929043043651,0.655802725039736,3.88728246025823,0.000101372767822083,0.00605670207747127,"Up"
"FIM1_2535","FIM1_2535",5005.9926077549,-1.54330044608989,0.396768814552233,-3.88967174204846,0.000100379909184001,0.00605670207747127,"Down"
"ECM4","ECM4",43517.3210866213,-3.64254415339057,0.939410755687708,-3.87747759043273,0.000105545045735929,0.00622715769841984,"Down"
"DNA2","DNA2",590.531379770966,1.10342041263311,0.284824398210065,3.87403754582607,0.000107046909603209,0.00623779522626104,"Up"
"NAM7","NAM7",1210.22130685081,1.37290432368435,0.356724983521823,3.84863518705683,0.000118777742248008,0.00683696272451949,"Up"
"YPR127W","YPR127W",18427.8910231457,3.73535613128954,0.973574916295773,3.83674236955663,0.00012467714534668,0.00709007380766663,"Up"
"EXG1","EXG1",9464.42167092957,2.38153827474605,0.621382948782328,3.83264181840353,0.00012677447133081,0.00712351791287407,"Up"
"TEL1","TEL1",3517.24716845212,-1.28192784427786,0.33706207276211,-3.80323966375952,0.000142816067347356,0.00793049221034732,"Down"
"CIN8","CIN8",566.204154128801,1.4242055972468,0.374931272743691,3.79857776819917,0.000145528768049253,0.00798716029293573,"Up"
"HCM1","HCM1",1129.4638055516,1.51486338852905,0.399683213501462,3.79016015022985,0.000150550186564504,0.00816778023660299,"Up"
"SDH1","SDH1",60308.0741730469,-1.24907525172306,0.332236429296477,-3.75959750822034,0.000170186937343195,0.00912820845749863,"Down"
"MCD1","MCD1",840.250017869676,1.4855021758935,0.39735916037491,3.73843697095576,0.00018516790158216,0.00982014039851453,"Up"
"FIM1_2723","FIM1_2723",554.905637094092,1.67067009177744,0.44777760264322,3.73102647813449,0.000190701177171464,0.010001217291659,"Up"
"GAL4","GAL4",2766.36104707951,3.37406236418619,0.913558579352304,3.69331802080863,0.000221346925692567,0.0112884302554785,"Up"
"SPG4","SPG4",37454.6509000333,-2.75381178059903,0.745497528608003,-3.69392476154946,0.000220819163276008,0.0112884302554785,"Down"
"HSP10","HSP10",19829.3884715269,-1.27141030699376,0.344360767006519,-3.69208814943106,0.000222420341898199,0.0112884302554785,"Down"
"THI20","THI20",2523.5240685511,-2.20963713043371,0.600565254428983,-3.67926235182325,0.000233909544993918,0.0116230945473017,"Down"
"BNS1","BNS1",2604.09408582662,1.22321242023273,0.332464262249262,3.67922979738387,0.000233939402964759,0.0116230945473017,"Up"
"TNA1","TNA1",8618.88906999111,-2.05247194487477,0.565036270003909,-3.63246052303964,0.000280731534071388,0.0138026337585099,"Down"
"URA4","URA4",4152.71309644461,0.896550343345249,0.247062950270236,3.62883363274261,0.000284704635931414,0.0138536688824358,"Normal"
"MCD4","MCD4",1161.21446597008,1.04952358143486,0.28972966859973,3.62242357335108,0.000291855705045111,0.0139707885890807,"Up"
"VHT1","VHT1",9139.12257609355,-3.28569918627527,0.907304867581383,-3.62138384095085,0.000293031370830295,0.0139707885890807,"Down"
"URC1","URC1",4798.5253635465,-1.98507617003212,0.550979451945603,-3.60281343164881,0.000314791474001561,0.0148581575728737,"Down"
"NIT3","NIT3",6626.82637457494,-1.0282406146096,0.285986075093958,-3.59542195986913,0.000323866206627131,0.0151351336166342,"Down"
"YLR419W","YLR419W",726.478414731245,1.27332984951459,0.354868259577348,3.58817621793264,0.000332999200800248,0.0152597692017201,"Up"
"FIM1_2658","FIM1_2658",2192.19476796407,-1.353323410774,0.377083540978584,-3.58892198599264,0.000332048179449321,0.0152597692017201,"Down"
"MIG2","MIG2",1160.77718030264,1.89335936398086,0.528422610913215,3.58304002303909,0.000339618547467155,0.0154134571542786,"Up"
"MRPL39","MRPL39",2016.26186311003,-1.02245516612306,0.286485358998956,-3.56896132387272,0.000358399324060806,0.0161109029482572,"Down"
"RIF1","RIF1",618.924706948546,1.20002193481333,0.338569351478076,3.54439032822802,0.000393522184170364,0.0175228746158879,"Up"
