"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"VBA1","VBA1",7842.49927401387,3.51549829384546,0.118120946935795,29.761853295642,1.21824051223667e-194,5.90237528178664e-191,"Up"
"CFL1","CFL1",7134.39998633119,3.56012629787734,0.126375915650774,28.170923862703,1.32842320373005e-174,3.21810521103604e-171,"Up"
"DAL1","DAL1",954.781885707597,2.32800627839907,0.113908591990646,20.4374949923904,7.76223540259591e-93,1.25360101751924e-89,"Up"
"RNR1","RNR1",12408.7286330868,2.14155928395395,0.11206098386164,19.1106593049201,2.05851692867759e-81,2.49337862986073e-78,"Up"
"YGR126W","YGR126W",1204.47909343918,-2.19646399384863,0.124745174338692,-17.607606911391,2.15359504504223e-69,2.08683359864592e-66,"Down"
"PHO84","PHO84",37071.6104364764,-2.838371795313,0.165645823552598,-17.1351847842498,8.10948811345286e-66,6.54841165161319e-63,"Down"
"MPG1","MPG1",10045.3246626534,1.84916422608755,0.11395553909242,16.227067510846,3.24600872222261e-59,2.24670175130979e-56,"Up"
"TIP41","TIP41",2345.25926168142,1.14156304147669,0.0721477453198796,15.8225740307666,2.17419068242686e-56,1.31674423204477e-53,"Up"
"SMC1","SMC1",1587.10469646311,1.72764082531289,0.109896993772983,15.720546722886,1.09375785475481e-55,5.88806311809674e-53,"Up"
"NIT3","NIT3",5661.81037155293,-1.10887746157399,0.0754938482205845,-14.68831550796,7.65942650865339e-49,3.71099214344257e-46,"Down"
"FSH2","FSH2",904.802363961354,2.26622635598829,0.157546390071357,14.3845019550233,6.47424834960369e-47,2.85161211398454e-44,"Up"
"FIM1_3086","FIM1_3086",986.730886016743,-2.96259450134072,0.206745453702536,-14.3296718176124,1.42793781516139e-46,5.76529892871413e-44,"Down"
"CKS1","CKS1",482.96123416179,2.23911917661268,0.156882500621554,14.2725872403965,3.24319435116118e-46,1.20871358702892e-43,"Up"
"SHO1","SHO1",1190.46634660033,1.76544273757905,0.127908827778073,13.8023525682072,2.46669288779497e-43,8.53651931526189e-41,"Up"
"MSB2","MSB2",5135.75638433058,2.03860402903773,0.148143423676455,13.7610160373371,4.37337036030149e-43,1.41259862637738e-40,"Up"
"SCW11","SCW11",1367.29397316562,-2.77768588979525,0.202271555451597,-13.732459235772,6.48928753877318e-43,1.96503738283475e-40,"Down"
"FIM1_174","FIM1_174",262.977776449402,2.3408293948613,0.173293295031204,13.5079051641312,1.40461606937745e-41,4.00315579772573e-39,"Up"
"FIM1_4812","FIM1_4812",1281.5485363548,1.71382904381424,0.127004555979752,13.4942327902589,1.69106335951982e-41,4.55177887604084e-39,"Up"
"POL1","POL1",1079.59330602781,1.48749925305747,0.110465253698232,13.4657659604078,2.4872546235344e-41,6.34249929001271e-39,"Up"
"XYL1","XYL1",64355.1657979088,1.49684624953675,0.112858906088302,13.262987400973,3.79472332039958e-40,9.19271724366797e-38,"Up"
"SEC21","SEC21",9519.79913861423,1.08553151037385,0.0828828994120111,13.097171045835,3.41760238590079e-39,7.88489693318541e-37,"Up"
"OSH3","OSH3",3885.47129909626,1.26342269186193,0.0997920365718269,12.6605562454131,9.78038886158667e-37,2.15390836519943e-34,"Up"
"SPS19","SPS19",25959.5524195585,1.24280690517898,0.101582400638824,12.2344707091318,2.03426558290219e-34,4.26696593717962e-32,"Up"
"FIM1_4599","FIM1_4599",860.381605117358,1.94218058679073,0.158786954289689,12.2313611686728,2.1136673373026e-34,4.26696593717962e-32,"Up"
"STL1","STL1",22475.4492394739,2.01590384445076,0.165302780515477,12.1952204201551,3.29610909601298e-34,6.38785942807315e-32,"Up"
"MOH1","MOH1",14995.7025443822,0.850782584449406,0.0706860211947443,12.036079695382,2.29610245804323e-33,4.27869861893056e-31,"Normal"
"SHM2","SHM2",3698.56230545252,1.13090033981123,0.0962420486142157,11.7505846570705,7.01319259121464e-32,1.2584784483124e-29,"Up"
"FLO5","FLO5",7409.75946723309,2.24384713216229,0.193648478048968,11.5872180084725,4.78420159503958e-31,8.27837740284528e-29,"Up"
"SGS1","SGS1",481.81432973895,1.77686969847666,0.153776029855668,11.5549198411769,6.97124997067203e-31,1.13599998854839e-28,"Up"
"QDR2","QDR2",2359.68505643848,2.06819339674371,0.179000058076257,11.5541493057093,7.03405565664637e-31,1.13599998854839e-28,"Up"
"OTU1","OTU1",1403.41323681972,1.10539216607279,0.0967758968251168,11.4221846796248,3.23985738078198e-30,5.06358355157699e-28,"Up"
"PUT2","PUT2",18704.6495864014,-1.04593429710321,0.0925694137837706,-11.2989188799053,1.32843316399447e-29,2.01133083736038e-27,"Down"
"PCL2","PCL2",2015.77268359629,-2.08720871626863,0.188771580227962,-11.0567952747342,2.03229621482321e-28,2.98378035176316e-26,"Down"
"THI2","THI2",542.294750352022,-1.83796107160583,0.168244921143353,-10.9243183040265,8.8200189606083e-28,1.25685270188668e-25,"Down"
"HOF1","HOF1",1034.71768104522,-2.81427130436664,0.2577269880551,-10.9195832598058,9.29211780410697e-28,1.28629459316852e-25,"Down"
