"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"VBA1","VBA1",6594.10491258236,3.08383546016621,0.202168583670367,15.2537817903219,1.55367642713389e-52,7.52445493660942e-49,"Up"
"RNR1","RNR1",12562.5697505304,1.98883129981509,0.250437940261615,7.94141374001676,1.99889698144912e-15,4.84032904057905e-12,"Up"
"DAL1","DAL1",1073.26304465819,2.35773941232756,0.307186262458631,7.67527621013027,1.65062589383392e-14,2.66466040127922e-11,"Up"
"FIM1_3865","FIM1_3865",4713.56469805096,-1.63915542003879,0.214751735868568,-7.63279241217395,2.29722629287939e-14,2.78136673410373e-11,"Down"
"fnx1","fnx1",6627.16890180583,3.83966139154939,0.525184618995278,7.31106976989346,2.65023869741103e-13,2.56702120231232e-10,"Up"
"FIM1_2451","FIM1_2451",2089.28776438205,-4.97593331051891,0.693821504950853,-7.17177728711563,7.40303079338599e-13,5.97547968872806e-10,"Down"
"URA3","URA3",2544.71903925242,-2.19799768230537,0.308496764095464,-7.12486462783514,1.04183032266652e-12,7.20797750381994e-10,"Down"
"MCD1","MCD1",1012.00846041632,1.91628890295766,0.271895491809092,7.04788773880503,1.81654094654845e-12,1.09968847551677e-09,"Up"
"ADY2","ADY2",17204.740406888,-5.82890917122999,0.836163107285379,-6.97101931482443,3.1465276388482e-12,1.69318148388243e-09,"Down"
"CKS1","CKS1",375.246193009785,1.5967955715782,0.236723348032176,6.74540802524118,1.52597576421914e-11,7.35637114688641e-09,"Up"
"SPT21","SPT21",347.130444971288,2.1823638939515,0.324166754190017,6.73222613282626,1.67086687209892e-11,7.35637114688641e-09,"Up"
"IRC8","IRC8",501.49036492311,1.4329448941651,0.225598311450702,6.35175363215528,2.12874067517174e-10,8.5912425748806e-08,"Up"
"ERG6","ERG6",1664.90607665522,1.45224644920401,0.235766169424273,6.15968971608737,7.28876141051129e-10,2.71534396239278e-07,"Up"
"MPS2","MPS2",113.946381202068,1.84462722788388,0.306422548955221,6.01988082852692,1.7454553002153e-09,6.03802858495907e-07,"Up"
"ECM9","ECM9",1454.95115260675,-1.35880075687848,0.226744663430083,-5.99264713146146,2.0645250440664e-09,6.66566319227571e-07,"Down"
"tRNA-Gln","tRNA-Gln",22.3422590331757,-3.59114429510636,0.61100389581144,-5.87744909602771,4.16636773016827e-09,1.26110743232531e-06,"Down"
"POX1","POX1",8420.45056649215,-4.76863973307021,0.832179620888232,-5.73030102320983,1.00252564032813e-08,2.85601863300537e-06,"Down"
"CDC8","CDC8",289.496142790379,2.01483491466508,0.353302818788106,5.70285547558418,1.17816871444989e-08,3.1699283800449e-06,"Up"
"ADE6","ADE6",4053.84829754154,1.65960625766471,0.305936831624942,5.42466969030808,5.80618083682773e-08,1.47996493646088e-05,"Up"
"FIM1_1020","FIM1_1020",185.770504374848,1.67572276241278,0.310799005917489,5.39166062473717,6.9809518352877e-08,1.69043748691492e-05,"Up"
"TY2B-GR1","TY2B-GR1",4452.66245142573,-1.96251373377403,0.365198115800522,-5.37383313019608,7.70801963434165e-08,1.77761614710079e-05,"Down"
"PGU1","PGU1",20066.9383741941,3.46552493842393,0.650948849990315,5.32380530125446,1.01618672506151e-07,2.23699650430587e-05,"Up"
"fabG","fabG",1250.08354419896,2.57801500593585,0.496316930329883,5.19429188970511,2.05500505514329e-07,4.32712586176475e-05,"Up"
"FIM1_3087","FIM1_3087",9062.34062622208,-2.00514380950755,0.388886103914909,-5.15612100643815,2.52118003423866e-07,5.08753121075744e-05,"Down"
"MSB2","MSB2",4073.21489320382,1.41936058077778,0.276698640964725,5.12962613704605,2.9031818432475e-07,5.62404386673905e-05,"Up"
"MATA2","MATA2",23.8177628492518,-7.38601087645198,1.44272630898981,-5.11948165804476,3.06376564016204e-07,5.70685269050183e-05,"Down"
"FSH2","FSH2",734.631440652785,1.71568422930133,0.33669794130303,5.09561841293591,3.47604665386357e-07,6.01231926595046e-05,"Up"
"FEN1","FEN1",1001.64939416621,1.32504180532481,0.259735119039737,5.1015119180787,3.36950798365923e-07,6.01231926595046e-05,"Up"
"TCP1","TCP1",3120.09468205648,0.964940276830634,0.191907355098139,5.02815682253125,4.95216811280927e-07,8.27012074839147e-05,"Normal"
"PHO84","PHO84",40147.2714256647,-3.06257690417546,0.611519999610259,-5.00813858275663,5.49589587634402e-07,8.87220790971136e-05,"Down"
"SHO1","SHO1",1058.91777650266,1.3519529671773,0.270982124363048,4.98908542530289,6.06658175206084e-07,9.47756626620344e-05,"Up"
"OYE3","OYE3",11035.0198125732,-1.15778349588867,0.233654712696236,-4.95510440396659,7.22914616476279e-07,0.000106093196593776,"Down"
"SOR1","SOR1",216102.39358044,-1.56103622971551,0.314919347526036,-4.95693974339399,7.16121739542708e-07,0.000106093196593776,"Down"
"FIM1_3294","FIM1_3294",577.327121791364,1.50060022529184,0.305176373189806,4.91715728058193,8.78100007312308e-07,0.000125077598100397,"Up"
"NIT3","NIT3",6235.95991889239,-1.11487715512756,0.227197427746649,-4.90708528782629,9.24398425133327e-07,0.000127910330654877,"Down"
"YKL151C","YKL151C",10036.1391286466,-1.13266186434676,0.231457569810554,-4.89360475560958,9.90055763362446e-07,0.000129590271944982,"Down"
"YIL024C","YIL024C",3814.16456340715,1.16811097836372,0.238524705786837,4.89723265567143,9.71957361614253e-07,0.000129590271944982,"Up"
"DNA2","DNA2",600.109415547996,1.22401808234204,0.25099177154582,4.87672593728271,1.07861129730931e-06,0.00013746617139129,"Up"
"ECI1","ECI1",1547.38292020404,-1.61800265650005,0.332453740405681,-4.86685051136939,1.1339073083628e-06,0.000140808028061565,"Down"
"FBP1","FBP1",70309.6984318868,-2.03438292560513,0.420344752204882,-4.83979617905053,1.29972357552318e-06,0.000157364031906469,"Down"
"DCD1","DCD1",485.768378048637,1.60599726604683,0.332660345568219,4.82773882562895,1.38092032872882e-06,0.000163117003708138,"Up"
"CYS3","CYS3",630.717401637408,1.61479260326641,0.335110279966029,4.81869014412243,1.44503769369383e-06,0.000166626608346648,"Up"
"NCP1","NCP1",1951.93159118334,1.17262263827891,0.245194169259196,4.78242464664533,1.73193319956461e-06,0.000195064011290498,"Up"
"PLM2","PLM2",1386.89537296578,1.38698319621133,0.292735671068283,4.73800542021338,2.15832040988813e-06,0.000235124846454052,"Up"
