"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"VBA1","VBA1",9167.57984956342,3.60650211208174,0.0860042966048082,41.9339760274269,0,0,"Up"
"PHO84","PHO84",39854.7889660525,-3.17838423886538,0.106889698739247,-29.7351781916696,2.6962098754665e-194,6.5275241085044e-191,"Down"
"PUT2","PUT2",18755.907469856,-1.52177128327144,0.0754890867293417,-20.1588249269406,2.2516602682911e-90,3.63417967302183e-87,"Down"
"HSP10","HSP10",18626.0578722485,-1.38302770234705,0.0714442602618109,-19.3581359409263,1.74071170687838e-83,2.10713152117628e-80,"Down"
"SHM2","SHM2",4322.73148823562,1.24847236194149,0.0678712958423661,18.3947034817357,1.44851066222818e-75,1.40273772530177e-72,"Up"
"VTC1","VTC1",5272.01033732972,-1.41545522793712,0.0802856783225009,-17.6302331562966,1.44370467649498e-69,1.16506967393145e-66,"Down"
"THI6","THI6",2301.05139545059,-2.09682103179032,0.119956237482777,-17.4798832957009,2.03915965931465e-68,1.41051586720022e-65,"Down"
"YGR126W","YGR126W",1320.36167528609,-2.25614840291472,0.129629596862788,-17.404577793317,7.61654784556609e-68,4.60991558352888e-65,"Down"
"PCK1","PCK1",225327.972198782,-2.03739024828868,0.11742569860912,-17.3504630793863,1.95660623208281e-67,1.05265415286055e-64,"Down"
"SGS1","SGS1",636.945934756795,2.10699436726276,0.123586161682464,17.0487887849155,3.56851549975113e-65,1.7278752049795e-62,"Up"
"POL1","POL1",1685.96586186355,2.13071675860931,0.125324507153485,17.0015969502263,7.99129520917471e-65,3.51762285480218e-62,"Up"
"GIT1","GIT1",10283.9280990331,-1.21642335612748,0.0727902307781812,-16.7113545749618,1.08346135583781e-62,4.37176657080555e-60,"Down"
"FSH2","FSH2",971.649492884304,2.21560231545613,0.143412853892312,15.4491194849229,7.64810910261146e-54,2.84862648268036e-51,"Up"
"FIM1_630","FIM1_630",755.510700090814,1.52874041378198,0.100276418696351,15.2452633795309,1.77017711478134e-52,6.12228399269376e-50,"Up"
"DAL1","DAL1",825.71822480463,1.89285388980274,0.124569206458506,15.1951990673815,3.80505915767667e-52,1.22827309609803e-49,"Up"
"MIH1","MIH1",3142.17985400451,-0.991957295376107,0.0656016821870885,-15.1209124873835,1.17897523632146e-51,3.56787380891782e-49,"Normal"
"FIM1_1020","FIM1_1020",276.826407908932,2.39372626939483,0.15985504691907,14.9743553020675,1.08010129718692e-50,3.07638263587004e-48,"Up"
"IMO32","IMO32",1698.27427682166,3.58648255766246,0.244012801857555,14.6979278560807,6.64625427822406e-49,1.78784240084227e-46,"Up"
"HEM12","HEM12",6012.16256128314,-0.879957146133963,0.061110449120601,-14.3994547380494,5.21533444590474e-47,1.32908680984583e-44,"Normal"
"SCW11","SCW11",1666.42825232624,-1.9204046062334,0.135708929170576,-14.1509082561516,1.84360675236865e-45,4.46337194748451e-43,"Down"
"YNL122C","YNL122C",2392.77967890991,-1.23700153333813,0.0880775720833141,-14.0444554053787,8.33063133152898e-45,1.92080556701254e-42,"Down"
"OMS1","OMS1",4333.76660247597,-1.08075003425217,0.0777955189866398,-13.8921887575269,7.06431254926275e-44,1.55479097106956e-41,"Down"
"FIM1_3865","FIM1_3865",4889.22950416157,-1.43876391005826,0.107145265248647,-13.4281613538347,4.13552268094529e-41,8.70617427005961e-39,"Down"
"TCP1","TCP1",3354.85189190326,1.11872942544823,0.0837212996847643,13.3625425030497,1.0008621013215e-40,2.01923928941613e-38,"Up"
"FIM1_4812","FIM1_4812",1386.93021858618,1.67629102700081,0.128248276525894,13.0706709860725,4.84363915358404e-39,9.38116031266156e-37,"Up"
"RNR1","RNR1",12822.3088789369,2.02401996658535,0.155510210779666,13.0153509305769,1.00081456226561e-38,1.86382465788081e-36,"Up"
"YJL127C-B","YJL127C-B",1980.29342664125,1.13959707215661,0.0912454495009658,12.4893578626576,8.53396345786979e-36,1.53042411344465e-33,"Up"
"YLR149C","YLR149C",10794.7509921608,-0.876737929737081,0.0707289011008595,-12.3957521761416,2.75547980807065e-35,4.76501186809932e-33,"Normal"
"ADK2","ADK2",2358.00843110036,-1.20575472600319,0.0995969565522538,-12.1063410744945,9.77584938718444e-34,1.63222974940507e-31,"Down"
"GDT1","GDT1",2759.06108822293,1.05145014464221,0.0875613158067412,12.0081583397272,3.21934648034323e-33,5.08880780987222e-31,"Up"
"MRPL36","MRPL36",1417.38184640033,-1.16972511196777,0.0974188785683601,-12.0071707779612,3.25801408727879e-33,5.08880780987222e-31,"Down"
"MSB2","MSB2",4569.89260878753,1.64184926990112,0.13762497025691,11.9298791987836,8.26934070228709e-33,1.25125461501482e-30,"Up"
"NIT3","NIT3",6177.35091344988,-1.16302944734475,0.0979004068243807,-11.8797202695087,1.50871391849211e-32,2.21369478586024e-30,"Down"
"THI2","THI2",581.413368782682,-2.04177738060476,0.172048480298344,-11.8674537378312,1.74704229692051e-32,2.48799376520268e-30,"Down"
"FMO1","FMO1",1672.55388617556,-1.62130255416027,0.136857174678384,-11.8466756161695,2.23897925431628e-32,3.09746787125698e-30,"Down"
"FTR1","FTR1",33807.4677227592,-0.936484159765608,0.081431032830934,-11.5003350345552,1.31404370367723e-30,1.76738878144588e-28,"Normal"
"MCP2","MCP2",5651.90184869504,-1.01868882089551,0.0891695464723739,-11.4241785586642,3.16635441602981e-30,4.1436454276801e-28,"Down"
"FMP48","FMP48",12176.3864612421,-1.06579449507874,0.0941350328060923,-11.3219750746161,1.02144318216374e-29,1.30153365474653e-27,"Down"
"PET123","PET123",6297.95235268084,-0.860708232211762,0.0761323083616834,-11.3054267069215,1.23353060525396e-29,1.5314756899076e-27,"Normal"
"ERG6","ERG6",1759.87825121606,1.5571683963598,0.138986506989815,11.2037379029456,3.90885121541992e-29,4.73166439626581e-27,"Up"
