"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"PCK1","PCK1",200494.011617741,-6.35756835345253,0.248737234909951,-25.5593753615302,4.31932220270275e-144,2.09400740387029e-140,"Down"
"PHO84","PHO84",40800.3553503104,-4.6793780430385,0.224825682079777,-20.8133608213766,3.27557313076466e-96,7.93998926897353e-93,"Down"
"PCL1","PCL1",6687.24403334757,3.40620002508732,0.172113734682254,19.7904021510872,3.60156642071884e-87,5.82013133588164e-84,"Up"
"ICL2","ICL2",13052.7883504468,-7.14670036479608,0.390624957572406,-18.2955549210431,8.97822357234245e-75,1.08816069696791e-71,"Down"
"SIP4","SIP4",23241.6392583232,-4.60496916554195,0.25671534083619,-17.9380365448451,5.9521375070946e-72,5.77119252687892e-69,"Down"
"ERG2","ERG2",2022.89384903476,3.28066685148871,0.191665835004012,17.1165969742079,1.11612241276944e-65,9.01826909517706e-63,"Up"
"FIM1_4324","FIM1_4324",3452.60902293122,-5.32654907277113,0.317009614610061,-16.8024843010616,2.34033061042306e-63,1.62084611419015e-60,"Down"
"RNR1","RNR1",15775.7089055246,2.23233881842625,0.139658729011225,15.9842412588964,1.6455833529448e-57,9.9722351188455e-55,"Up"
"PDH1","PDH1",239073.228505122,-11.0939626381094,0.715460810153333,-15.5060381794103,3.15771114418913e-54,1.70095373633654e-51,"Down"
"FIM1_3548","FIM1_3548",2146.76027390346,5.34460301471916,0.350768699166105,15.2368299321606,2.0140806623049e-52,9.76426305085414e-50,"Up"
"DAL1","DAL1",2013.34817891845,3.24780560601329,0.213245642036912,15.2303492582095,2.22400272516927e-52,9.80178655601877e-50,"Up"
"HSP26","HSP26",340349.561931346,-3.17912361757567,0.215085737295948,-14.7807272464624,1.95048695426408e-49,7.87996729522689e-47,"Down"
"IMO32","IMO32",2680.78777862393,4.14778549784739,0.297703912262451,13.9325864625882,4.01546320679098e-44,1.4974588943479e-41,"Up"
"GIT1","GIT1",8793.18671406675,-3.07708265017861,0.222986232504125,-13.7994288509345,2.56879759046974e-43,8.89537908471237e-41,"Down"
"PEX11","PEX11",15469.622156186,-4.36632093589249,0.320758411878447,-13.6124908161321,3.37540702044939e-42,1.09093154900924e-39,"Down"
"GCR1","GCR1",5613.20895208427,2.36422533878409,0.184264043144596,12.8306385686372,1.10450060771864e-37,3.34663684138749e-35,"Up"
"FUN30","FUN30",1192.14518701129,2.67952125637209,0.209295812517789,12.8025555033231,1.58643264204215e-37,4.5241326168355e-35,"Up"
"AIM17","AIM17",6715.09608450766,-2.64387474990427,0.210404305998764,-12.5656874623079,3.2602876482132e-36,8.78104139918755e-34,"Down"
"HSP60","HSP60",52885.9587314873,-1.9613979972228,0.158124595214522,-12.4041297595851,2.48194604163378e-35,6.33288126833713e-33,"Down"
"cyp524A1","cyp524A1",21631.6144535893,2.20063928988039,0.178270403806489,12.3443894381322,5.22289527489301e-35,1.20574268060387e-32,"Up"
"ETR1","ETR1",26746.5919934574,-1.83470900037533,0.148615332876854,-12.3453547144803,5.16062908114295e-35,1.20574268060387e-32,"Down"
"SPT21","SPT21",1179.67764841243,4.01651612887829,0.326384177409143,12.3060993972246,8.39849928279563e-35,1.85072384195424e-32,"Up"
"MCD1","MCD1",2004.19418464277,2.9327566011166,0.240180113300751,12.2106554152726,2.72683612632943e-34,5.74769632193265e-32,"Up"
"CIT3","CIT3",18847.9269966029,-10.1469314316511,0.833579181241413,-12.1727265507516,4.34327872927388e-34,8.77342303313324e-32,"Down"
"GUT2","GUT2",20929.8064883187,-2.69667568989391,0.222211710548485,-12.1356146498207,6.83945008068795e-34,1.32630615964701e-31,"Down"
"SGS1","SGS1",1037.49445267162,2.78264125084801,0.229719061587213,12.1132361921633,8.98767961369385e-34,1.67585656796876e-31,"Up"
"MEP2","MEP2",4219.277026448,4.31409300706351,0.358505105897018,12.0335608506026,2.36726066137211e-33,4.25054803197482e-31,"Up"
"HBN1","HBN1",1744.37856061503,2.13230317540671,0.177539581918004,12.0102973791585,3.13714905375001e-33,5.43174950449287e-31,"Up"
"SOR1","SOR1",202508.2200739,-2.77244795682416,0.235897738437429,-11.7527534396415,6.83546326304863e-32,1.14270089307792e-29,"Down"
"ICL1","ICL1",87228.0060269192,-9.22598943232676,0.793354829602376,-11.6290833408688,2.93229432974514e-31,4.73858763686815e-29,"Down"
"GLK1","GLK1",21173.6746707033,-4.52292993554961,0.390130197969945,-11.5933858980536,4.45179299900339e-31,6.9620298255382e-29,"Down"
"YOX1","YOX1",2203.23769383523,2.64208963534738,0.228949785369403,11.5400397999258,8.28868620399126e-31,1.25573595990468e-28,"Up"
"ISA1","ISA1",11514.0006804436,-2.00539084696117,0.175583379151128,-11.4213022705018,3.27292498768439e-30,4.80822434554361e-28,"Down"
"AIM25","AIM25",2904.12652781727,-2.25525982052909,0.198571463000775,-11.3574215874125,6.81257242847736e-30,9.43638603807378e-28,"Down"
"STL1","STL1",6178.12455682644,-2.75279356105707,0.242365950004744,-11.3580045423179,6.76727298383595e-30,9.43638603807378e-28,"Down"
"SMC1","SMC1",1747.11826666702,1.55160293558421,0.138343631722117,11.2155718067372,3.41969042907489e-29,4.60518311115419e-27,"Up"
