"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulate"
"FIM1_4812","FIM1_4812",5305.37932483042,4.10119575475677,0.160502115141526,25.5522847854089,5.17883776822625e-144,2.50811113115197e-140,"Up"
"SOR1","SOR1",149243.923280353,-4.44780890219299,0.176767151871508,-25.1619650772339,1.04538630616862e-139,2.5314029403873e-136,"Down"
"PUT2","PUT2",15264.0738461901,-2.04816790504017,0.0905021521532333,-22.6311513738627,2.13944730120013e-113,3.45378109323741e-110,"Down"
"DIT2","DIT2",4594.16031288441,-2.77622872262884,0.126818738965204,-21.8913131078409,3.14328335561445e-106,3.80573032281019e-103,"Down"
"IME4","IME4",687.995141399205,2.70443971706419,0.127537624312735,21.2050344487571,8.58077837634919e-100,8.31134193533183e-97,"Up"
"STL1","STL1",49900.1065146329,3.38908842678873,0.162194193012827,20.8952513270356,5.91445489588817e-97,4.7739508434644e-94,"Up"
"INU1","INU1",73263.0362714209,-4.8677778539658,0.238546776020179,-20.4059678993693,1.48002588756087e-92,1.02396648192247e-89,"Down"
"DAL1","DAL1",832.840412097769,2.13224392758884,0.107822203539935,19.7755551044651,4.83477398682355e-87,2.92685130227331e-84,"Up"
"FMO1","FMO1",1316.19559120888,-2.47179166156043,0.132173027189436,-18.7011806729504,4.84206267400998e-78,2.60556772558115e-75,"Down"
"VBA1","VBA1",5301.16901455952,2.92889314499405,0.161572704211516,18.1274006601994,1.93701488557636e-73,9.3809630908463e-71,"Up"
"FIM1_89","FIM1_89",5560.43975313592,-1.85617160868729,0.104900950589526,-17.6945165725946,4.62179517161065e-70,2.03485036510094e-67,"Down"
"CKS1","CKS1",514.457384792932,2.3932416223045,0.138402906932676,17.2918450583458,5.41896712080131e-67,2.18700481383673e-64,"Up"
"CPR4","CPR4",1779.09277549971,-1.34918376903636,0.078761324252458,-17.1300290065179,8.86105275401287e-66,3.3010829605911e-63,"Down"
"SGS1","SGS1",585.412087780067,2.17643606950247,0.132372379345544,16.4417688966754,9.6073319904599e-61,3.32345063069981e-58,"Up"
