ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000003	reproduction	62/314	486/5321	1.6454210046589e-09	2.46319524397437e-06	2.18234785881075e-06	HMLALPHA2/MATALPHA1/STE3/RMI1/ZIP1/SWI5/CWP1/PRM1/ASG7/MND1/SMK1/POL30/SPR6/POL1/ELM1/BUD4/GAS4/SGS1/GIP1/BNS1/JEM1/CRR1/SSO1/GMC2/CIK1/STE4/RIM15/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/EXO1/FAR1/ASH1/CNM67/RAD1/YPK1/DSE1/RCK2/RAD51/MPH1/PMS1/VRP1/FUS2/AFB1/MATA1/SPO23/RAD50/RME1/CDC14/SAG1/QDR3/FMP45/TPM2/RSR1/PAN1/HOS4/REC114	62
BP	GO:0022414	reproductive process	59/314	470/5321	8.3268115613255e-09	6.23261845365214e-06	5.52199082487902e-06	HMLALPHA2/MATALPHA1/STE3/RMI1/ZIP1/SWI5/CWP1/PRM1/ASG7/MND1/SMK1/POL30/SPR6/POL1/ELM1/GAS4/SGS1/GIP1/BNS1/JEM1/CRR1/SSO1/GMC2/CIK1/STE4/RIM15/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/EXO1/FAR1/ASH1/CNM67/RAD1/YPK1/DSE1/RCK2/RAD51/MPH1/PMS1/FUS2/AFB1/MATA1/SPO23/RAD50/RME1/CDC14/SAG1/QDR3/FMP45/TPM2/RSR1/HOS4/REC114	59
BP	GO:0000920	septum digestion after cytokinesis	9/314	20/5321	7.3007482325995e-07	0.000364307336806715	0.000322769921862294	ASE1/IQG1/CTS1/EGT2/DSE2/DSE1/MYO1/DSE4/SDS23	9
BP	GO:2000241	regulation of reproductive process	23/314	140/5321	5.66805838425594e-06	0.00198450836522872	0.00175823966542783	CSN9/STE3/ZIP1/SWI5/SMK1/RRI1/SGS1/ROD1/STE4/BAR1/FUS3/AGA2/MDS3/FAR1/ASH1/YPK1/DSE1/RCK2/FUS2/AFB1/RME1/SAG1/HOS4	23
BP	GO:0019953	sexual reproduction	30/314	218/5321	9.17144497614451e-06	0.00198450836522872	0.00175823966542783	STE3/CWP1/PRM1/ASG7/SMK1/SPR6/GAS4/GIP1/JEM1/CRR1/SSO1/CIK1/STE4/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/FAR1/YPK1/DSE1/FUS2/AFB1/SAG1/QDR3/FMP45/RSR1	30
BP	GO:0044703	multi-organism reproductive process	30/314	218/5321	9.17144497614451e-06	0.00198450836522872	0.00175823966542783	STE3/CWP1/PRM1/ASG7/SMK1/SPR6/GAS4/GIP1/JEM1/CRR1/SSO1/CIK1/STE4/SCW4/FUS3/DTR1/TEP1/AGA2/AQY1/SPR28/MDS3/FAR1/YPK1/DSE1/FUS2/AFB1/SAG1/QDR3/FMP45/RSR1	30
BP	GO:0070887	cellular response to chemical stimulus	43/314	370/5321	9.27959823420245e-06	0.00198450836522872	0.00175823966542783	CSN9/STE3/SOD1/GTT1/SMK1/MXR1/RRI1/ROD1/HAA1/CTA1/DDR48/STE4/BAR1/RIM15/FUS3/GAL4/AGA2/FAR1/YPK1/DSE1/YHB1/RCK2/MDL2/SNF7/CBF1/ECM4/MGA2/IXR1/BCK1/CST6/CAT8/AFB1/CRZ1/YFH1/GAL1/NCE103/EDE1/SLT2/TDA1/CCC1/SAG1/RGT1/GND1	43
BP	GO:0051301	cell division	37/314	304/5321	1.47164710829712e-05	0.00268100614539023	0.00237532450387912	AIM44/RMI1/HOF1/ELM1/BUD4/PCL5/ASE1/IQG1/CHS2/CTS1/PAT1/EGT2/CDC9/FUS3/NUF2/DSE2/SPR28/DBF2/FAR1/CNM67/DSE1/RGP1/TEM1/SPC25/VRP1/SPC72/MYO1/RME1/CDC14/EDE1/DSE4/SLT2/SDS23/NOP15/TPM2/RSR1/PAN1	37
BP	GO:0032505	reproduction of a single-celled organism	28/314	202/5321	1.61182734191797e-05	0.00268100614539023	0.00237532450387912	STE3/SWI5/CWP1/PRM1/SMK1/SPR6/ELM1/BUD4/GAS4/SGS1/GIP1/CRR1/SSO1/DTR1/TEP1/AQY1/SPR28/MDS3/EXO1/ASH1/MPH1/VRP1/FUS2/QDR3/FMP45/TPM2/RSR1/PAN1	28
BP	GO:0022413	reproductive process in single-celled organism	23/314	151/5321	2.05556126254093e-05	0.00307717521002377	0.0027263233587385	STE3/SWI5/CWP1/PRM1/SMK1/SPR6/GAS4/SGS1/GIP1/CRR1/SSO1/DTR1/TEP1/AQY1/SPR28/MDS3/EXO1/ASH1/MPH1/FUS2/QDR3/FMP45/RSR1	23
