ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000003	reproduction	36/142	486/5321	7.15124563478322e-09	5.36346317800967e-06	4.7957922313735e-06	IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/BUD5/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114	36
BP	GO:0022414	reproductive process	35/142	470/5321	1.06948418305278e-08	5.36346317800967e-06	4.7957922313735e-06	IME1/ADY2/OSW5/GIN4/AXL1/REC8/SPS4/MEK1/SPA2/IME2/TOP3/MSH3/IME4/SSF1/SPR28/ALK2/ECM11/SPC110/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/SWI5/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/AFB1/REC114	35
BP	GO:0051321	meiotic cell cycle	28/142	324/5321	1.79133723602039e-08	5.98903749242816e-06	5.35515552662936e-06	IME1/ADY2/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/IME4/SPR28/ALK2/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114	28
BP	GO:1903046	meiotic cell cycle process	25/142	272/5321	3.4727462070848e-08	8.70791111426512e-06	7.78626254851644e-06	IME1/OSW5/REC8/SPS4/MEK1/IME2/TOP3/MSH3/SPR28/ECM11/SPR3/HOP1/SSP2/DMC1/MND1/LDS1/GAS4/AMA1/SPS22/CLB5/GMC2/RAD57/RRT8/MER1/REC114	25
BP	GO:0033260	nuclear DNA replication	9/142	42/5321	1.12252635983466e-06	0.000225178787782834	0.000201345780753502	MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5	9
BP	GO:0044786	cell cycle DNA replication	9/142	43/5321	1.3877577020135e-06	0.00023198682918659	0.000207433256511491	MCM4/MRC1/MCM2/MCM7/CDC6/NOC3/IPI1/SLD2/CLB5	9
BP	GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	6/142	20/5321	9.25420471730813e-06	0.000896903746003704	0.000801975118429087	MCM4/MCM2/MCM7/CDC6/NOC3/IPI1	6
BP	GO:0036388	pre-replicative complex assembly	6/142	20/5321	9.25420471730813e-06	0.000896903746003704	0.000801975118429087	MCM4/MCM2/MCM7/CDC6/NOC3/IPI1	6
BP	GO:0070193	synaptonemal complex organization	6/142	20/5321	9.25420471730813e-06	0.000896903746003704	0.000801975118429087	REC8/ECM11/HOP1/DMC1/AMA1/GMC2	6
BP	GO:1902299	pre-replicative complex assembly involved in cell cycle DNA replication	6/142	20/5321	9.25420471730813e-06	0.000896903746003704	0.000801975118429087	MCM4/MCM2/MCM7/CDC6/NOC3/IPI1	6
