ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0016999	antibiotic metabolic process	24/601	61/5321	1.22960800189678e-08	2.07557830720177e-05	1.95054658827206e-05	ARO10/ICL2/ICL1/CIT3/PDH1/LSC1/IAH1/MDH2/ACS1/MLS1/KGD2/MDH1/ALD6/CTT1/IDP2/YMR31/ACH1/MDH3/ADH3/ADR1/ADH2/IDP1/ADH1/LSC2	24
BP	GO:0006066	alcohol metabolic process	31/601	97/5321	3.18134505355621e-08	2.58682507904738e-05	2.43099613003517e-05	OPI10/HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/GUT2/ERG2/GUT1/ERG26/ERG1/YIG1/YAT2/BDH1/ERG6/YAT1/GPD2/ERG8/UPC2/ALD6/ERG13/NCP1/ERG27/UME6/ADH3/ADR1/ADH2/INO1/ADH1	31
BP	GO:1901617	organic hydroxy compound biosynthetic process	28/601	84/5321	5.39558858149187e-08	2.58682507904738e-05	2.43099613003517e-05	HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/YIG1/BDH1/CYB5/RKI1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27/UME6/ADH3/ADH2/HSP31/INO1/ADH1	28
BP	GO:1902653	secondary alcohol biosynthetic process	16/601	32/5321	6.12991724892744e-08	2.58682507904738e-05	2.43099613003517e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/BDH1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	16
BP	GO:0046165	alcohol biosynthetic process	23/601	62/5321	9.09988928535231e-08	3.07212262273494e-05	2.88705961116335e-05	HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/YIG1/BDH1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27/UME6/ADH3/ADH2/INO1/ADH1	23
BP	GO:0016126	sterol biosynthetic process	18/601	41/5321	1.15319737139478e-07	3.2443286048573e-05	3.04889199770514e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/CYB5/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	18
BP	GO:0019752	carboxylic acid metabolic process	83/601	424/5321	1.35254341926469e-07	3.26156184531256e-05	3.06508711704043e-05	GCR1/ARO10/SCS7/ERG10/ISA1/GLK1/ARG4/CYS3/SPE1/TRP3/YAT2/UGA2/SER1/ICL2/HIS5/ASP1/DUG3/HIS2/HIS1/ICL1/CIT3/LEU2/AGX1/PDH1/PEX11/YAT1/LYS4/GFA1/POT1/CAT2/PDX1/LSC1/MET8/IAH1/MDH2/CRC1/EHD3/ACS1/XBP1/HOM3/MLS1/RMT2/MSD1/FOX2/KGD2/ABZ1/PFK27/MDH1/GLO4/MET13/ALD6/IDP2/ISM1/MET4/YMR31/CAR1/LAT1/LEU1/ACH1/PYC2/ILV2/ETR1/CEM1/FAU1/MDH3/GDH3/ADH3/ARG3/ADR1/ADH2/AIM10/ARG8/HSP31/IDP1/GND1/ARO8/URA2/CAR2/ADH1/CAT8/GDH2/LSC2/SPS19	83
BP	GO:1901615	organic hydroxy compound metabolic process	37/601	136/5321	1.7215993623857e-07	3.35925996645975e-05	3.15689995600826e-05	OPI10/HMG1/ARO10/ERG25/DAP1/ERG3/ERG10/ERG24/GUT2/ERG2/PDR16/GUT1/MVD1/ERG26/ERG1/YIG1/YAT2/BDH1/CYB5/RKI1/ERG6/YAT1/GPD2/ERG8/UPC2/GLO4/ALD6/ERG13/NCP1/ERG27/UME6/ADH3/ADR1/ADH2/HSP31/INO1/ADH1	37
BP	GO:0006694	steroid biosynthetic process	18/601	42/5321	1.80882372818834e-07	3.35925996645975e-05	3.15689995600826e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/PDR16/MVD1/ERG26/ERG1/CYB5/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	18
BP	GO:0006082	organic acid metabolic process	85/601	443/5321	2.37018305614561e-07	3.35925996645975e-05	3.15689995600826e-05	GCR1/ARO10/SCS7/ERG10/ISA1/GLK1/ARG4/CYS3/SPE1/TRP3/YAT2/UGA2/SER1/ICL2/HIS5/ASP1/DUG3/HIS2/HIS1/ICL1/CIT3/LEU2/AGX1/PDH1/PEX11/YAT1/LYS4/GFA1/POT1/CAT2/ERG8/PDX1/LSC1/MET8/IAH1/MDH2/CRC1/EHD3/ACS1/XBP1/HOM3/MLS1/RMT2/MSD1/FOX2/KGD2/ABZ1/PFK27/MDH1/GLO4/MET13/ALD6/IDP2/ISM1/MET4/YMR31/CAR1/LAT1/LEU1/ACH1/PYC2/ILV2/ETR1/CEM1/FAU1/PHO84/MDH3/GDH3/ADH3/ARG3/ADR1/ADH2/AIM10/ARG8/HSP31/IDP1/GND1/ARO8/URA2/CAR2/ADH1/CAT8/GDH2/LSC2/SPS19	85
BP	GO:0006696	ergosterol biosynthetic process	15/601	31/5321	2.78965650398202e-07	3.35925996645975e-05	3.15689995600826e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	15
BP	GO:0016129	phytosteroid biosynthetic process	15/601	31/5321	2.78965650398202e-07	3.35925996645975e-05	3.15689995600826e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	15
BP	GO:0044108	cellular alcohol biosynthetic process	15/601	31/5321	2.78965650398202e-07	3.35925996645975e-05	3.15689995600826e-05	HMG1/ERG25/DAP1/ERG3/ERG10/ERG24/ERG2/ERG26/ERG1/ERG6/ERG8/UPC2/ERG13/NCP1/ERG27	15
