ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000003	reproduction	52/234	486/5321	5.09252890323878e-10	7.06333758879219e-07	6.48091309896389e-07	OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/AXL2/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/BUD4/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1	52
BP	GO:0022414	reproductive process	50/234	470/5321	1.4636195597981e-09	1.01502016471998e-06	9.31324235682055e-07	OSW5/IME2/REC8/IME1/RSP5/SPS4/ALK2/CLB5/SSF1/SWI5/ADY2/MEK1/TOP3/LDS1/MER1/FAR1/DSE1/MATALPHA1/RSR1/RAD57/AXL1/STE4/MATA1/SPR3/SSP2/HOP1/IME4/MSH3/SPA2/SGO1/ASH1/MEC1/CBK1/OKP1/AGA2/SPC110/HMLALPHA2/FUS2/FIG1/ECM11/RME1/CDC14/MFA1/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1	50
BP	GO:0051301	cell division	34/234	304/5321	2.86162045819553e-07	0.00013230225251724	0.000121392952068716	PCL2/CLN2/PCL5/DSE2/CLB5/NSL1/EGT2/HOF1/FAR1/CTS1/DSE1/AXL2/NOC3/RSR1/AXL1/PCL1/SRM1/DSE4/SPA2/IQG1/SGO1/CBK1/OKP1/BUD4/SPC72/NUF2/CHS2/SLT2/RME1/MNN10/ASE1/CDC14/CNM67/RMI1	34
BP	GO:2000241	regulation of reproductive process	21/234	140/5321	5.83266750387039e-07	0.000202247745696706	0.00018557092137314	CLN2/IME2/IME1/RSP5/SWI5/EFG1/MEK1/FAR1/DSE1/AXL1/STE4/HOP1/SPA2/SGO1/ASH1/BAR1/AGA2/FUS2/RME1/MFA1/ZIP1	21
BP	GO:0000920	septum digestion after cytokinesis	8/234	20/5321	9.89248578959308e-07	0.000274417555803312	0.000251789796202485	DSE2/EGT2/CTS1/DSE1/DSE4/IQG1/CBK1/ASE1	8
BP	GO:0051321	meiotic cell cycle	31/234	324/5321	2.66009043396594e-05	0.00614924238651792	0.00564219181520143	OSW5/IME2/REC8/IME1/SPS4/ALK2/CLB5/ADY2/MEK1/TOP3/LDS1/MER1/RAD57/SPR3/SSP2/HOP1/IME4/MSH3/SGO1/MEC1/OKP1/ECM11/RME1/CDC14/CNM67/CIK1/RMI1/RAD1/SHE10/RIM15/ZIP1	31
BP	GO:0000278	mitotic cell cycle	35/234	393/5321	3.60721802232944e-05	0.00714744485281561	0.00655808509623502	CLN2/ALK2/CLB5/SWI5/NSL1/TOP3/HOF1/FAR1/AXL2/SLD2/RSR1/AXL1/YOX1/SPA2/SGO1/ASH1/ELG1/BUD4/NRM1/SPC72/NIS1/NUF2/SPC110/CHS2/SLT2/MRC1/RME1/MNN10/ASE1/CDC14/CNM67/CTF18/CIK1/RMI1/RIM15	35
BP	GO:0000280	nuclear division	27/234	273/5321	5.17043064836572e-05	0.00896423413660406	0.00822506664983441	IME2/REC8/IME1/CLB5/SWI5/NSL1/MEK1/TOP3/MER1/RAD57/HOP1/SGO1/MEC1/ELG1/SPC72/NIS1/SPC110/ECM11/MRC1/RME1/ASE1/CDC14/CTF18/CIK1/RMI1/RAD1/ZIP1	27
CC	GO:0009277	fungal-type cell wall	19/234	112/5325	2.88205638423519e-07	6.39828320819015e-05	5.96062327115459e-05	SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1	19
CC	GO:0005618	cell wall	19/234	118/5325	6.68810091448448e-07	6.39828320819015e-05	5.96062327115459e-05	SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1	19
CC	GO:0030312	external encapsulating structure	19/234	118/5325	6.68810091448448e-07	6.39828320819015e-05	5.96062327115459e-05	SCW11/DSE2/EGT2/LDS1/CTS1/FLO1/ATH1/SPR3/SSP2/CRH1/DSE4/JSN1/BAR1/BUD4/TOS6/AGA2/PRY3/YPS7/FIG1	19
MF	GO:0000217	DNA secondary structure binding	7/234	20/5313	1.39359017718193e-05	0.00444555266521036	0.00441548045612381	RAD57/HOP1/MSH3/RAD5/NHP10/RMI1/HMO1	7
