ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000747	conjugation with cellular fusion	12/68	102/5321	3.82227067146782e-09	8.88165013871868e-07	7.72578807124962e-07	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5	12
BP	GO:0140253	cell-cell fusion	12/68	102/5321	3.82227067146782e-09	8.88165013871868e-07	7.72578807124962e-07	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5	12
BP	GO:0000746	conjugation	12/68	103/5321	4.28375408619872e-09	8.88165013871868e-07	7.72578807124962e-07	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5	12
BP	GO:0044764	multi-organism cellular process	12/68	111/5321	1.02074579814339e-08	1.49728928396876e-06	1.30243136226086e-06	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FIG1/ASG7/FUS2/PRM1/STE5	12
BP	GO:0000003	reproduction	23/68	486/5321	1.20360874917103e-08	1.49728928396876e-06	1.30243136226086e-06	FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/BUD4/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5	23
BP	GO:2000241	regulation of reproductive process	13/68	140/5321	1.50550679846536e-08	1.56070871440909e-06	1.35759735861613e-06	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/SWI5/AGA2/RME1/IME1/ASH1/FUS2/STE5	13
BP	GO:0022414	reproductive process	22/68	470/5321	3.42895312354841e-08	3.04686977549587e-06	2.65034873008102e-06	FUS3/SPS22/FAR1/AFB1/DSE1/MND1/STE4/MFA1/SWI5/SPO11/MATALPHA1/AGA2/FIG1/ASG7/RME1/IME1/ASH1/MATA1/FUS2/PRM1/RMI1/STE5	22
BP	GO:0000920	septum digestion after cytokinesis	6/68	20/5321	1.17254803789018e-07	9.11656099459611e-06	7.93012751941513e-06	DSE2/EGT2/DSE1/CTS1/DSE4/IQG1	6
BP	GO:0031137	regulation of conjugation with cellular fusion	9/68	82/5321	7.39825256726086e-07	4.60171309683625e-05	4.00284402060219e-05	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5	9
BP	GO:0046999	regulation of conjugation	9/68	82/5321	7.39825256726086e-07	4.60171309683625e-05	4.00284402060219e-05	FUS3/FAR1/AFB1/DSE1/STE4/MFA1/AGA2/FUS2/STE5	9
