ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042274	ribosomal small subunit biogenesis	37/504	147/5321	1.47128474911991e-08	2.3937802868181e-05	2.24564514339355e-05	RPS10A/RPS20/NSR1/RPS8B/RPS0A/RRP12/RPS7A/ENP1/UTP21/BUD21/RPS15/RRP5/RPS5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/IMP4/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/TRM112/NOP19/UTP7/RRP3/SLX9/EFG1/SGD1/BUD22/DBP8	37
BP	GO:0042254	ribosome biogenesis	80/504	482/5321	1.55717976518011e-07	0.000126676573897402	0.000118837403132166	MAK11/RPL8B/RPS10A/RPS20/NSR1/TMA108/NOC2/YTM1/RPL25/RPS8B/RPL12B/GAR1/EBP2/RPS0A/RRP12/RPS3/RPP0/RPL17B/XRN1/NUP49/RPS7A/RPS2/ENP1/RPS26A/RPB5/RPL30/UTP21/BUD21/RRB1/RPS15/RRP5/RPS5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/RPO26/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOG2/NOC3/BMT2/RRP3/SLX9/PUF6/EFG1/SGD1/BUD22/REX4/SRM1/DBP8	80
BP	GO:0030490	maturation of SSU-rRNA	29/504	119/5321	1.16059735666116e-06	0.000565178988428841	0.000530203819248743	RPS20/RPS8B/RPS0A/RRP12/ENP1/BUD21/RRP5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/TRM112/NOP19/UTP7/RRP3/SLX9/EFG1/BUD22/DBP8	29
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	27/504	108/5321	1.60159718257607e-06	0.000565178988428841	0.000530203819248743	RPS20/RPS8B/RPS0A/RRP12/ENP1/BUD21/RRP5/NOP58/UTP15/UTP9/LOC1/MPP10/UTP4/RRS1/UTP22/NOP7/NOC4/FAF1/UTP8/UTP6/SAS10/NOP19/UTP7/RRP3/SLX9/EFG1/DBP8	27
BP	GO:0006364	rRNA processing	61/504	355/5321	1.73687458029761e-06	0.000565178988428841	0.000530203819248743	MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/REX4/DBP8	61
BP	GO:0016072	rRNA metabolic process	65/504	396/5321	3.98071285237528e-06	0.00107943663513576	0.0010126374799902	MAK11/RPL8B/RPS20/NSR1/YTM1/RPS8B/GAR1/EBP2/RPS0A/RRP12/RPL17B/XRN1/RPS7A/RPS2/ENP1/RPL30/UTP21/BUD21/RRB1/RRP5/AIR1/DBP3/RIX1/CBF5/NOP58/NOP56/PUS7/UTP15/UTP9/LOC1/MPP10/SSF1/NIP7/UTP4/IPI3/RRP15/RRS1/RPA135/IMP4/RPF2/RRP42/UTP22/NOP7/MAK16/NOC4/RRP1/FAF1/UTP8/RPA190/UTP6/IPI1/SAS10/TRM112/NOP19/RLI1/UTP7/NOC3/BMT2/RRP3/SLX9/EFG1/BUD22/TFC8/REX4/DBP8	65
BP	GO:0000460	maturation of 5.8S rRNA	22/504	89/5321	1.8129300288736e-05	0.00421376736711049	0.00395300532611537	MAK11/YTM1/RPS0A/RPL17B/ENP1/BUD21/RRP5/DBP3/NOP58/LOC1/MPP10/RRP15/RRS1/RPF2/RRP42/MAK16/NOC4/UTP6/SAS10/NOP19/UTP7/DBP8	22
BP	GO:0030476	ascospore wall assembly	15/504	50/5321	3.53611221709264e-05	0.00485546386574739	0.00455499149570324	LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5	15
BP	GO:0042244	spore wall assembly	15/504	50/5321	3.53611221709264e-05	0.00485546386574739	0.00455499149570324	LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5	15
BP	GO:0070590	spore wall biogenesis	15/504	50/5321	3.53611221709264e-05	0.00485546386574739	0.00455499149570324	LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5	15
BP	GO:0070591	ascospore wall biogenesis	15/504	50/5321	3.53611221709264e-05	0.00485546386574739	0.00455499149570324	LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5	15
BP	GO:0097064	ncRNA export from nucleus	12/504	34/5321	3.58116572765634e-05	0.00485546386574739	0.00455499149570324	RPS10A/RPS0A/RPS3/NUP49/RPS2/RPS26A/RPS15/RPS5/CEX1/UTP22/UTP8/SRM1	12
BP	GO:0071940	fungal-type cell wall assembly	15/504	51/5321	4.58080602790942e-05	0.00497688755099685	0.00466890107653442	LDS1/GIP1/TEP1/SSP1/QDR3/DIT2/CRR1/SMK1/DIT1/GAS4/RRT12/PFS1/RRT8/GAS2/OSW5	15
BP	GO:0042273	ribosomal large subunit biogenesis	26/504	121/5321	4.59915644304486e-05	0.00497688755099685	0.00466890107653442	MAK11/RPL8B/NOC2/YTM1/RPL25/RPL12B/EBP2/RPP0/RPL17B/RRP5/DBP3/RIX1/LOC1/SSF1/NIP7/IPI3/RRP15/RRS1/RPF2/NOP7/MAK16/IPI1/TRM112/RLI1/PUF6/REX4	26
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	21/504	88/5321	4.94666337304768e-05	0.00497688755099685	0.00466890107653442	MAK11/RPS0A/RPL17B/ENP1/BUD21/RRP5/DBP3/NOP58/LOC1/MPP10/RRP15/RRS1/RPF2/RRP42/MAK16/NOC4/UTP6/SAS10/NOP19/UTP7/DBP8	21
