ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0022616	DNA strand elongation	11/235	39/5321	5.52921999461027e-07	0.000718245677299874	0.000665834491982542	DNA2/MCM4/POL1/SGS1/PSF1/RNH202/POL30/EXO1/MPH1/SAE2/TOP2	11
BP	GO:0006261	DNA-dependent DNA replication	20/235	140/5321	2.57829651636294e-06	0.00167132243167202	0.00154936417635655	DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1	20
BP	GO:0006260	DNA replication	21/235	158/5321	4.69490720228981e-06	0.00167132243167202	0.00154936417635655	RNR1/DNA2/RAD53/MCM4/DPB2/POL1/SGS1/SLD2/CTF4/RIF1/CSM3/CLB5/PSF1/MSH3/RNH202/POL30/CDC45/MPH1/TOP2/MRC1/ELG1	21
BP	GO:0000729	DNA double-strand break processing	6/235	12/5321	5.14648939698853e-06	0.00167132243167202	0.00154936417635655	DNA2/SGS1/RIF1/FUN30/EXO1/SAE2	6
BP	GO:0006855	drug transmembrane transport	10/235	43/5321	1.23491096758118e-05	0.0032082986937759	0.00297418557244815	ADY2/TNA1/PDR5/AGP2/SNQ2/PET8/SFC1/TPC1/FUR4/YMC1	10
BP	GO:0006302	double-strand break repair	18/235	133/5321	1.79371701950765e-05	0.00388339734723406	0.00360002152687149	MCD1/DNA2/MCM4/SMC1/POL1/TEL1/SGS1/SLD2/CTF4/RIF1/PSF1/FUN30/RAD54/SMC5/CDC45/EXO1/SAE2/ELG1	18
BP	GO:0007064	mitotic sister chromatid cohesion	9/235	39/5321	3.63649514019588e-05	0.00608171257201493	0.00563792324653383	MCD1/SMC1/TOP3/CTF4/CSM3/IRR1/POL30/MRC1/ELG1	9
BP	GO:0009062	fatty acid catabolic process	7/235	23/5321	4.00479778757287e-05	0.00608171257201493	0.00563792324653383	POX1/ECI1/POT1/PDH1/FOX2/TES1/CIT3	7
BP	GO:0007062	sister chromatid cohesion	11/235	59/5321	4.21365767114198e-05	0.00608171257201493	0.00563792324653383	MCD1/SMC1/SGO1/TOP3/CTF4/CSM3/IRR1/POL30/SMC5/MRC1/ELG1	11
BP	GO:0000819	sister chromatid segregation	19/235	157/5321	5.18857954996695e-05	0.00673996483540707	0.00624814211069705	MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CIN8/CSM3/IRR1/KAR9/POL30/DAD3/CIK1/SMC5/TEM1/SPC110/TOP2/MRC1/ELG1	19
BP	GO:0000070	mitotic sister chromatid segregation	17/235	136/5321	8.64029533925247e-05	0.00952985100847887	0.00883444718909268	MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CIN8/CSM3/IRR1/KAR9/POL30/DAD3/CIK1/TEM1/SPC110/MRC1/ELG1	17
BP	GO:0140014	mitotic nuclear division	20/235	177/5321	8.80355751360634e-05	0.00952985100847887	0.00883444718909268	MCD1/SMC1/SGO1/TOP3/SGS1/CTF4/CDC15/CIN8/CSM3/IRR1/CLB5/KAR9/GIC2/POL30/DAD3/CIK1/TEM1/SPC110/MRC1/ELG1	20
