ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0022616	DNA strand elongation	17/462	39/5321	5.73653069874505e-09	9.23007789428078e-06	8.55648842118077e-06	SGS1/POL1/MCM3/DNA2/PRI2/MCM4/EXO1/PSF1/POL30/POL12/SAE2/RNH202/POL3/MPH1/TOP2/MCM6/MCM10	17
BP	GO:0006260	DNA replication	36/462	158/5321	3.81062698099572e-08	3.06564940621106e-05	2.84192549056365e-05	SGS1/POL1/RNR1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/DOA4/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10/DIA2	36
BP	GO:0006261	DNA-dependent DNA replication	33/462	140/5321	6.04101429107848e-08	3.23999733144843e-05	3.00354991244148e-05	SGS1/POL1/CDC6/MCM3/DNA2/PRI2/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/CDC45/PSF1/POL30/CTF4/POL12/RNH202/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/CSM3/MRC1/TOP2/MCM6/EAF3/CLB5/ELG1/TOF1/MCM10	33
BP	GO:0006302	double-strand break repair	30/462	133/5321	6.8220423111669e-07	0.000232797894646024	0.000215808849375824	SGS1/POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/FUN30/RIF1/SIN3/MCM4/SLD2/EXO1/CDC45/PSF1/CTF4/TEL1/SAE2/RAD54/CTF18/SAW1/MCM6/SAE3/ELG1/SPO11/MCM10/MRE11/YKU80	30
BP	GO:0006271	DNA strand elongation involved in DNA replication	14/462	36/5321	7.23424159869557e-07	0.000232797894646024	0.000215808849375824	POL1/MCM3/DNA2/PRI2/MCM4/PSF1/POL30/POL12/RNH202/POL3/MPH1/TOP2/MCM6/MCM10	14
BP	GO:0000729	DNA double-strand break processing	8/462	12/5321	1.10299410284898e-06	0.000295786251914002	0.00027420046381351	SGS1/DNA2/FUN30/RIF1/EXO1/SAE2/SPO11/MRE11	8
BP	GO:0006270	DNA replication initiation	17/462	57/5321	3.57467192493459e-06	0.000821663875317108	0.000761700769568769	POL1/CDC6/MCM3/PRI2/RIF1/RAD53/SIN3/MCM4/SLD2/CDC45/CTF4/POL12/CTF18/BMH2/MCM6/EAF3/MCM10	17
BP	GO:0006974	cellular response to DNA damage stimulus	54/462	354/5321	1.94749349988261e-05	0.0039168963016389	0.00363105038070218	SGS1/POL1/MND1/MCD1/MCM3/DMC1/HOF1/SMC1/DNA2/PRI2/FUN30/RIF1/RAD53/SIN3/DPB2/MCM4/CMR1/SLD2/EXO1/CDC45/PSF1/PLM2/RAD26/POL30/CTF4/MSH5/TEL1/OGG1/IES2/SAE2/RAD54/MSH3/CTF18/ABF1/POL3/BMH2/MPH1/SAW1/YIM1/CSM3/MRC1/MMS2/MCM6/HIM1/SAE3/RTT103/EAF3/ELG1/SPO11/AOS1/TOF1/MCM10/MRE11/YKU80	54
BP	GO:0006281	DNA repair	47/462	304/5321	4.96547662989372e-05	0.00887716877499888	0.00822933378311041	SGS1/POL1/MND1/MCD1/MCM3/DMC1/SMC1/DNA2/PRI2/FUN30/RIF1/RAD53/SIN3/DPB2/MCM4/SLD2/EXO1/CDC45/PSF1/RAD26/POL30/CTF4/MSH5/TEL1/OGG1/IES2/SAE2/RAD54/MSH3/CTF18/ABF1/POL3/MPH1/SAW1/CSM3/MRC1/MMS2/MCM6/HIM1/SAE3/EAF3/ELG1/SPO11/TOF1/MCM10/MRE11/YKU80	47
BP	GO:0000724	double-strand break repair via homologous recombination	18/462	76/5321	6.09928131071409e-05	0.00923635995344968	0.00856231203038055	SGS1/MCD1/MCM3/DMC1/MCM4/SLD2/CDC45/PSF1/CTF4/SAE2/RAD54/CTF18/MCM6/SAE3/ELG1/MCM10/MRE11/YKU80	18
