"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"1000_at",3045.2,3076.5,3288.1,4870.6,2826.3,4982.3
"1001_at",891,791.7,1351.1,2155.4,1882.9,2520.5
"1002_f_at",11.6,59.8,40.5,60.5,104.3,329.4
"1003_s_at",137.5,117,262,275,750,167.3
"1004_at",69.5,241.1,287.1,529.1,456.8,956.9
"1005_at",16839.7,13852,7485.8,4637.3,6492.7,2088.2
"1006_at",102.2,18.1,57,208.6,52.2,25
"1007_s_at",3294.1,3132.7,4362,1983.1,2536.5,2578.5
"1008_f_at",6302.5,13557.3,4306.3,7925.1,6634.2,9455.3
"1009_at",7105.2,8260.8,4938.7,5147.4,5787.5,5620.7
"100_g_at",972.8,1038.5,1377.6,2267.9,1116.3,1932
"1010_at",255.7,70.1,59.2,490.8,106.2,110.6
"1011_s_at",1307.6,1713,1419.6,397.4,587.6,555.4
"1012_at",312.1,266.7,228.7,268.7,59.1,170.3
"1013_at",102.4,221.9,89.5,163.6,28.3,281.1
"1014_at",1476.8,1752.6,2035.9,1123.4,2078.2,1854.8
"1015_s_at",122.1,109.8,112.8,281.8,339.3,598.3
"1016_s_at",707.3,960.2,1316.8,671.4,931.6,444.3
"1017_at",402.1,320.2,223.9,532.4,271.6,48.2
"1018_at",71.4,144.3,110,556.9,411,247.7
"1019_g_at",778.2,1310.8,840.6,2279.2,2230.9,1163.2
"101_at",166.3,115.2,577.6,421.4,312.6,1022.8
"1020_s_at",2564.4,2593,2511.3,2769.8,2396.9,4529.9
"1021_at",213,143.8,126.9,358.5,505.6,948.6
"1022_f_at",352.1,232.9,104.5,116,114.4,97.2
"1023_at",86.3,104.6,98.3,321.6,254.5,131.6
"1024_at",545.9,404.3,141.7,762,983.4,208.5
"1025_g_at",53.3,280.9,129,721,566,277.1
"1026_s_at",177.5,560.2,591.6,2589.1,2429.5,912.9
"1027_at",62,107.8,188.7,108.2,163.1,93.8
"1028_at",617.2,585.6,422.3,524.7,717,394.8
"1029_s_at",180.4,42.3,76.4,93,311.6,227.3
"102_at",123.3,230.8,162,136.8,541.5,285.8
"1030_s_at",1875.9,2085.7,1444.4,1102.9,1315.7,736.6
"1031_at",299.9,374.8,244.3,426.4,267.9,601.7
"1032_at",947.4,975,900.6,1776.9,2335,1641.9
"1033_g_at",236,72,188.3,783.1,1314.8,468.7
"1034_at",5864.3,6454.3,6813.8,15394.8,12721.1,4958.8
"1035_g_at",6458.2,6174.5,7627.4,12245.9,14657.5,3267.1
"1036_at",256.4,154.3,140.3,619.7,279.6,77.9
"1037_at",74.8,79,53.4,56.7,265.6,38.5
"1038_s_at",2060.5,1565.3,2132.7,1374.9,2430.1,980.8
"1039_s_at",822.6,776.9,601.6,195.1,505.3,665.1
"103_at",123.6,124,183.3,645.9,742.1,445.4
"1040_s_at",87.1,93.8,41.5,190.5,82.9,64.9
