"","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"KLMA_10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLMA_10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIO4",19.2387,23.8763,19.9667,24.3368,36.0432,58.2712,52.9432,56.014,57.2333,77.1924,72.2276,49.435,55.0724,51.7646,53.2562,56.6554,103.324,105.133,73.3775,86.8633,74.5497,78.3824,90.3738,88.4894,84.4159,83.9192,63.4082,51.6673,68.4256,61.2792,64.495,78.9449
"KLMA_10009",29.1289,27.5339,28.5683,22.3221,45.7987,38.3135,37.1808,40.8271,36.202,35.1071,32.0418,31.7599,26.4956,19.7797,24.9496,25.6828,30.9572,37.2796,30.4425,26.3824,26.748,30.4292,25.4792,26.4136,21.2081,27.3117,36.0033,38.3296,29.9608,35.9298,35.5637,30.4425
"KLMA_10012",0.355812,0.26631,0.353363,0.166523,0.160549,0.162047,0.632516,0.238479,0.318216,0.399125,0.850187,0.202984,0.415377,0.508911,0.101768,0,6.43956,7.30156,5.56987,7.87024,8.09366,7.96871,7.93066,8.43052,6.53684,7.79193,6.84207,7.02178,8.85668,8.42207,6.26697,11.9353
"KLMA_10013",0.874658,1.7518,2.63011,1.64152,0,0.864516,0.818568,0.821264,1.64208,0.826679,0,1.81619,0.927077,0,0,0,0,0,0,1.07629,0,0,0,1.00801,0,0,0,0,0.888922,1.77703,0.88724,0
"MATALPHA1",1.29638,5.17398,5.22127,1.22231,7.00411,8.32542,3.41779,3.9989,6.28746,4.5889,6.07384,5.34989,8.67157,8.29793,5.19551,9.17077,11.6602,12.4053,7.92784,9.00621,11.859,13.1527,14.7557,9.44973,8.70311,8.26227,13.6115,17.2701,12.8937,16.5985,17.794,17.8773
"HMLALPHA2",12.2895,13.0872,16.4746,10.7168,16.8024,18.2623,24.8533,22.1638,20.1123,17.4357,7.3445,18.597,17.083,17.7193,23.4021,7.62081,9.43183,16.9567,19.2667,32.1515,30.4386,20.6289,25.9372,28.253,19.5968,27.5316,19.849,30.0575,22.4765,28.3328,18.1583,0
"HMLALPHA3",15.248,14.7166,15.4988,13.4982,22.9834,18.2865,20.1122,22.0304,17.1181,21.6926,31.3941,15.5165,17.4978,15.9666,15.9691,18.0601,23.2641,27.6261,21.5559,51.4926,51.1946,50.071,50.2259,52.3698,43.7879,52.9525,63.2074,45.49,39.5527,42.6617,42.4647,49.576
"KLMA_10017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHA1",12.2252,12.5968,10.0003,10.4058,25.2186,30.785,28.5682,21.8888,23.5745,25.7554,25.6523,23.1538,19.6328,22.7565,16.3937,23.5578,43.035,46.8002,38.6124,66.5715,58.6453,55.8,65.0407,64.8838,61.4274,59.036,50.8488,75.3359,65.9375,66.4138,64.9496,70.2846
"KLMA_10019",0,0,0,0,0,0,0,0,5.55026,0,0,0,0,4.69308,0,0,0,0,0,16.9429,10.8178,0,0,5.63239,5.54878,5.30474,0,8.58051,4.51648,18.1341,4.50158,0
"VAC17",38.0748,36.1061,39.446,27.5155,23.7353,24.6873,24.8699,29.353,29.0897,31.4715,15.7031,17.4747,19.8719,20.6147,22.1918,35.3153,25.2238,27.042,25.761,38.7001,41.3277,34.8978,35.8187,32.4952,31.7605,36.6834,20.3202,41.5495,36.6899,35.644,34.7663,43.412
"MRC1",6.70377,5.9534,8.02271,9.52754,4.76713,4.00947,3.58241,4.27543,3.88743,3.71035,4.15127,3.52857,3.53481,3.77831,2.94452,4.70649,9.5283,11.6725,11.2737,6.12345,5.08682,6.99281,6.52271,7.80866,6.79773,7.0306,5.91909,7.78924,7.68194,8.80391,5.56583,13.2248
"KRR1",47.9324,62.3901,49.9372,41.7226,40.6511,28.3046,28.4049,30.8715,28.5187,29.0519,45.5763,31.5901,33.0106,30.5997,34.0056,33.9642,159.864,149.743,163.06,58.4193,69.9262,66.6216,62.6062,62.7762,61.5073,62.4827,71.7227,92.6939,77.5146,71.1297,68.1166,90.1924
"KLMA_10023",18.0009,27.0916,29.1155,29.724,41.7369,26.2361,39.4585,37.2376,53.6421,28.0828,49.5817,25.6922,40.8853,23.4674,6.36827,69.6509,3.40585,23.8119,41.8837,37.5735,7.52776,31.4994,60.994,47.0189,46.9159,29.7468,36.8155,74.6332,30.7661,55.0087,39.5217,32.5077
"MOS1",983.815,732.044,900.647,865.776,2348.53,1044.52,725.174,717.17,839.859,649.171,914.699,787.821,761.036,771.85,774.961,1020.18,360.753,541.126,522.171,500.92,403.043,374.614,475.341,345.621,261.605,340.358,389.328,1747.78,422.252,417.292,491.752,387.009
"PRD1",78.0099,75.5904,73.48,76.4945,78.336,87.2345,78.4466,82.719,82.5814,81.6218,86.1222,58.9707,67.8247,61.1717,59.508,54.5906,37.656,41.1127,39.8873,31.8608,26.0244,21.7958,31.2239,28.9726,25.4904,24.4175,25.5293,40.1489,34.9565,32.4752,30.8956,38.2412
"KLMA_10026",31.6713,24.551,38.8136,28.0799,41.8542,37.3503,27.1916,36.2474,35.3924,27.4663,42.5187,24.347,29.0835,30.6916,29.3752,11.0139,16.7144,20.3092,14.6119,35.6714,27.422,34.6788,37.0759,42.4085,39.3405,28.0797,37.0338,33.6757,23.5008,24.3716,30.3063,12.3588
"KLMA_10027",94.7477,85.6772,97.7387,90.714,164.711,148.431,153.106,148.912,146.036,145.672,163.545,140.827,126.153,125.675,122.941,125.249,246.946,274.066,277.597,232.607,261.199,274.974,281.973,259.562,246.221,265.219,238.012,307.139,311.625,301.773,298.4,272.876
"KLMA_10028",0.443106,0.884988,0.445156,0.833648,2.48031,0,0.404956,1.22184,0.406639,0.409406,4.37118,0.522717,1.60121,0,2.09336,0,0,0,0,0.553611,1.46967,0,0.516889,0.509651,1.52502,0,0,1.3268,0.428731,1.71551,0.428163,0
"KAR4",16.6958,20.13,16.7599,12.9269,36.2856,35.3281,37.7827,39.9268,36.697,38.0578,51.6624,36.5216,32.6361,30.6436,32.6277,26.6256,23.8046,15.8668,19.6887,16.9201,17.4512,17.2418,13.2556,16.6263,17.9992,11.457,11.7523,26.7372,20.2434,17.6821,13.7752,6.3445
"KLMA_10030",54.1639,55.0388,52.1476,57.9485,37.2258,38.3172,29.0159,36.1104,33.5284,39.335,19.3514,33.5236,32.919,30.1492,30.5769,33.6026,33.5826,33.5623,35.6742,35.7756,30.1916,26.968,28.2518,35.9329,32.3013,28.1998,30.9078,28.9374,35.1046,26.1893,31.4925,24.7618
"SPB1",28.5345,24.2,26.826,24.442,9.31067,8.24867,9.4193,8.82739,11.0858,8.60314,6.72589,7.60567,9.2362,8.37478,8.8974,10.3277,60.7907,53.2459,48.7982,35.1509,31.0076,31.2227,30.1265,32.0456,30.8948,34.5138,31.7384,63.2461,48.7457,49.2765,47.0417,38.0838
"PBN1",58.1198,63.5079,66.9543,58.5952,103.047,71.8283,73.5869,67.4642,64.512,77.5211,81.5088,63.773,62.3502,65.2127,56.8899,63.2532,52.3414,49.6889,47.4517,44.6755,48.4879,54.9791,56.7476,52.8973,47.837,54.488,48.9894,58.6629,54.5654,52.4127,51.3404,62.4063
"LRE1",43.8331,40.0214,43.0815,47.6381,44.5755,36.3555,37.9549,46.9152,38.2803,38.4062,28.0667,35.3614,33.6809,31.3523,34.1681,27.2513,65.9864,63.4695,64.5277,59.3192,58.7213,56.2547,65.9715,57.4322,56.348,56.1041,54.2317,115.256,101.235,102.679,98.8299,80.046
"QCR7",586.353,582.262,603.328,560.209,795.396,456.711,452.789,442.389,481.932,378.42,655.45,406.083,482.446,454.008,481.829,408.447,536.22,535.727,596.868,665.713,574.943,569.022,607.447,622.066,547.848,590.195,550.839,1415.94,755.571,746.421,771.314,568.59
"APA2",244.279,259.563,258.698,271.576,193.897,175.475,174.514,186.423,180.849,177.575,183.657,187.607,207.156,171.533,201.089,207.806,190.431,198.215,175.514,114.683,126.188,139.535,122.412,113.64,124.1,131.221,97.8715,133.348,107.196,108.375,107.488,95.3479
"CAB1",39.5671,35.9523,37.6761,37.4463,26.7954,23.2475,22.9559,19.9197,23.9276,20.9772,39.6058,15.318,19.5756,16.7908,17.2649,19.2485,58.7568,51.8215,58.2116,37.8405,42.5419,37.7983,39.4387,51.7482,44.118,45.6268,37.3845,47.4902,44.0632,50.9433,51.6467,110.531
"KRE28",18.1287,24.3958,20.4762,18.0625,11.6671,12.984,7.87669,11.489,9.35027,8.66757,7.58467,5.71014,8.83138,10.4093,8.39508,7.17258,21.041,13.8236,16.599,15.2425,13.6804,15.2088,13.5245,14.2045,8.88015,13.4782,14.6014,18.7179,18.5952,19.0593,19.3466,11.4663
"RBA50",17.085,18.1857,15.8136,17.7956,12.0706,12.7695,10.4614,9.79999,10.5224,11.9416,12.5387,6.81718,13.9719,8.28457,8.47526,12.3388,42.2971,38.89,33.7553,36.906,32.7901,28.4563,31.6889,31.7288,29.0315,28.1215,30.4753,32.7402,30.4182,39.1523,32.716,33.9947
