"","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"GDH3",16.2334,19.1324,19.0734,19.1783,20.6163,22.327,17.7587,22.9885,23.1042,23.1128,28.2628,19.8025,18.886,19.5476,19.4334,26.1841,20.6423,20.9928,17.5572,22.8516,23.9646,17.8072,76.1742,80.6892,75.4088,62.4007,77.8663,71.7381,81.1198,79.1791,82.4073,83.4903,114.231,120.742,131.061
"BDH2",119.589,112.571,123.484,122.86,109.835,122.819,107.668,144.894,148.102,142.982,139.473,179.411,114.441,159.584,168.189,181.715,177.105,172.919,153.152,171.027,185.423,191.939,413.435,447.43,427.036,456.329,422.385,412.044,431.707,446.764,438.518,459.205,719.512,705.64,729.922
"BDH1",407.997,431.708,411.822,402.824,435.238,428.513,428.281,466.886,461.579,484.762,474.978,481.869,409.101,454.632,436.037,447.327,447.321,472.141,433.749,515.067,516.551,504.085,157.253,169.354,158.674,147.547,166.463,153.044,170.997,173.21,176.01,147.214,252.092,245.926,250.276
"CNE1",16.3961,13.5885,12.5105,16.0672,14.4467,13.6081,19.4426,18.6774,21.4095,14.3638,15.0472,28.8317,16.8088,17.5566,14.9246,27.5248,16.716,18.9982,16.1712,15.1564,16.5944,21.627,27.3653,33.6196,27.2118,26.8504,30.7746,22.397,31.6116,26.9251,27.5892,29.2421,29.5847,25.7037,23.8837
"YAL058C-A",0,18.966,23.3057,0,0,22.3338,0,0,0,16.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPB2",37.5662,42.3785,35.0531,36.693,36.7313,35.8223,42.2901,38.3067,37.9221,39.2812,34.641,44.9762,39.5107,39.9046,41.1893,35.5367,35.8951,36.4595,40.6784,40.3834,45.6416,49.0752,73.7414,70.7931,68.8241,79.7091,60.2261,56.9659,61.6788,62.2151,66.0919,55.699,88.5445,86.1006,84.1654
"PEX22",30.7668,31.7232,29.4068,30.9036,24.6001,34.3529,37.2585,38.5598,25.2529,22.7029,29.0904,8.66941,26.7743,40.5628,29.2325,41.3327,20.6563,24.071,29.4235,28.8906,38.1556,39.2254,64.0928,54.7507,52.3734,70.1804,56.9028,46.1828,51.9602,52.919,43.3469,35.7398,74.5702,66.1467,75.4118
"ACS1",8.64367,7.69388,5.69409,5.87091,8.47237,6.74743,6.5549,7.88213,8.14905,8.24774,7.86175,4.47212,8.36664,6.35202,6.89508,0,8.85631,6.38432,5.94685,7.53088,7.37063,6.58483,83.2939,78.5643,75.6774,78.9159,75.2518,65.9281,69.9439,71.2461,73.4667,70.6034,45.9742,50.9199,49.5881
"FLC2",35.7901,40.1466,36.9877,34.9488,31.0914,38.7281,39.9834,37.4265,38.6165,35.293,33.2782,24.2005,37.8209,44.3951,47.8292,31.0957,46.6836,44.689,44.0453,42.3443,42.7209,46.0568,60.9515,70.7375,65.5738,61.118,71.832,58.1297,65.6219,68.3942,66.4279,64.417,65.1685,62.5186,74.3938
"OAF1",18.839,19.4379,20.5589,22.8558,21.3169,20.8072,19.4853,17.8903,19.031,21.1782,19.9552,19.6279,21.9999,28.2607,24.7757,15.1713,26.3585,24.9958,26.4711,28.5876,27.1086,26.051,54.2195,53.4407,56.0464,50.6305,47.3562,52.3544,53.142,49.864,45.9778,46.5727,52.9383,50.5059,51.3351
