"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"AAH1",21.840635971472,19.5164321661428,11.3661153250462,15.3914865211384,19.7502201856544,91.1390364971905,33.4756715782305,31.2912072032209,17.8954682569614,16.4251606158917,15.3962976321208,22.0371107837936,38.6099073574003,31.589294884751,39.4165547874022,53.644984393161,32.8944225082152,33.4659832574885,18.2510194445547,18.6584647503619,13.9330450270435,367.856,258.567,72.5378,57.0027,18.5465,16.6738,16.1861,16.5576,14.4941,14.1763,15.6131,13.073,13.361,9.76445,12.668,13.8249,19.2749,41.4181,47.963,61.2076,38.1021,49.221,50.8831,18.4693,19.1597,14.8196,488.508,457.153,472.801,497.987,597.958,570.612,586.974,525.782,508.826,551.3,901.6,919.383,916.505,30.9864,32.3737,27.4711,34.4845,12.0299,8.82455,11.5958,9.36752,8.25849,14.7048,4.01718,7.01966,12.2658,5.98308,7.79595,1.93063,117.646,140.301,120.29,125.361,90.8071,105.978,113.433,118.123,112.36,117.943,134.936,136.067,86.5938,105.235,92.916,124.361
"AAT1",50.1508680374554,50.8777584476631,13.8567809808821,37.8975344200072,38.4569377873638,28.1029326436126,41.5714448299175,46.0778209205749,37.9729119486241,33.0460542051686,30.4615645474427,30.6181557325337,40.6714621959438,39.7070347989665,41.6753221210823,53.704252070339,42.2127640502958,32.0022773437603,24.056540202759,23.0007488458535,20.7212865934313,14.4096,13.0848,30.2193,50.3683,44.4196,46.926,45.5576,52.8057,44.9029,49.1207,53.8946,38.5558,39.9231,39.8563,41.4372,62.856,47.1015,48.4673,61.3315,53.7437,53.0762,57.2684,55.136,55.0613,53.2879,50.6371,22.8341,23.639,22.2517,18.2134,22.7378,29.3804,20.8861,25.6229,24.2749,22.1984,20.7317,25.2496,25.0009,19.4109,17.2205,16.8809,18.262,43.7858,35.2963,36.6045,37.2323,34.5905,31.435,34.8678,26.1924,34.705,35.8724,32.9942,44.5428,22.1941,15.6274,23.0351,28.6422,24.318,26.8755,22.8772,21.7908,24.8802,26.2312,16.4399,19.8073,19.7452,18.8435,18.8368,8.83787
"AAT2",146.964127214568,151.531545874687,87.1069439412696,91.4888272902568,102.145918075889,98.1634893373371,139.31523877585,125.87895261825,128.034672886451,108.629009761615,103.24060681492,86.7075063936873,118.747991439197,116.944602621063,112.304817761801,135.86938758223,116.356133004424,103.120002490403,77.6391061434724,79.625205083417,72.5005812091165,285.287,288.294,336.802,175.914,312.685,303.994,322.881,314.197,315.316,320.852,307.472,318.682,337.292,333.86,321.733,319.262,323.827,388.395,380.103,325.202,392.384,382.154,386.396,458.122,462.789,450.941,167.793,166.535,176.161,173.79,169.424,181.807,157.7,168.32,188.485,195.218,129.183,142.843,134.83,82.2053,85.3641,79.5535,76.4935,179.147,155.105,162.885,171.201,157.631,178.237,141.801,96.2113,112.855,104.74,91.8671,112.868,58.1722,57.3747,44.2377,46.8026,53.1558,54.8987,48.8206,49.8459,51.4688,46.2966,49.4982,46.8602,49.3949,51.2035,52.7455,67.8127
"ABD1",66.1199969390612,66.5778642206462,53.8499416224253,45.3252683598553,63.5165161764321,50.8678198951489,57.5905810124585,54.7169916092403,57.7568903317852,45.674047014879,48.4585223095306,44.3192808218554,59.2930559121764,58.3732368882649,61.7666322676002,65.6739225685972,51.7455513794653,45.717150728355,46.1461558802729,45.3263817109446,43.5197279141866,87.8469,83.5266,59.6876,77.9978,38.7023,38.703,37.6321,36.8705,36.5557,39.3299,36.2826,37.31,38.4716,35.2386,34.9602,28.7883,35.1839,39.029,35.5039,53.0064,36.4502,33.003,37.6693,38.306,35.9319,40.6427,36.771,28.435,24.7848,31.8486,24.2355,34.4611,28.9888,25.6621,27.1173,24.2703,29.5832,27.8496,32.5512,52.9052,44.4809,42.83,38.8762,46.2062,49.3219,49.7884,52.2374,50.524,44.3098,62.4648,42.4785,50.2933,50.1095,55.2694,50.0534,57.0577,57.0677,64.2834,54.0161,51.5095,50.3434,53.4359,52.8147,58.9858,55.4091,62.8066,68.4607,58.8711,51.1626,62.2387,93.5853
"ABF1",87.5510063018412,107.611005527862,66.0264825087466,121.686369505083,115.341882817035,132.690066962853,79.4432121836779,86.6482098813991,111.924522325726,48.9449631663298,55.6635961452463,48.7151920302442,74.1279540254506,65.7756642762818,73.1808212627139,51.2381392111806,69.4527220186002,84.1048901124006,96.0287890184092,111.334024082142,109.718143968451,55.1197,30.8424,58.9728,24.8705,21.4085,19.5734,24.5944,21.2109,20.4543,22.2467,20.1216,21.594,25.0246,23.1253,24.5138,24.6525,24.1003,22.4194,22.2462,27.6858,21.9441,19.9333,18.8305,25.3026,25.3879,24.913,22.2195,28.1309,24.4586,28.3397,24.5452,18.6488,18.5028,24.9274,22.5443,17.9584,28.833,31.2396,25.7293,26.6626,24.7427,22.2124,26.561,25.9222,26.5698,22.754,23.2252,21.6211,20.9485,23.5324,20.6657,20.5927,18.2602,19.8049,26.9982,30.1612,23.447,30.9423,22.5764,22.9162,23.0909,26.1749,21.3203,22.6976,23.6803,27.877,28.4376,27.3978,25.7758,31.501,28.2626
"ABF2",658.448300411925,597.152920100884,625.868193353468,862.925417720055,772.859293892404,720.736685799701,715.283358732585,683.190628084371,775.836234475452,847.048734635679,669.24045309964,691.694099641863,830.654966329274,774.821726879941,724.537638191769,576.625155370537,749.463020105139,806.838324061916,690.972488321854,716.221270137486,656.901851089397,898.525,978.223,696.558,831.197,428.244,417.795,440.671,397.216,384.407,419.055,377.405,390.97,379.692,390.474,418.42,388.308,415.238,352.606,352.764,355.922,336.919,356.22,346.607,374.186,389.981,383.764,247.097,279.761,255.022,239.772,199.556,245.7,212.358,191.636,187.022,231.67,375.38,358.451,405.114,564.88,564.078,562.314,611.359,565.653,539.785,451.7,462.931,456.331,500.291,731.258,543.463,597.023,554.242,560.958,668.554,948.223,1145.67,967.111,727.465,733.296,678.431,752.021,712.115,694.085,667.294,686.096,833.738,535.152,624.115,599.392,546.086
"ABP1",86.5738713105956,93.0295181603257,98.6264828604695,113.475759859725,94.0746997518335,96.5619383977107,165.558175476967,136.714182259181,94.1336789049161,138.319317026053,149.615724850402,123.887427826389,151.77414767541,158.452081945793,151.241778425296,125.979330461057,130.054964945228,148.08641841506,110.649025173356,106.493930034915,100.409830696986,400.945,325.342,275.338,199.001,130.427,125.693,128.774,125.721,122.305,136.572,129.693,134.351,146.453,153.201,148.236,152.377,120.973,123.93,113.248,138.116,111.99,105.073,105.559,112.931,112.51,108.403,75.1489,74.1446,70.7417,75.3964,47.439,51.848,49.2066,46.3586,47.5147,51.1465,71.2067,67.236,61.8194,131.554,120.784,135.547,133.915,141.448,142.979,133.749,140.189,144.421,143.749,138.888,154.199,157.957,138.123,143.23,163.133,128.638,126.889,110.275,62.3624,54.3127,55.6115,56.9847,68.6669,64.0225,61.8505,49.4677,71.995,72.2895,64.5294,72.3624,67.0406
"ABZ1",19.0916417721651,20.2472055626487,14.4983927415329,17.2623061601398,19.0317317681501,19.0057849841063,17.5353155075602,15.6502570410863,17.0330238590175,23.3724800249997,26.075938341371,22.7796266932276,14.1958996215719,14.0475339174736,14.0788573228538,14.7646957298991,13.7538141390407,13.2144849955279,10.4054773519338,10.2405397808573,8.20681163846773,52.8811,42.4855,84.3373,48.7762,13.4052,15.0442,13.4528,13.4192,16.1096,12.4941,12.5923,19.3301,13.1824,13.6323,15.5391,21.3917,13.7953,14.8976,16.0883,13.6003,17.5873,16.2213,12.9448,14.7945,19.3344,13.9789,59.3526,64.8118,63.1021,67.8863,62.6817,67.5154,67.0303,70.9975,63.7219,64.4976,80.224,78.1272,79.454,8.48138,9.29244,8.54144,10.3902,4.79526,7.91468,7.78092,9.06651,7.79594,7.40468,10.6689,8.25759,5.99899,5.93452,5.17107,6.70731,17.9152,16.5885,19.8038,8.42032,9.15493,10.1312,9.49156,12.9913,9.47304,9.87854,10.3618,9.49053,12.234,14.3087,13.6471,4.64182
"ABZ2",80.6248171600911,75.9577204612518,54.4094602418942,62.2465165885198,65.8021769840194,47.0161530154371,66.7657023226969,62.7321207662583,68.4724447124623,65.2220416861087,56.8866325356621,55.8388149294652,56.5062187086144,59.8216435415991,54.1195584655326,49.7112552284623,65.9422961318441,71.0834650587844,63.3109165434139,68.0023794955965,72.5882814434018,40.8623,43.155,46.6673,35.8888,23.6789,30.1811,27.0531,23.2673,26.3173,23.5415,25.8922,20.4195,20.2886,23.6103,22.7448,25.1988,20.0728,29.4612,23.4225,28.583,27.5846,22.6014,24.8832,30.5074,28.9205,25.4648,43.3555,36.9214,39.1153,37.9839,38.5264,40.9392,41.8722,35.4399,34.8514,50.0546,42.4783,40.597,51.2406,17.6057,16.4374,14.1374,16.0361,30.3329,26.3619,28.4356,23.1822,27.8644,25.3041,40.3785,20.5609,25.1338,28.1719,24.4651,26.1591,82.7531,74.0247,83.4145,69.5401,65.2852,62.1774,57.0677,68.9166,62.0168,70.3733,75.5757,52.2024,64.1113,65.4261,61.6826,54.2131
"ACB1",83.3209361792926,73.8629753613636,66.1127748392737,61.2361310806243,61.11789480992,64.0141152256127,66.7773318398181,47.3763173719238,49.0135217004602,29.1407997718045,17.9486389916713,19.7786853064221,25.7409925218535,30.4966778432582,29.1984566655715,42.6439161743378,41.4472153483095,53.9665298009939,112.62154381184,129.0147909935,127.882791130688,6158.17,5533.79,5418.09,3550.01,1713.98,1863.86,1956.28,1736.53,1731.78,1655.83,1920.46,1694.91,1685.69,1606.3,1840.82,2325.96,1782.04,1694.05,1682.44,1749.63,1534.3,1701.04,1637.11,1306.32,1274.84,1318.98,756.288,780.797,724.114,827.471,823.484,784.23,862.849,637.966,746.94,832.213,978.271,1009.04,1131.74,968.537,887.548,1149.22,1122.94,2804.27,1469.77,1106.64,1048.38,1231.73,1228.36,1487.59,1704.13,1858.62,1681.82,1868.27,1511.5,791.247,940.182,958.129,1307.03,1101.19,1021.49,1093.2,1132.25,1068.59,992.681,1268.32,883.642,527.18,504.872,527.7,620.884
"ACC1",227.982028135943,225.541199771696,116.423164674188,129.050302354288,138.200966905587,72.5514449545716,131.705995558004,154.974935800767,129.425766245428,158.558036802651,176.507119657858,192.969270857731,144.363179133865,151.06126354072,138.138369782393,153.625625693107,149.798139848103,142.937421729659,101.983743491887,92.08553486432,84.5179138396854,357.32,344.091,261.074,220.498,136.304,132.605,135.122,135.434,131.641,135.53,135.125,126.94,131.531,127.852,135.808,135.246,130.722,122.07,115.839,131.195,120.95,117.501,114.906,125.346,124.354,125.221,172.016,172.868,167.153,169.923,150.26,132.062,138.488,140.59,139.481,131.532,147.927,150.76,151.731,176.852,177.686,174.775,178.445,123.292,140.403,134.108,139.175,138.596,141.984,134.884,163.979,160.926,162.46,158.917,152.151,125.248,126.061,127.881,131.195,132.865,134.718,134.31,129.553,132.036,133.659,138.532,158.89,164.63,165.538,162.94,176.474
