"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526"
"k_1",0,6725.67796656713,22467.0190290376,36536.6819287355,25924.8110559465,24285.9600738227,15359.0788279154,14757.6012224071,26052.5814717673,18318.5110465813,21853.4983595796,18814.8594735455,18016.292687563,17573.6281793731,19620.8624334295,40471.2092908679,39072.5511812315,38583.3354734757,29148.3059972904,30226.0588403629,31814.3278470057,62720.111371481,70292.72093797,59633.1610669016,59502.8734576755,65036.3665235419,64905.7072757225,64971.5667165591,64701.4735282218,63708.8853831569,64079.6057875761,64206.2252982859,65173.7194284328,65169.9960820755,65073.207922951,65161.638288252,65135.2276451486,64187.2227381744,63363.529074729,63131.7290428841,63197.0657259884,63343.47855321,63161.2258543946,63241.9122124891,64902.2822447251,65020.5039599993,64762.3237436485,64650.4731543451,65790.0003764413,65847.2521463189,66000.8708320869,64377.8467391587,64022.4291769536,64075.6466522565,65355.2768490039,65527.036159909,65166.5358474214,74640.3117447671,74785.1518680319,74571.1103945057
"k_2",6725.67796656713,0,24578.69602225,30809.1852206707,22684.4313478851,24514.0614662026,12239.9725872054,13366.7113373765,23406.0098184481,14763.211741116,17766.5202872868,16227.8838371238,14939.8883266507,14963.9830599255,16666.3919679972,35853.7365224029,34201.0914520668,33492.7069978989,25430.7856007571,26506.7276231528,28887.3603909123,59374.4538303426,67359.2391851728,56163.6669242149,56024.8479366323,61721.1935729766,61583.0110929838,61652.1918383242,61367.5635135498,60320.4907739079,60712.3985729199,60846.2742237236,61869.2283753692,61865.4769074589,61764.4486116776,61856.1077458872,61824.8528257417,60824.262042188,59960.1948279104,59715.9126438747,59787.2356186002,59940.3364789227,59746.5228552787,59833.4797163946,61589.3752569629,61713.5111435988,61440.7031147807,61322.2386382875,62520.3630941781,62581.600497039,62743.1435552153,61033.9584313847,60657.436776361,60711.9500423038,62065.0642281611,62244.8516646936,61863.7765951479,71768.4699085906,71918.7802647956,71695.3093877201
"k_3",22467.0190290376,24578.69602225,0,39411.2651579847,25610.9012491448,24777.8775987642,27413.8831445317,24857.1699331704,24976.8944618231,29715.3803840679,32267.3985494276,29339.1368486382,28033.1353731856,27362.5841284451,29040.9394423017,42519.1651024288,41556.098186272,42075.2548226177,33919.9573052919,34542.9796627461,35004.4363720379,64839.7516416964,72235.9572740253,62304.09952945,62685.7122269274,66718.0438359212,66594.6245395143,66655.9949310415,66393.591204167,65432.18702835,65786.9373340115,65904.8088759661,66826.2095248972,66818.8779715174,66725.7186473035,66815.734680671,66786.8724412899,65888.4650686468,65103.0368321116,64880.0704982907,64948.1050788624,65090.0167665116,64908.526679372,64990.9859694393,66574.6907389565,66693.5670539704,66443.4876990742,66371.7751467769,67488.4375196658,67541.5941210445,67688.9192595306,66108.2623846123,65770.2852814826,65820.1013207547,67064.0118858309,67234.1503929492,66884.997232304,76117.4736061134,76256.0689253489,76045.7465175003
"aa.1",36536.6819287355,30809.1852206707,39411.2651579847,0,22415.7067618881,35095.8984376615,27620.5955012313,30378.9701853057,25186.0663404539,28155.5443568982,27452.5808319865,31202.1016300781,27527.097299221,28342.6576711685,28315.2101054413,23465.3501916819,20361.4482887521,18583.5283714497,25714.8930386157,25493.4879557205,29170.2501834306,50988.9092230589,59640.9166324244,46071.7418976129,46766.6176196732,55103.0394209466,54945.2359170285,55022.621894534,54705.4931636793,53530.4134246484,53969.3535260611,54120.0336883741,55280.3881233256,55278.1149512524,55167.7175195136,55266.5104848811,55210.7321003907,54088.3371139714,53146.5471456051,52872.4640005923,52966.4872970388,53132.7375476881,52908.2140647021,53012.8611793691,54967.6366841454,55109.7318421683,54799.9023694085,54717.3430740361,56053.2251349452,56123.783666159,56304.0709877258,54391.1798702712,53969.7009783868,54020.1040012643,55559.6281937856,55755.693859648,55323.0638254222,66187.138329181,66348.2036513068,66092.6087869203
"aa.2",25924.8110559465,22684.4313478851,25610.9012491448,22415.7067618881,0,24399.1756490118,21955.9346754392,19998.026562181,5172.95372863282,22228.4948045292,22557.2206694717,22561.9371676414,18926.1996804066,19183.8052659461,19085.6213930599,20294.2720987094,18678.4880935422,19421.2764450539,20239.1843105925,21022.5297671102,24244.2723554945,47851.8441234136,57379.8370239117,46936.4796194653,47056.8812884435,50652.1276571985,50480.7830390926,50567.4079075316,50216.7412272409,48938.4959675974,49417.1778917168,49572.7522017842,50832.9517463902,50821.121232925,50704.175779657,50815.625351388,50769.1974710479,49543.6509791974,48499.6328175882,48201.85298053,48298.1742639206,48491.4672781312,48244.3423549995,48351.0833491518,50486.7845282177,50638.9657593782,50310.2674241588,50111.1421703808,51571.9134842322,51639.6815939499,51837.8235952695,49766.593722302,49310.8708213779,49379.3006871219,51030.9327376866,51248.8578543947,50782.6313703057,62454.4639415748,62625.5421735289,62358.8525510944
"aa.3",24285.9600738227,24514.0614662026,24777.8775987642,35095.8984376615,24399.1756490118,0,24482.9045060174,21389.0981662053,24348.0579807996,29410.2684349798,32753.8759421064,30774.5369676197,25609.6741797714,23958.9508106854,26567.2348328472,40126.2769131116,38671.0763646851,38493.5494701542,26334.0245115306,26563.9619341591,25893.1471312493,61373.0817607438,68820.2469284254,52595.8986689887,53130.868106085,63748.636568487,63615.1317366229,63680.5058397521,63408.9558310128,62388.8260052756,62767.5282866733,62895.1651103421,63883.151560862,63882.3683714739,63785.1719699378,63874.3824439167,63842.0463635743,62875.1364353653,62045.5525465403,61812.5529930599,61896.0371919706,62030.4759475016,61845.5290113572,61926.8147463835,63610.254373317,63727.9828934272,63467.2476277988,63335.2209105034,64503.2514847624,64556.1589621635,64712.4142955942,63055.7027854515,62707.581561841,62755.2860008528,64061.2539788744,64241.5131886282,63870.8182901087,73521.7454100796,73672.6669478566,73446.8764930974
"bb_2",15359.0788279154,12239.9725872054,27413.8831445317,27620.5955012313,21955.9346754392,24482.9045060174,0,6849.67381020477,23433.7792503184,9400.14067425448,13303.6789399069,12566.4705209394,8600.16757998921,8864.08103033228,11301.1178595734,32736.5657551442,31149.0947985772,30059.4604074013,22707.0282635892,23794.4120964246,26323.0747187727,54868.537891759,62372.5964052133,53768.1973706255,54032.6762424445,60675.8170043732,60534.8075788698,60606.9681888113,60316.9444148997,59248.0421760231,59651.7500431939,59789.247489186,60835.3489909759,60830.8456602297,60724.5759783298,60820.7902344233,60789.0227467175,59764.2153545958,58886.3451892503,58635.5439926386,58703.6201765251,58864.6679941081,58669.5005567474,58754.5550043118,60551.3749716912,60677.2596893487,60398.1602833055,60313.721870596,61532.6136451915,61593.7222470677,61755.9486862425,60014.4915177919,59634.9279594227,59689.7970132867,61069.5728492278,61249.3203875322,60860.0449687824,70906.006138668,71058.8490457909,70832.3637218293
"bb_3",14757.6012224071,13366.7113373765,24857.1699331704,30378.9701853057,19998.026562181,21389.0981662053,6849.67381020477,0,21253.1053316227,11435.3883093076,15193.143714105,12434.6477543665,7567.04053384944,6717.56850662616,9612.02990153734,32646.6756094879,31468.8041378284,30863.5095916784,21332.1303943924,22581.3181470143,24533.6210294025,53932.6939416412,61666.7175851194,52469.3722341191,52701.3018866624,59128.3507472868,58983.5513600902,59057.2973489306,58759.2790688993,57662.5049315978,58076.2665125374,58214.0204525035,59286.1909261778,59277.9799799504,59171.4593632184,59270.6075589452,59242.280985688,58189.9232461156,57281.7919696328,57025.2054573671,57097.6430750791,57262.5746706017,57062.0988714183,57146.2487157668,58990.3233982149,59117.5453963345,58834.293363752,58719.4261780229,59972.9460310904,60032.7754750789,60199.3882000601,58414.5469800417,58027.2305609995,58085.8630137939,59496.5230712256,59682.3699192352,59283.3242482695,69567.0384933119,69722.3476246387,69489.5811145426
"bb_1",26052.5814717673,23406.0098184481,24976.8944618231,25186.0663404539,5172.95372863282,24348.0579807996,23433.7792503184,21253.1053316227,0,24067.658652471,24830.2679600513,24486.0824672023,21195.4647882193,21472.5216494997,21745.8516716651,21704.9960002131,19857.252277672,20724.4304970642,24005.0029575244,24822.5556679897,27875.0375562379,49533.0088771005,59012.8440577952,50533.5260956249,50546.9226467765,51948.2263128812,51778.7518743439,51865.6531438691,51523.6442602185,50277.5556270868,50742.6338310245,50895.4439170385,52122.5616086648,52112.6860413522,51997.5623649992,52106.0507998475,52059.1785694581,50868.3289568081,49851.7907493132,49562.0323816494,49659.7351003425,49844.3280435863,49603.401026056,49707.0751203031,51787.7320100058,51936.7104120658,51616.8862525205,51414.6958705291,52840.7770816061,52905.5897928902,53100.0493720617,51078.217421201,50635.4249382829,50701.4195332387,52311.8818919496,52525.1731119323,52070.6149438477,63508.220382108,63676.4557974572,63413.685734364
"ab_1",18318.5110465813,14763.211741116,29715.3803840679,28155.5443568982,22228.4948045292,29410.2684349798,9400.14067425448,11435.3883093076,24067.658652471,0,5653.95884007103,5548.81681751542,7429.51717388659,8862.82758820166,9472.994552586,30885.7820829724,29456.7225825711,28549.4718649081,22567.089283873,23790.0696087716,27217.6712279989,52958.3583244026,60920.2697413837,53247.6323367118,53752.5582691683,58210.6457113119,58064.8859209617,58140.1418968111,57835.9977857913,56723.745944896,57145.1649199471,57286.0409963223,58376.6246321275,58368.2795720099,58259.3623553303,58359.7348724757,58328.266578232,57258.7342248122,56350.1031489356,56087.8760620938,56165.2848881829,56329.3336066335,56122.1118075304,56211.3350357625,58096.5611415357,58227.0793370299,57937.4064847879,57814.1601380906,59082.1311705795,59145.5770428157,59314.2016499087,57503.64888263,57105.8948811974,57165.8808741561,58601.0073021566,58789.1270750582,58383.514707206,68792.773495887,68949.5874737373,68718.0102316264
