"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM","GSM3714420_Galaxy259","GSM3714420_Galaxy264","GSM3714420_Galaxy269","GSM3714420_Galaxy274","GSM3714420_Galaxy279","GSM3714420_Galaxy284","GSM3714420_Galaxy294","GSM3714420_Galaxy374","GSM3714420_Galaxy379","GSM3714420_Galaxy384","GSM3714420_Galaxy389","GSM3714420_Galaxy394","GSM3714420_Galaxy400","GSM3714421_Galaxy415","GSM3714421_Galaxy420","GSM3714421_Galaxy430","GSM3714421_Galaxy531","GSM3714421_Galaxy536","GSM3714421_Galaxy541","GSM3714422_Galaxy451","GSM3714422_Galaxy456","GSM3714422_Galaxy461","GSM3714423_Galaxy466","GSM3714423_Galaxy471","GSM3714423_Galaxy476","GSM3714423_Galaxy481","GSM3714424_Galaxy486","GSM3714424_Galaxy491","GSM3714424_Galaxy496","GSM3714424_Galaxy501","GSM3714424_Galaxy506","GSM3714424_Galaxy511","GSM3714425_Galaxy516","GSM3714425_Galaxy521","GSM3714425_Galaxy526","GSM3713845_Galaxy26","GSM3713845_Galaxy513","GSM3713845_Galaxy518","GSM3713845_Galaxy523","GSM3713846_Galaxy528","GSM3713846_Galaxy533","GSM3713846_Galaxy538","GSM3713846_Galaxy543","GSM3713846_Galaxy548","GSM3713846_Galaxy553","GSM3713846_Galaxy558","GSM3713847_Galaxy563","GSM3713847_Galaxy568","GSM3713847_Galaxy573","GSM3713847_Galaxy578","GSM3713847_Galaxy583","GSM3713848_Galaxy227","GSM3713848_Galaxy232","GSM3713848_Galaxy237","GSM3713849_Galaxy242","GSM3713849_Galaxy247","GSM3713849_Galaxy252","GSM3713849_Galaxy257","GSM3713849_Galaxy262","GSM3713849_Galaxy267","GSM3713849_Galaxy272","GSM3713849_Galaxy277","GSM3713850_Galaxy282","GSM3713850_Galaxy287","GSM3713850_Galaxy292","GSM3713850_Galaxy297","GSM3713850_Galaxy302"
"k_1",0,8648.98979349714,12686.9014616647,26975.6300620009,15464.0112552489,22903.2999708737,17154.879601072,14669.5876811103,14448.0379709671,20642.3300178904,24568.3907662371,18834.3417411634,18884.9948296941,17695.5453929054,19346.1371408593,25936.8475477524,25654.7771971324,26130.6303345583,29081.8408289964,30411.1937275059,30648.1707685211,56477.8604568234,64926.3695944574,53593.0308177943,51643.841101879,51665.3205307767,51548.6583080712,51569.8937102546,51239.701733781,50235.9555122716,50476.1786599355,50603.8937404116,51984.4414677914,51871.7965058792,51834.0738145999,51964.6902093396,51882.8912000827,50593.8073745148,49894.8013494237,49741.2656161253,49499.3907613686,49967.692565731,49816.9004663754,49841.1219550323,52097.5849820428,52190.8112852782,51877.7005806168,43224.8768261225,42930.9510660356,42784.9791690982,43100.6912918233,44125.6284084694,43575.9571401485,43507.7027442894,43030.6045283625,43310.1166899778,42788.6605230359,48305.7752280429,48345.3845712644,48228.1939268042,45296.1086511378,45363.0668364026,45248.6882683932,45347.6259496042,44987.0974041503,44282.9234858321,44017.9959434346,44096.8992773979,44106.5107043475,44199.9936678405,44219.4735544982,44150.3494118776,43972.8046428225,44078.6494216927,43915.8687596609,43789.5375948895,43463.145726614,43314.8603636306,43187.701858539,45643.5318232782,45225.2018401764,45101.1947081251,45091.6015913668,45093.5305529779,45045.2289114176,45113.6600214522,45468.345677252,47807.9346403287,42955.0956796923,42974.1890577898,43106.8984988702,42605.2189094838
"k_2",8648.98979349714,0,16623.0137204628,19866.7174336438,10292.4019424792,24077.6126203287,12145.0047205378,11909.1536227861,10123.8953283283,14568.3830125352,17606.0069834317,13269.8771962567,12982.2187749584,12388.251006834,13067.2024578346,18787.2841002137,18379.3961869339,18850.4302358842,22173.6582913345,23663.0801500198,25080.4164210708,51315.31688551,60525.9234474632,48087.8398859768,45854.5605723508,46066.3550453895,45925.2375068289,45957.1245341085,45586.9921949745,44437.1272949157,44725.599398137,44864.7707283954,46427.0006410904,46312.2485323936,46269.3096724555,46404.0209417186,46302.1143996425,44863.135465041,44074.5144625614,43887.7159686489,43657.158688751,44148.2208524958,43975.5810263753,44005.6464778077,46500.3844056338,46605.5828731006,46247.2156561188,38231.4471788394,38303.2868635161,38190.5561938095,38514.3839643784,38944.6152395236,38348.5594465892,38302.9930869868,38255.5600249636,38533.2447516024,38002.2244474534,45431.3878073168,45510.6887600682,45342.5763198837,38651.267417903,38724.1955188789,38593.8984332385,38700.4676570729,38380.0588432843,37461.9615536673,37138.9331366952,37232.8808168093,37249.3327699083,37356.5978397296,37405.9657431177,37236.9632612964,37028.6727632513,37150.8872149158,36956.4356121056,36797.7421789948,37782.066605078,37629.0431840179,37516.9487653538,39822.0791566456,39412.2041298334,39283.7183348749,39278.0485156384,39279.1973405494,39228.0367268595,39289.0762536533,39718.8513976723,42702.0445837081,36703.9211584566,36735.758399368,36874.1244503155,36324.8013591795
"k_3",12686.9014616647,16623.0137204628,0,28048.1768220286,18202.7319684774,22071.2509430311,20531.9420980851,17687.9806016216,18162.8526879216,24014.2784728112,28022.6781789429,22259.3493614903,22363.2916590871,20672.6645828311,22818.8194227334,30620.4112118617,30183.5290993568,30497.9648160326,29950.0869849907,30954.5234078566,29524.3200470888,59746.2641696709,67523.1364230086,53188.9130571824,51700.8149706656,55456.0125457838,55334.2629899016,55362.375982152,55061.896495848,54133.9994700515,54337.8893083147,54453.8847391224,55724.0834824316,55604.3615967241,55581.3231422347,55714.9146437758,55619.8867111969,54431.8005480062,53584.8828719826,53475.1953459152,53148.9825600519,53680.1799054484,53528.9131562741,53569.0318367423,55864.958217521,55935.6284737258,55650.5308296706,44637.5823700731,43925.048793037,43762.7419104259,44051.7799388709,45784.6818226032,45276.601493388,45213.6458956864,44256.7008000116,44474.9283156578,44098.0744462712,47117.8033604583,47103.8358912511,47041.2436160467,49967.1071251359,50034.5983821624,49926.9458386163,50033.6368541554,49186.4200336213,49001.111295661,48726.6172818276,48804.2490421354,48824.4762367036,48927.971434898,48732.7387068512,48539.262683364,48394.1323179234,48510.0551065686,48359.9319622116,48186.1918601232,47902.2881435512,47719.5266001878,47581.313399668,50122.7845483148,49777.2288205488,49649.4773272563,49638.9560755269,49634.2454135066,49592.2058984607,49658.1952085174,49951.2199490864,51458.0642437847,47558.523081003,47569.5539020478,47691.6002923413,47214.9938855723
"aa.1",26975.6300620009,19866.7174336438,28048.1768220286,0,14169.4769872469,29489.1324611192,15057.657512161,18452.3298765265,17065.6567576459,14951.2121067301,14689.0587600868,16780.2879828576,13187.6364242834,13302.3759171684,12199.6963883501,14869.2943751419,13608.1873394321,12649.6397759369,9193.42061206433,9957.62130567579,13109.3385765676,45290.2646992801,54705.9002716407,34404.1267828688,32273.7835837277,40089.897194715,39884.0528051375,39967.2010715407,39577.1145504503,38300.434416669,38630.6655483289,38753.3168917915,40453.7588152786,40330.0808333092,40286.0639864352,40446.3011482403,40301.9596000399,38748.3643555905,37556.3897643278,37364.0004904758,36969.7034595998,37675.842127624,37456.0157834246,37525.4255843611,40573.5362956822,40650.7638575956,40265.4260948132,29438.6293958853,29670.0199993218,29629.1822792017,29918.9126015645,30053.7293579103,29461.1283920017,29475.6970067184,29618.4173174878,29763.3746102697,29530.4933274135,37435.1900683456,37537.712410335,37353.0308958601,30594.8683483658,30683.4341031538,30555.2155471658,30705.9798039592,29102.1385514631,29425.5750700356,28941.750233388,29029.0132998144,29074.6084438101,29264.7110910161,28706.9572009929,28642.6744441996,28390.1840799645,28625.2178131743,28410.3404314482,28033.6532368549,31781.947642597,31539.6439977384,31430.759084864,33640.3117894054,33308.8552417806,33179.1880253211,33185.4581756613,33147.7566027007,33097.3786481393,33148.1886545903,33617.0430563781,35865.3950445151,29815.1728961639,29872.0585765297,29956.9918771483,29470.0159610055
"aa.2",15464.0112552489,10292.4019424792,18202.7319684774,14169.4769872469,0,19714.1672286234,9356.32330821681,8456.99799691976,3837.2749230708,12991.5564451218,16233.0401209943,12728.0507281469,8958.63661207903,7435.26606795815,8764.21351940186,14924.4664045338,13969.3839920111,14242.4776171375,15473.790533167,16925.9050177634,17865.2145857183,47442.7711234745,56835.5881634534,41529.5411877364,39343.9952879347,42168.672966529,42015.7356184773,42055.4758564466,41677.2209096526,40452.5712605393,40758.7831505236,40893.7152163766,42533.8222538175,42406.5590660551,42374.6970557931,42515.9449434934,42411.2623079963,40890.7719092459,39908.1877546255,39722.8755340731,39349.7958468711,40006.2867650023,39804.8394794531,39862.6351478601,42626.5456537036,42718.6392271927,42358.3318707112,31915.9776740427,31830.5107089988,31727.533473148,32048.8204929686,32849.6741056023,32226.1683110894,32192.5125264261,31920.2450537605,32177.5482631557,31702.9215523508,39094.4707552742,39160.9182325633,38982.0358224665,34143.0149068908,34200.9185138249,34074.0602917725,34174.2151614366,33716.9995003291,33142.84165617,32677.5972833036,32773.1486472896,32800.4561549998,32944.3539667711,32808.4784524892,32408.8283772378,32206.5533918725,32363.4272131444,32156.1136101831,31909.9258626922,33738.3476086846,33546.2680169185,33476.1387454402,35723.1788182103,35208.0480192225,35053.4114487781,35063.0617381048,35045.4798087988,35009.5292228946,35063.9996772515,35512.9141709621,39026.4130222951,32258.3833573576,32272.1306757086,32428.9412824463,31823.2825230598
"aa.3",22903.2999708737,24077.6126203287,22071.2509430311,29489.1324611192,19714.1672286234,0,25300.2870726387,20926.9057208438,18543.6965762075,30382.4111005302,34308.6415005923,30148.9289226804,26106.9123770114,23930.9982233091,26317.0066303742,29775.2772439295,29240.8939388688,29837.8042765497,27386.777223497,28070.6827426029,25822.9546843838,55964.2529560839,64188.501350654,46197.0814355466,44439.3534967838,51416.8929660883,51288.4726899039,51324.6445889303,50993.6280210971,49927.4241258548,50166.7594433405,50290.0947726368,51728.3882724476,51590.9459808177,51583.5319895835,51715.6341999986,51612.9073097061,50284.8310268767,49264.6789493799,49150.1071575759,48657.8159150829,49380.4796999653,49185.3308337388,49280.434421775,51878.3235796362,51940.0290452862,51640.4181830227,37497.0800427197,36475.8967871057,36318.0581173932,36607.1866470428,39131.1666997367,38586.7655571414,38532.2292274333,37191.9084855831,37396.5710732773,37069.7492890602,39471.6720215909,39409.7667696998,39360.12346677,45382.4053415511,45398.0901187933,45321.6745448582,45375.3784287929,44290.517424506,44058.3017766163,43728.0470311359,43804.5298117752,43845.6261346009,43944.4190280665,43667.8175231455,43013.5044980633,42892.0665636158,43018.6614098396,42852.8384323828,42608.2528067853,42881.9799230908,42674.8962295621,42596.9454361959,44741.738370115,44402.6701313131,44200.1428270071,44240.8993379976,44216.2415072865,44195.6498074406,44256.8948833614,44593.4856805199,47568.0267622515,42376.342080721,42360.7979422193,42522.7451118234,41974.9803219754
"bb_2",17154.879601072,12145.0047205378,20531.9420980851,15057.657512161,9356.32330821681,25300.2870726387,0,6043.40446038624,10254.2162766262,8127.00021680301,12127.2555725143,8481.0048085556,4561.15555547805,4372.93270582615,5419.13308814457,13588.1049104242,12852.9104841903,12355.1600131012,19259.9748062735,20783.2457077515,22626.8252856524,45731.5849974082,54570.7926005725,45301.825038621,43603.9105409706,40597.5793804962,40459.8997101712,40499.0342742834,40156.0576740441,39132.6492967333,39406.6347222726,39530.4080906251,40952.4941580115,40845.9283277045,40793.1406579449,40936.8529098605,40847.3843206687,39517.9793354679,38733.1139681342,38549.8557113197,38317.3874239798,38800.3754556068,38642.6510099849,38674.1480341021,41071.9726577664,41159.0837256956,40815.9285630954,33549.8462610492,33854.5444675477,33756.6528859427,34072.8755405164,33990.0734630824,33449.7934007698,33393.2392853619,33597.7342968329,33885.0081284132,33323.7017085975,41851.9906620978,41990.4399454311,41791.9966845669,32512.154036724,32623.8244506014,32516.2750771135,32685.0211257007,32397.5113888096,32569.9720105761,32164.6560919667,32253.9413801098,32240.8414612733,32392.2778461573,32136.3894689355,32557.7884771033,32377.4916385338,32484.7335370626,32388.5350490086,32187.2188703455,31781.8604784936,31585.6105844345,31458.3182202942,34021.7143390971,33436.8186891207,33346.4152051707,33309.4524693431,33315.2568535087,33251.7438108252,33298.2494636802,33764.6779280029,35747.7076025455,30359.8597617246,30390.9374488914,30507.6711283008,30075.7751402755
"bb_3",14669.5876811103,11909.1536227861,17687.9806016216,18452.3298765265,8456.99799691976,20926.9057208438,6043.40446038624,0,8120.7522760402,12338.9663775391,16803.6855153718,11777.9059018377,8199.0664421318,6669.28148793685,9103.33172837106,16388.524133592,15766.6129422928,15677.8105211749,21242.2997433642,22757.2277908669,23564.0507990605,47381.5315420665,56090.941334595,46483.5417753191,44778.0094597488,42372.9511108775,42244.9392005318,42278.3767792514,41940.7188408031,40943.018511415,41202.5108691337,41333.919901136,42713.1065608924,42600.1548571415,42564.8667721988,42698.7483902013,42619.9761010794,41319.2877086742,40520.0456457274,40358.1795169524,40069.4152340495,40591.7149145342,40436.1974998443,40469.1205669295,42840.7087469658,42928.6562198661,42601.2420452149,34309.2517499038,34354.4210557821,34228.7390331082,34547.4274091266,34988.3053207456,34428.7454049483,34366.042007688,34256.1227027813,34545.9065072657,33977.6469864853,41609.2578168815,41715.7335592508,41533.4422462463,35105.6072988048,35199.2334102298,35103.1479475899,35242.4082086033,35149.8430441454,35097.671446507,34670.9066229103,34764.9614196309,34757.0262669418,34902.3446499876,34713.0099374638,34895.3792580517,34740.9264804202,34831.2783882775,34724.1956971176,34522.3688373295,33955.3801669168,33769.8244740361,33661.4525157246,36022.8894072813,35413.5650382213,35303.97489771,35283.5105414022,35282.3966957744,35235.6844558993,35275.9081371082,35715.7608915314,38021.9970958641,32430.8968705023,32449.3464986149,32589.0729298255,32108.7223480373
"bb_1",14448.0379709671,10123.8953283283,18162.8526879216,17065.6567576459,3837.2749230708,18543.6965762075,10254.2162766262,8120.7522760402,0,14034.8016771132,17484.7290790528,13574.5866455773,10198.7499471388,8870.28399487373,10373.832551789,15228.1902226482,14401.6549242897,15091.9171454992,17562.7226185819,19069.0114707874,20144.6908447122,47855.0884513166,57377.1558291112,43799.2218535305,41537.7545291503,42445.6766109203,42301.7205273616,42333.8084920471,41948.8810304648,40716.7418885168,41027.4540296226,41167.5952547018,42821.6304649973,42695.9954667826,42661.8607227712,42801.2499774502,42706.2274854905,41170.5968028234,40292.7695857342,40091.3477685776,39756.893276264,40374.4379175903,40174.3271102897,40229.1266941753,42899.015056887,43001.1211757868,42632.2589801149,33131.2604610534,33124.2035774027,33020.0641982347,33350.1430944063,34011.7300844885,33383.1143553959,33335.8135782604,33157.5222329735,33448.9433711486,32897.0370625688,40690.1670918396,40761.4481274085,40573.8432094846,34557.9417770267,34607.990787041,34486.2469497608,34577.6461505711,34319.441413621,33448.437316097,33012.1763901913,33109.075276005,33129.0295313522,33259.6601444105,33240.7955796946,32848.955784756,32648.5045541988,32777.8249475458,32569.7234486193,32373.7636233558,33798.5868574667,33623.7062760867,33563.1286540126,35820.0617404952,35289.379899128,35135.1523674636,35148.1628335833,35132.1071024614,35097.8116569339,35154.6175130528,35609.4759933022,39386.3536467202,32386.4497843007,32394.0102792654,32565.4466114029,31941.9940667803
"ab_1",20642.3300178904,14568.3830125352,24014.2784728112,14951.2121067301,12991.5564451218,30382.4111005302,8127.00021680301,12338.9663775391,14034.8016771132,0,5895.51181193698,3878.00198823752,6811.17480521383,8298.673044445,7466.21903084908,13211.5472236021,12089.9520373442,11408.3535473463,20054.4919421407,21640.4528823241,24547.0548878141,45317.9828376282,54465.5296486271,45825.7832666933,44121.4425945652,40096.8567574624,39970.0564409955,39987.0574000243,39642.2453645852,38527.8037827768,38830.6672084357,38953.0663921289,40435.7801459312,40340.7889946937,40281.7365590595,40411.1793601521,40305.7440777761,38946.9246396952,38234.7390237327,38027.9303083209,37898.3909775465,38289.0919369139,38135.2029156701,38165.8758363055,40544.3140743505,40631.5644513731,40277.6054068121,34902.5158894548,35534.5533296166,35477.5874277988,35779.1597017051,35098.8938059611,34570.3061481359,34544.646011463,35140.6744156058,35428.2621204684,34855.367169263,44275.6739228722,44432.5187689487,44203.4363383137,31548.009052359,31663.031486647,31524.6954853735,31690.1233755359,31779.1353487455,31336.9335714603,30968.9156135497,31049.8100749464,31034.6094538178,31180.1861066865,31101.8562272539,31456.742242502,31273.6598480159,31373.2123111867,31269.538889387,31101.6827715249,31433.5626636717,31265.0364962368,31199.8887842822,33598.7457545431,33033.9663048642,32954.0164111603,32926.6013653831,32933.5343447231,32875.343184584,32907.160073958,33383.179128081,36383.8719066776,30037.2752858845,30072.0148068134,30193.8191705711,29746.518104822
