,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,,
k_1,-0.369212827,-0.109040322,0.150058389,-0.438685895,0.159957659,-0.303747006,0.019029991,0.040912072,-0.51170344,0.078201647,-0.31312503,0.063071754,-0.098838739,-0.039230018,,
k_2,-0.293209137,0.060691033,0.165277292,-0.325540297,0.343422859,-0.377317827,-0.061725576,-0.036470265,0.624494961,0.021388609,0.345102373,0.007844221,-0.026546673,0.004826685,,
k_3,-0.274617127,-0.182198437,0.123097884,-0.347230778,-0.306797816,0.689538016,-0.11408932,-0.182851529,0.251351115,0.000839476,0.001590847,0.068106881,-0.018981114,-0.02393312,,
aa.1,0.092656522,0.2597425,-0.012675692,0.097249782,0.688429989,0.394634936,-0.441942694,0.045867109,-0.143480437,0.196828216,0.066897563,0.013812229,0.01258638,-0.033805351,,
aa.2,-0.078812319,0.167531259,0.464195265,0.06157894,-0.150271441,0.013009415,-0.343093426,0.090775805,-0.029885316,-0.099277835,-0.172726017,-0.135959064,-0.630082609,0.092975419,,
aa.3,-0.110391281,-0.339286486,0.263253438,0.661252398,0.016680422,-0.15684171,-0.059253722,-0.154898033,0.185887895,0.134602893,-0.056464376,0.050857102,-0.128878791,-0.044988534,,
bb_2,-0.208854475,0.259766219,0.128529561,0.126717617,0.299347041,0.209556769,0.544167127,-0.078663249,0.171360254,-0.228343876,-0.427884602,-0.390286552,0.059632696,-0.001027723,,
bb_3,-0.228497834,0.162721633,0.330990067,0.145813704,0.009302049,0.171481333,0.452193956,0.029496975,-0.33552869,0.062565609,0.602696821,0.253638619,-0.085846686,0.014238385,,
bb_1,-0.136636817,0.131080189,0.486240977,0.094973625,-0.143471666,-0.072259131,-0.307911385,0.04846864,-0.079782702,-0.185072857,-0.067834189,0.024507786,0.733544097,-0.013526758,,
ab_1,-0.163789125,0.422242232,-0.131935424,0.101122481,-0.094811787,-0.025051067,0.055023811,0.013071451,0.202119981,0.246146519,-0.382263774,0.708305644,-0.015453838,0.007148672,,
ab_2,-0.084021526,0.474234714,-0.247510938,0.073169254,-0.167667814,-0.111090074,-0.17004916,-0.091938263,-0.04434241,-0.612822126,0.191546305,-0.000645579,-0.132946021,-0.033744983,,
ab_3,-0.172938848,0.403603575,-0.095736359,0.034748844,-0.337142514,-0.076331572,-0.042570206,0.092987471,0.00639676,0.617221183,0.098310093,-0.495230444,0.063115069,-0.010878372,,
f_1,0.39160821,0.17822993,0.25126976,-0.152659806,-0.037056843,-0.079111013,0.067204989,-0.490180702,-0.017316206,0.095882649,-0.020511058,0.016472609,-0.051046667,-0.680494355,,
f_2,0.418755435,0.162622436,0.243637994,-0.161279735,-0.009623721,-0.063057229,0.084882095,-0.374804996,0.001734459,0.093168973,-0.0218616,0.034171161,0.024696559,0.712333897,,
f_3,0.410249144,0.071753864,0.277917112,-0.134397321,-0.055152753,0.04277773,0.159340189,0.722350837,0.193604083,-0.037796985,-0.032365028,0.066434189,-0.035613587,-0.117756698,,
SC,0.19484,0.09846,-0.078376,0.096211,-0.12375,-0.13681,0.11717,-0.064057,-0.12619,-0.1175,0.12665,-0.015556,0.053375,-0.045188,,
SC,0.17926,0.077671,-0.091829,0.10395,-0.10155,-0.089041,0.16226,-0.019786,-0.12,-0.094012,0.10131,0.0058877,0.027659,-0.023403,,
SC,0.41354,-0.051525,0.035983,-0.013145,-0.015191,-0.02024,0.034586,0.30717,0.034287,0.017772,0.043064,0.04912,-0.071801,-0.0081439,,
SC,0.41008,-0.051886,0.047344,-0.03141,-0.015709,-0.047831,0.030324,0.28486,0.027326,-0.0028714,0.051902,0.023255,-0.065757,-0.0574,,
