"","k_1","k_2","k_3","aa.1","aa.2","aa.3","bb_2","bb_3","bb_1","ab_1","ab_2","ab_3","bba_1","bba_2","bba_3","aab_1","aab_2","aab_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"AAH1",38.3800554267695,34.6834082225457,47.9299833686805,69.7688691317501,50.0048867962489,118.059579547589,40.7321289368493,39.212061233596,35.8135240569497,34.0058364898208,38.2206005624642,40.9234809220008,49.10389319678,45.617574482416,50.5749244771553,90.3188367947769,86.5358574639353,102.076055838718,41.0325552485426,41.722184975455,43.0426006972671,460.234670838176,366.056232774234,288.838588598634,196.358631413487
"AAR2",17.6982743236274,15.2003873973901,16.7988966724107,21.7696339885466,17.814691454599,16.1422680456797,9.84299109649741,12.4681467464238,16.5695377398362,15.854151558803,12.8812690362171,12.155147697524,11.8868002806371,12.8498339122339,13.4481626946782,12.8158914043081,18.3106277584393,22.4127633013343,14.7604652716138,15.9005188096469,15.205433817773,70.891433782383,75.976128078148,80.2002600405756,61.4121016187582
"AAT1",48.3199756733323,48.6655236912815,53.9056978638069,87.9008141815317,80.7232035993898,33.513278140809,30.0704718215714,41.4131068400496,69.9709872926977,29.6592411595637,31.2825750560885,28.5342628305009,34.097911117001,36.4738572112504,36.2246503117252,90.9610869865625,90.0242544512948,84.248532259467,27.5542204708139,27.2442597161713,27.9218261317481,104.485036350496,98.5377080617966,180.162288719976,153.012747671829
"AAT2",173.224541901922,176.841837063256,230.756523585258,255.45514799941,226.047965535787,139.772552758037,125.235598434868,135.483503517813,219.851869744511,117.925926699144,125.443736429193,100.866578025723,122.330358108941,132.218713582204,120.66877998226,230.116418060236,262.635261676764,281.681756345357,106.625369084897,110.04018853287,113.845830446115,595.648943551623,598.052535210905,875.982028671603,563.605930177334
"ABD1",71.1335900731045,71.1942275300959,125.259047104335,121.397070516358,128.259007987668,62.9404206233359,44.6996457803962,54.3343080326827,106.172032136507,44.0031104764826,52.1893157543952,45.2092926154594,54.39449325256,58.9291549657227,58.8473581949242,114.651052752372,120.88188903685,126.82538025008,53.5557126843235,53.569709422385,56.3455007974918,226.233115731576,219.531770054563,306.308580167764,246.702526920168
"ABF1",81.6075187975345,98.9511053753827,189.605052557223,266.155711404993,238.719311740799,127.862787888493,45.3901324960571,72.0993686280178,215.246522835154,33.2830272492339,46.8946731239565,35.5316341247282,53.5627140731605,54.6677669561878,56.8679565061499,121.758655714969,180.184373667864,213.384115767324,88.5202176870407,102.925350829058,108.120785918563,248.178286440057,227.045831434226,404.117603210418,272.005036100325
"ABF2",728.108211959045,686.902313616374,1553.4021830741,1968.77545908315,1641.58458521032,847.938081699038,526.097888262973,658.990822523647,1448.45825893526,744.997611811732,698.961825130446,659.672523461266,707.813666331826,736.069788453533,665.951814850167,1145.11193194965,1692.63495545634,1938.75480189201,758.930840038142,786.215206477906,804.240226508952,2696.67348662895,2745.7844124946,3880.16104986218,3021.83112159304
"ABP1",148.228549105928,153.474657932139,189.681233473054,227.893922039516,162.003764077512,170.326779033352,185.386963889046,181.111889731229,123.221356451226,183.222407073067,207.469320172438,175.61704039063,191.918358085037,210.943050675394,196.574145905538,163.803316635457,226.005378912836,288.611641395026,174.521070802087,170.239308798356,173.581509806207,735.431611161539,667.640013163498,888.739562547129,627.824078105155
"ABP140",45.1869030852201,44.2729534997003,116.283209453213,181.974074727126,142.860045990024,123.225804164127,48.3679784798546,37.3508622922745,126.385636884066,62.3537578466144,74.8992231421795,59.67845688393,54.9135840962439,59.3630181978693,60.0637937907214,175.745498754678,195.131579559406,217.830316947834,94.8249117313408,102.059264163276,108.831250056848,1018.6900779186,1088.0762430194,658.818376203553,487.257546335874
"ABZ1",26.6517938037976,27.920112781498,33.9694471576777,39.827944036222,34.6858080525711,29.16467047531,17.9618237958275,20.2416618099339,27.1603393354812,28.1024842483967,32.8849864820028,28.5016786294457,17.8220508188365,19.6640267878101,18.6579622618614,23.322689674274,31.5186053328291,37.1203897270948,17.7079767281796,17.6876004315222,17.2052779903017,102.926125021636,95.163624712953,169.980368753438,111.825833979377
