"","k_1","k_2","k_3","f_1","f_2","f_3"
"id2",3.20826850770152,4.04585149653872,2.55901582174238,3.43430039111187,2.98845906121288,3.72365791220509
"id3",0.580593107361469,0.712415276858383,0.5448227233387,0.443135534337015,0.795315717903428,0.44809235465245
"id4",42.3054853900089,39.7403535882015,72.2418080959797,41.1053892173286,38.7151790494499,25.776859164543
"id5",19.1099884214982,24.0782655879584,28.3647277618918,29.3365208201518,29.2467447126191,29.0294006852716
"id6",28.8371592576113,30.8046010621741,25.5571386584336,53.7805398490832,51.1499745183841,51.2893402863727
"id7",45.8531597946401,29.5959727198427,13.2715496688211,4.46284720875451,5.59767204866778,4.42598367953471
"id8",158.322670529001,145.85244574941,55.3472207070711,44.9658709594026,44.771200345624,44.8914463893666
"id9",14.2885324269829,13.874458643916,33.724083629362,22.8208795637027,21.2472150327696,19.3551236717545
"id10",271.302556089496,236.54195727289,460.826921327261,149.45727524864,149.290552975654,163.363041133652
"id11",25.942714857787,25.9610839758417,36.0966926656986,37.5015575554989,33.301140980468,35.5422025068432
"id12",1015.69885199214,871.850577568031,1636.41201966115,704.092906970631,609.365480450439,618.620424637087
"id13",19085.0256686633,17980.4500201763,10460.5145646945,8154.8321362049,7486.91644404739,6913.72293100885
"id14",2.61568244216136,3.36587645510364,4.27205111888522,3.03026505098106,2.90056320647133,3.89698418842538
"id15",3848.17842094705,3278.0093644862,3528.47939686496,1330.45164456528,1325.17383980943,1168.75241334388
"id16",1307.74875385633,1362.12966673982,966.377366322496,673.798095039907,660.459582897746,577.352802562618
"id17",4529.44218940425,4138.91062330251,4113.09107725228,2577.49683290216,2613.73198757125,2473.55027650331
"id18",26.3698451289392,26.9761118692666,20.4269911767681,38.9617323111337,39.0311578333371,40.5266558876969
"id19",29.904686449561,27.7344924060682,47.0325003580646,54.674974997369,57.0537541370758,62.1521158453637
"id20",169.787846474645,161.11919136404,335.403528062326,147.077647184573,148.951945925996,163.136339144563
