gene_short_name	gene_id	locus	s_1_NR_A_FPKM	s_2_NR_B_FPKM	s_3_CR_A_FPKM	s_4_CR_B_FPKM
AAC1	YMR056C	ref|NC_001145|:387314-388244	53.9182	51.9585	117.749	135.749
AAC3	YBR085W	ref|NC_001134|:415982-416906	12.6468	15.841	3.96572	1.76799
AAD10	YJR155W	ref|NC_001142|:727404-728271	19.9167	25.6209	47.7095	53.5904
AAD14	YNL331C	ref|NC_001146|:16117-17248	9.17076	10.0645	13.7944	10.2151
AAD15	YOL165C	ref|NC_001147|:1646-2078	0.736531	0.472836	0.435404	0.195814
AAD16	YFL057C	ref|NC_001138|:14304-14763	6.3225	5.70783	15.8652	10.8558
AAD3	YCR107W	ref|NC_001135|:313889-314981	12.3736	12.632	10.5974	8.24926
AAD4	YDL243C	ref|NC_001136|:17576-18566	10.0034	12.1783	14.3416	15.2011
AAD6	YFL056C	ref|NC_001138|:14792-15431	27.9581	26.2162	87.2035	72.4301
AAH1	YNL141W	ref|NC_001146|:359595-360639	367.856	258.567	72.5378	57.0027
AAP1	YHR047C	ref|NC_001140|:198739-201310	31.8588	29.5306	64.2156	56.4194
AAR2	YBL074C	ref|NC_001134|:86721-87789	43.0334	46.9593	25.9192	24.7803
AAT1	YKL106W	ref|NC_001143|:237535-238891	14.4096	13.0848	30.2193	50.3683
AAT2	YLR027C	ref|NC_001144|:196828-198085	285.287	288.294	336.802	175.914
ABD1	YBR236C	ref|NC_001134|:690382-691693	87.8469	83.5266	59.6876	77.9978
ABF1	YKL112W	ref|NC_001143|:226569-228765	55.1197	30.8424	58.9728	24.8705
ABF2	YMR072W	ref|NC_001145|:411568-412120	898.525	978.223	696.558	831.197
ABM1	YJR108W	ref|NC_001142|:628711-629083	153.206	160.563	188.537	386.629
ABP1	YCR088W	ref|NC_001135|:265067-266846	400.945	325.342	275.338	199.001
ABP140	YOR239W	ref|NC_001147|:784856-786744	834.739	879.774	201.426	211.348
ABZ1	YNR033W	ref|NC_001146|:687634-689998	52.8811	42.4855	84.3373	48.7762
ABZ2	YMR289W	ref|NC_001145|:848684-849809	40.8623	43.155	46.6673	35.8888
ACA1	YER045C	ref|NC_001137|:240031-241501	10.1394	10.0323	11.3367	9.05021
ACB1	YGR037C	ref|NC_001139|:559730-559994	6158.17	5533.79	5418.09	3550.01
ACC1	YNR016C	ref|NC_001146|:654672-661374	357.32	344.091	261.074	220.498
ACE2	YLR131C	ref|NC_001144|:404509-406822	20.762	21.2641	12.4102	7.15921
ACF2	YLR144C	ref|NC_001144|:429676-432016	23.2686	19.3541	20.9492	25.8489
ACF4	YJR083C	ref|NC_001142|:582607-583537	37.1642	36.4341	46.7166	75.7954
ACH1	YBL015W	ref|NC_001134|:194121-195702	54.9567	51.2882	499.96	273.612
ACK1	YDL203C	ref|NC_001136|:96081-97953	9.60985	9.55466	21.0057	21.9467
ACM1	YPL267W	ref|NC_001148|:38168-38798	44.5579	34.0477	22.9606	14.1001
ACN9	YDR511W	ref|NC_001136|:1470016-1470418	82.5732	80.8213	225.9	169.042
ACO1	YLR304C	ref|NC_001144|:735211-737548	132.923	195.722	464.255	274.109
ACO2	YJL200C	ref|NC_001142|:56443-58813	53.8362	35.3459	27.939	26.8315
ACP1	YKL192C	ref|NC_001143|:80159-80537	245.13	220.525	744.77	766.211
ACS1	YAL054C	ref|NC_001133|:42880-45022	23.0447	21.3035	535.54	481.581
ACS2	YLR153C	ref|NC_001144|:445523-447575	342.665	379.839	176.578	102.406
ACT1	YFL039C	ref|NC_001138|:53259-54696	2065.9	2041.66	2176.92	1651.98
ADA2	YDR448W	ref|NC_001136|:1356064-1357369	37.662	31.6432	49.9092	45.9258
ADD37	YMR184W	ref|NC_001145|:628188-628785	28.8933	26.6846	37.5845	27.7264
